yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
umursamaz	umursa+Verb+Neg+Aor+A3sg
biter	bit+Verb+Pos+Aor+A3sg
bitmez	bit+Verb+Neg+Aor+A3sg
kalkar	kalk+Verb+Pos+Aor+A3sg
evlenirsek	evlen+Verb+Pos+Aor+Cond+A1pl
tutarsak	tut+Verb+Pos+Aor+Cond+A1pl
bırakabilir	bırak+Verb+Pos^DB+Verb+Able+Aor+A3sg
gelmez	gel+Verb+Neg+Aor+A3sg
çıkıvermez	çık+Verb+Pos^DB+Verb+Hastily+Neg+Aor+A3sg
yanılabilirim	yan+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A1sg
düşünmem	düşün+Verb+Neg+Aor+A1sg
sayılır	say+Verb^DB+Verb+Pass+Pos+Aor+A3sg
sanmam	san+Verb+Neg+Aor+A1sg
hatırlatmam	hatırla+Verb^DB+Verb+Caus+Neg+Aor+A1sg
giderseniz	git+Verb+Pos+Aor+Cond+A2pl
anlarsınız	anla+Verb+Pos+Aor+A2pl
başlar	başla+Verb+Pos+Aor+A3sg
dinleyemem	dinle+Verb^DB+Verb+Able+Neg+Aor+A1sg
yapamazsanız	yap+Verb^DB+Verb+Able+Neg+Aor+Cond+A2pl
susmaz	sus+Verb+Neg+Aor+A3sg
bırakmazlar	bırak+Verb+Neg+Aor+A3pl
bulunmaz	bulun+Verb+Neg+Aor+A3sg
bakar	bak+Verb+Pos+Aor+A3sg
dersiniz	de+Verb+Pos+Aor+A2pl
verir	ver+Verb+Pos+Aor+A3sg
ölürüm	öl+Verb+Pos+Aor+A1sg
sever	sev+Verb+Pos+Aor+A3sg
severim	sev+Verb+Pos+Aor+A1sg
koşarım	koş+Verb+Pos+Aor+A1sg
gelirim	gel+Verb+Pos+Aor+A1sg
ihtiyarlar	ihtiyarla+Verb+Pos+Aor+A3sg
bırakmam	bırak+Verb+Neg+Aor+A1sg
alırlar	al+Verb+Pos+Aor+A3pl
yeter	yet+Verb+Pos+Aor+A3sg
yatırırım	yatır+Verb+Pos+Aor+A1sg
bahsedemem	bahset+Verb^DB+Verb+Able+Neg+Aor+A1sg
inanır	inan+Verb+Pos+Aor+A3sg
edilmez	et+Verb^DB+Verb+Pass+Neg+Aor+A3sg
suçlayabilirsiniz	suçla+Verb+Pos^DB+Verb+Able+Aor+A2pl
reddetmezsiniz	reddet+Verb+Neg+Aor+A2pl
edemezsiniz	et+Verb^DB+Verb+Able+Neg+Aor+A2pl
olabilir	ol+Verb+Pos^DB+Verb+Able+Aor+A3sg
evlenebilirim	evlen+Verb+Pos^DB+Verb+Able+Aor+A1sg
olmazsa	ol+Verb+Neg+Aor+Cond+A3sg
edersiniz	et+Verb+Pos+Aor+A2pl
söyleyemem	söyle+Verb^DB+Verb+Able+Neg+Aor+A1sg
öğrenirim	öğren+Verb+Pos+Aor+A1sg
olursanız	ol+Verb+Pos+Aor+Cond+A2pl
kandıramazsınız	kan+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
dinlerseniz	dinle+Verb+Pos+Aor+Cond+A2pl
bilirim	bil+Verb+Pos+Aor+A1sg
konuşur	konuş+Verb+Pos+Aor+A3sg
güler	gül+Verb+Pos+Aor+A3sg
küçümser	küçümse+Verb+Pos+Aor+A3sg
sayılmaz	say+Verb^DB+Verb+Pass+Neg+Aor+A3sg
evlenirse	evlen+Verb+Pos+Aor+Cond+A3sg
evlenebilir	evlen+Verb+Pos^DB+Verb+Able+Aor+A3sg
yapabilir	yap+Verb+Pos^DB+Verb+Able+Aor+A3sg
anlayamazsınız	anla+Verb^DB+Verb+Able+Neg+Aor+A2pl
hesaplar	hesapla+Verb+Pos+Aor+A3sg
düşünmez	düşün+Verb+Neg+Aor+A3sg
ederiz	et+Verb+Pos+Aor+A1pl
yaparız	yap+Verb+Pos+Aor+A1pl
sorarsanız	sor+Verb+Pos+Aor+Cond+A2pl
suçlayabilir	suçla+Verb+Pos^DB+Verb+Able+Aor+A3sg
çıkarım	çık+Verb+Pos+Aor+A1sg
görülür	gör+Verb^DB+Verb+Pass+Pos+Aor+A3sg
koyamam	koy+Verb^DB+Verb+Able+Neg+Aor+A1sg
olursun	ol+Verb+Pos+Aor+A2sg
görülebilir	gör+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
dayanılmaz	daya+Verb^DB+Verb+Pass+Neg+Aor+A3sg
çatırdatırcasına	çatırda+Verb^DB+Verb+Caus+Pos+Aor+A3sg^DB+Adverb+AsIf
geçilmez	geç+Verb^DB+Verb+Pass+Neg+Aor+A3sg
verebilirler	ver+Verb+Pos^DB+Verb+Able+Aor+A3pl
kollayamaz	kolla+Verb^DB+Verb+Able+Neg+Aor+A3sg
çıkar	çık+Verb+Pos+Aor+A3sg
çıkarılır	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor+A3sg
gerekir	gerek+Verb+Pos+Aor+A3sg
sayar	say+Verb+Pos+Aor+A3sg
ölmezse	öl+Verb+Neg+Aor+Cond+A3sg
ederseniz	et+Verb+Pos+Aor+Cond+A2pl
yayarlarsa	yay+Verb+Pos+Aor+A3pl+Cond
mahvolur	mahvol+Verb+Pos+Aor+A3sg
dayanamaz	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
vazgeçer	vazgeç+Verb+Pos+Aor+A3sg
yapışır	yapış+Verb+Pos+Aor+A3sg
getiririm	getir+Verb+Pos+Aor+A1sg
gideriz	git+Verb+Pos+Aor+A1pl
atar	at+Verb+Pos+Aor+A3sg
atmaz	at+Verb+Neg+Aor+A3sg
duyar	duy+Verb+Pos+Aor+A3sg
gelirse	gel+Verb+Pos+Aor+Cond+A3sg
işitiriz	işit+Verb+Pos+Aor+A1pl
yakışır	yakış+Verb+Pos+Aor+A3sg
alışır	alış+Verb+Pos+Aor+A3sg
dönerse	dön+Verb+Pos+Aor+Cond+A3sg
başlarsa	başla+Verb+Pos+Aor+Cond+A3sg
karşılanır	karşıla+Verb^DB+Verb+Pass+Pos+Aor+A3sg
parçalayıverir	parçala+Verb+Pos^DB+Verb+Hastily+Aor+A3sg
okşarlarken	okşa+Verb+Pos+Aor+A3pl^DB+Adverb+While
bakılırsa	bak+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
katlanamaz	katla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
çıkmaz	çık+Verb+Neg+Aor+A3sg
görmez	gör+Verb+Neg+Aor+A3sg
uğraşırsa	uğraş+Verb+Pos+Aor+Cond+A3sg
ederse	et+Verb+Pos+Aor+Cond+A3sg
uyarılırsa	uyar+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
eğmez	eğ+Verb+Neg+Aor+A3sg
yemez	ye+Verb+Neg+Aor+A3sg
bulunabilir	bulun+Verb+Pos^DB+Verb+Able+Aor+A3sg
dilerim	dil+Verb+Pos+Aor+A1sg
tanımaz	tanı+Verb+Neg+Aor+A3sg
tanırım	tanı+Verb+Pos+Aor+A1sg
okuyabilirim	oku+Verb+Pos^DB+Verb+Able+Aor+A1sg
olurum	ol+Verb+Pos+Aor+A1sg
görmezsek	gör+Verb+Neg+Aor+Cond+A1pl
konuşurum	konuş+Verb+Pos+Aor+A1sg
anlatırlar	anla+Verb^DB+Verb+Caus+Pos+Aor+A3pl
unutamam	unut+Verb^DB+Verb+Able+Neg+Aor+A1sg
böbürlenir	böbürlen+Verb+Pos+Aor+A3sg
der	de+Verb+Pos+Aor+A3sg
bürünür	bürü+Verb^DB+Verb+Pass+Pos+Aor+A3sg
hatırlatır	hatırla+Verb^DB+Verb+Caus+Pos+Aor+A3sg
sorar	sor+Verb+Pos+Aor+A3sg
durursunuz	dur+Verb+Pos+Aor+A2pl
bakarsınız	bak+Verb+Pos+Aor+A2pl
dönüşüverir	dönüş+Verb+Pos^DB+Verb+Hastily+Aor+A3sg
burkulur	burk+Verb^DB+Verb+Pass+Pos+Aor+A3sg
sarsılırsınız	sars+Verb^DB+Verb+Pass+Pos+Aor+A2pl
istemez	iste+Verb+Neg+Aor+A3sg
anlar	anla+Verb+Pos+Aor+A3sg
girer	gir+Verb+Pos+Aor+A3sg
olursunuz	ol+Verb+Pos+Aor+A2pl
yeltenmez	yelten+Verb+Neg+Aor+A3sg
sayılmam	say+Verb^DB+Verb+Pass+Neg+Aor+A1sg
beceremem	becer+Verb^DB+Verb+Able+Neg+Aor+A1sg
yaparsam	yap+Verb+Pos+Aor+Cond+A1sg
gider	git+Verb+Pos+Aor+A3sg
hoşlanırım	hoşlan+Verb+Pos+Aor+A1sg
bilemez	bil+Verb^DB+Verb+Able+Neg+Aor+A3sg
verirseniz	ver+Verb+Pos+Aor+Cond+A2pl
geçebilir	geç+Verb+Pos^DB+Verb+Able+Aor+A3sg
bırakabilirim	bırak+Verb+Pos^DB+Verb+Able+Aor+A1sg
beklersiniz	bekle+Verb+Pos+Aor+A2pl
susabilirim	sus+Verb+Pos^DB+Verb+Able+Aor+A1sg
dururum	dur+Verb+Pos+Aor+A1sg
şaşar	şaş+Verb+Pos+Aor+A3sg
kalırsınız	kal+Verb+Pos+Aor+A2pl
benzer	benze+Verb+Pos+Aor+A3sg
dilerse	dil+Verb+Pos+Aor+Cond+A3sg
bakarsanız	bak+Verb+Pos+Aor+Cond+A2pl
yakar	yak+Verb+Pos+Aor+A3sg
bilemezsiniz	bil+Verb^DB+Verb+Able+Neg+Aor+A2pl
duymam	duy+Verb+Neg+Aor+A1sg
görüşebiliriz	görüş+Verb+Pos^DB+Verb+Able+Aor+A1pl
çıkarsa	çık+Verb+Pos+Aor+Cond+A3sg
yapamam	yap+Verb^DB+Verb+Able+Neg+Aor+A1sg
bilmezsiniz	bil+Verb+Neg+Aor+A2pl
gelmem	gel+Verb+Neg+Aor+A1sg
gerekebilir	gerek+Verb+Pos^DB+Verb+Able+Aor+A3sg
gelirseniz	gel+Verb+Pos+Aor+Cond+A2pl
darılmam	darıl+Verb+Neg+Aor+A1sg
geçmez	geç+Verb+Neg+Aor+A3sg
çıkabilir	çık+Verb+Pos^DB+Verb+Able+Aor+A3sg
isterim	iste+Verb+Pos+Aor+A1sg
derseniz	de+Verb+Pos+Aor+Cond+A2pl
isterseniz	iste+Verb+Pos+Aor+Cond+A2pl
benimserim	benimse+Verb+Pos+Aor+A1sg
edemezsin	et+Verb^DB+Verb+Able+Neg+Aor+A2sg
yakalarlar	yakala+Verb+Pos+Aor+A3pl
yaramaz	yara+Verb+Neg+Aor+A3sg
ayrılmaz	ayır+Verb^DB+Verb+Pass+Neg+Aor+A3sg
görür	gör+Verb+Pos+Aor+A3sg
görürsem	gör+Verb+Pos+Aor+Cond+A1sg
sokarım	sok+Verb+Pos+Aor+A1sg
sürer	sür+Verb+Pos+Aor+A3sg
istersen	iste+Verb+Pos+Aor+Cond+A2sg
edersin	et+Verb+Pos+Aor+A2sg
öğretilir	öğret+Verb^DB+Verb+Pass+Pos+Aor+A3sg
anlamaz	anla+Verb+Neg+Aor+A3sg
isterse	iste+Verb+Pos+Aor+Cond+A3sg
koparırım	kop+Verb^DB+Verb+Caus+Pos+Aor+A1sg
tanımazsın	tanı+Verb+Neg+Aor+A2sg
çıkarız	çık+Verb+Pos+Aor+A1pl
çıkarsak	çık+Verb+Pos+Aor+Cond+A1pl
sağlamlaşır	sağlam+Adj^DB+Verb+Become+Pos+Aor+A3sg
yükleriz	yükle+Verb+Pos+Aor+A1pl
sürebilirim	sür+Verb+Pos^DB+Verb+Able+Aor+A1sg
gelemem	gel+Verb^DB+Verb+Able+Neg+Aor+A1sg
satamam	sat+Verb^DB+Verb+Able+Neg+Aor+A1sg
inmem	in+Verb+Neg+Aor+A1sg
götüremem	götür+Verb^DB+Verb+Able+Neg+Aor+A1sg
bırakırım	bırak+Verb+Pos+Aor+A1sg
anlayamazsın	anla+Verb^DB+Verb+Able+Neg+Aor+A2sg
vurur	vur+Verb+Pos+Aor+A3sg
dururlar	dur+Verb+Pos+Aor+A3pl
bayılır	bayıl+Verb+Pos+Aor+A3sg
öldürür	öl+Verb^DB+Verb+Caus+Pos+Aor+A3sg
yediririm	ye+Verb^DB+Verb+Caus+Pos+Aor+A1sg
başlarız	başla+Verb+Pos+Aor+A1pl
başlarsın	başla+Verb+Pos+Aor+A2sg
başlayabilir	başla+Verb+Pos^DB+Verb+Able+Aor+A3sg
başlayamayız	başla+Verb^DB+Verb+Able+Neg+Aor+A1pl
kullanırsın	kullan+Verb+Pos+Aor+A2sg
gidilir	git+Verb^DB+Verb+Pass+Pos+Aor+A3sg
oturabilir	otur+Verb+Pos^DB+Verb+Able+Aor+A3sg
alırsa	al+Verb+Pos+Aor+Cond+A3sg
alırım	al+Verb+Pos+Aor+A1sg
zannetmem	zannet+Verb+Neg+Aor+A1sg
bırakırsak	bırak+Verb+Pos+Aor+Cond+A1pl
yaşarız	yaşa+Verb+Pos+Aor+A1pl
bilmezsek	bil+Verb+Neg+Aor+Cond+A1pl
yaşayabilir	yaşa+Verb+Pos^DB+Verb+Able+Aor+A3sg
yaşayamazsın	yaşa+Verb^DB+Verb+Able+Neg+Aor+A2sg
taşınabilir	taşı+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
saklarız	sakla+Verb+Pos+Aor+A1pl
sürebilir	sür+Verb+Pos^DB+Verb+Able+Aor+A3sg
varabiliriz	var+Verb+Pos^DB+Verb+Able+Aor+A1pl
kaçırırsın	kaç+Verb^DB+Verb+Caus+Pos+Aor+A2sg
yakışmaz	yakış+Verb+Neg+Aor+A3sg
bulur	bul+Verb+Pos+Aor+A3sg
çalışırsak	çalış+Verb+Pos+Aor+Cond+A1pl
alabiliriz	al+Verb+Pos^DB+Verb+Able+Aor+A1pl
toplarlar	topla+Verb+Pos+Aor+A3pl
durmazlar	dur+Verb+Neg+Aor+A3pl
kötümsersin	kötümse+Verb+Pos+Aor+A2sg
sarfedilir	sarfet+Verb^DB+Verb+Pass+Pos+Aor+A3sg
uyur	uyu+Verb+Pos+Aor+A3sg
uyutmazlar	uyu+Verb^DB+Verb+Caus+Neg+Aor+A3pl
gidebilirsin	git+Verb+Pos^DB+Verb+Able+Aor+A2sg
iliklerim	ilikle+Verb+Pos+Aor+A1sg
gösteririm	göster+Verb+Pos+Aor+A1sg
yaparım	yap+Verb+Pos+Aor+A1sg
karışamaz	karış+Verb^DB+Verb+Able+Neg+Aor+A3sg
oturmam	otur+Verb+Neg+Aor+A1sg
hatırlar	hatırla+Verb+Pos+Aor+A3sg
bilirsiniz	bil+Verb+Pos+Aor+A2pl
görünmez	görün+Verb+Neg+Aor+A3sg
girerim	gir+Verb+Pos+Aor+A1sg
edemeyiz	et+Verb^DB+Verb+Able+Neg+Aor+A1pl
düşer	düş+Verb+Pos+Aor+A3sg
oynayamaz	oyna+Verb^DB+Verb+Able+Neg+Aor+A3sg
denebilir	de+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
ölür	öl+Verb+Pos+Aor+A3sg
yatırırlar	yatır+Verb+Pos+Aor+A3pl
beklenemez	bekle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kıyamam	kıy+Verb^DB+Verb+Able+Neg+Aor+A1sg
bağlamaz	bağla+Verb+Neg+Aor+A3sg
kaynaşmaz	kaynaş+Verb+Neg+Aor+A3sg
sarkar	sark+Verb+Pos+Aor+A3sg
anlaşılmaz	anlaş+Verb^DB+Verb+Pass+Neg+Aor+A3sg
edemezler	et+Verb^DB+Verb+Able+Neg+Aor+A3pl
görmem	gör+Verb+Neg+Aor+A1sg
tırmanmam	tırman+Verb+Neg+Aor+A1sg
dövüşülür	döv+Verb^DB+Verb+Recip^DB+Verb+Pass+Pos+Aor+A3sg
gösterir	göster+Verb+Pos+Aor+A3sg
öpebilirsin	öp+Verb+Pos^DB+Verb+Able+Aor+A2sg
inanılmaz	inan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
düşünür	düşün+Verb+Pos+Aor+A3sg
ellerim	elle+Verb+Pos+Aor+A1sg
kaldırır	kaldır+Verb+Pos+Aor+A3sg
alamazsınız	al+Verb^DB+Verb+Able+Neg+Aor+A2pl
giderler	git+Verb+Pos+Aor+A3pl
sığmaz	sığ+Verb+Neg+Aor+A3sg
edilmezler	et+Verb^DB+Verb+Pass+Neg+Aor+A3pl
getirilmezlerse	getir+Verb^DB+Verb+Pass+Neg+Aor+A3pl+Cond
bitirir	bit+Verb^DB+Verb+Caus+Pos+Aor+A3sg
bitirmez	bit+Verb^DB+Verb+Caus+Neg+Aor+A3sg
öğrenirse	öğren+Verb+Pos+Aor+Cond+A3sg
anlatır	anla+Verb^DB+Verb+Caus+Pos+Aor+A3sg
saklanır	sakla+Verb^DB+Verb+Pass+Pos+Aor+A3sg
sayılmazsa	say+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
derler	de+Verb+Pos+Aor+A3pl
kullanırlar	kullan+Verb+Pos+Aor+A3pl
karşılaşır	karşılaş+Verb+Pos+Aor+A3sg
öldürürler	öl+Verb^DB+Verb+Caus+Pos+Aor+A3pl
rastlar	rastla+Verb+Pos+Aor+A3sg
tanınırsa	tanı+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
sayılabilir	say+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
vazgeçilmez	vazgeç+Verb^DB+Verb+Pass+Neg+Aor+A3sg
söylenir	söyle+Verb^DB+Verb+Pass+Pos+Aor+A3sg
rastlanırsa	rastla+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
istenmez	iste+Verb^DB+Verb+Pass+Neg+Aor+A3sg
izler	izle+Verb+Pos+Aor+A3sg
edilir	et+Verb^DB+Verb+Pass+Pos+Aor+A3sg
homurdanır	homurda+Verb^DB+Verb+Pass+Pos+Aor+A3sg
giyer	giy+Verb+Pos+Aor+A3sg
bahsedilir	bahset+Verb^DB+Verb+Pass+Pos+Aor+A3sg
sızar	sız+Verb+Pos+Aor+A3sg
saldırırlar	sal+Verb^DB+Verb+Caus+Pos+Aor+A3pl
övünür	övün+Verb+Pos+Aor+A3sg
uyanır	uyan+Verb+Pos+Aor+A3sg
çarpmaz	çarp+Verb+Neg+Aor+A3sg
kaptırır	kap+Verb^DB+Verb+Caus+Pos+Aor+A3sg
uyandırır	uyan+Verb^DB+Verb+Caus+Pos+Aor+A3sg
başlarlarsa	başla+Verb+Pos+Aor+A3pl+Cond
kaybolur	kaybol+Verb+Pos+Aor+A3sg
korkar	kork+Verb+Pos+Aor+A3sg
sezer	sez+Verb+Pos+Aor+A3sg
sezmez	sez+Verb+Neg+Aor+A3sg
tanımlar	tanımla+Verb+Pos+Aor+A3sg
dövmez	döv+Verb+Neg+Aor+A3sg
dökülür	dök+Verb^DB+Verb+Pass+Pos+Aor+A3sg
ölebilirim	öl+Verb+Pos^DB+Verb+Able+Aor+A1sg
kalkarsam	kalk+Verb+Pos+Aor+Cond+A1sg
bulursun	bul+Verb+Pos+Aor+A2sg
ayırır	ayır+Verb+Pos+Aor+A3sg
konuşurlar	konuş+Verb+Pos+Aor+A3pl
yıkar	yık+Verb+Pos+Aor+A3sg
çekinir	çekin+Verb+Pos+Aor+A3sg
edilirlerse	et+Verb^DB+Verb+Pass+Pos+Aor+A3pl+Cond
değmez	değ+Verb+Neg+Aor+A3sg
döver	döv+Verb+Pos+Aor+A3sg
değdirircesine	değ+Verb^DB+Verb+Caus+Pos+Aor+A3sg^DB+Adverb+AsIf
yapabilirsin	yap+Verb+Pos^DB+Verb+Able+Aor+A2sg
mahvolursun	mahvol+Verb+Pos+Aor+A2sg
alıkoyamam	alıkoy+Verb^DB+Verb+Able+Neg+Aor+A1sg
ürker	ürk+Verb+Pos+Aor+A3sg
bağlarlar	bağla+Verb+Pos+Aor+A3pl
bitirirler	bit+Verb^DB+Verb+Caus+Pos+Aor+A3pl
doğar	doğ+Verb+Pos+Aor+A3sg
değiştirir	değiş+Verb^DB+Verb+Caus+Pos+Aor+A3sg
taşınır	taşı+Verb^DB+Verb+Pass+Pos+Aor+A3sg
gerçekleştirir	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Aor+A3sg
yöneltir	yönel+Verb^DB+Verb+Caus+Pos+Aor+A3sg
ulaşır	ulaş+Verb+Pos+Aor+A3sg
düşünürsek	düşün+Verb+Pos+Aor+Cond+A1pl
hissetmem	hisset+Verb+Neg+Aor+A1sg
sökerim	sök+Verb+Pos+Aor+A1sg
bulanmaz	bula+Verb^DB+Verb+Pass+Neg+Aor+A3sg
olabilirim	ol+Verb+Pos^DB+Verb+Able+Aor+A1sg
yaparsan	yap+Verb+Pos+Aor+Cond+A2sg
kalkışmazsan	kalkış+Verb+Neg+Aor+Cond+A2sg
yapamazsan	yap+Verb^DB+Verb+Able+Neg+Aor+Cond+A2sg
olurlarsa	ol+Verb+Pos+Aor+A3pl+Cond
sanabilirsin	san+Verb+Pos^DB+Verb+Able+Aor+A2sg
karşılaştırırsak	karşılaş+Verb^DB+Verb+Caus+Pos+Aor+Cond+A1pl
sayılırım	say+Verb^DB+Verb+Pass+Pos+Aor+A1sg
kilitleyebilir	kilitle+Verb+Pos^DB+Verb+Able+Aor+A3sg
sarmalayabilir	sarmala+Verb+Pos^DB+Verb+Able+Aor+A3sg
sokabilir	sok+Verb+Pos^DB+Verb+Able+Aor+A3sg
hissedebilir	hisset+Verb+Pos^DB+Verb+Able+Aor+A3sg
açar	aç+Verb+Pos+Aor+A3sg
çıkarırım	çık+Verb^DB+Verb+Caus+Pos+Aor+A1sg
söyleyebilirim	söyle+Verb+Pos^DB+Verb+Able+Aor+A1sg
düzeltir	düzel+Verb^DB+Verb+Caus+Pos+Aor+A3sg
temizler	temizle+Verb+Pos+Aor+A3sg
böler	böl+Verb+Pos+Aor+A3sg
ayırmam	ayır+Verb+Neg+Aor+A1sg
gelebilir	gel+Verb+Pos^DB+Verb+Able+Aor+A3sg
olamazsın	ol+Verb^DB+Verb+Able+Neg+Aor+A2sg
yapabilirsen	yap+Verb+Pos^DB+Verb+Able+Aor+Cond+A2sg
söylersin	söyle+Verb+Pos+Aor+A2sg
kalırsa	kal+Verb+Pos+Aor+Cond+A3sg
diyebilirim	de+Verb+Pos^DB+Verb+Able+Aor+A1sg
getirmem	getir+Verb+Neg+Aor+A1sg
karıştırmam	karış+Verb^DB+Verb+Caus+Neg+Aor+A1sg
söyletmezsin	söyle+Verb^DB+Verb+Caus+Neg+Aor+A2sg
soymam	soy+Verb+Neg+Aor+A1sg
sürtmem	sürt+Verb+Neg+Aor+A1sg
gidersem	git+Verb+Pos+Aor+Cond+A1sg
