gitmeyecek	git+Verb+Neg+Fut+A3sg
söyleyeceğim	söyle+Verb+Pos+Fut+A1sg
yapacağım	yap+Verb+Pos+Fut+A1sg
alevlenecek	alev+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
olacaksınız	ol+Verb+Pos+Fut+A2pl
koyacak	koy+Verb+Pos+Fut+A3sg
çalışacağım	çalış+Verb+Pos+Fut+A1sg
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
koyacağız	koy+Verb+Pos+Fut+A1pl
soracağım	sor+Verb+Pos+Fut+A1sg
dayanamayacağım	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A1sg
kaçacağım	kaç+Verb+Pos+Fut+A1sg
kalkacaksınız	kalk+Verb+Pos+Fut+A2pl
çekileceğim	çek+Verb^DB+Verb+Pass+Pos+Fut+A1sg
dinleyecek	dinle+Verb+Pos+Fut+A3sg
dayanamayacak	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
kıvıracağım	kıvır+Verb+Pos+Fut+A1sg
kıvıracak	kıvır+Verb+Pos+Fut+A3sg
sarılabileceğim	sar+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A1sg
öğrenecek	öğren+Verb+Pos+Fut+A3sg
dokunacak	doku+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yaklaşacak	yaklaş+Verb+Pos+Fut+A3sg
unutulacak	unut+Verb^DB+Verb+Pass+Pos+Fut+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
kalacağım	kal+Verb+Pos+Fut+A1sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
geçireceğim	geç+Verb^DB+Verb+Caus+Pos+Fut+A1sg
onaracağım	onar+Verb+Pos+Fut+A1sg
döneceğiz	dön+Verb+Pos+Fut+A1pl
gidecek	git+Verb+Pos+Fut+A3sg
sayılabilecek	say+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
bulunacak	bulun+Verb+Pos+Fut+A3sg
bilmeyecek	bil+Verb+Neg+Fut+A3sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
güleceksiniz	gül+Verb+Pos+Fut+A2pl
tanıyacak	tanı+Verb+Pos+Fut+A3sg
göremeyecek	gör+Verb^DB+Verb+Able+Neg+Fut+A3sg
ayrılacağız	ayır+Verb^DB+Verb+Pass+Pos+Fut+A1pl
düşleyeceğim	düşle+Verb+Pos+Fut+A1sg
bulunmayacağım	bulun+Verb+Neg+Fut+A1sg
uyacaksınız	uy+Verb+Pos+Fut+A2pl
soracak	sor+Verb+Pos+Fut+A3sg
verebilecek	ver+Verb+Pos^DB+Verb+Able+Fut+A3sg
oturacak	otur+Verb+Pos+Fut+A3sg
yakacak	yak+Verb+Pos+Fut+A3sg
koparacağım	kop+Verb^DB+Verb+Caus+Pos+Fut+A1sg
akıtacağım	ak+Verb^DB+Verb+Caus+Pos+Fut+A1sg
satacak	sat+Verb+Pos+Fut+A3sg
bulacağız	bul+Verb+Pos+Fut+A1pl
götüremeyecek	götür+Verb^DB+Verb+Able+Neg+Fut+A3sg
gerekecek	gerek+Verb+Pos+Fut+A3sg
değecek	değ+Verb+Pos+Fut+A3sg
süreceksin	sür+Verb+Pos+Fut+A2sg
kurtarabilecek	kurtar+Verb+Pos^DB+Verb+Able+Fut+A3sg
vereceksin	ver+Verb+Pos+Fut+A2sg
anlatmayacak	anla+Verb^DB+Verb+Caus+Neg+Fut+A3sg
büyüyecek	büyü+Verb+Pos+Fut+A3sg
açacak	aç+Verb+Pos+Fut+A3sg
baltalanacaksın	baltala+Verb^DB+Verb+Pass+Pos+Fut+A2sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
pişirilecek	piş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
yıkanacak	yıka+Verb^DB+Verb+Pass+Pos+Fut+A3sg
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
yapacağız	yap+Verb+Pos+Fut+A1pl
satılabilecek	sat+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
toplayacak	topla+Verb+Pos+Fut+A3sg
öğreneceksiniz	öğren+Verb+Pos+Fut+A2pl
öğretecekler	öğret+Verb+Pos+Fut+A3pl
alacağım	al+Verb+Pos+Fut+A1sg
dolduracağım	dol+Verb^DB+Verb+Caus+Pos+Fut+A1sg
oturacağım	otur+Verb+Pos+Fut+A1sg
ezeceğim	ez+Verb+Pos+Fut+A1sg
akacak	ak+Verb+Pos+Fut+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
öğrenemeyecek	öğren+Verb^DB+Verb+Able+Neg+Fut+A3sg
kaplayacak	kapla+Verb+Pos+Fut+A3sg
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
ağlamayacağım	ağla+Verb+Neg+Fut+A1sg
görünmeyecek	görün+Verb+Neg+Fut+A3sg
bakacaklar	bak+Verb+Pos+Fut+A3pl
zannedecekler	zannet+Verb+Pos+Fut+A3pl
duracak	dur+Verb+Pos+Fut+A3sg
duracaksın	dur+Verb+Pos+Fut+A2sg
hissedeceğim	hisset+Verb+Pos+Fut+A1sg
yapacaklar	yap+Verb+Pos+Fut+A3pl
başlayacağız	başla+Verb+Pos+Fut+A1pl
verilebilecek	ver+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
vuracaksın	vur+Verb+Pos+Fut+A2sg
dövecekler	döv+Verb+Pos+Fut+A3pl
özetleyeceğim	özetle+Verb+Pos+Fut+A1sg
çıkarabilecek	çık+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
atamayacağız	at+Verb^DB+Verb+Able+Neg+Fut+A1pl
istemeyeceksin	iste+Verb+Neg+Fut+A2sg
tutacağım	tut+Verb+Pos+Fut+A1sg
içeceğim	iç+Verb+Pos+Fut+A1sg
besleyeceksin	besle+Verb+Pos+Fut+A2sg
anlatacak	anla+Verb^DB+Verb+Caus+Pos+Fut+A3sg
açıklayacak	açıkla+Verb+Pos+Fut+A3sg
yatacağım	yat+Verb+Pos+Fut+A1sg
mahvolacaksın	mahvol+Verb+Pos+Fut+A2sg
belirleyecek	belirle+Verb+Pos+Fut+A3sg
getireceksin	getir+Verb+Pos+Fut+A2sg
verilecek	ver+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yiyecekler	ye+Verb+Pos+Fut+A3pl
boylayacağım	boyla+Verb+Pos+Fut+A1sg
kalacaksınız	kal+Verb+Pos+Fut+A2pl
çıldıracak	çıldır+Verb+Pos+Fut+A3sg
yapılamayacak	yap+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
kaçıracak	kaç+Verb^DB+Verb+Caus+Pos+Fut+A3sg
olmayacaksanız	ol+Verb+Neg+Fut+Cond+A2pl
anlayacak	anla+Verb+Pos+Fut+A3sg
kesilecek	kes+Verb^DB+Verb+Pass+Pos+Fut+A3sg
çekecek	çek+Verb+Pos+Fut+A3sg
tembihleyeceğim	tembihle+Verb+Pos+Fut+A1sg
telaşlanmayacağım	telaş+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Fut+A1sg
söylemeyeceğim	söyle+Verb+Neg+Fut+A1sg
dinleyeceksiniz	dinle+Verb+Pos+Fut+A2pl
ödeyeceğim	öde+Verb+Pos+Fut+A1sg
vuracak	vur+Verb+Pos+Fut+A3sg
bırakacak	bırak+Verb+Pos+Fut+A3sg
anlaşılmayacak	anlaş+Verb^DB+Verb+Pass+Neg+Fut+A3sg
tutuşacaksınız	tutuş+Verb+Pos+Fut+A2pl
katlanacaksınız	katla+Verb^DB+Verb+Pass+Pos+Fut+A2pl
yükselecek	yüksel+Verb+Pos+Fut+A3sg
dönecek	dön+Verb+Pos+Fut+A3sg
güleceğiz	gül+Verb+Pos+Fut+A1pl
tüketecek	tüket+Verb+Pos+Fut+A3sg
edeceğiz	et+Verb+Pos+Fut+A1pl
kirletmeyecek	kirlet+Verb+Neg+Fut+A3sg
kovmayacağım	kov+Verb+Neg+Fut+A1sg
unutacağım	unut+Verb+Pos+Fut+A1sg
olabileceğim	ol+Verb+Pos^DB+Verb+Able+Fut+A1sg
kullanmayacaksa	kullan+Verb+Neg+Fut+Cond+A3sg
gelmeyecek	gel+Verb+Neg+Fut+A3sg
kullanacak	kullan+Verb+Pos+Fut+A3sg
binecekler	bin+Verb+Pos+Fut+A3pl
binmeyecek	bin+Verb+Neg+Fut+A3sg
öğrenecekler	öğren+Verb+Pos+Fut+A3pl
tutacağız	tut+Verb+Pos+Fut+A1pl
konuşmayacağım	konuş+Verb+Neg+Fut+A1sg
bilecekler	bil+Verb+Pos+Fut+A3pl
dönmeyeceğim	dön+Verb+Neg+Fut+A1sg
yaşayacaksınız	yaşa+Verb+Pos+Fut+A2pl
yapabileceğim	yap+Verb+Pos^DB+Verb+Able+Fut+A1sg
girmeyeceğim	gir+Verb+Neg+Fut+A1sg
bakacaksın	bak+Verb+Pos+Fut+A2sg
kakmayacaksın	kak+Verb+Neg+Fut+A2sg
kakacağım	kak+Verb+Pos+Fut+A1sg
vermeyecek	ver+Verb+Neg+Fut+A3sg
takacak	tak+Verb+Pos+Fut+A3sg
alacaksın	al+Verb+Pos+Fut+A2sg
yürüyeceğim	yürü+Verb+Pos+Fut+A1sg
bulabilecek	bul+Verb+Pos^DB+Verb+Able+Fut+A3sg
ağlayacak	ağla+Verb+Pos+Fut+A3sg
denilebilecek	de+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
öleceğim	öl+Verb+Pos+Fut+A1sg
yarayacak	yara+Verb+Pos+Fut+A3sg
istemeyeceğim	iste+Verb+Neg+Fut+A1sg
içmeyecek	iç+Verb+Neg+Fut+A3sg
anlatmayacağım	anlat+Verb+Neg+Fut+A1sg
ölecek	öl+Verb+Pos+Fut+A3sg
hastalanacak	hastalan+Verb+Pos+Fut+A3sg
edeceksiniz	et+Verb+Pos+Fut+A2pl
konuşacağım	konuş+Verb+Pos+Fut+A1sg
evleneceksiniz	evlen+Verb+Pos+Fut+A2pl
gücenebileceğim	gücen+Verb+Pos^DB+Verb+Able+Fut+A1sg
evleneceğim	evlen+Verb+Pos+Fut+A1sg
yazacak	yaz+Verb+Pos+Fut+A3sg
gerçekleşecek	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Fut+A3sg
yetecek	yet+Verb+Pos+Fut+A3sg
çözümleyeceğim	çözümle+Verb+Pos+Fut+A1sg
yetişmeyecek	yetiş+Verb+Neg+Fut+A3sg
koruyamayacak	koru+Verb^DB+Verb+Able+Neg+Fut+A3sg
çıkamayacak	çık+Verb^DB+Verb+Able+Neg+Fut+A3sg
bulunabilecek	bulun+Verb+Pos^DB+Verb+Able+Fut+A3sg
geçemeyeceğim	geç+Verb^DB+Verb+Able+Neg+Fut+A1sg
görülebilecek	gör+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
çıkacağım	çık+Verb+Pos+Fut+A1sg
giyineceğim	giy+Verb^DB+Verb+Reflex+Pos+Fut+A1sg
koyacağım	koy+Verb+Pos+Fut+A1sg
basacak	bas+Verb+Pos+Fut+A3sg
ayıracak	ayır+Verb+Pos+Fut+A3sg
koşacak	koş+Verb+Pos+Fut+A3sg
getirecek	getir+Verb+Pos+Fut+A3sg
taşıyabilecek	taşı+Verb+Pos^DB+Verb+Able+Fut+A3sg
düşünülemeyecek	düşün+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
nitelendirilebilecek	nitelen+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
denebilecek	de+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
düşürecek	düş+Verb^DB+Verb+Caus+Pos+Fut+A3sg
sevebileceğim	sev+Verb+Pos^DB+Verb+Able+Fut+A1sg
saklayacağım	sakla+Verb+Pos+Fut+A1sg
kanacak	kan+Verb+Pos+Fut+A3sg
sevileceksiniz	sev+Verb^DB+Verb+Pass+Pos+Fut+A2pl
olacağız	ol+Verb+Pos+Fut+A1pl
kaldıramayacak	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Fut+A3sg
gelmeyeceksin	gel+Verb+Neg+Fut+A2sg
aktaracağım	aktar+Verb+Pos+Fut+A1sg
harcanacak	harca+Verb^DB+Verb+Pass+Pos+Fut+A3sg
duramayacağım	dur+Verb^DB+Verb+Able+Neg+Fut+A1sg
yapamayacağım	yap+Verb^DB+Verb+Able+Neg+Fut+A1sg
konuşabilecek	konuş+Verb+Pos^DB+Verb+Able+Fut+A3sg
oturmayacağım	otur+Verb+Neg+Fut+A1sg
göremeyeceksiniz	gör+Verb^DB+Verb+Able+Neg+Fut+A2pl
istenecek	iste+Verb^DB+Verb+Pass+Pos+Fut+A3sg
içecekler	iç+Verb+Pos+Fut+A3pl
katlanacak	katla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
göndereceğim	gönder+Verb+Pos+Fut+A1sg
vazgeçecek	vazgeç+Verb+Pos+Fut+A3sg
göreceğim	gör+Verb+Pos+Fut+A1sg
sürükleyecek	sürükle+Verb+Pos+Fut+A3sg
olmayacağım	ol+Verb+Neg+Fut+A1sg
bulunamayacaksınız	bul+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A2pl
çarpacak	çarp+Verb+Pos+Fut+A3sg
yapılmayacaksa	yap+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
bağlanmayacaksa	bağla+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
onarılmayacaksa	onar+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
takılmayacaksa	tak+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
görünecek	görün+Verb+Pos+Fut+A3sg
kullanılabilecek	kullan+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
açılacak	aç+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kaydedilecek	kaydet+Verb^DB+Verb+Pass+Pos+Fut+A3sg
denetlenecek	denetle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yapacaksanız	yap+Verb+Pos+Fut+Cond+A2pl
görüntüleyecek	görüntüle+Verb+Pos+Fut+A3sg
sağlayacak	sağla+Verb+Pos+Fut+A3sg
görüntülenebilecek	görüntüle+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
yazdırılabilecek	yaz+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
yönetilebilecek	yönet+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
kaldırılacak	kal+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
silecek	sil+Verb+Pos+Fut+A3sg
denenecek	dene+Verb^DB+Verb+Pass+Pos+Fut+A3sg
paylaşabilecek	paylaş+Verb+Pos^DB+Verb+Able+Fut+A3sg
paylaşacaksanız	paylaş+Verb+Pos+Fut+Cond+A2pl
açacaksa	aç+Verb+Pos+Fut+Cond+A3sg
uyarılacak	uyar+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kullanılacak	kullan+Verb^DB+Verb+Pass+Pos+Fut+A3sg
okunacak	oku+Verb^DB+Verb+Pass+Pos+Fut+A3sg
çalıştırılabilecek	çalış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
gideremeyeceksiniz	gider+Verb^DB+Verb+Able+Neg+Fut+A2pl
giderebileceksiniz	gider+Verb+Pos^DB+Verb+Able+Fut+A2pl
gönderebileceksiniz	gönder+Verb+Pos^DB+Verb+Able+Fut+A2pl
ayarlanacak	ayarla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
uyacak	uy+Verb+Pos+Fut+A3sg
kullanılacaksa	kullan+Verb^DB+Verb+Pass+Pos+Fut+Cond+A3sg
sığacak	sığ+Verb+Pos+Fut+A3sg
eklenecek	ekle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
görüntüleyebilecek	görüntüle+Verb+Pos^DB+Verb+Able+Fut+A3sg
kuracak	kur+Verb+Pos+Fut+A3sg
yükseltilecek	yüksel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
erişebileceksiniz	eriş+Verb+Pos^DB+Verb+Able+Fut+A2pl
erişilebilecek	eriş+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
kullanmayacaksanız	kullan+Verb+Neg+Fut+Cond+A2pl
seçeceğim	seç+Verb+Pos+Fut+A1sg
yansıtacak	yansı+Verb^DB+Verb+Caus+Pos+Fut+A3sg
oluşabilecek	oluş+Verb+Pos^DB+Verb+Able+Fut+A3sg
kullanmayacak	kullan+Verb+Neg+Fut+A3sg
kesecek	kes+Verb+Pos+Fut+A3sg
silinecek	sil+Verb^DB+Verb+Pass+Pos+Fut+A3sg
atanacak	ata+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yürütülecek	yürü+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
değiştirecek	değiş+Verb^DB+Verb+Caus+Pos+Fut+A3sg
erişebilecek	eriş+Verb+Pos^DB+Verb+Able+Fut+A3sg
kullanacaksınız	kullan+Verb+Pos+Fut+A2pl
aşacak	aş+Verb+Pos+Fut+A3sg
kullanılmayacaksa	kullan+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
faturalanabilecek	faturala+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
engelleyebilecek	engelle+Verb+Pos^DB+Verb+Able+Fut+A3sg
düzeltebilecek	düzel+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
artırabilecek	art+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
geliştirebilecek	geliş+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
yükleyecek	yükle+Verb+Pos+Fut+A3sg
soğuyacak	soğu+Verb+Pos+Fut+A3sg
okuyacaksınız	oku+Verb+Pos+Fut+A2pl
kopmayacağım	kop+Verb+Neg+Fut+A1sg
kalacaksın	kal+Verb+Pos+Fut+A2sg
kovulacaksın	kov+Verb^DB+Verb+Pass+Pos+Fut+A2sg
çalışacaksın	çalış+Verb+Pos+Fut+A2sg
patlayacak	patla+Verb+Pos+Fut+A3sg
esecek	es+Verb+Pos+Fut+A3sg
karışacak	karış+Verb+Pos+Fut+A3sg
hükmedilecek	hükmet+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yakalayacak	yakala+Verb+Pos+Fut+A3sg
geçirilecek	geç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
kaçıracağız	kaç+Verb^DB+Verb+Caus+Pos+Fut+A1pl
çıkılacak	çık+Verb^DB+Verb+Pass+Pos+Fut+A3sg
ağırlanacak	ağırla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
aşacağız	aş+Verb+Pos+Fut+A1pl
açıklayacağım	açıkla+Verb+Pos+Fut+A1sg
paylayacağız	payla+Verb+Pos+Fut+A1pl
kurtaracaklar	kurtar+Verb+Pos+Fut+A3pl
isteyeceksiniz	iste+Verb+Pos+Fut+A2pl
çıkarılacaklar	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3pl
çevrilecek	çevir+Verb^DB+Verb+Pass+Pos+Fut+A3sg
açacağız	aç+Verb+Pos+Fut+A1pl
görülmeyecek	gör+Verb^DB+Verb+Pass+Neg+Fut+A3sg
yazılacak	yaz+Verb^DB+Verb+Pass+Pos+Fut+A3sg
başlanacak	başla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yiyeceğim	ye+Verb+Pos+Fut+A1sg
döneceğim	dön+Verb+Pos+Fut+A1sg
önereceğim	öner+Verb+Pos+Fut+A1sg
çözebilecek	çöz+Verb+Pos^DB+Verb+Able+Fut+A3sg
olunacak	ol+Verb^DB+Verb+Pass+Pos+Fut+A3sg
alacaksanız	al+Verb+Pos+Fut+Cond+A2pl
kalınacak	kal+Verb^DB+Verb+Pass+Pos+Fut+A3sg
gideceğiz	git+Verb+Pos+Fut+A1pl
farkedeceksiniz	farket+Verb+Pos+Fut+A2pl
kaybetmeyecek	kaybet+Verb+Neg+Fut+A3sg
kaçırılmayacak	kaç+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Fut+A3sg
karşılaşılacak	karşılaş+Verb^DB+Verb+Pass+Pos+Fut+A3sg
getireceğiz	getir+Verb+Pos+Fut+A1pl
ulaştıracağız	ulaş+Verb^DB+Verb+Caus+Pos+Fut+A1pl
faydalanacak	fayda+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
okuyabilecek	oku+Verb+Pos^DB+Verb+Able+Fut+A3sg
konuşulacak	konuş+Verb^DB+Verb+Pass+Pos+Fut+A3sg
alınacak	al+Verb^DB+Verb+Pass+Pos+Fut+A3sg
korunacak	koru+Verb^DB+Verb+Pass+Pos+Fut+A3sg
geçeceğiz	geç+Verb+Pos+Fut+A1pl
olacaklar	ol+Verb+Pos+Fut+A3pl
kullanacaklar	kullan+Verb+Pos+Fut+A3pl
kazanacak	kazan+Verb+Pos+Fut+A3sg
kavuşacak	kavuş+Verb+Pos+Fut+A3sg
geleceğiz	gel+Verb+Pos+Fut+A1pl
kalabileceğim	kal+Verb+Pos^DB+Verb+Able+Fut+A1sg
satılacak	sat+Verb^DB+Verb+Pass+Pos+Fut+A3sg
ulaşacak	ulaş+Verb+Pos+Fut+A3sg
alabilecekler	al+Verb+Pos^DB+Verb+Able+Fut+A3pl
geçecekler	geç+Verb+Pos+Fut+A3pl
ulaşacaklar	ulaş+Verb+Pos+Fut+A3pl
duracağım	dur+Verb+Pos+Fut+A1sg
varabileceğim	var+Verb+Pos^DB+Verb+Able+Fut+A1sg
okumayacağım	oku+Verb+Neg+Fut+A1sg
kalabilecekler	kal+Verb+Pos^DB+Verb+Able+Fut+A3pl
edinecek	edin+Verb+Pos+Fut+A3sg
silinmeyecek	sil+Verb^DB+Verb+Pass+Neg+Fut+A3sg
götürecek	götür+Verb+Pos+Fut+A3sg
tanışacaksınız	tanış+Verb+Pos+Fut+A2pl
çizecek	çiz+Verb+Pos+Fut+A3sg
güldüreceğiz	gül+Verb^DB+Verb+Caus+Pos+Fut+A1pl
yapabilecekler	yap+Verb+Pos^DB+Verb+Able+Fut+A3pl
erteleyebilecekler	ertele+Verb+Pos^DB+Verb+Able+Fut+A3pl
kurtulacaklar	kurtul+Verb+Pos+Fut+A3pl
getireceğim	getir+Verb+Pos+Fut+A1sg
uyaracağım	uyar+Verb+Pos+Fut+A1sg
hissedeceğiz	hisset+Verb+Pos+Fut+A1pl
dolduracaksın	dol+Verb^DB+Verb+Caus+Pos+Fut+A2sg
yararlanamayacağım	yarar+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Able+Neg+Fut+A1sg
yapacaksın	yap+Verb+Pos+Fut+A2sg
sürdüreceğiz	sür+Verb^DB+Verb+Caus+Pos+Fut+A1pl
kazanacağım	kazan+Verb+Pos+Fut+A1sg
bitecek	bit+Verb+Pos+Fut+A3sg
belirleyeceğiz	belirle+Verb+Pos+Fut+A1pl
sevinecek	sevin+Verb+Pos+Fut+A3sg
pazarlayacak	pazarla+Verb+Pos+Fut+A3sg
anılacak	an+Verb^DB+Verb+Pass+Pos+Fut+A3sg
anlatacaklar	anlat+Verb+Pos+Fut+A3pl
yapacaksınız	yap+Verb+Pos+Fut+A2pl
dedirtecek	de+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos+Fut+A3sg
söylenecek	söyle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
ölçüşecek	ölç+Verb^DB+Verb+Recip+Pos+Fut+A3sg
kıyaslanacak	kıyasla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
gideceksin	git+Verb+Pos+Fut+A2sg
alacağız	al+Verb+Pos+Fut+A1pl
başlayacaksa	başla+Verb+Pos+Fut+Cond+A3sg
