değildir	değil+Verb+Neg+Pres+A3sg+Cop
kullanmadıklarıdır	kullan+Verb+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belasıdır	bela+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
vermiştir	ver+Verb+Pos+Narr+A3sg+Cop
çeşididir	çeşit+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gerçektirler	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
biridir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
demektir	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
üstündür	üst+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A3sg+Cop
içindedir	iç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
gereklidir	gerek+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
olacaktır	ol+Verb+Pos+Fut+A3sg+Cop
midir	mi+Ques+Pres+A3sg+Cop
doğrudur	doğru+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gelmiştir	gel+Verb+Pos+Narr+A3sg+Cop
babamdır	baba+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güzeldir	güzel+Adj^DB+Verb+Zero+Pres+A3sg+Cop
zamandır	zaman+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geleceklerdir	gel+Verb+Pos+Fut+A3pl+Cop
olanıdır	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
annedir	anne+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmişsinizdir	et+Verb+Pos+Narr+A2pl+Cop
bilemeyecektir	bil+Verb^DB+Verb+Able+Neg+Fut+A3sg+Cop
temizdir	temiz+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sonucudur	sonuç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aşktır	aşk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
edeceklerdir	et+Verb+Pos+Fut+A3pl+Cop
onurludur	onur+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
yapmışlardır	yap+Verb+Pos+Narr+A3pl+Cop
gündür	gün+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kazımışımdır	kazı+Verb+Pos+Narr+A1sg+Cop
anlamışsınızdır	anla+Verb+Pos+Narr+A2pl+Cop
şaşkınsınızdır	şaşkın+Adj^DB+Verb+Zero+Pres+A2pl+Cop
biriyimdir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1sg+Cop
yoktur	yok+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sevmemiştir	sev+Verb+Neg+Narr+A3sg+Cop
sevinmişsinizdir	sevin+Verb+Pos+Narr+A2pl+Cop
mudur	mu+Ques+Pres+A3sg+Cop
çıkacaktır	çık+Verb+Pos+Fut+A3sg+Cop
adamdır	adam+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
insanlardır	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
çocuktur	çocuk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
delikanlıdır	delikanlı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gibidirler	gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3pl+Cop
doğacaktır	doğ+Verb+Pos+Fut+A3sg+Cop
tenekesidir	teneke+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sobadır	soba+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yıllıktır	yıllık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yerdir	yer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
papazıdır	papaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sormuşumdur	sor+Verb+Pos+Narr+A1sg+Cop
düşünmüşümdür	düşün+Verb+Pos+Narr+A1sg+Cop
serttir	sert+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kurulmuştur	kur+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
örtülüdür	örtü+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
örülüdür	örü+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
salmıştır	sal+Verb+Pos+Narr+A3sg+Cop
olmuştur	ol+Verb+Pos+Narr+A3sg+Cop
yakalanışımdır	yakala+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
manastır	manas+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çıkmıştır	çık+Verb+Pos+Narr+A3sg+Cop
edilmiştir	et+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
almışlardır	al+Verb+Pos+Narr+A3pl+Cop
karışımıdır	karışım+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yasaktır	yasak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sarılmaktır	sar+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmelidir	et+Verb+Pos+Neces+A3sg+Cop
doldurmuştur	dol+Verb^DB+Verb+Caus+Pos+Narr+A3sg+Cop
aktarmıştır	aktar+Verb+Pos+Narr+A3sg+Cop
yapıtlardır	yapıt+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
üslubudur	üslup+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilmiştir	bil+Verb+Pos+Narr+A3sg+Cop
göstermiştir	göster+Verb+Pos+Narr+A3sg+Cop
çıkarmıştır	çık+Verb^DB+Verb+Caus+Pos+Narr+A3sg+Cop
çoğunluktadır	çoğunluk+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
tanımlamasıdır	tanımla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
koymuştur	koy+Verb+Pos+Narr+A3sg+Cop
tutumudur	tutum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korumuştur	koru+Verb+Pos+Narr+A3sg+Cop
artmıştır	art+Verb+Pos+Narr+A3sg+Cop
aşmaktadır	aş+Verb+Pos+Prog2+A3sg+Cop
verilmiştir	ver+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
anlatmaktadır	anlat+Verb+Pos+Prog2+A3sg+Cop
realizmdir	realizm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sevinmiştir	sevin+Verb+Pos+Narr+A3sg+Cop
yıllardır	yıl+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
iyileridir	iyi+Adj^DB+Noun+Zero+A3sg+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
mahkumudurlar	mahkum+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3pl
tüccardır	tüccar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sahnelenmiştir	sahnele+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
çalışmaktadır	çalış+Verb+Pos+Prog2+A3sg+Cop
karısıdır	karı+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dakikadır	dakika+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olmamıştır	ol+Verb+Neg+Narr+A3sg+Cop
söylemişimdir	söyle+Verb+Pos+Narr+A1sg+Cop
dirençliyimdir	direnç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg+Cop
değilimdir	değil+Verb+Neg+Pres+A1sg+Cop
içindir	için+Postp+PCNom^DB+Verb+Zero+Pres+A3sg+Cop
kullanıyorsunuzdur	kullan+Verb+Pos+Prog1+A2pl+Cop
akıllıdır	akıl+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
görecelidir	göreceli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gibidir	gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3sg+Cop
kollarındadır	kol+Noun+A3pl+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
idmanlıdır	idman+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
alışıktır	alışık+Adj^DB+Verb+Zero+Pres+A3sg+Cop
formülüdür	formül+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
adildir	adil+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kızdır	kız+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
isteyecektir	iste+Verb+Pos+Fut+A3sg+Cop
usuldendir	usul+Noun+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3sg+Cop
kafestedir	kafes+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
elinizdedir	el+Noun+A3sg+P2pl+Loc^DB+Verb+Zero+Pres+A3sg+Cop
iştir	iş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bulacaktır	bul+Verb+Pos+Fut+A3sg+Cop
böyledir	böyle+Adj^DB+Verb+Zero+Pres+A3sg+Cop
deliliktir	deli+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
arasıdır	ara+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
göstermişsinizdir	göster+Verb+Pos+Narr+A2pl+Cop
konuşmamışımdır	konuş+Verb+Neg+Narr+A1sg+Cop
gitmiştir	git+Verb+Pos+Narr+A3sg+Cop
senedir	sene+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanmışsınızdır	kullan+Verb+Pos+Narr+A2pl+Cop
tekiyimdir	tek+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1sg+Cop
anlamışsındır	anla+Verb+Pos+Narr+A2sg+Cop
almıştır	al+Verb+Pos+Narr+A3sg+Cop
göredir	göre+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
adadır	ada+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şaheserdir	şaheser+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ülkedir	ülke+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalmıştır	kal+Verb+Pos+Narr+A3sg+Cop
yüzyıldır	yüzyıl+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dengidir	denk+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hainimdir	hain+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
koruyucusudurlar	koru+Verb+Pos^DB+Adj+Agt^DB+Adj+JustLike^DB+Verb+Zero+Pres+A3pl+Cop
ediyorsunuzdur	et+Verb+Pos+Prog1+A2pl+Cop
tuhaftır	tuhaf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayılıdır	sayı+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
ölümdür	ölüm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
görülmüştür	gör+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
yaratılışlıdır	yara+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
durumdur	durum+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çoktur	çok+Adj^DB+Verb+Zero+Pres+A3sg+Cop
getirmiştir	getir+Verb+Pos+Narr+A3sg+Cop
sonradır	sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
görecektir	gör+Verb+Pos+Fut+A3sg+Cop
işindedir	iş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
inatçıdır	inatçı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
olmamalıdır	ol+Verb+Neg+Neces+A3sg+Cop
andır	an+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kolaydır	kolay+Adj^DB+Verb+Zero+Pres+A3sg+Cop
imkansızdır	imkan+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
durumdadırlar	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl+Cop
geçmemiştir	geç+Verb+Neg+Narr+A3sg+Cop
birdir	bir+Adj^DB+Verb+Zero+Pres+A3sg+Cop
söylemelidir	söyle+Verb+Pos+Neces+A3sg+Cop
almamıştır	al+Verb+Neg+Narr+A3sg+Cop
karşılayacaktır	karşıla+Verb+Pos+Fut+A3sg+Cop
öyledir	öyle+Adj^DB+Verb+Zero+Pres+A3sg+Cop
farkındadır	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
kurmuştur	kur+Verb+Pos+Narr+A3sg+Cop
romandır	roman+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
başlanmıştır	başla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
yazmıştır	yaz+Verb+Pos+Narr+A3sg+Cop
yakındır	yakın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tutulmuştur	tut+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
tamamlamıştır	tamamla+Verb+Pos+Narr+A3sg+Cop
sürmüştür	sür+Verb+Pos+Narr+A3sg+Cop
yadsımıştır	yadsı+Verb+Pos+Narr+A3sg+Cop
bozmuştur	boz+Verb+Pos+Narr+A3sg+Cop
enerjidir	enerji+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etkilemiştir	etkile+Verb+Pos+Narr+A3sg+Cop
hikayesidir	hikaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yazardır	yazar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
portakaldır	portakal+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ödenecektir	öde+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
düşülecektir	düş+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
harcanacaktır	harca+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
seçeceklerdir	seç+Verb+Pos+Fut+A3pl+Cop
bulunacaktır	bulun+Verb+Pos+Fut+A3sg+Cop
konmayacaktır	kon+Verb+Neg+Fut+A3sg+Cop
mümkündür	mümkün+Adj^DB+Verb+Zero+Pres+A3sg+Cop
uygundur	uygun+Adj^DB+Verb+Zero+Pres+A3sg+Cop
tehlikelidirler	tehlike+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3pl+Cop
oyundur	oyun+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şiiridirler	þiir+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3pl
edilecektir	et+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
çalıştığıdır	çalış+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yerleştirilmiştir	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
altındadır	alt+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
çevrilidir	çevrili+Adj^DB+Verb+Zero+Pres+A3sg+Cop
içermektedir	içer+Verb+Pos+Prog2+A3sg+Cop
bulunmaktadır	bulun+Verb+Pos+Prog2+A3sg+Cop
bağlıdır	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
vermemesidir	ver+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
izinlerdir	izin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
işlemidir	işlem+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayrıdır	ayrı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
durumdadır	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
görüntülenmiştir	görüntüle+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
alanlarıdır	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
eklenmiştir	ekle+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
göstermektedir	göster+Verb+Pos+Prog2+A3sg+Cop
sınırlamıştır	sınırla+Verb+Pos+Narr+A3sg+Cop
açıklanmaktadır	açıkla+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
ayarlardır	ayar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
çalıştırmasıdır	çalış+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nelerdir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
birimdir	birim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıklanmıştır	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
anlatacaktır	anla+Verb^DB+Verb+Caus+Pos+Fut+A3sg+Cop
listelenmiştir	listele+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
kullanıcılarıdır	kullan+Verb+Pos^DB+Noun+Agt+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belirlemelidir	belirle+Verb+Pos+Neces+A3sg+Cop
topluluğudur	topluluk+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kapsamlıdır	kapsam+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
küçüktür	küçük+Adj^DB+Verb+Zero+Pres+A3sg+Cop
önceliklidir	önce+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
içermelidir	içer+Verb+Pos+Neces+A3sg+Cop
olmalıdır	ol+Verb+Pos+Neces+A3sg+Cop
metindir	metin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dizesidir	dize+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kapsayıcıdır	kapsa+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayıklamadır	ayıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
almaktadır	al+Verb+Pos+Prog2+A3sg+Cop
grubudur	grup+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçerlidir	geçerli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
listesidir	liste+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanılamıyordur	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg+Cop
değiştirmelidir	değiş+Verb^DB+Verb+Caus+Pos+Neces+A3sg+Cop
bilgileridir	bilgi+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sertifikalardır	sertifika+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
sorumludurlar	sorum+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3pl+Cop
sınırlıdır	sınır+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
eşittir	eşit+Adj^DB+Verb+Zero+Pres+A3sg+Cop
atmaktır	at+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
atılacaktır	at+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
ayarlanmıştır	ayarla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
tasarlanmıştır	tasarla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
basittir	basit+Adj^DB+Verb+Zero+Pres+A3sg+Cop
yeterlidir	yeterli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kullanılmalıdır	kullan+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
üyesidir	üye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kuraldır	kural+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
fikirdir	fikir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kilitlidir	kilit+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
tamamlayıcıdır	tamamla+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özgüdür	özgü+Adj^DB+Verb+Zero+Pres+A3sg+Cop
eşdeğerdir	eşdeğer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
uygulamadır	uygula+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
almalıdır	al+Verb+Pos+Neces+A3sg+Cop
varlıktır	varlık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
devralacaktır	devral+Verb+Pos+Fut+A3sg+Cop
etmektir	et+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayısıdır	sayı+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gösterilmiştir	göster+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
özelliktedir	özellik+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
dahildir	dahil+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
içermeyecektir	içer+Verb+Neg+Fut+A3sg+Cop
geçicidir	geç+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedenidir	neden+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hizalıdır	hiza+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
sayılardır	sayı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
özellikleridir	özellik+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
üzerindedir	üzer+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
bırakılmıştır	bırak+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
mavidir	mavi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
