bulunuyor	bulun+Verb+Pos+Prog1+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
diyorsunuz	de+Verb+Pos+Prog1+A2pl
bahsediyorum	bahset+Verb+Pos+Prog1+A1sg
hatırlıyorum	hatırla+Verb+Pos+Prog1+A1sg
konuşuyor	konuş+Verb+Pos+Prog1+A3sg
ayıramıyor	ayır+Verb^DB+Verb+Able+Neg+Prog1+A3sg
mahvediyorsunuz	mahvet+Verb+Pos+Prog1+A2pl
yaşıyoruz	yaşa+Verb+Pos+Prog1+A1pl
görmüyor	gör+Verb+Neg+Prog1+A3sg
kastetmiyorum	kastet+Verb+Neg+Prog1+A1sg
söylüyorum	söyle+Verb+Pos+Prog1+A1sg
gezdiriyorsunuz	gez+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
büyülüyorsunuz	büyüle+Verb+Pos+Prog1+A2pl
koşuyor	koş+Verb+Pos+Prog1+A3sg
ediyorsunuz	et+Verb+Pos+Prog1+A2pl
anlamıyor	anla+Verb+Neg+Prog1+A3sg
hatırlıyor	hatırla+Verb+Pos+Prog1+A3sg
istemiyorum	iste+Verb+Neg+Prog1+A1sg
istiyorsunuz	iste+Verb+Pos+Prog1+A2pl
hissediyor	hisset+Verb+Pos+Prog1+A3sg
bırakıyorsun	bırak+Verb+Pos+Prog1+A2sg
biliyor	bile+Verb+Pos+Prog1+A3sg
veriyorum	ver+Verb+Pos+Prog1+A1sg
başlıyorum	başla+Verb+Pos+Prog1+A1sg
kalkışıyorsunuz	kalkış+Verb+Pos+Prog1+A2pl
gerekiyor	gerek+Verb+Pos+Prog1+A3sg
bakıyorsunuz	bak+Verb+Pos+Prog1+A2pl
bulamıyorum	bul+Verb^DB+Verb+Able+Neg+Prog1+A1sg
konuşuyorsunuz	konuş+Verb+Pos+Prog1+A2pl
soruyorsunuz	sor+Verb+Pos+Prog1+A2pl
duruyorsunuz	dur+Verb+Pos+Prog1+A2pl
bulunuyorsunuz	bul+Verb^DB+Verb+Pass+Pos+Prog1+A2pl
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
sanıyorsunuz	san+Verb+Pos+Prog1+A2pl
çekiyorsunuz	çek+Verb+Pos+Prog1+A2pl
konuşuyorum	konuş+Verb+Pos+Prog1+A1sg
seviyor	sev+Verb+Pos+Prog1+A3sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
kazıyorsunuz	kaz+Verb+Pos+Prog1+A2pl
açıklıyorsunuz	açıkla+Verb+Pos+Prog1+A2pl
durmuyorum	dur+Verb+Neg+Prog1+A1sg
okuyor	oku+Verb+Pos+Prog1+A3sg
buluyorsunuz	bula+Verb+Pos+Prog1+A2pl
şaşıyorsunuz	şaş+Verb+Pos+Prog1+A2pl
girişiyorum	giriş+Verb+Pos+Prog1+A1sg
dinliyor	dinle+Verb+Pos+Prog1+A3sg
şakıyorsunuz	şakı+Verb+Pos+Prog1+A2pl
yaşıyorum	yaşa+Verb+Pos+Prog1+A1sg
görüyorsunuz	gör+Verb+Pos+Prog1+A2pl
ayırıyor	ayır+Verb+Pos+Prog1+A3sg
eğiyorum	eğ+Verb+Pos+Prog1+A1sg
gerekiyorsa	gerek+Verb+Pos+Prog1+Cond+A3sg
bağışlıyorum	bağışla+Verb+Pos+Prog1+A1sg
karşılaşıyorsunuz	karşılaş+Verb+Pos+Prog1+A2pl
seyrediyorsunuz	seyret+Verb+Pos+Prog1+A2pl
duyuluyor	duy+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
gidiyorsunuz	git+Verb+Pos+Prog1+A2pl
başlıyor	başla+Verb+Pos+Prog1+A3sg
duyuyorsunuz	duy+Verb+Pos+Prog1+A2pl
anlıyorsunuz	anla+Verb+Pos+Prog1+A2pl
ölüyor	öl+Verb+Pos+Prog1+A3sg
alıyorsunuz	al+Verb+Pos+Prog1+A2pl
giriyorsunuz	gir+Verb+Pos+Prog1+A2pl
ulaşıyor	ulaş+Verb+Pos+Prog1+A3sg
alıyorum	al+Verb+Pos+Prog1+A1sg
düşünüyor	düşün+Verb+Pos+Prog1+A3sg
görünüyor	görün+Verb+Pos+Prog1+A3sg
korkuyorum	kork+Verb+Pos+Prog1+A1sg
bulanıyor	bulan+Verb+Pos+Prog1+A3sg
çalışıyor	çalış+Verb+Pos+Prog1+A3sg
içiyor	iç+Verb+Pos+Prog1+A3sg
vermiyorlar	ver+Verb+Neg+Prog1+A3pl
soruyorum	sor+Verb+Pos+Prog1+A1sg
kokuyor	kok+Verb+Pos+Prog1+A3sg
duyuyor	duy+Verb+Pos+Prog1+A3sg
katıyor	kat+Verb+Pos+Prog1+A3sg
alıyor	al+Verb+Pos+Prog1+A3sg
yığıyor	yığ+Verb+Pos+Prog1+A3sg
dokundurtmuyor	dokun+Verb^DB+Verb+Caus^DB+Verb+Caus+Neg+Prog1+A3sg
diyor	de+Verb+Pos+Prog1+A3sg
diyorum	de+Verb+Pos+Prog1+A1sg
uzanıyor	uza+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
benziyor	benze+Verb+Pos+Prog1+A3sg
sokuluyor	sok+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
sağlıyor	sağla+Verb+Pos+Prog1+A3sg
dürtüyor	dürt+Verb+Pos+Prog1+A3sg
faydalanıyor	fayda+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+A3sg
kalkıyor	kalk+Verb+Pos+Prog1+A3sg
paylaşıyorlarsa	paylaş+Verb+Pos+Prog1+A3pl+Cond
seviyorsa	sev+Verb+Pos+Prog1+Cond+A3sg
veriyorsa	ver+Verb+Pos+Prog1+Cond+A3sg
esirgiyor	esirge+Verb+Pos+Prog1+A3sg
sataşmıyor	sataş+Verb+Neg+Prog1+A3sg
korkuyor	kork+Verb+Pos+Prog1+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
öğreniyor	öğren+Verb+Pos+Prog1+A3sg
taşınıyor	taşı+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
taşıyor	taş+Verb+Pos+Prog1+A3sg
diyorsam	de+Verb+Pos+Prog1+Cond+A1sg
duyuyorum	duy+Verb+Pos+Prog1+A1sg
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
üzülüyor	üz+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
alçalıyor	alçal+Verb+Pos+Prog1+A3sg
süzüyor	süz+Verb+Pos+Prog1+A3sg
tanıyor	tanı+Verb+Pos+Prog1+A3sg
tanıyorum	tanı+Verb+Pos+Prog1+A1sg
titriyorsunuz	titre+Verb+Pos+Prog1+A2pl
söylüyorsunuz	söyle+Verb+Pos+Prog1+A2pl
titriyor	titre+Verb+Pos+Prog1+A3sg
istiyorsanız	iste+Verb+Pos+Prog1+Cond+A2pl
geçiyor	geç+Verb+Pos+Prog1+A3sg
tutuyorum	tut+Verb+Pos+Prog1+A1sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
gülüyorsunuz	gül+Verb+Pos+Prog1+A2pl
çalışıyorum	çalış+Verb+Pos+Prog1+A1sg
gülüyorum	gül+Verb+Pos+Prog1+A1sg
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
bilemiyorum	bil+Verb^DB+Verb+Able+Neg+Prog1+A1sg
kabarıyor	kabar+Verb+Pos+Prog1+A3sg
bağlıyorsunuz	bağla+Verb+Pos+Prog1+A2pl
yüzleşiyorum	yüz+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Prog1+A1sg
ağlıyor	ağla+Verb+Pos+Prog1+A3sg
anlıyorum	anla+Verb+Pos+Prog1+A1sg
şaşıyorum	şaş+Verb+Pos+Prog1+A1sg
çağırıyorum	çağır+Verb+Pos+Prog1+A1sg
diyorlar	de+Verb+Pos+Prog1+A3pl
duruyorlar	dur+Verb+Pos+Prog1+A3pl
geliyorlar	gel+Verb+Pos+Prog1+A3pl
atıyor	ata+Verb+Pos+Prog1+A3sg
kaldırıyor	kal+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
dinlemiyor	dinle+Verb+Neg+Prog1+A3sg
gülümsüyor	gülümse+Verb+Pos+Prog1+A3sg
duruyor	dur+Verb+Pos+Prog1+A3sg
saklanıyorsun	sakla+Verb^DB+Verb+Pass+Pos+Prog1+A2sg
istiyor	iste+Verb+Pos+Prog1+A3sg
yatıyor	yat+Verb+Pos+Prog1+A3sg
seyrediyor	seyret+Verb+Pos+Prog1+A3sg
oluyor	ol+Verb+Pos+Prog1+A3sg
kutsallaşıyor	kutsal+Adj^DB+Verb+Become+Pos+Prog1+A3sg
oluyorum	ol+Verb+Pos+Prog1+A1sg
yiyor	ye+Verb+Pos+Prog1+A3sg
soruyor	sor+Verb+Pos+Prog1+A3sg
inceliyor	incele+Verb+Pos+Prog1+A3sg
dolaşıyor	dolaş+Verb+Pos+Prog1+A3sg
uğramıyor	uğra+Verb+Neg+Prog1+A3sg
seziyor	sez+Verb+Pos+Prog1+A3sg
bakıyoruz	bak+Verb+Pos+Prog1+A1pl
bilmiyorsun	bil+Verb+Neg+Prog1+A2sg
şişiyor	şiş+Verb+Pos+Prog1+A3sg
çıkıyorsunuz	çık+Verb+Pos+Prog1+A2pl
terkediyor	terket+Verb+Pos+Prog1+A3sg
ediyorlar	et+Verb+Pos+Prog1+A3pl
giriyor	gir+Verb+Pos+Prog1+A3sg
soluyorlar	sol+Verb+Pos+Prog1+A3pl
yakışmıyor	yakış+Verb+Neg+Prog1+A3sg
bekliyorsanız	bekle+Verb+Pos+Prog1+Cond+A2pl
kullanıyor	kullan+Verb+Pos+Prog1+A3sg
almıyorsun	al+Verb+Neg+Prog1+A2sg
alıyorsun	al+Verb+Pos+Prog1+A2sg
anlamıyorsun	anla+Verb+Neg+Prog1+A2sg
saçmalıyorsun	saçmala+Verb+Pos+Prog1+A2sg
çeviriyor	çevir+Verb+Pos+Prog1+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
biliyorsunuz	bile+Verb+Pos+Prog1+A2pl
yarıyor	yara+Verb+Pos+Prog1+A3sg
oturuyorlar	otur+Verb+Pos+Prog1+A3pl
çeviriyorlar	çevir+Verb+Pos+Prog1+A3pl
istiyorlar	iste+Verb+Pos+Prog1+A3pl
korkutuyor	kork+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yazıyor	yaz+Verb+Pos+Prog1+A3sg
anlatmıyor	anla+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
uyuyor	uy+Verb+Pos+Prog1+A3sg
çıkıyor	çık+Verb+Pos+Prog1+A3sg
huylanıyor	huylan+Verb+Pos+Prog1+A3sg
huysuzlaşıyor	huysuz+Adj^DB+Verb+Become+Pos+Prog1+A3sg
çıkıyoruz	çık+Verb+Pos+Prog1+A1pl
büyütüyor	büyü+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yaşıyor	yaşa+Verb+Pos+Prog1+A3sg
bulamıyoruz	bul+Verb^DB+Verb+Able+Neg+Prog1+A1pl
çevreliyor	çevrele+Verb+Pos+Prog1+A3sg
izliyor	izle+Verb+Pos+Prog1+A3sg
biliyorsanız	bile+Verb+Pos+Prog1+Cond+A2pl
kırıyor	kır+Verb+Pos+Prog1+A3sg
düşünüyorsun	düşün+Verb+Pos+Prog1+A2sg
ağlamıyorsun	ağla+Verb+Neg+Prog1+A2sg
duruyorsa	dur+Verb+Pos+Prog1+Cond+A3sg
sanmıyorum	san+Verb+Neg+Prog1+A1sg
istemiyorsun	iste+Verb+Neg+Prog1+A2sg
ilgilendiriyor	ilgilen+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
dokunuyor	dokun+Verb+Pos+Prog1+A3sg
görünüyorsunuz	görün+Verb+Pos+Prog1+A2pl
görünmüyorum	görün+Verb+Neg+Prog1+A1sg
daralıyor	daral+Verb+Pos+Prog1+A3sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
rahatlatıyor	rahatla+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
gelmiyor	gel+Verb+Neg+Prog1+A3sg
karıştırıyor	karış+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
gösteriyor	göster+Verb+Pos+Prog1+A3sg
aşağılıyor	aşağıla+Verb+Pos+Prog1+A3sg
davranıyor	davran+Verb+Pos+Prog1+A3sg
güzelleşmiyor	güzel+Adj^DB+Verb+Become+Neg+Prog1+A3sg
kesilmiyor	kes+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
getiriliyor	getir+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
ayrılıyor	ayır+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
çıkarıyor	çık+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yollanıyor	yolla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
tutuyoruz	tut+Verb+Pos+Prog1+A1pl
atılıyor	at+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
çağırıyor	çağır+Verb+Pos+Prog1+A3sg
dağıtıyor	dağıt+Verb+Pos+Prog1+A3sg
diretiyor	dire+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
korkuyorsunuz	kork+Verb+Pos+Prog1+A2pl
aşıyor	aş+Verb+Pos+Prog1+A3sg
edilemiyor	et+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
deniyor	de+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
etkiliyor	etkile+Verb+Pos+Prog1+A3sg
bırakıyor	bırak+Verb+Pos+Prog1+A3sg
sürülüyor	sür+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
emiyor	em+Verb+Pos+Prog1+A3sg
bırakabiliyor	bırak+Verb+Pos^DB+Verb+Able+Prog1+A3sg
büyüyor	büyü+Verb+Pos+Prog1+A3sg
sıkıyor	sık+Verb+Pos+Prog1+A3sg
kederlendiriyor	keder+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Prog1+A3sg
dönüyor	dön+Verb+Pos+Prog1+A3sg
olmuyor	ol+Verb+Neg+Prog1+A3sg
eziliyor	ez+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
inanıyor	inan+Verb+Pos+Prog1+A3sg
bulmuyorum	bul+Verb+Neg+Prog1+A1sg
süpürüyor	süpür+Verb+Pos+Prog1+A3sg
inanıyorsun	inan+Verb+Pos+Prog1+A2sg
gitmiyorsun	git+Verb+Neg+Prog1+A2sg
sesleniyor	sesle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
zorluyor	zorla+Verb+Pos+Prog1+A3sg
geçiriyor	geç+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
sevişiyor	seviş+Verb+Pos+Prog1+A3sg
okuyorum	oku+Verb+Pos+Prog1+A1sg
basılıyor	bas+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
okuyorlar	oku+Verb+Pos+Prog1+A3pl
bahsediyor	bahset+Verb+Pos+Prog1+A3sg
hapsediyorlar	hapset+Verb+Pos+Prog1+A3pl
okuyorsun	oku+Verb+Pos+Prog1+A2sg
uyanıyor	uyan+Verb+Pos+Prog1+A3sg
büyülüyor	büyüle+Verb+Pos+Prog1+A3sg
söylüyorsa	söyle+Verb+Pos+Prog1+Cond+A3sg
istiyorsun	iste+Verb+Pos+Prog1+A2sg
seviyorsan	sev+Verb+Pos+Prog1+Cond+A2sg
zayıflıyorsun	zayıfla+Verb+Pos+Prog1+A2sg
yaşıyorsun	yaşa+Verb+Pos+Prog1+A2sg
getiriyorsun	getir+Verb+Pos+Prog1+A2sg
diyorsun	de+Verb+Pos+Prog1+A2sg
yutuyor	yut+Verb+Pos+Prog1+A3sg
içiyorsun	iç+Verb+Pos+Prog1+A2sg
oluyorsa	ol+Verb+Pos+Prog1+Cond+A3sg
atıyorlar	ata+Verb+Pos+Prog1+A3pl
konuyor	kon+Verb+Pos+Prog1+A3sg
konuyorlar	kon+Verb+Pos+Prog1+A3pl
işliyorlar	işle+Verb+Pos+Prog1+A3pl
yapıyorlar	yap+Verb+Pos+Prog1+A3pl
yatıyorsunuz	yat+Verb+Pos+Prog1+A2pl
söylemiyorsun	söyle+Verb+Neg+Prog1+A2sg
bahsediyorsunuz	bahset+Verb+Pos+Prog1+A2pl
bahsediyoruz	bahset+Verb+Pos+Prog1+A1pl
bahsediyorsanız	bahset+Verb+Pos+Prog1+Cond+A2pl
çalıyor	çal+Verb+Pos+Prog1+A3sg
öğretiyor	öğret+Verb+Pos+Prog1+A3sg
korkmuyorum	kork+Verb+Neg+Prog1+A1sg
bekliyor	bekle+Verb+Pos+Prog1+A3sg
yakalayamıyorum	yakala+Verb^DB+Verb+Able+Neg+Prog1+A1sg
görünemiyorum	görün+Verb^DB+Verb+Able+Neg+Prog1+A1sg
etmiyorlar	et+Verb+Neg+Prog1+A3pl
girmiyorum	gir+Verb+Neg+Prog1+A1sg
buluyor	bula+Verb+Pos+Prog1+A3sg
tanıtıyor	tanı+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
söylüyorlar	söyle+Verb+Pos+Prog1+A3pl
arıyorum	ara+Verb+Pos+Prog1+A1sg
olamıyorum	ol+Verb^DB+Verb+Able+Neg+Prog1+A1sg
hazırlıyorum	hazırla+Verb+Pos+Prog1+A1sg
yakıyor	yak+Verb+Pos+Prog1+A3sg
büyütüyorsunuz	büyü+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
döndürüyor	dön+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
güveniyorum	güven+Verb+Pos+Prog1+A1sg
sanıyor	san+Verb+Pos+Prog1+A3sg
seviyorsunuz	sev+Verb+Pos+Prog1+A2pl
bekliyorum	bekle+Verb+Pos+Prog1+A1sg
duymuyor	duy+Verb+Neg+Prog1+A3sg
seviniyorum	sevin+Verb+Pos+Prog1+A1sg
yakışıyor	yakış+Verb+Pos+Prog1+A3sg
yetiyor	yet+Verb+Pos+Prog1+A3sg
duyuyorsanız	duy+Verb+Pos+Prog1+Cond+A2pl
anlatıyorum	anla+Verb^DB+Verb+Caus+Pos+Prog1+A1sg
bakıyorum	bak+Verb+Pos+Prog1+A1sg
bayılıyor	bayıl+Verb+Pos+Prog1+A3sg
görünüyorlar	görün+Verb+Pos+Prog1+A3pl
bakıyorsa	bak+Verb+Pos+Prog1+Cond+A3sg
ayıramıyorum	ayır+Verb^DB+Verb+Able+Neg+Prog1+A1sg
duruyorum	dur+Verb+Pos+Prog1+A1sg
irkiliyor	irkil+Verb+Pos+Prog1+A3sg
saklanıyor	sakla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
satıyorlar	sat+Verb+Pos+Prog1+A3pl
edemiyorum	et+Verb^DB+Verb+Able+Neg+Prog1+A1sg
çıkmıyorsun	çık+Verb+Neg+Prog1+A2sg
dağıtılmıyor	dağıt+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
yıkıyor	yıka+Verb+Pos+Prog1+A3sg
indiriyor	in+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
aşağılanıyor	aşağıla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
ödüyoruz	öde+Verb+Pos+Prog1+A1pl
söylüyorsun	söyle+Verb+Pos+Prog1+A2sg
yavaşlatıyor	yavaşla+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
dolduruyor	dol+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
uçuşuyor	uçuş+Verb+Pos+Prog1+A3sg
süzülüyor	süz+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
inceleniyor	incele+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
belirleniyor	belirle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
ulaşılıyor	ulaş+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
çalıyorsun	çal+Verb+Pos+Prog1+A2sg
uyuyorsun	uy+Verb+Pos+Prog1+A2sg
sıkıyorsun	sık+Verb+Pos+Prog1+A2sg
geliyoruz	gel+Verb+Pos+Prog1+A1pl
oturuyoruz	otur+Verb+Pos+Prog1+A1pl
geliyorsunuz	gel+Verb+Pos+Prog1+A2pl
geliyorum	gel+Verb+Pos+Prog1+A1sg
kayboluyor	kaybol+Verb+Pos+Prog1+A3sg
satıyorsunuz	sat+Verb+Pos+Prog1+A2pl
getiriyorum	getir+Verb+Pos+Prog1+A1sg
değişmiyor	değiş+Verb+Neg+Prog1+A3sg
uğraşmıyorsunuz	uğraş+Verb+Neg+Prog1+A2pl
olmuyorsunuz	ol+Verb+Neg+Prog1+A2pl
yemiyorsunuz	ye+Verb+Neg+Prog1+A2pl
üzüyor	üz+Verb+Pos+Prog1+A3sg
gidiyorlar	git+Verb+Pos+Prog1+A3pl
yapıyorum	yap+Verb+Pos+Prog1+A1sg
anlayamıyor	anla+Verb^DB+Verb+Able+Neg+Prog1+A3sg
tutuyor	tut+Verb+Pos+Prog1+A3sg
kazanıyorlar	kazan+Verb+Pos+Prog1+A3pl
anlatıyorlar	anla+Verb^DB+Verb+Caus+Pos+Prog1+A3pl
parlıyor	parla+Verb+Pos+Prog1+A3sg
kaçınıyor	kaçın+Verb+Pos+Prog1+A3sg
şakalaşıyor	şakalaş+Verb+Pos+Prog1+A3sg
istemiyor	iste+Verb+Neg+Prog1+A3sg
susuyor	susa+Verb+Pos+Prog1+A3sg
seviniyor	sevin+Verb+Pos+Prog1+A3sg
tanımıyorum	tanı+Verb+Neg+Prog1+A1sg
oluyorlar	ol+Verb+Pos+Prog1+A3pl
karışıyor	karış+Verb+Pos+Prog1+A3sg
koruyor	koru+Verb+Pos+Prog1+A3sg
kalkıyorum	kalk+Verb+Pos+Prog1+A1sg
hazırlanıyorum	hazırla+Verb^DB+Verb+Reflex+Pos+Prog1+A1sg
açılıyor	aç+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
bilmiyoruz	bil+Verb+Neg+Prog1+A1pl
çıkmıyor	çık+Verb+Neg+Prog1+A3sg
üzülüyorum	üz+Verb^DB+Verb+Pass+Pos+Prog1+A1sg
açıklayamıyorum	açıkla+Verb^DB+Verb+Able+Neg+Prog1+A1sg
hapsediyorsunuz	hapset+Verb+Pos+Prog1+A2pl
veriyorsunuz	ver+Verb+Pos+Prog1+A2pl
sokuyorsunuz	sok+Verb+Pos+Prog1+A2pl
savsaklıyorsunuz	savsakla+Verb+Pos+Prog1+A2pl
şaşırtıyorsunuz	şaşır+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
duymuyorum	duy+Verb+Neg+Prog1+A1sg
açıyorum	aç+Verb+Pos+Prog1+A1sg
yatıyorum	yat+Verb+Pos+Prog1+A1sg
çektiriyoruz	çek+Verb^DB+Verb+Caus+Pos+Prog1+A1pl
aldırmıyor	al+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
asılıyor	as+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
havalanıyor	havalan+Verb+Pos+Prog1+A3sg
hışırdıyor	hışırda+Verb+Pos+Prog1+A3sg
kaygılanıyor	kaygı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+A3sg
öğrenemiyorsa	öğren+Verb^DB+Verb+Able+Neg+Prog1+Cond+A3sg
dönüşüyor	dönüş+Verb+Pos+Prog1+A3sg
alıyorlar	al+Verb+Pos+Prog1+A3pl
veremiyor	ver+Verb^DB+Verb+Able+Neg+Prog1+A3sg
itiyor	it+Verb+Pos+Prog1+A3sg
açıyor	aç+Verb+Pos+Prog1+A3sg
bekliyorlar	bekle+Verb+Pos+Prog1+A3pl
görünüyorsa	görün+Verb+Pos+Prog1+Cond+A3sg
getiriyor	getir+Verb+Pos+Prog1+A3sg
gülüyor	gül+Verb+Pos+Prog1+A3sg
