imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
sesmiş	ses+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
kaplamış	kapla+Verb+Pos+Narr+A3sg
tutmuş	tut+Verb+Pos+Narr+A3sg
kısmış	kıs+Verb+Pos+Narr+A3sg
öldürmüş	öl+Verb^DB+Verb+Caus+Pos+Narr+A3sg
unutmuş	unut+Verb+Pos+Narr+A3sg
uzamışsın	uza+Verb+Pos+Narr+A2sg
kullanıyormuşsun	kullan+Verb+Pos+Prog1+Narr+A2sg
gelmişsin	gel+Verb+Pos+Narr+A2sg
soruyormuş	sor+Verb+Pos+Prog1+Narr+A3sg
eşyalaşmış	eşya+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
yakışmışlar	yakış+Verb+Pos+Narr+A3pl
uymuşlar	uy+Verb+Pos+Narr+A3pl
dikilmiş	dik+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yetişiyormuş	yetiş+Verb+Pos+Prog1+Narr+A3sg
dalmış	dal+Verb+Pos+Narr+A3sg
veriyorlarmış	ver+Verb+Pos+Prog1+A3pl+Narr
uzaktaymış	uzak+Adj^DB+Noun+Zero+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
çizilmiş	çiz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
geçecekmişiz	geç+Verb+Pos+Fut+Narr+A1pl
yaparlarmış	yap+Verb+Pos+Aor+A3pl+Narr
yormuş	yor+Verb+Pos+Narr+A3sg
olmazmış	ol+Verb+Neg+Aor+Narr+A3sg
imiş	i+Verb+Pos+Narr+A3sg
otururlarmış	otur+Verb+Pos+Aor+A3pl+Narr
çokmuş	çok+Postp+PCAbl^DB+Verb+Zero+Narr+A3sg
bulabiliyorlarmış	bul+Verb+Pos^DB+Verb+Able+Prog1+A3pl+Narr
azmış	az+Verb+Pos+Narr+A3sg
iliklenmiş	ilikle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
buruşmuş	buruş+Verb+Pos+Narr+A3sg
yasakmış	yasak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
vurmuş	vur+Verb+Pos+Narr+A3sg
sarkmış	sark+Verb+Pos+Narr+A3sg
yönelmiş	yönel+Verb+Pos+Narr+A3sg
edecekmiş	et+Verb+Pos+Fut+Narr+A3sg
bırakmış	bırak+Verb+Pos+Narr+A3sg
konuşmuş	konuş+Verb+Pos+Narr+A3sg
işlemiş	işle+Verb+Pos+Narr+A3sg
vermiş	ver+Verb+Pos+Narr+A3sg
düzeltilmiş	düzel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
yapışmış	yapış+Verb+Pos+Narr+A3sg
bilmiyormuş	bil+Verb+Neg+Prog1+Narr+A3sg
serilmiş	ser+Verb^DB+Verb+Pass+Pos+Narr+A3sg
duymuşlar	duy+Verb+Pos+Narr+A3pl
sanmış	san+Verb+Pos+Narr+A3sg
anasıymışız	ana+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A1pl
metanetliymiş	metanet+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Narr+A3sg
tıkanacakmış	tıka+Verb^DB+Verb+Pass+Pos+Fut+Narr+A3sg
düşmüş	düş+Verb+Pos+Narr+A3sg
bulaşmış	bulaş+Verb+Pos+Narr+A3sg
yapıyormuş	yap+Verb+Pos+Prog1+Narr+A3sg
susamış	susa+Verb+Pos+Narr+A3sg
giymiş	giy+Verb+Pos+Narr+A3sg
veriyormuş	ver+Verb+Pos+Prog1+Narr+A3sg
morarmış	morar+Verb+Pos+Narr+A3sg
bitirecekmiş	bit+Verb^DB+Verb+Caus+Pos+Fut+Narr+A3sg
başlatmış	başla+Verb^DB+Verb+Caus+Pos+Narr+A3sg
istemiş	iste+Verb+Pos+Narr+A3sg
gitmiş	git+Verb+Pos+Narr+A3sg
konuşamazmış	konuş+Verb^DB+Verb+Able+Neg+Aor+Narr+A3sg
pişirecekmiş	piş+Verb^DB+Verb+Caus+Pos+Fut+Narr+A3sg
paslanmış	pas+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
edilmiş	et+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tasarlamış	tasarla+Verb+Pos+Narr+A3sg
kaçırabilmişse	kaç+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Narr+Cond+A3sg
sökülmüş	sök+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bulunmuş	bulun+Verb+Pos+Narr+A3sg
alışılmış	alış+Verb^DB+Verb+Pass+Pos+Narr+A3sg
nezleymiş	nezle+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
sarılmış	sar+Verb^DB+Verb+Pass+Pos+Narr+A3sg
fetholunmuş	fetholun+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
aydınlanmış	aydınlan+Verb+Pos+Narr+A3sg
oynamış	oyna+Verb+Pos+Narr+A3sg
yazılmış	yaz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
karşılanmış	karşıla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
uzaklaşmış	uzak+Adj^DB+Verb+Become+Pos+Narr+A3sg
sapmış	sap+Verb+Pos+Narr+A3sg
uğramış	uğra+Verb+Pos+Narr+A3sg
seçilmiş	seç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kopartmamış	kop+Verb^DB+Verb+Caus^DB+Verb+Caus+Neg+Narr+A3sg
yayılmış	yay+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tanımlamış	tanımla+Verb+Pos+Narr+A3sg
geçivermiş	geç+Verb+Pos^DB+Verb+Hastily+Narr+A3sg
bakılmamış	bak+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kullanmış	kullan+Verb+Pos+Narr+A3sg
yaratılmış	yarat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bulamamış	bul+Verb^DB+Verb+Able+Neg+Narr+A3sg
yaşanmamış	yaşa+Verb^DB+Verb+Pass+Neg+Narr+A3sg
birikmiş	birik+Verb+Pos+Narr+A3sg
pelteleşmiş	pelte+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
parçalanmış	parçala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
batmış	bat+Verb+Pos+Narr+A3sg
berelenmiş	berele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
içmişler	iç+Verb+Pos+Narr+A3pl
arıyormuş	ara+Verb+Pos+Prog1+Narr+A3sg
öldürülmüş	öl+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
dokunmuşsa	doku+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
sararmış	sar+Verb+Pos+Aor+Narr+A3sg
geliyormuş	gel+Verb+Pos+Prog1+Narr+A3sg
dökülmüş	dök+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kaldırmış	kaldır+Verb+Pos+Narr+A3sg
almamış	al+Verb+Neg+Narr+A3sg
nazikleşmiş	nazik+Adj^DB+Verb+Become+Pos+Narr+A3sg
yasaklamış	yasakla+Verb+Pos+Narr+A3sg
dövüyormuş	döv+Verb+Pos+Prog1+Narr+A3sg
açılmış	aç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dayamış	daya+Verb+Pos+Narr+A3sg
yaklaştırmış	yaklaş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
küllenmiş	külle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
solmuş	sol+Verb+Pos+Narr+A3sg
artmış	art+Verb+Pos+Narr+A3sg
vazgeçmiş	vazgeç+Verb+Pos+Narr+A3sg
ölmüş	öl+Verb+Pos+Narr+A3sg
ıslanmış	ısla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kaçıyormuş	kaç+Verb+Pos+Prog1+Narr+A3sg
uyuşmuş	uyuş+Verb+Pos+Narr+A3sg
saçılmış	saç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
korsanmış	korsan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
asacakmış	as+Verb+Pos+Fut+Narr+A3sg
büyütmüş	büyüt+Verb+Pos+Narr+A3sg
tutturulmuş	tut+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
çocukmuş	çocuk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
akranımmış	akran+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Narr+A3sg
dokunulmamış	doku+Verb^DB+Verb+Pass+Neg+Narr+A3sg
varmışız	var+Verb+Pos+Narr+A1pl
gelmemişse	gel+Verb+Neg+Narr+Cond+A3sg
onunmuş	o+Pron+Pers+A3sg+Pnon+Gen^DB+Verb+Zero+Narr+A3sg
takılmış	tak+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kavuşturmuş	kavuş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
kaykılmış	kaykıl+Verb+Pos+Narr+A3sg
kaçırıyormuş	kaç+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A3sg
olmuşsunuz	ol+Verb+Pos+Narr+A2pl
çalacakmış	çal+Verb+Pos+Fut+Narr+A3sg
ilgileniyormuş	ilgilen+Verb+Pos+Prog1+Narr+A3sg
yazarmış	yaz+Verb+Pos+Aor+Narr+A3sg
adamıymış	adam+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
nedimmiş	nedim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
batırmış	bat+Verb^DB+Verb+Caus+Pos+Narr+A3sg
harcamış	harca+Verb+Pos+Narr+A3sg
sıkıntıdaymış	sıkıntı+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
davranmışım	davran+Verb+Pos+Narr+A1sg
kırılmış	kır+Verb^DB+Verb+Pass+Pos+Narr+A3sg
götürüyormuşum	götür+Verb+Pos+Prog1+Narr+A1sg
erimiş	eri+Verb+Pos+Narr+A3sg
çökmüş	çök+Verb+Pos+Narr+A3sg
okumuş	oku+Verb+Pos+Narr+A3sg
işitmiş	işit+Verb+Pos+Narr+A3sg
düşecekmiş	düş+Verb+Pos+Fut+Narr+A3sg
kadınmış	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
ıslanmışsınız	ısla+Verb^DB+Verb+Pass+Pos+Narr+A2pl
gevşetmiş	gevşe+Verb^DB+Verb+Caus+Pos+Narr+A3sg
götürmüş	götür+Verb+Pos+Narr+A3sg
koyulaşmış	koyu+Adj^DB+Verb+Become+Pos+Narr+A3sg
boğuluyormuş	boğ+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
kimmiş	kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
dokunuyormuş	doku+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
anlıyormuş	anla+Verb+Pos+Prog1+Narr+A3sg
olmuşsun	ol+Verb+Pos+Narr+A2sg
afallamış	afalla+Verb+Pos+Narr+A3sg
atmış	at+Verb+Pos+Narr+A3sg
kıvrılmış	kıvır+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sönmüş	sön+Verb+Pos+Narr+A3sg
kalıyormuş	kal+Verb+Pos+Prog1+Narr+A3sg
uyumuş	uyu+Verb+Pos+Narr+A3sg
olsaymış	ol+Verb+Pos+Desr+Narr+A3sg
kaçarmış	kaç+Verb+Pos+Aor+Narr+A3sg
işmiş	iş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
gönderilmiş	gönder+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yazmış	yaz+Verb+Pos+Narr+A3sg
dönmüşler	dön+Verb+Pos+Narr+A3pl
kaplanmış	kaplan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
aydınlatılmış	aydınlat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
gevşemiş	gevşe+Verb+Pos+Narr+A3sg
tanınmış	tanı+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yetermiş	yet+Verb+Pos+Aor+Narr+A3sg
içindeymiş	iç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Narr+A3sg
utanıyormuş	utan+Verb+Pos+Prog1+Narr+A3sg
çıldırmış	çıldır+Verb+Pos+Narr+A3sg
binmiş	bin+Num+Card^DB+Verb+Zero+Narr+A3sg
taranmamış	tara+Verb^DB+Verb+Pass+Neg+Narr+A3sg
tanımamış	tanı+Verb+Neg+Narr+A3sg
değişmişsin	değiş+Verb+Pos+Narr+A2sg
heyecanlanmış	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
serpiştirilmiş	serpiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
söylenmiş	söyle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kalkmışlar	kalk+Verb+Pos+Narr+A3pl
keşfedilmemiş	keşfet+Verb^DB+Verb+Pass+Neg+Narr+A3sg
girmemiş	gir+Verb+Neg+Narr+A3sg
değmemiş	değ+Verb+Neg+Narr+A3sg
ucundaymışım	uç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Narr+A1sg
sıkışmış	sıkış+Verb+Pos+Narr+A3sg
konuşabilmiş	konuş+Verb+Pos^DB+Verb+Able+Narr+A3sg
görüşebilmiş	görüş+Verb+Pos^DB+Verb+Able+Narr+A3sg
anlamamış	anla+Verb+Neg+Narr+A3sg
uzanmış	uza+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tekiymiş	tek+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
kırışmış	kırış+Verb+Pos+Narr+A3sg
ilgilenmiş	ilgilen+Verb+Pos+Narr+A3sg
ödemiş	öde+Verb+Pos+Narr+A3sg
içmiş	iç+Verb+Pos+Narr+A3sg
boşalmış	boşal+Verb+Pos+Narr+A3sg
ödüyormuş	öde+Verb+Pos+Prog1+Narr+A3sg
aldatılmış	aldat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dolandırılmış	dolan+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
mahvolmuş	mahvol+Verb+Pos+Narr+A3sg
iyiymiş	iyi+Adj^DB+Verb+Zero+Narr+A3sg
çevrilmiş	çevir+Verb^DB+Verb+Pass+Pos+Narr+A3sg
anlamışsınız	anla+Verb+Pos+Narr+A2pl
yatmamış	yat+Verb+Neg+Narr+A3sg
yalvarıyormuş	yalvar+Verb+Pos+Prog1+Narr+A3sg
çalışıyormuş	çalış+Verb+Pos+Prog1+Narr+A3sg
istiyormuş	iste+Verb+Pos+Prog1+Narr+A3sg
terkedilmiş	terket+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çekmemiş	çek+Verb+Neg+Narr+A3sg
gömülmüş	göm+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çarpmış	çarp+Verb+Pos+Narr+A3sg
doyamıyormuş	doy+Verb^DB+Verb+Able+Neg+Prog1+Narr+A3sg
demiş	de+Verb+Pos+Narr+A3sg
donatıyormuş	dona+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A3sg
asmış	as+Verb+Pos+Narr+A3sg
itilmiş	it+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dönüşmüş	dönüş+Verb+Pos+Narr+A3sg
sertleşmiş	sert+Adj^DB+Verb+Become+Pos+Narr+A3sg
uğraşıyormuşum	uğraş+Verb+Pos+Prog1+Narr+A1sg
yitirilmiş	yit+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
çalmamış	çal+Verb+Neg+Narr+A3sg
dinlenmiş	dinle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
beklemiş	bekle+Verb+Pos+Narr+A3sg
edinmiş	edin+Verb+Pos+Narr+A3sg
boşanmışçasına	boşa+Verb^DB+Verb+Pass+Pos+Narr+A3sg^DB+Adverb+AsIf
bekliyormuşçasına	bekle+Verb+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
söylemiş	söyle+Verb+Pos+Narr+A3sg
geçmişçesine	geç+Verb+Pos+Narr+A3sg^DB+Adverb+AsIf
okumamış	oku+Verb+Neg+Narr+A3sg
durmuş	dur+Verb+Pos+Narr+A3sg
verememişçesine	ver+Verb^DB+Verb+Able+Neg+Narr+A3sg^DB+Adverb+AsIf
oluyormuş	ol+Verb+Pos+Prog1+Narr+A3sg
tutunmuş	tutun+Verb+Pos+Narr+A3sg
istiyormuşçasına	iste+Verb+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
sezmiş	sez+Verb+Pos+Narr+A3sg
tutabilmiş	tut+Verb+Pos^DB+Verb+Able+Narr+A3sg
gömmüş	göm+Verb+Pos+Narr+A3sg
yaralanmış	yarala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
atlatmış	atla+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yakılmış	yak+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sürüyormuş	sür+Verb+Pos+Prog1+Narr+A3sg
aralanmış	arala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sıçramış	sıçra+Verb+Pos+Narr+A3sg
çürümüş	çürü+Verb+Pos+Narr+A3sg
donmuş	don+Verb+Pos+Narr+A3sg
ekilmiş	ek+Verb^DB+Verb+Pass+Pos+Narr+A3sg
iyileşmiş	iyi+Adj^DB+Verb+Become+Pos+Narr+A3sg
dilemiş	dile+Verb+Pos+Narr+A3sg
istememiş	iste+Verb+Neg+Narr+A3sg
sürüklemiş	sürükle+Verb+Pos+Narr+A3sg
harcanmamış	harca+Verb^DB+Verb+Pass+Neg+Narr+A3sg
bağlamış	bağla+Verb+Pos+Narr+A3sg
boğuluyormuşcasına	boğ+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
saklamış	sakla+Verb+Pos+Narr+A3sg
üstlenmiş	üstlen+Verb+Pos+Narr+A3sg
bulmuş	bul+Verb+Pos+Narr+A3sg
çekmiş	çek+Verb+Pos+Narr+A3sg
fırlatılmış	fırla+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
tıkanmış	tıka+Verb^DB+Verb+Pass+Pos+Narr+A3sg
uyumamış	uyu+Verb+Neg+Narr+A3sg
sonsuzlaşmış	son+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Become+Pos+Narr+A3sg
unutulmuş	unut+Verb^DB+Verb+Pass+Pos+Narr+A3sg
göndermişse	gönder+Verb+Pos+Narr+Cond+A3sg
çözmüş	çöz+Verb+Pos+Narr+A3sg
söylenmemiş	söyle+Verb^DB+Verb+Pass+Neg+Narr+A3sg
tanımamışım	tanı+Verb+Neg+Narr+A1sg
etkilemiş	etkile+Verb+Pos+Narr+A3sg
ciddiymiş	ciddi+Adj^DB+Verb+Zero+Narr+A3sg
sivrilmiş	sivril+Verb+Pos+Narr+A3sg
incelmiş	incel+Verb+Pos+Narr+A3sg
arınmış	arın+Verb+Pos+Narr+A3sg
