konuştum	konuş+Verb+Pos+Past+A1sg
çalışacağız	çalış+Verb+Pos+Fut+A1pl
bulmaz	bul+Verb+Neg+Aor+A3sg
yapmışlar	yap+Verb+Pos+Narr+A3pl
okurum	oku+Verb+Pos+Aor+A1sg
gönderirim	gönder+Verb+Pos+Aor+A1sg
yiyoruz	ye+Verb+Pos+Prog1+A1pl
kazandık	kazan+Verb+Pos+Past+A1pl
çekti	çek+Verb+Pos+Past+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
yemez	ye+Verb+Neg+Aor+A3sg
çekmem	çek+Verb+Neg+Aor+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
edeceğim	et+Verb+Pos+Fut+A1sg
başlar	başla+Verb+Pos+Aor+A3sg
kestiler	kes+Verb+Pos+Past+A3pl
söylemiyorsun	söyle+Verb+Neg+Prog1+A2sg
düşündük	düşün+Verb+Pos+Past+A1pl
oldu	ol+Verb+Pos+Past+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
gelmedi	gel+Verb+Neg+Past+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
almıyorlar	al+Verb+Neg+Prog1+A3pl
tanımıyorum	tanı+Verb+Neg+Prog1+A1sg
yapmadım	yap+Verb+Neg+Past+A1sg
bırakacaksın	bırak+Verb+Pos+Fut+A2sg
düşünüyorsunuz	düşün+Verb+Pos+Prog1+A2pl
gösteririm	göster+Verb+Pos+Aor+A1sg
koydular	koy+Verb+Pos+Past+A3pl
söyler	söyle+Verb+Pos+Aor+A3sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
yemiş	ye+Verb+Pos+Narr+A3sg
kesiyor	kes+Verb+Pos+Prog1+A3sg
gelmiş	gel+Verb+Pos+Narr+A3sg
anlarsın	anla+Verb+Pos+Aor+A2sg
gösterdi	göster+Verb+Pos+Past+A3sg
sevdi	sev+Verb+Pos+Past+A3sg
gidiyor	git+Verb+Pos+Prog1+A3sg
gelmez	gel+Verb+Neg+Aor+A3sg
göreceksin	gör+Verb+Pos+Fut+A2sg
inanıyorsun	inan+Verb+Pos+Prog1+A2sg
görüyor	gör+Verb+Pos+Prog1+A3sg
gelmem	gel+Verb+Neg+Aor+A1sg
getirecek	getir+Verb+Pos+Fut+A3sg
yaşayacağız	yaşa+Verb+Pos+Fut+A1pl
bakmaz	bak+Verb+Neg+Aor+A3sg
çıkarız	çık+Verb+Pos+Aor+A1pl
duyar	duy+Verb+Pos+Aor+A3sg
getirdik	getir+Verb+Pos+Past+A1pl
duracaksın	dur+Verb+Pos+Fut+A2sg
gitmiyorlar	git+Verb+Neg+Prog1+A3pl
açmam	aç+Verb+Neg+Aor+A1sg
koyacak	koy+Verb+Pos+Fut+A3sg
geldin	gel+Verb+Pos+Past+A2sg
okudum	oku+Verb+Pos+Past+A1sg
bakmış	bak+Verb+Pos+Narr+A3sg
edeceksiniz	et+Verb+Pos+Fut+A2pl
istemez	iste+Verb+Neg+Aor+A3sg
kuracak	kur+Verb+Pos+Fut+A3sg
gireceğiz	gir+Verb+Pos+Fut+A1pl
bakıyorsunuz	bak+Verb+Pos+Prog1+A2pl
bırakacağım	bırak+Verb+Pos+Fut+A1sg
düşmemiş	düş+Verb+Neg+Narr+A3sg
anlayacak	anla+Verb+Pos+Fut+A3sg
diyeceksiniz	de+Verb+Pos+Fut+A2pl
gitmeyeceğim	git+Verb+Neg+Fut+A1sg
almadım	al+Verb+Neg+Past+A1sg
demişler	de+Verb+Pos+Narr+A3pl
çekmedim	çek+Verb+Neg+Past+A1sg
çalışmıyorlar	çalış+Verb+Neg+Prog1+A3pl
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
girmiyor	gir+Verb+Neg+Prog1+A3sg
yapmıyoruz	yap+Verb+Neg+Prog1+A1pl
kaybederim	kaybet+Verb+Pos+Aor+A1sg
gönderir	gönder+Verb+Pos+Aor+A3sg
yaşamışız	yaşa+Verb+Pos+Narr+A1pl
kullanacaksınız	kullan+Verb+Pos+Fut+A2pl
başlarlar	başla+Verb+Pos+Aor+A3pl
vermezsiniz	ver+Verb+Neg+Aor+A2pl
kullanıyorsun	kullan+Verb+Pos+Prog1+A2sg
getiriyorum	getir+Verb+Pos+Prog1+A1sg
çalışıyorsun	çalış+Verb+Pos+Prog1+A2sg
kullanırım	kullan+Verb+Pos+Aor+A1sg
beklemeyecek	bekle+Verb+Neg+Fut+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
düşmüşler	düş+Verb+Pos+Narr+A3pl
eder	et+Verb+Pos+Aor+A3sg
bilmiyorlar	bil+Verb+Neg+Prog1+A3pl
yapacaklar	yap+Verb+Pos+Fut+A3pl
çalıştım	çalış+Verb+Pos+Past+A1sg
tanırım	tanı+Verb+Pos+Aor+A1sg
düştük	düş+Verb+Pos+Past+A1pl
duymamış	duy+Verb+Neg+Narr+A3sg
kazanacağım	kazan+Verb+Pos+Fut+A1sg
görmedi	gör+Verb+Neg+Past+A3sg
gitmedim	git+Verb+Neg+Past+A1sg
gösterdiler	göster+Verb+Pos+Past+A3pl
kalırız	kal+Verb+Pos+Aor+A1pl
çalıştı	çalış+Verb+Pos+Past+A3sg
olacağız	ol+Verb+Pos+Fut+A1pl
söylüyorum	söyle+Verb+Pos+Prog1+A1sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
girmiş	gir+Verb+Pos+Narr+A3sg
anlar	anla+Verb+Pos+Aor+A3sg
oluyorsunuz	ol+Verb+Pos+Prog1+A2pl
verdiler	ver+Verb+Pos+Past+A3pl
kazanacak	kazan+Verb+Pos+Fut+A3sg
kaybetmedim	kaybet+Verb+Neg+Past+A1sg
edeceğiz	et+Verb+Pos+Fut+A1pl
buldu	bul+Verb+Pos+Past+A3sg
yaşıyorsunuz	yaşa+Verb+Pos+Prog1+A2pl
bilmezler	bil+Verb+Neg+Aor+A3pl
okuyorum	oku+Verb+Pos+Prog1+A1sg
kaybediyorum	kaybet+Verb+Pos+Prog1+A1sg
düşünmüyor	düşün+Verb+Neg+Prog1+A3sg
duyarım	duy+Verb+Pos+Aor+A1sg
gösterir	göster+Verb+Pos+Aor+A3sg
bıraktım	bırak+Verb+Pos+Past+A1sg
açmadı	aç+Verb+Neg+Past+A3sg
koyacaklar	koy+Verb+Pos+Fut+A3pl
kaybetmişim	kaybet+Verb+Pos+Narr+A1sg
kullanırız	kullan+Verb+Pos+Aor+A1pl
gönderecekler	gönder+Verb+Pos+Fut+A3pl
gitmiyorsunuz	git+Verb+Neg+Prog1+A2pl
anlayacaklar	anla+Verb+Pos+Fut+A3pl
derim	de+Verb+Pos+Aor+A1sg
döndüm	dön+Verb+Pos+Past+A1sg
okuyorsun	oku+Verb+Pos+Prog1+A2sg
oluyorum	ol+Verb+Pos+Prog1+A1sg
tanımamışım	tanı+Verb+Neg+Narr+A1sg
okumuş	oku+Verb+Pos+Narr+A3sg
bulmuş	bul+Verb+Pos+Narr+A3sg
gittin	git+Verb+Pos+Past+A2sg
anlamış	anla+Verb+Pos+Narr+A3sg
alırsınız	al+Verb+Pos+Aor+A2pl
yapacaksınız	yap+Verb+Pos+Fut+A2pl
buluruz	bul+Verb+Pos+Aor+A1pl
kullanıyorlar	kullan+Verb+Pos+Prog1+A3pl
çıkmaz	çık+Verb+Neg+Aor+A3sg
kalır	kal+Verb+Pos+Aor+A3sg
kazanmadı	kazan+Verb+Neg+Past+A3sg
gösteriyorlar	göster+Verb+Pos+Prog1+A3pl
konuşacağım	konuş+Verb+Pos+Fut+A1sg
atmaz	at+Verb+Neg+Aor+A3sg
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
gidersin	git+Verb+Pos+Aor+A2sg
çıkacağım	çık+Verb+Pos+Fut+A1sg
tanıdınız	tanı+Verb+Pos+Past+A2pl
duymuyor	duy+Verb+Neg+Prog1+A3sg
göstermez	göster+Verb+Neg+Aor+A3sg
kalmıyor	kal+Verb+Neg+Prog1+A3sg
koyuyor	koy+Verb+Pos+Prog1+A3sg
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
başladık	başla+Verb+Pos+Past+A1pl
bırakıyorsun	bırak+Verb+Pos+Prog1+A2sg
bırakmış	bırak+Verb+Pos+Narr+A3sg
gittim	git+Verb+Pos+Past+A1sg
durmadım	dur+Verb+Neg+Past+A1sg
yaşarız	yaşa+Verb+Pos+Aor+A1pl
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
açmaz	aç+Verb+Neg+Aor+A3sg
tutmuyor	tut+Verb+Neg+Prog1+A3sg
görmez	gör+Verb+Neg+Aor+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
duruyorum	dur+Verb+Pos+Prog1+A1sg
tanıdım	tanı+Verb+Pos+Past+A1sg
sevdim	sev+Verb+Pos+Past+A1sg
çıktılar	çık+Verb+Pos+Past+A3pl
anlayacaksın	anla+Verb+Pos+Fut+A2sg
derler	de+Verb+Pos+Aor+A3pl
yaşar	yaşa+Verb+Pos+Aor+A3sg
gideceksin	git+Verb+Pos+Fut+A2sg
döneceğiz	dön+Verb+Pos+Fut+A1pl
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
dönmediler	dön+Verb+Neg+Past+A3pl
istiyorsun	iste+Verb+Pos+Prog1+A2sg
olmazsınız	ol+Verb+Neg+Aor+A2pl
duyduk	duy+Verb+Pos+Past+A1pl
olurum	ol+Verb+Pos+Aor+A1sg
durmuş	dur+Verb+Pos+Narr+A3sg
tanıyorum	tanı+Verb+Pos+Prog1+A1sg
başlamıyor	başla+Verb+Neg+Prog1+A3sg
gireriz	gir+Verb+Pos+Aor+A1pl
koyduk	koy+Verb+Pos+Past+A1pl
gelmişsin	gel+Verb+Pos+Narr+A2sg
istiyor	iste+Verb+Pos+Prog1+A3sg
dedim	de+Verb+Pos+Past+A1sg
bakarım	bak+Verb+Pos+Aor+A1sg
anladım	anla+Verb+Pos+Past+A1sg
atmayacak	at+Verb+Neg+Fut+A3sg
buldun	bul+Verb+Pos+Past+A2sg
dinledim	dinle+Verb+Pos+Past+A1sg
anlamayız	anla+Verb+Neg+Aor+A1pl
düşündüm	düşün+Verb+Pos+Past+A1sg
bıraktınız	bırak+Verb+Pos+Past+A2pl
kalıyor	kal+Verb+Pos+Prog1+A3sg
gösterirler	göster+Verb+Pos+Aor+A3pl
giriyorsunuz	gir+Verb+Pos+Prog1+A2pl
bırakmadı	bırak+Verb+Neg+Past+A3sg
istemezler	iste+Verb+Neg+Aor+A3pl
almış	al+Verb+Pos+Narr+A3sg
almadılar	al+Verb+Neg+Past+A3pl
almayacaklar	al+Verb+Neg+Fut+A3pl
koyacağım	koy+Verb+Pos+Fut+A1sg
konuşuyorum	konuş+Verb+Pos+Prog1+A1sg
yapmıyorlar	yap+Verb+Neg+Prog1+A3pl
başlamaz	başla+Verb+Neg+Aor+A3sg
ödemiyorlar	öde+Verb+Neg+Prog1+A3pl
etmiyoruz	et+Verb+Neg+Prog1+A1pl
çalışıyoruz	çalış+Verb+Pos+Prog1+A1pl
kalmaz	kal+Verb+Neg+Aor+A3sg
dediniz	de+Verb+Pos+Past+A2pl
yaptı	yap+Verb+Pos+Past+A3sg
attım	at+Verb+Pos+Past+A1sg
dinleyecek	dinle+Verb+Pos+Fut+A3sg
atar	at+Verb+Pos+Aor+A3sg
etmiyorum	et+Verb+Neg+Prog1+A1sg
olduk	ol+Verb+Pos+Past+A1pl
dururum	dur+Verb+Pos+Aor+A1sg
okuyoruz	oku+Verb+Pos+Prog1+A1pl
gönderiyoruz	gönder+Verb+Pos+Prog1+A1pl
düşünmemiş	düşün+Verb+Neg+Narr+A3sg
diyor	de+Verb+Pos+Prog1+A3sg
tutacağız	tut+Verb+Pos+Fut+A1pl
olmayacağım	ol+Verb+Neg+Fut+A1sg
okumayacağım	oku+Verb+Neg+Fut+A1sg
inanmıyorum	inan+Verb+Neg+Prog1+A1sg
yaşadık	yaşa+Verb+Pos+Past+A1pl
vermeyeceğiz	ver+Verb+Neg+Fut+A1pl
görmediler	gör+Verb+Neg+Past+A3pl
ödeyeceğim	öde+Verb+Pos+Fut+A1sg
açıyor	aç+Verb+Pos+Prog1+A3sg
vermeyecek	ver+Verb+Neg+Fut+A3sg
durmuyorum	dur+Verb+Neg+Prog1+A1sg
kalacaksın	kal+Verb+Pos+Fut+A2sg
vermedik	ver+Verb+Neg+Past+A1pl
çekmiyor	çek+Verb+Neg+Prog1+A3sg
tutar	tut+Verb+Pos+Aor+A3sg
söylerim	söyle+Verb+Pos+Aor+A1sg
kalıyorum	kal+Verb+Pos+Prog1+A1sg
kazanacaksınız	kazan+Verb+Pos+Fut+A2pl
görüyorsunuz	gör+Verb+Pos+Prog1+A2pl
seviyorsunuz	sev+Verb+Pos+Prog1+A2pl
çekmişler	çek+Verb+Pos+Narr+A3pl
gitmedi	git+Verb+Neg+Past+A3sg
alıyorlar	al+Verb+Pos+Prog1+A3pl
başlamışlar	başla+Verb+Pos+Narr+A3pl
kaybettiler	kaybet+Verb+Pos+Past+A3pl
olacaksınız	ol+Verb+Pos+Fut+A2pl
getiriyor	getir+Verb+Pos+Prog1+A3sg
kullanmadı	kullan+Verb+Neg+Past+A3sg
sevmedim	sev+Verb+Neg+Past+A1sg
çalışıyor	çalış+Verb+Pos+Prog1+A3sg
duracak	dur+Verb+Pos+Fut+A3sg
kurdum	kur+Verb+Pos+Past+A1sg
göndermişler	gönder+Verb+Pos+Narr+A3pl
çalıştılar	çalış+Verb+Pos+Past+A3pl
duyarız	duy+Verb+Pos+Aor+A1pl
bilmez	bil+Verb+Neg+Aor+A3sg
çıkmış	çık+Verb+Pos+Narr+A3sg
geldi	gel+Verb+Pos+Past+A3sg
yaparım	yap+Verb+Pos+Aor+A1sg
kullanıyor	kullan+Verb+Pos+Prog1+A3sg
kullanırlar	kullan+Verb+Pos+Aor+A3pl
başlarsınız	başla+Verb+Pos+Aor+A2pl
açacağız	aç+Verb+Pos+Fut+A1pl
bakmam	bak+Verb+Neg+Aor+A1sg
duruyorlar	dur+Verb+Pos+Prog1+A3pl
getireceksin	getir+Verb+Pos+Fut+A2sg
kazandın	kazan+Verb+Pos+Past+A2sg
kullanmışlar	kullan+Verb+Pos+Narr+A3pl
tanımıyor	tanı+Verb+Neg+Prog1+A3sg
tutacağım	tut+Verb+Pos+Fut+A1sg
düştünüz	düş+Verb+Pos+Past+A2pl
almıyorsun	al+Verb+Neg+Prog1+A2sg
giriyor	gir+Verb+Pos+Prog1+A3sg
verirsiniz	ver+Verb+Pos+Aor+A2pl
kalırsın	kal+Verb+Pos+Aor+A2sg
döneceğim	dön+Verb+Pos+Fut+A1sg
alacaksın	al+Verb+Pos+Fut+A2sg
koymuş	koy+Verb+Pos+Narr+A3sg
açtınız	aç+Verb+Pos+Past+A2pl
çekmiş	çek+Verb+Pos+Narr+A3sg
durdular	dur+Verb+Pos+Past+A3pl
çıkacağız	çık+Verb+Pos+Fut+A1pl
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
söyledik	söyle+Verb+Pos+Past+A1pl
bekliyorlar	bekle+Verb+Pos+Prog1+A3pl
demezler	de+Verb+Neg+Aor+A3pl
ediyorum	et+Verb+Pos+Prog1+A1sg
geleceğiz	gel+Verb+Pos+Fut+A1pl
söylersin	söyle+Verb+Pos+Aor+A2sg
konuşmam	konuş+Verb+Neg+Aor+A1sg
görmüyorum	gör+Verb+Neg+Prog1+A1sg
çıkmışız	çık+Verb+Pos+Narr+A1pl
istediler	iste+Verb+Pos+Past+A3pl
görmüşler	gör+Verb+Pos+Narr+A3pl
beklemiş	bekle+Verb+Pos+Narr+A3sg
kazanır	kazan+Verb+Pos+Aor+A3sg
istemedik	iste+Verb+Neg+Past+A1pl
inanmadım	inan+Verb+Neg+Past+A1sg
koyar	koy+Verb+Pos+Aor+A3sg
bırakacaksınız	bırak+Verb+Pos+Fut+A2pl
getirmemişsin	getir+Verb+Neg+Narr+A2sg
dinlemiyor	dinle+Verb+Neg+Prog1+A3sg
yazarsınız	yaz+Verb+Pos+Aor+A2pl
ettim	et+Verb+Pos+Past+A1sg
ödüyor	öde+Verb+Pos+Prog1+A3sg
keseceğiz	kes+Verb+Pos+Fut+A1pl
geliyorlar	gel+Verb+Pos+Prog1+A3pl
bulacaksınız	bul+Verb+Pos+Fut+A2pl
tanır	tanı+Verb+Pos+Aor+A3sg
demiyor	de+Verb+Neg+Prog1+A3sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
açmazlar	aç+Verb+Neg+Aor+A3pl
tanıyor	tanı+Verb+Pos+Prog1+A3sg
bırakır	bırak+Verb+Pos+Aor+A3sg
attınız	at+Verb+Pos+Past+A2pl
yapıyorsunuz	yap+Verb+Pos+Prog1+A2pl
koymadınız	koy+Verb+Neg+Past+A2pl
dinledik	dinle+Verb+Pos+Past+A1pl
bilmeyecek	bil+Verb+Neg+Fut+A3sg
atacaksınız	at+Verb+Pos+Fut+A2pl
gidecek	git+Verb+Pos+Fut+A3sg
bulacağım	bul+Verb+Pos+Fut+A1sg
kaybedersiniz	kaybet+Verb+Pos+Aor+A2pl
aldım	al+Verb+Pos+Past+A1sg
getirdiler	getir+Verb+Pos+Past+A3pl
başlarsın	başla+Verb+Pos+Aor+A2sg
sevmiş	sev+Verb+Pos+Narr+A3sg
kuracaksınız	kur+Verb+Pos+Fut+A2pl
gitmez	git+Verb+Neg+Aor+A3sg
düşünmem	düşün+Verb+Neg+Aor+A1sg
yapar	yap+Verb+Pos+Aor+A3sg
kullanacak	kullan+Verb+Pos+Fut+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
gösteriyoruz	göster+Verb+Pos+Prog1+A1pl
çekmedi	çek+Verb+Neg+Past+A3sg
başlarız	başla+Verb+Pos+Aor+A1pl
duymuşlar	duy+Verb+Pos+Narr+A3pl
yaparız	yap+Verb+Pos+Aor+A1pl
konuştun	konuş+Verb+Pos+Past+A2sg
atmışlar	at+Verb+Pos+Narr+A3pl
dinliyor	dinle+Verb+Pos+Prog1+A3sg
demedi	de+Verb+Neg+Past+A3sg
olmayacak	ol+Verb+Neg+Fut+A3sg
kaybediyorsunuz	kaybet+Verb+Pos+Prog1+A2pl
gönderdik	gönder+Verb+Pos+Past+A1pl
anlıyorsunuz	anla+Verb+Pos+Prog1+A2pl
dinlemiyorlar	dinle+Verb+Neg+Prog1+A3pl
geldik	gel+Verb+Pos+Past+A1pl
düşmedi	düş+Verb+Neg+Past+A3sg
düşündüler	düşün+Verb+Pos+Past+A3pl
gelmedik	gel+Verb+Neg+Past+A1pl
koyacaksın	koy+Verb+Pos+Fut+A2sg
görmezler	gör+Verb+Neg+Aor+A3pl
geliyorum	gel+Verb+Pos+Prog1+A1sg
girdim	gir+Verb+Pos+Past+A1sg
olmuyorsunuz	ol+Verb+Neg+Prog1+A2pl
gösterdiniz	göster+Verb+Pos+Past+A2pl
açacak	aç+Verb+Pos+Fut+A3sg
bakacaksın	bak+Verb+Pos+Fut+A2sg
kalmayacak	kal+Verb+Neg+Fut+A3sg
bıraktın	bırak+Verb+Pos+Past+A2sg
dediler	de+Verb+Pos+Past+A3pl
gördün	gör+Verb+Pos+Past+A2sg
konuştuk	konuş+Verb+Pos+Past+A1pl
kuruyorlar	kur+Verb+Pos+Prog1+A3pl
koymaz	koy+Verb+Neg+Aor+A3sg
çıkarsın	çık+Verb+Pos+Aor+A2sg
gösterdim	göster+Verb+Pos+Past+A1sg
yememiş	ye+Verb+Neg+Narr+A3sg
okumadım	oku+Verb+Neg+Past+A1sg
alacağız	al+Verb+Pos+Fut+A1pl
girmez	gir+Verb+Neg+Aor+A3sg
çektim	çek+Verb+Pos+Past+A1sg
baktın	bak+Verb+Pos+Past+A2sg
yapıyor	yap+Verb+Pos+Prog1+A3sg
yapmamışlar	yap+Verb+Neg+Narr+A3pl
yazıyor	yaz+Verb+Pos+Prog1+A3sg
diyeceğim	de+Verb+Pos+Fut+A1sg
kullanmaz	kullan+Verb+Neg+Aor+A3sg
yazmış	yaz+Verb+Pos+Narr+A3sg
bulmuyorum	bul+Verb+Neg+Prog1+A1sg
beklediler	bekle+Verb+Pos+Past+A3pl
vermedim	ver+Verb+Neg+Past+A1sg
ödersiniz	öde+Verb+Pos+Aor+A2pl
ettin	et+Verb+Pos+Past+A2sg
gelir	gel+Verb+Pos+Aor+A3sg
istemiş	iste+Verb+Pos+Narr+A3sg
çekiyorum	çek+Verb+Pos+Prog1+A1sg
düşünmediler	düşün+Verb+Neg+Past+A3pl
düşünmedim	düşün+Verb+Neg+Past+A1sg
gitti	git+Verb+Pos+Past+A3sg
çekersiniz	çek+Verb+Pos+Aor+A2pl
etmiyorlar	et+Verb+Neg+Prog1+A3pl
koymuşlar	koy+Verb+Pos+Narr+A3pl
girdik	gir+Verb+Pos+Past+A1pl
konuştu	konuş+Verb+Pos+Past+A3sg
kaybeder	kaybet+Verb+Pos+Aor+A3sg
konuşur	konuş+Verb+Pos+Aor+A3sg
geliyor	gel+Verb+Pos+Prog1+A3sg
düşündü	düşün+Verb+Pos+Past+A3sg
etmişiz	et+Verb+Pos+Narr+A1pl
gelmeyeceksin	gel+Verb+Neg+Fut+A2sg
getirmişler	getir+Verb+Pos+Narr+A3pl
bildi	bil+Verb+Pos+Past+A3sg
seviyoruz	sev+Verb+Pos+Prog1+A1pl
yapmayacaksın	yap+Verb+Neg+Fut+A2sg
bekler	bekle+Verb+Pos+Aor+A3sg
başladı	başla+Verb+Pos+Past+A3sg
istemiyorsunuz	iste+Verb+Neg+Prog1+A2pl
çıktınız	çık+Verb+Pos+Past+A2pl
veririz	ver+Verb+Pos+Aor+A1pl
yazdı	yaz+Verb+Pos+Past+A3sg
düşerim	düş+Verb+Pos+Aor+A1sg
düşer	düş+Verb+Pos+Aor+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
kaybederiz	kaybet+Verb+Pos+Aor+A1pl
söylemiş	söyle+Verb+Pos+Narr+A3sg
tutmadı	tut+Verb+Neg+Past+A3sg
ediyoruz	et+Verb+Pos+Prog1+A1pl
yaşamadınız	yaşa+Verb+Neg+Past+A2pl
demediler	de+Verb+Neg+Past+A3pl
atmadı	at+Verb+Neg+Past+A3sg
etmediniz	et+Verb+Neg+Past+A2pl
dönmüşler	dön+Verb+Pos+Narr+A3pl
demiş	de+Verb+Pos+Narr+A3sg
tutmamış	tut+Verb+Neg+Narr+A3sg
çıkıyorlar	çık+Verb+Pos+Prog1+A3pl
istemedim	iste+Verb+Neg+Past+A1sg
ödemiş	öde+Verb+Pos+Narr+A3sg
istemeyeceksin	iste+Verb+Neg+Fut+A2sg
kesmiyor	kes+Verb+Neg+Prog1+A3sg
çekerim	çek+Verb+Pos+Aor+A1sg
vermiş	ver+Verb+Pos+Narr+A3sg
bakacağız	bak+Verb+Pos+Fut+A1pl
okuruz	oku+Verb+Pos+Aor+A1pl
atmadım	at+Verb+Neg+Past+A1sg
verdim	ver+Verb+Pos+Past+A1sg
yaptım	yap+Verb+Pos+Past+A1sg
bulduk	bul+Verb+Pos+Past+A1pl
kullandı	kullan+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
dedik	de+Verb+Pos+Past+A1pl
görmem	gör+Verb+Neg+Aor+A1sg
tuttular	tut+Verb+Pos+Past+A3pl
yapmadı	yap+Verb+Neg+Past+A3sg
gitmiş	git+Verb+Pos+Narr+A3sg
yazmadı	yaz+Verb+Neg+Past+A3sg
ettiler	et+Verb+Pos+Past+A3pl
başlamayacak	başla+Verb+Neg+Fut+A3sg
çıkıyor	çık+Verb+Pos+Prog1+A3sg
oldum	ol+Verb+Pos+Past+A1sg
yazdım	yaz+Verb+Pos+Past+A1sg
düşmedim	düş+Verb+Neg+Past+A1sg
öder	öde+Verb+Pos+Aor+A3sg
olmam	ol+Verb+Neg+Aor+A1sg
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
kazanıyorum	kazan+Verb+Pos+Prog1+A1sg
bıraktı	bırak+Verb+Pos+Past+A3sg
