hesabına	hesap+Noun+A3sg+P3sg+Dat
firmalarla	firma+Noun+A3pl+Pnon+Ins
sözleşmeleri	sözleşme+Noun+A3pl+P3sg+Nom
gıdaya	gıda+Noun+A3sg+Pnon+Dat
izni	izin+Noun+A3sg+P3sg+Nom
yönetimine	yönetim+Noun+A3sg+P3sg+Dat
içinde	iç+Noun+A3sg+P2sg+Loc
değerinde	değer+Noun+A3sg+P3sg+Loc
üzerine	üzer+Noun+A3sg+P2sg+Dat
taleple	talep+Noun+A3sg+Pnon+Ins
karşılaşacağı	karşılaş+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
isteyeceği	iste+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
olmak	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
ülkelerin	ülke+Noun+A3pl+Pnon+Gen
diplomatları	diplomat+Noun+A3pl+P3pl+Nom
doluncaya	dol+Verb+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
gözönüne	gözönü+Noun+A3sg+P3sg+Dat
almayacaklarını	al+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
aralarında	ara+Noun+A3sg+P3pl+Loc
bulunduğu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
tanıdığı	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
parametreler	parametre+Noun+A3pl+Pnon+Nom
kalabilmek	kal+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
hacimlerini	hacim+Noun+A3pl+P3sg+Acc
yarıya	yarı+Noun+A3sg+Pnon+Dat
açıklama	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
sinyalini	sinyal+Noun+A3sg+P3sg+Acc
sınırını	sınır+Noun+A3sg+P3sg+Acc
aşmamak	aş+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
zorunda	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc
sendikacıya	sendikacı+Noun+A3sg+Pnon+Dat
duyurusu	duyuru+Noun+A3sg+P3sg+Nom
ettiği	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
suçlamalarda	suçla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
gerekçesiyle	gerekçe+Noun+A3sg+P3sg+Ins
hakkında	hak+Noun+A3sg+P3sg+Loc
verdiği	ver+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dilekçesinde	dilekçe+Noun+A3sg+P3sg+Loc
istemiyle	istem+Noun+A3sg+P3sg+Ins
açtığı	aç+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
davanın	dava+Noun+A3sg+Pnon+Gen
duruşması	duruşma+Noun+A3sg+P3sg+Nom
hedefi	hedef+Noun+A3sg+P3sg+Nom
rektörler	rektör+Noun+A3pl+Pnon+Nom
türbana	türban+Noun+A3sg+Pnon+Dat
serbestlik	serbest+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
getirme	getir+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
girişimiyle	girişim+Noun+A3sg+P3sg+Ins
üniversiteden	üniversite+Noun+A3sg+Pnon+Abl
başörtüsüne	başörtü+Noun+A3sg+P3sg+Dat
ortaya	orta+Noun+A3sg+Pnon+Dat
yasağı	yasak+Noun+A3sg+P3sg+Nom
oluşturduğu	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
araştırmalar	araştır+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
merkezi	merkez+Noun+A3sg+P3sg+Nom
örgütü	örgüt+Noun+A3sg+P3sg+Nom
bilgilerle	bilgi+Noun+A3pl+Pnon+Ins
savunduğu	savun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
yaygınlıkta	yaygın+Adj^DB+Noun+Ness+A3sg+Pnon+Loc
öğrenciye	öğrenci+Noun+A3sg+Pnon+Dat
yasasında	yasa+Noun+A3sg+P3sg+Loc
değişiklikten	değişik+Adj^DB+Noun+Ness+A3sg+Pnon+Abl
görevden	görev+Noun+A3sg+Pnon+Abl
bırakma	bırak+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
fakültelerinden	fakülte+Noun+A3pl+P3sg+Abl
imzasıyla	imza+Noun+A3sg+P3sg+Ins
temelden	temel+Noun+A3sg+Pnon+Abl
yıkmaya	yık+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
boyutlara	boyut+Noun+A3pl+Pnon+Dat
ulaştığı	ulaş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
arkasına	arka+Noun+A3sg+P3sg+Dat
çalışmaların	çalış+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Gen
örneğinin	örnek+Noun+A3sg+P3sg+Gen
devrimlerine	devrim+Noun+A3pl+P3sg+Dat
düzenlemeler	düzenle+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
sözler	söz+Noun+A3pl+Pnon+Nom
konuştuğumu	konuş+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
ilgileneceğini	ilgilen+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
şeyi	şey+Noun+A3sg+Pnon+Acc
çöpe	çöp+Noun+A3sg+Pnon+Dat
evraklarım	evrak+Noun+A3pl+P1sg+Nom
endişelenme	endişe+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oynamaya	oyna+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
kahramanlara	kahraman+Noun+A3pl+Pnon+Dat
görmek	gör+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
mutluluk	mutlu+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
sevdiğin	sev+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
sonsuza	son+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Noun+Zero+A3sg+Pnon+Dat
elini	el+Noun+A3sg+P3sg+Acc
kardeşinin	kardeş+Noun+A3sg+P3sg+Gen
omzuna	omuz+Noun+A3sg+P3sg+Dat
çocuğu	çocuk+Noun+A3sg+Pnon+Acc
omnibüse	omnibüs+Noun+A3sg+Pnon+Dat
evlerine	ev+Noun+A3pl+P3sg+Dat
yakın	yakı+Noun+A3sg+P2sg+Nom
yerde	yer+Noun+A3sg+Pnon+Loc
beşi	beş+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom
oyundan	oyun+Noun+A3sg+Pnon+Abl
dinlemesi	dinle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gitmek	git+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
geldiğinde	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
odasında	oda+Noun+A3sg+P3sg+Loc
kalbinde	kalp+Noun+A3sg+P3sg+Loc
girdiğini	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
hissettiği	hisset+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
yabancıya	yabancı+Noun+A3sg+Pnon+Dat
düşmanlık	düşman+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
kıskançlık	kıskanç+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
kolları	kol+Noun+A3pl+P3sg+Nom
boynuna	boyun+Noun+A3sg+P3sg+Dat
parmakları	parmak+Noun+A3pl+P3sg+Nom
saçlarıyla	saç+Noun+A3pl+P3sg+Ins
muhabbetle	muhabbet+Noun+A3sg+Pnon+Ins
gözlerinde	göz+Noun+A3pl+P3pl+Loc
aşağıda	aşağı+Noun+A3sg+Pnon+Loc
oğlunun	oğul+Noun+A3sg+P3sg+Gen
sofranın	sofra+Noun+A3sg+Pnon+Gen
başına	baş+Noun+A3sg+P3sg+Dat
masanın	masa+Noun+A3sg+Pnon+Gen
etrafında	etraf+Noun+A3sg+P3sg+Loc
örtünün	örtü+Noun+A3sg+Pnon+Gen
gürültüsünü	gürültü+Noun+A3sg+P3sg+Acc
arabalarının	araba+Noun+A3pl+P3sg+Gen
patırtılarını	patırtı+Noun+A3pl+P3sg+Acc
azıcık	azı+Noun+A3sg+Pnon+Nom^DB+Noun+Dim+A3sg+Pnon+Nom
vaktinin	vakit+Noun+A3sg+P3sg+Gen
dakikasını	dakika+Noun+A3sg+P3sg+Acc
hırsla	hırs+Noun+A3sg+Pnon+Ins
sesleri	ses+Noun+A3pl+P3sg+Nom
tabağını	tabak+Noun+A3sg+P3sg+Acc
öteye	öte+Noun+A3sg+Pnon+Dat
bilmek	bil+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
korkuyla	korku+Noun+A3sg+Pnon+Ins
hüzünle	hüzün+Noun+A3sg+Pnon+Ins
dudaklarından	dudak+Noun+A3pl+P3sg+Abl
makineden	makine+Noun+A3sg+Pnon+Abl
mendilini	mendil+Noun+A3sg+P3sg+Acc
altıyı	altı+Num+Card^DB+Noun+Zero+A3sg+Pnon+Acc
vurduğunda	vur+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
kapıya	kapı+Noun+A3sg+Pnon+Dat
annesine	anne+Noun+A3sg+P3sg+Dat
yalvarış	yalvar+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
öfkeden	öfke+Noun+A3sg+Pnon+Abl
deliye	deli+Adj^DB+Noun+Zero+A3sg+Pnon+Dat
sorularım	soru+Noun+A3pl+P1sg+Nom
bakışlarını	bak+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
doğruyu	doğru+Adj^DB+Noun+Zero+A3sg+Pnon+Acc
babamla	baba+Noun+A3sg+P1sg+Ins
ferahlama	ferahla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
geceler	gece+Noun+A3pl+Pnon+Nom
çektiği	çek+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
açıdan	açı+Noun+A3sg+Pnon+Abl
dobralık	dobra+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
şekilde	şekil+Noun+A3sg+Pnon+Loc
deneyimlerini	deneyim+Noun+A3pl+P3sg+Acc
hayatın	hayat+Noun+A3sg+Pnon+Gen
basitliğine	basit+Adj^DB+Noun+Ness+A3sg+P3sg+Dat
yumruklarını	yumruk+Noun+A3pl+P3pl+Acc
geçinmemizi	geçin+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Acc
aleyhinde	aleyh+Noun+A3sg+P3sg+Loc
ağzından	ağız+Noun+A3sg+P3sg+Abl
sınıftan	sınıf+Noun+A3sg+Pnon+Abl
aileye	aile+Noun+A3sg+Pnon+Dat
kadının	kadı+Noun+A3sg+Pnon+Gen
hissi	his+Noun+A3sg+P3sg+Nom
önüne	ön+Noun+A3sg+P3sg+Dat
evladın	evlat+Noun+A3sg+Pnon+Gen
unutma	unut+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
izini	iz+Noun+A3sg+P3sg+Acc
eşlik	eş+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
hareketler	hareket+Noun+A3pl+Pnon+Nom
atmosfere	atmosfer+Noun+A3sg+Pnon+Dat
tonda	ton+Noun+A3sg+Pnon+Loc
taşınması	taşı+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
eşyaların	eşya+Noun+A3pl+Pnon+Gen
uşaklar	uşak+Noun+A3pl+Pnon+Nom
telaşla	telaş+Noun+A3sg+Pnon+Ins
bagajların	bagaj+Noun+A3pl+Pnon+Gen
yerleştirilmesi	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
detaylarla	detay+Noun+A3pl+Pnon+Ins
uğurlama	uğurla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
esnasında	esna+Noun+A3sg+P3sg+Loc
camdan	cam+Noun+A3sg+Pnon+Abl
kırıklığı	kırık+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Nom
fırsatın	fırsat+Noun+A3sg+Pnon+Gen
kederlendiğini	keder+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
cümlelerini	cümle+Noun+A3pl+P3sg+Acc
ricada	rica+Noun+A3sg+Pnon+Loc
tehdidinden	tehdit+Noun+A3sg+P3sg+Abl
biçimde	biçim+Noun+A3sg+Pnon+Loc
güleceklerini	gül+Verb+Pos^DB+Noun+FutPart+A3pl+P3pl+Acc
yemeğine	yemek+Noun+A3sg+P3sg+Dat
katılmak	kat+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
göründüğünde	görün+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
şapkasıyla	şapka+Noun+A3sg+P3sg+Ins
ceketini	ceket+Noun+A3sg+P3sg+Acc
garsona	garson+Noun+A3sg+Pnon+Dat
umarım	umar+Noun+A3sg+P1sg+Nom
meseleler	mesele+Noun+A3pl+Pnon+Nom
yapılmaya	yap+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
diğerleri	diğer+Adj^DB+Noun+Zero+A3pl+P3pl+Nom
badanadan	badana+Noun+A3sg+Pnon+Abl
yüzüne	yüz+Noun+A3sg+P3sg+Dat
evlenmek	evlen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kaşlarını	kaş+Noun+A3pl+P3sg+Acc
aktrisle	aktris+Noun+A3sg+Pnon+Ins
işler	iş+Noun+A3pl+Pnon+Nom
aklını	akıl+Noun+A3sg+P3sg+Acc
nikahlar	nikah+Noun+A3pl+Pnon+Nom
şakayla	şaka+Noun+A3sg+Pnon+Ins
karşılık	karşı+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
evliliğin	evlilik+Noun+A3sg+Pnon+Gen
anısını	anı+Noun+A3sg+P3sg+Acc
nişanlılığa	nişanlı+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Dat
hatıram	hatıra+Noun+A3sg+P1sg+Nom
nişanlanmadığımı	nişanla+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
soyunu	soy+Noun+A3sg+P3sg+Acc
konumunu	konum+Noun+A3sg+P3sg+Acc
variyetini	variyet+Noun+A3sg+P3sg+Acc
altında	alt+Noun+A3sg+P2sg+Loc
davranış	davran+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
sağlamak	sağla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
söylemen	söyle+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
kesinlikle	kesin+Adj^DB+Noun+Ness+A3sg+Pnon+Ins
sebeplerden	sebep+Noun+A3pl+Pnon+Abl
tabiatını	tabiat+Noun+A3sg+P3sg+Acc
kokteylini	kokteyl+Noun+A3sg+P3sg+Acc
iyiden	iyi+Adj^DB+Noun+Zero+A3sg+Pnon+Abl
çizdiğin	çiz+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
yeteneğini	yetenek+Noun+A3sg+P3sg+Acc
hususiyetler	hususiyet+Noun+A3pl+Pnon+Nom
tesire	tesir+Noun+A3sg+Pnon+Dat
randevusunu	randevu+Noun+A3sg+P3sg+Acc
onaylayabilmen	onayla+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P2sg+Nom
konusu	konu+Noun+A3sg+P3sg+Nom
önyargılarımızı	önyargı+Noun+A3pl+P1pl+Acc
sermek	ser+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dediklerine	de+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Dat
piyesinde	piyes+Noun+A3sg+P3sg+Loc
taraftarı	taraftar+Noun+A3sg+P3sg+Nom
mahzuru	mahzur+Noun+A3sg+P3sg+Nom
mizaçlar	mizaç+Noun+A3pl+Pnon+Nom
hale	hal+Noun+A3sg+Pnon+Dat
bencilliklerini	bencil+Adj^DB+Noun+Ness+A3pl+P3sg+Acc
değiştirmedikleri	değiş+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom
başkalarının	başka+Adj^DB+Noun+Zero+A3pl+P3pl+Gen
egosunu	ego+Noun+A3sg+P3sg+Acc
yaşamak	yaşa+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
insanoğlunun	insanoğlu+Noun+A3sg+P3sg+Gen
tecrübenin	tecrübe+Noun+A3sg+Pnon+Gen
sürebilecekleri	sür+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3pl+Nom
karısı	karı+Noun+A3sg+P3sg+Nom
hayranlıkla	hayran+Adj^DB+Noun+Ness+A3sg+Pnon+Ins
etkileyici	etkile+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
bulmaya	bul+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
kelimesini	kelime+Noun+A3sg+P3sg+Acc
düşünmekten	düşün+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
hoşlanmamızın	hoşlan+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Gen
hükmüyle	hüküm+Noun+A3sg+P3sg+Ins
komşularımıza	komşu+Noun+A3pl+P1pl+Dat
güvendiğimiz	güven+Verb+Pos^DB+Noun+PastPart+A3sg+P1pl+Nom
erdemler	erdem+Noun+A3pl+Pnon+Nom
umuduyla	umut+Noun+A3sg+P3sg+Ins
bankerleri	banker+Noun+A3pl+P3sg+Nom
cüzdanımıza	cüzdan+Noun+A3sg+P1pl+Dat
dokunmayacakları	doku+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3pl+Nom
soyguncularda	soyguncu+Noun+A3pl+Pnon+Loc
özellikler	özellik+Noun+A3pl+Pnon+Nom
gelişmesi	geliş+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
bozmak	boz+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
erkekler	erkek+Noun+A3pl+Pnon+Nom
bağlar	bağ+Noun+A3pl+Pnon+Nom
cazibesini	cazibe+Noun+A3sg+P3sg+Acc
burada	bura+Noun+A3sg+Pnon+Loc
fazlasını	fazla+Adj^DB+Noun+Zero+A3sg+P3sg+Acc
pelerinini	pelerin+Noun+A3sg+P3sg+Acc
arkadaşlarının	arkadaş+Noun+A3pl+P3sg+Gen
ikiniz	iki+Num+Card^DB+Noun+Zero+A3sg+P2pl+Nom
ömrümce	ömür+Noun+A3sg+P1sg+Equ
mutluluktan	mut+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Ness+A3sg+Pnon+Abl
lafa	laf+Noun+A3sg+Pnon+Dat
aşçıbaşımın	aşçıbaşı+Noun+A3sg+P1sg+Gen
marifetlerini	marifet+Noun+A3pl+P3sg+Acc
bittiğini	bit+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ayrıldıktan	ayır+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
restoranda	restoran+Noun+A3sg+Pnon+Loc
sekizde	sekiz+Num+Card^DB+Noun+Zero+A3sg+Pnon+Loc
tiyatroya	tiyatro+Noun+A3sg+Pnon+Dat
gülünçlüğüne	gülünç+Adj^DB+Noun+Ness+A3sg+P3sg+Dat
rengi	renk+Noun+A3sg+Pnon+Acc
gömlekle	gömlek+Noun+A3sg+Pnon+Ins
tüyleriyle	tüy+Noun+A3pl+P3sg+Ins
çizgileri	çizgi+Noun+A3pl+P3sg+Nom
atölyende	atölye+Noun+A3sg+P2sg+Loc
heykelinin	heykel+Noun+A3sg+P3sg+Gen
zarafetini	zarafet+Noun+A3sg+P3sg+Acc
üstünde	üst+Noun+A3sg+P3sg+Loc
yapraklar	yaprak+Noun+A3pl+Pnon+Nom
locada	loca+Noun+A3sg+Pnon+Loc
yüzyılda	yüzyıl+Noun+A3sg+Pnon+Loc
sevgilimle	sevgili+Noun+A3sg+P1sg+Ins
kimseciklerin	kimse+Noun+A3sg+Pnon+Nom^DB+Noun+Dim+A3pl+Pnon+Gen
ormanda	orman+Noun+A3sg+Pnon+Loc
erdikten	er+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
hazzın	haz+Noun+A3sg+Pnon+Gen
muhteşemliğinden	muhteşem+Adj^DB+Noun+Ness+A3sg+P3sg+Abl
dizlerime	diz+Noun+A3pl+P1sg+Dat
ellerimi	elle+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3sg+P1sg+Acc
anlatmamam	anla+Verb^DB+Verb+Caus+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
gerektiğini	gerek+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
yoksulluğun	yoksul+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Gen
pençesinden	pençe+Noun+A3sg+P3sg+Abl
karımı	kar+Noun+A3sg+P1sg+Acc
fikirlerini	fikir+Noun+A3pl+P3sg+Acc
kulaklarıma	kulak+Noun+A3pl+P1sg+Dat
tavırla	tavır+Noun+A3sg+Pnon+Ins
şampanyasını	şampanya+Noun+A3sg+P3sg+Acc
hususunda	husus+Noun+A3sg+P3sg+Loc
mukavelesi	mukavele+Noun+A3sg+P3sg+Nom
öneride	öneri+Noun+A3sg+Pnon+Loc
kıyasladığımda	kıyasla+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Loc
bizlerden	biz+Noun+A3pl+Pnon+Abl
ekseriyetle	ekseriyet+Noun+A3sg+Pnon+Ins
sorabilme	sor+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+Pnon+Nom
bahanesi	bahane+Noun+A3sg+P3sg+Nom
teorim	teori+Noun+A3sg+P1sg+Nom
inancı	inanç+Noun+A3sg+P3sg+Nom
öğrettiğin	öğret+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
yanlışlarını	yanlış+Noun+A3pl+P3sg+Acc
zehirleyici	zehirle+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
konmaya	kon+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
onayın	onay+Noun+A3sg+Pnon+Gen
sandalyesinde	sandalye+Noun+A3sg+P3sg+Loc
geriye	geri+Noun+A3sg+Pnon+Dat
demetinin	demet+Noun+A3sg+P3sg+Gen
kastın	kast+Noun+A3sg+Pnon+Gen
kadehinin	kadeh+Noun+A3sg+P3sg+Gen
sapına	sap+Noun+A3sg+P3sg+Dat
yargılarını	yargı+Noun+A3pl+P3sg+Acc
bireyciliğin	bireyci+Adj^DB+Noun+Ness+A3sg+Pnon+Gen
amacı	amaç+Noun+A3sg+Pnon+Acc
ahlakçılık	ahlak+Noun+A3sg+Pnon+Nom^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
anlayışı	anlayış+Noun+A3sg+Pnon+Acc
çağın	çağ+Noun+A3sg+Pnon+Gen
standartlarını	standart+Noun+A3pl+P3sg+Acc
şimdilerde	şimdi+Noun+A3pl+Pnon+Loc
derecede	derece+Noun+A3sg+Pnon+Loc
fakirliğin	fakir+Adj^DB+Noun+Ness+A3sg+Pnon+Gen
trajedisi	trajedi+Noun+A3sg+P3sg+Nom
feragattan	feragat+Noun+A3sg+Pnon+Abl
güçlerinin	güç+Noun+A3pl+P3sg+Gen
günahlar	günah+Noun+A3pl+Pnon+Nom
zenginlerin	zengin+Adj^DB+Noun+Zero+A3pl+Pnon+Gen
düştüğünün	düş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
varmakla	var+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
sanatı	sanat+Noun+A3sg+P3sg+Nom
duyguların	duygu+Noun+A3pl+Pnon+Gen
modası	moda+Noun+A3sg+P3sg+Nom
romanda	roman+Noun+A3sg+Pnon+Loc
pişmanlık	pişman+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
meyvelerle	meyve+Noun+A3pl+Pnon+Ins
duyulmak	duy+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
tanrılarına	tanrı+Noun+A3pl+P3sg+Dat
taparlar	tap+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
dileğiyle	dilek+Noun+A3sg+P3sg+Ins
mücevherini	mücevher+Noun+A3sg+P3sg+Acc
galeyana	galeyan+Noun+A3sg+Pnon+Dat
şaheserler	şaheser+Noun+A3pl+Pnon+Nom
