indi	in+Verb+Pos+Past+A3sg
tekrarladı	tekrarla+Verb+Pos+Past+A3sg
parladı	parla+Verb+Pos+Past+A3sg
dinlediniz	dinle+Verb+Pos+Past+A2pl
yaptım	yap+Verb+Pos+Past+A1sg
verdiniz	ver+Verb+Pos+Past+A2pl
miydim	mi+Ques+Past+A1sg
çevirmediniz	çevir+Verb+Neg+Past+A2pl
reddetmediniz	reddet+Verb+Neg+Past+A2pl
buruştu	buruş+Verb+Pos+Past+A3sg
tuttu	tut+Verb+Pos+Past+A3sg
yalvardınız	yalvar+Verb+Pos+Past+A2pl
dediniz	de+Verb+Pos+Past+A2pl
görmedim	gör+Verb+Neg+Past+A1sg
vurdum	vur+Verb+Pos+Past+A1sg
vardınız	var+Verb+Pos+Past+A2pl
sordunuz	sor+Verb+Pos+Past+A2pl
istemedik	iste+Verb+Neg+Past+A1pl
köpürdü	köpür+Verb+Pos+Past+A3sg
olduk	ol+Verb+Pos+Past+A1pl
kavradı	kavra+Verb+Pos+Past+A3sg
doğdu	doğ+Verb+Pos+Past+A3sg
vuruldunuz	vurul+Verb+Pos+Past+A2pl
verdim	ver+Verb+Pos+Past+A1sg
ilişti	iliş+Verb+Pos+Past+A3sg
öğrendim	öğren+Verb+Pos+Past+A1sg
fırladı	fırla+Verb+Pos+Past+A3sg
anlattı	anlat+Verb+Pos+Past+A3sg
döndü	dön+Verb+Pos+Past+A3sg
oldum	ol+Verb+Pos+Past+A1sg
konuştunuz	konuş+Verb+Pos+Past+A2pl
anladınız	anla+Verb+Pos+Past+A2pl
öğrendiniz	öğren+Verb+Pos+Past+A2pl
büktü	bük+Verb+Pos+Past+A3sg
uğraştım	uğraş+Verb+Pos+Past+A1sg
kaldım	kal+Verb+Pos+Past+A1sg
çıkmadı	çık+Verb+Neg+Past+A3sg
götürdüm	götür+Verb+Pos+Past+A1sg
kötülediniz	kötüle+Verb+Pos+Past+A2pl
kapadım	kapa+Verb+Pos+Past+A1sg
vardım	var+Verb+Pos+Past+A1sg
ettim	et+Verb+Pos+Past+A1sg
etmediniz	et+Verb+Neg+Past+A2pl
karşıladınız	karşıla+Verb+Pos+Past+A2pl
ekledi	ekle+Verb+Pos+Past+A3sg
inledi	inle+Verb+Pos+Past+A3sg
mahvettim	mahvet+Verb+Pos+Past+A1sg
savdık	sav+Verb+Pos+Past+A1pl
duydunuz	duy+Verb+Pos+Past+A2pl
muydun	mu+Ques+Past+A2sg
daldı	dal+Verb+Pos+Past+A3sg
bastı	bas+Verb+Pos+Past+A3sg
uğradı	uğra+Verb+Pos+Past+A3sg
bozdu	boz+Verb+Pos+Past+A3sg
tekrarladım	tekrarla+Verb+Pos+Past+A1sg
öğrendiler	öğren+Verb+Pos+Past+A3pl
bastık	bas+Verb+Pos+Past+A1pl
muydu	mu+Ques+Past+A3sg
diktin	dik+Verb+Pos+Past+A2sg
yapmadın	yap+Verb+Neg+Past+A2sg
dedim	de+Verb+Pos+Past+A1sg
dediler	de+Verb+Pos+Past+A3pl
ettin	et+Verb+Pos+Past+A2sg
bırakmadı	bırak+Verb+Neg+Past+A3sg
bağladı	bağla+Verb+Pos+Past+A3sg
zannetti	zannet+Verb+Pos+Past+A3sg
bakındı	bakın+Verb+Pos+Past+A3sg
şaşırmadı	şaşır+Verb+Neg+Past+A3sg
geldiler	gel+Verb+Pos+Past+A3pl
doladı	dola+Verb+Pos+Past+A3sg
yakaladı	yakala+Verb+Pos+Past+A3sg
sandı	san+Verb+Pos+Past+A3sg
eğdi	eğ+Verb+Pos+Past+A3sg
açtı	aç+Verb+Pos+Past+A3sg
bulunmadı	bulun+Verb+Neg+Past+A3sg
seslendi	seslen+Verb+Pos+Past+A3sg
denedi	dene+Verb+Pos+Past+A3sg
kalmadı	kal+Verb+Neg+Past+A3sg
attı	at+Verb+Pos+Past+A3sg
kaybetmedi	kaybet+Verb+Neg+Past+A3sg
takırdadı	takırda+Verb+Pos+Past+A3sg
yetişti	yetiş+Verb+Pos+Past+A3sg
yöneldiler	yönel+Verb+Pos+Past+A3pl
onayladı	onayla+Verb+Pos+Past+A3sg
zannettiniz	zannet+Verb+Pos+Past+A2pl
aradı	ara+Verb+Pos+Past+A3sg
yattı	yat+Verb+Pos+Past+A3sg
alıştı	alış+Verb+Pos+Past+A3sg
yetindi	yetin+Verb+Pos+Past+A3sg
anladı	anla+Verb+Pos+Past+A3sg
öğrendi	öğren+Verb+Pos+Past+A3sg
almadı	al+Verb+Neg+Past+A3sg
atladı	atla+Verb+Pos+Past+A3sg
demedi	de+Verb+Neg+Past+A3sg
çalıştı	çalış+Verb+Pos+Past+A3sg
kurdu	kur+Verb+Pos+Past+A3sg
yağladı	yağla+Verb+Pos+Past+A3sg
tırmandı	tırman+Verb+Pos+Past+A3sg
uçtu	uç+Verb+Pos+Past+A3sg
çarptı	çarp+Verb+Pos+Past+A3sg
ısırdı	ısır+Verb+Pos+Past+A3sg
azarladı	azarla+Verb+Pos+Past+A3sg
kalkışmadı	kalkış+Verb+Neg+Past+A3sg
tanıdık	tanı+Verb+Pos+Past+A1pl
oluştu	oluş+Verb+Pos+Past+A3sg
götürdük	götür+Verb+Pos+Past+A1pl
vazgeçtik	vazgeç+Verb+Pos+Past+A1pl
hatırladık	hatırla+Verb+Pos+Past+A1pl
korktum	kork+Verb+Pos+Past+A1sg
boyadılar	boya+Verb+Pos+Past+A3pl
azarladım	azarla+Verb+Pos+Past+A1sg
ettiler	et+Verb+Pos+Past+A3pl
uğradık	uğra+Verb+Pos+Past+A1pl
almadım	al+Verb+Neg+Past+A1sg
doldum	dol+Verb+Pos+Past+A1sg
yürüdüm	yürü+Verb+Pos+Past+A1sg
başladım	başla+Verb+Pos+Past+A1sg
boyadı	boya+Verb+Pos+Past+A3sg
bozmadı	boz+Verb+Neg+Past+A3sg
durdum	dur+Verb+Pos+Past+A1sg
çekişti	çekiş+Verb+Pos+Past+A3sg
döndüm	dön+Verb+Pos+Past+A1sg
yaklaştım	yaklaş+Verb+Pos+Past+A1sg
doğruldu	doğrul+Verb+Pos+Past+A3sg
yöneldi	yönel+Verb+Pos+Past+A3sg
şükrettim	şükret+Verb+Pos+Past+A1sg
bıraktı	bırak+Verb+Pos+Past+A3sg
başladık	başla+Verb+Pos+Past+A1pl
ekledim	ekle+Verb+Pos+Past+A1sg
gelmedi	gel+Verb+Neg+Past+A3sg
yeğledim	yeğle+Verb+Pos+Past+A1sg
söylemediniz	söyle+Verb+Neg+Past+A2pl
söylediniz	söyle+Verb+Pos+Past+A2pl
hoşlanmadım	hoşlan+Verb+Neg+Past+A1sg
kaçtı	kaç+Verb+Pos+Past+A3sg
tanışmadım	tanış+Verb+Neg+Past+A1sg
istedim	iste+Verb+Pos+Past+A1sg
bağırdım	bağır+Verb+Pos+Past+A1sg
sezdiniz	sez+Verb+Pos+Past+A2pl
sandım	san+Verb+Pos+Past+A1sg
etmedim	et+Verb+Neg+Past+A1sg
sevindim	sevin+Verb+Pos+Past+A1sg
geldik	gel+Verb+Pos+Past+A1pl
bitti	bit+Verb+Pos+Past+A3sg
haykırdım	haykır+Verb+Pos+Past+A1sg
tanıdınız	tanı+Verb+Pos+Past+A2pl
çekti	çek+Verb+Pos+Past+A3sg
gülümsedi	gülümse+Verb+Pos+Past+A3sg
değildin	değil+Verb+Neg+Past+A2sg
serpti	serp+Verb+Pos+Past+A3sg
seyretti	seyret+Verb+Pos+Past+A3sg
vazgeçti	vazgeç+Verb+Pos+Past+A3sg
şaşırdı	şaşır+Verb+Pos+Past+A3sg
attılar	at+Verb+Pos+Past+A3pl
tıktılar	tık+Verb+Pos+Past+A3pl
korktu	kork+Verb+Pos+Past+A3sg
döktü	dök+Verb+Pos+Past+A3sg
kovdu	kov+Verb+Pos+Past+A3sg
geldin	gel+Verb+Pos+Past+A2sg
girdiler	gir+Verb+Pos+Past+A3pl
dikti	dik+Verb+Pos+Past+A3sg
tanıdı	tanı+Verb+Pos+Past+A3sg
eğdiler	eğ+Verb+Pos+Past+A3pl
yıprandı	yıpran+Verb+Pos+Past+A3sg
kaçtım	kaç+Verb+Pos+Past+A1sg
düşündüm	düşün+Verb+Pos+Past+A1sg
soğudu	soğu+Verb+Pos+Past+A3sg
kalktı	kalk+Verb+Pos+Past+A3sg
girişti	giriş+Verb+Pos+Past+A3sg
konuşmadı	konuş+Verb+Neg+Past+A3sg
bıraktılar	bırak+Verb+Pos+Past+A3pl
içtiler	iç+Verb+Pos+Past+A3pl
çıktılar	çık+Verb+Pos+Past+A3pl
yaklaştılar	yaklaş+Verb+Pos+Past+A3pl
durdular	dur+Verb+Pos+Past+A3pl
sürdüler	sür+Verb+Pos+Past+A3pl
ittim	it+Verb+Pos+Past+A1sg
karıştım	karış+Verb+Pos+Past+A1sg
bahsetmediniz	bahset+Verb+Neg+Past+A2pl
olmadı	ol+Verb+Neg+Past+A3sg
sattık	sat+Verb+Pos+Past+A1pl
gittik	git+Verb+Pos+Past+A1pl
çapaladım	çapala+Verb+Pos+Past+A1sg
zannettin	zannet+Verb+Pos+Past+A2sg
topladık	topla+Verb+Pos+Past+A1pl
verdik	ver+Verb+Pos+Past+A1pl
böldük	böl+Verb+Pos+Past+A1pl
yaptık	yap+Verb+Pos+Past+A1pl
çömeldi	çömel+Verb+Pos+Past+A3sg
verdin	ver+Verb+Pos+Past+A2sg
verdiler	ver+Verb+Pos+Past+A3pl
sürdüm	sür+Verb+Pos+Past+A1sg
baktılar	bak+Verb+Pos+Past+A3pl
değişti	değiş+Verb+Pos+Past+A3sg
belirdi	belir+Verb+Pos+Past+A3sg
benzedi	benze+Verb+Pos+Past+A3sg
sarkıttı	sarkıt+Verb+Pos+Past+A3sg
sırıttı	sırıt+Verb+Pos+Past+A3sg
toparladılar	toparla+Verb+Pos+Past+A3pl
anlaştık	anlaş+Verb+Pos+Past+A1pl
baltaladın	baltala+Verb+Pos+Past+A2sg
döndüler	dön+Verb+Pos+Past+A3pl
aldılar	al+Verb+Pos+Past+A3pl
gülmediler	gül+Verb+Neg+Past+A3pl
yürüdüler	yürü+Verb+Pos+Past+A3pl
gömdüler	göm+Verb+Pos+Past+A3pl
seyrettiler	seyret+Verb+Pos+Past+A3pl
yüklediler	yükle+Verb+Pos+Past+A3pl
gittiler	git+Verb+Pos+Past+A3pl
kayboldular	kaybol+Verb+Pos+Past+A3pl
tekmeledi	tekmele+Verb+Pos+Past+A3sg
gezdi	gez+Verb+Pos+Past+A3sg
böğürdü	böğür+Verb+Pos+Past+A3sg
işitti	işit+Verb+Pos+Past+A3sg
unuttu	unut+Verb+Pos+Past+A3sg
kaşıdı	kaşı+Verb+Pos+Past+A3sg
zannettim	zannet+Verb+Pos+Past+A1sg
istemedi	iste+Verb+Neg+Past+A3sg
ilikledi	ilikle+Verb+Pos+Past+A3sg
yumurtladı	yumurtla+Verb+Pos+Past+A3sg
girdim	gir+Verb+Pos+Past+A1sg
karşıladı	karşıla+Verb+Pos+Past+A3sg
salladım	salla+Verb+Pos+Past+A1sg
oturdum	otur+Verb+Pos+Past+A1sg
düştünüz	düş+Verb+Pos+Past+A2pl
cevapladı	cevapla+Verb+Pos+Past+A3sg
seslendik	seslen+Verb+Pos+Past+A1pl
görmedi	gör+Verb+Neg+Past+A3sg
buldu	bul+Verb+Pos+Past+A3sg
bahsetti	bahset+Verb+Pos+Past+A3sg
çalıştım	çalış+Verb+Pos+Past+A1sg
uyandım	uyan+Verb+Pos+Past+A1sg
kilitledi	kilitle+Verb+Pos+Past+A3sg
ilgilenmedi	ilgilen+Verb+Neg+Past+A3sg
buldum	bul+Verb+Pos+Past+A1sg
girdik	gir+Verb+Pos+Past+A1pl
geldim	gel+Verb+Pos+Past+A1sg
yoksundu	yoksun+Verb+Pos+Past+A3sg
mıydınız	mı+Ques+Past+A2pl
konuştun	konuş+Verb+Pos+Past+A2sg
bilmedi	bil+Verb+Neg+Past+A3sg
aldım	al+Verb+Pos+Past+A1sg
ödedi	öde+Verb+Pos+Past+A3sg
böldü	böl+Verb+Pos+Past+A3sg
tuttum	tut+Verb+Pos+Past+A1sg
çıktık	çık+Verb+Pos+Past+A1pl
karşılaştık	karşılaş+Verb+Pos+Past+A1pl
açıkladım	açıkla+Verb+Pos+Past+A1sg
tanıdım	tanı+Verb+Pos+Past+A1sg
bekledim	bekle+Verb+Pos+Past+A1sg
titredim	titre+Verb+Pos+Past+A1sg
yürüdük	yürü+Verb+Pos+Past+A1pl
seslendim	seslen+Verb+Pos+Past+A1sg
dürttü	dürt+Verb+Pos+Past+A3sg
utandım	utan+Verb+Pos+Past+A1sg
durmadı	dur+Verb+Neg+Past+A3sg
hissettim	hisset+Verb+Pos+Past+A1sg
destekledi	destekle+Verb+Pos+Past+A3sg
yaşadı	yaşa+Verb+Pos+Past+A3sg
durduk	dur+Verb+Pos+Past+A1pl
yattım	yat+Verb+Pos+Past+A1sg
şaşırmadım	şaşır+Verb+Neg+Past+A1sg
yarıştılar	yarış+Verb+Pos+Past+A3pl
başardı	başar+Verb+Pos+Past+A3sg
çürüdük	çürü+Verb+Pos+Past+A1pl
sürdü	sür+Verb+Pos+Past+A3sg
oturduk	otur+Verb+Pos+Past+A1pl
indik	in+Verb+Pos+Past+A1pl
çırptı	çırp+Verb+Pos+Past+A3sg
kaldırdı	kaldır+Verb+Pos+Past+A3sg
vurdu	vur+Verb+Pos+Past+A3sg
sıçradı	sıçra+Verb+Pos+Past+A3sg
kazandın	kazan+Verb+Pos+Past+A2sg
sildim	sil+Verb+Pos+Past+A1sg
çağırdı	çağır+Verb+Pos+Past+A3sg
öptüm	öp+Verb+Pos+Past+A1sg
atmadım	at+Verb+Neg+Past+A1sg
örttüm	ört+Verb+Pos+Past+A1sg
getirdik	getir+Verb+Pos+Past+A1pl
bulduk	bul+Verb+Pos+Past+A1pl
girmedi	gir+Verb+Neg+Past+A3sg
emretti	emret+Verb+Pos+Past+A3sg
getirdiler	getir+Verb+Pos+Past+A3pl
yaklaştık	yaklaş+Verb+Pos+Past+A1pl
gördük	gör+Verb+Pos+Past+A1pl
duyduk	duy+Verb+Pos+Past+A1pl
gönderdiler	gönder+Verb+Pos+Past+A3pl
şaştı	şaş+Verb+Pos+Past+A3sg
yükseldi	yüksel+Verb+Pos+Past+A3sg
övdü	öv+Verb+Pos+Past+A3sg
eğdim	eğ+Verb+Pos+Past+A1sg
baktık	bak+Verb+Pos+Past+A1pl
döndük	dön+Verb+Pos+Past+A1pl
değildim	değil+Verb+Neg+Past+A1sg
okudum	oku+Verb+Pos+Past+A1sg
inmedim	in+Verb+Neg+Past+A1sg
aştım	aş+Verb+Pos+Past+A1sg
güldük	gül+Verb+Pos+Past+A1pl
öldü	öl+Verb+Pos+Past+A3sg
taşındılar	taşın+Verb+Pos+Past+A3pl
yerleşti	yerleş+Verb+Pos+Past+A3sg
tanıştı	tanış+Verb+Pos+Past+A3sg
benimsedi	benimse+Verb+Pos+Past+A3sg
bağışladı	bağışla+Verb+Pos+Past+A3sg
topladı	topla+Verb+Pos+Past+A3sg
birleşti	birleş+Verb+Pos+Past+A3sg
korudu	koru+Verb+Pos+Past+A3sg
saklamadı	sakla+Verb+Neg+Past+A3sg
izledi	izle+Verb+Pos+Past+A3sg
yayımladı	yayımla+Verb+Pos+Past+A3sg
kazandı	kazan+Verb+Pos+Past+A3sg
benimsemedi	benimse+Verb+Neg+Past+A3sg
yaladı	yala+Verb+Pos+Past+A3sg
dedin	de+Verb+Pos+Past+A2sg
tutmadı	tut+Verb+Neg+Past+A3sg
çaldı	çal+Verb+Pos+Past+A3sg
yalvardı	yalvar+Verb+Pos+Past+A3sg
götürdüler	götür+Verb+Pos+Past+A3pl
ağladı	ağla+Verb+Pos+Past+A3sg
ölmedi	öl+Verb+Neg+Past+A3sg
çatladı	çatla+Verb+Pos+Past+A3sg
dönmedi	dön+Verb+Neg+Past+A3sg
kokladı	kokla+Verb+Pos+Past+A3sg
buldular	bul+Verb+Pos+Past+A3pl
içti	iç+Verb+Pos+Past+A3sg
çektim	çek+Verb+Pos+Past+A1sg
eğlendin	eğlen+Verb+Pos+Past+A2sg
oldular	ol+Verb+Pos+Past+A3pl
sustu	sus+Verb+Pos+Past+A3sg
astı	as+Verb+Pos+Past+A3sg
yaşadın	yaşa+Verb+Pos+Past+A2sg
yaşamadı	yaşa+Verb+Neg+Past+A3sg
küçüldüler	küçül+Verb+Pos+Past+A3pl
aldın	al+Verb+Pos+Past+A2sg
sözetti	sözet+Verb+Pos+Past+A3sg
anladın	anla+Verb+Pos+Past+A2sg
öğrendin	öğren+Verb+Pos+Past+A2sg
edindim	edin+Verb+Pos+Past+A1sg
yalvardım	yalvar+Verb+Pos+Past+A1sg
getirdim	getir+Verb+Pos+Past+A1sg
tutundum	tutun+Verb+Pos+Past+A1sg
vermedim	ver+Verb+Neg+Past+A1sg
yapıştım	yapış+Verb+Pos+Past+A1sg
çevirdim	çevir+Verb+Pos+Past+A1sg
yağladım	yağla+Verb+Pos+Past+A1sg
bakındım	bakın+Verb+Pos+Past+A1sg
koştum	koş+Verb+Pos+Past+A1sg
derdim	der+Verb+Pos+Past+A1sg
kaptı	kap+Verb+Pos+Past+A3sg
uydum	uy+Verb+Pos+Past+A1sg
keşfetti	keşfet+Verb+Pos+Past+A3sg
kullandı	kullan+Verb+Pos+Past+A3sg
çevreledi	çevrele+Verb+Pos+Past+A3sg
büyüttü	büyüt+Verb+Pos+Past+A3sg
büyüttün	büyüt+Verb+Pos+Past+A2sg
koydum	koy+Verb+Pos+Past+A1sg
yuttu	yut+Verb+Pos+Past+A3sg
kaçmadı	kaç+Verb+Neg+Past+A3sg
ölmedin	öl+Verb+Neg+Past+A2sg
kurtuldu	kurtul+Verb+Pos+Past+A3sg
düşünmedim	düşün+Verb+Neg+Past+A1sg
kalktım	kalk+Verb+Pos+Past+A1sg
anlamadım	anla+Verb+Neg+Past+A1sg
anlamadı	anla+Verb+Neg+Past+A3sg
öksürdü	öksür+Verb+Pos+Past+A3sg
büyütmedim	büyüt+Verb+Neg+Past+A1sg
indim	in+Verb+Pos+Past+A1sg
sardım	sar+Verb+Pos+Past+A1sg
çaldım	çal+Verb+Pos+Past+A1sg
açtım	aç+Verb+Pos+Past+A1sg
küfretti	küfret+Verb+Pos+Past+A3sg
ıskaladı	ıskala+Verb+Pos+Past+A3sg
tökezledi	tökezle+Verb+Pos+Past+A3sg
kaybettim	kaybet+Verb+Pos+Past+A1sg
getirmedin	getir+Verb+Neg+Past+A2sg
takmadın	tak+Verb+Neg+Past+A2sg
hissettiler	hisset+Verb+Pos+Past+A3pl
gördüler	gör+Verb+Pos+Past+A3pl
utandı	utan+Verb+Pos+Past+A3sg
başladınız	başla+Verb+Pos+Past+A2pl
tanımadı	tanı+Verb+Neg+Past+A3sg
sevdi	sev+Verb+Pos+Past+A3sg
uğradım	uğra+Verb+Pos+Past+A1sg
etmedik	et+Verb+Neg+Past+A1pl
örmediniz	ör+Verb+Neg+Past+A2pl
ödediniz	öde+Verb+Pos+Past+A2pl
kurtardınız	kurtar+Verb+Pos+Past+A2pl
attım	at+Verb+Pos+Past+A1sg
soktular	sok+Verb+Pos+Past+A3pl
koştu	koş+Verb+Pos+Past+A3sg
soktu	sok+Verb+Pos+Past+A3sg
uzadı	uza+Verb+Pos+Past+A3sg
sarktı	sark+Verb+Pos+Past+A3sg
kullandılar	kullan+Verb+Pos+Past+A3pl
bayıldı	bayıl+Verb+Pos+Past+A3sg
bekledi	bekle+Verb+Pos+Past+A3sg
yapmadı	yap+Verb+Neg+Past+A3sg
bayılmadı	bayıl+Verb+Neg+Past+A3sg
yazdı	yaz+Verb+Pos+Past+A3sg
sattı	sat+Verb+Pos+Past+A3sg
ezberledim	ezberle+Verb+Pos+Past+A1sg
afalladı	afalla+Verb+Pos+Past+A3sg
sıktım	sık+Verb+Pos+Past+A1sg
oldunuz	ol+Verb+Pos+Past+A2pl
göndermedi	gönder+Verb+Neg+Past+A3sg
yaradı	yara+Verb+Pos+Past+A3sg
göstermedi	göster+Verb+Neg+Past+A3sg
davrandın	davran+Verb+Pos+Past+A2sg
gösterdim	göster+Verb+Pos+Past+A1sg
istemedim	iste+Verb+Neg+Past+A1sg
gitmedi	git+Verb+Neg+Past+A3sg
gördünüz	gör+Verb+Pos+Past+A2pl
iletti	ilet+Verb+Pos+Past+A3sg
katladı	katla+Verb+Pos+Past+A3sg
düzeldi	düzel+Verb+Pos+Past+A3sg
afalladım	afalla+Verb+Pos+Past+A1sg
diktim	dik+Verb+Pos+Past+A1sg
buldun	bul+Verb+Pos+Past+A2sg
yazdım	yaz+Verb+Pos+Past+A1sg
dayadı	daya+Verb+Pos+Past+A3sg
cevapladım	cevapla+Verb+Pos+Past+A1sg
vardık	var+Verb+Pos+Past+A1pl
yolladım	yolla+Verb+Pos+Past+A1sg
sağladı	sağla+Verb+Pos+Past+A3sg
ürperdim	ürper+Verb+Pos+Past+A1sg
başardım	başar+Verb+Pos+Past+A1sg
istediniz	iste+Verb+Pos+Past+A2pl
arttı	art+Verb+Pos+Past+A3sg
yaktım	yak+Verb+Pos+Past+A1sg
taktım	tak+Verb+Pos+Past+A1sg
görmedik	gör+Verb+Neg+Past+A1pl
uyudum	uyu+Verb+Pos+Past+A1sg
