vermezsin	ver+Verb+Neg+Aor+A2sg
bakar	bak+Verb+Pos+Aor+A3sg
dersiniz	de+Verb+Pos+Aor+A2pl
verir	ver+Verb+Pos+Aor+A3sg
ölürüm	öl+Verb+Pos+Aor+A1sg
sever	sev+Verb+Pos+Aor+A3sg
severim	sev+Verb+Pos+Aor+A1sg
koşarım	koş+Verb+Pos+Aor+A1sg
gelirim	gel+Verb+Pos+Aor+A1sg
ihtiyarlar	ihtiyarla+Verb+Pos+Aor+A3sg
bırakmam	bırak+Verb+Neg+Aor+A1sg
alırlar	al+Verb+Pos+Aor+A3pl
yeter	yet+Verb+Pos+Aor+A3sg
yatırırım	yatır+Verb+Pos+Aor+A1sg
inanır	inan+Verb+Pos+Aor+A3sg
reddetmezsiniz	reddet+Verb+Neg+Aor+A2pl
edersiniz	et+Verb+Pos+Aor+A2pl
öğrenirim	öğren+Verb+Pos+Aor+A1sg
bilirim	bil+Verb+Pos+Aor+A1sg
konuşur	konuş+Verb+Pos+Aor+A3sg
güler	gül+Verb+Pos+Aor+A3sg
küçümser	küçümse+Verb+Pos+Aor+A3sg
hesaplar	hesapla+Verb+Pos+Aor+A3sg
düşünmez	düşün+Verb+Neg+Aor+A3sg
ederiz	et+Verb+Pos+Aor+A1pl
yaparız	yap+Verb+Pos+Aor+A1pl
çıkarım	çık+Verb+Pos+Aor+A1sg
olursun	ol+Verb+Pos+Aor+A2sg
çıkar	çık+Verb+Pos+Aor+A3sg
gerekir	gerek+Verb+Pos+Aor+A3sg
sayar	say+Verb+Pos+Aor+A3sg
mahvolur	mahvol+Verb+Pos+Aor+A3sg
vazgeçer	vazgeç+Verb+Pos+Aor+A3sg
yapışır	yapış+Verb+Pos+Aor+A3sg
getiririm	getir+Verb+Pos+Aor+A1sg
gideriz	git+Verb+Pos+Aor+A1pl
atar	at+Verb+Pos+Aor+A3sg
atmaz	at+Verb+Neg+Aor+A3sg
duyar	duy+Verb+Pos+Aor+A3sg
işitiriz	işit+Verb+Pos+Aor+A1pl
yakışır	yakış+Verb+Pos+Aor+A3sg
alışır	alış+Verb+Pos+Aor+A3sg
çıkmaz	çık+Verb+Neg+Aor+A3sg
görmez	gör+Verb+Neg+Aor+A3sg
eğmez	eğ+Verb+Neg+Aor+A3sg
yemez	ye+Verb+Neg+Aor+A3sg
dilerim	dil+Verb+Pos+Aor+A1sg
tanımaz	tanı+Verb+Neg+Aor+A3sg
tanırım	tanı+Verb+Pos+Aor+A1sg
olurum	ol+Verb+Pos+Aor+A1sg
konuşurum	konuş+Verb+Pos+Aor+A1sg
böbürlenir	böbürlen+Verb+Pos+Aor+A3sg
der	de+Verb+Pos+Aor+A3sg
sorar	sor+Verb+Pos+Aor+A3sg
durursunuz	dur+Verb+Pos+Aor+A2pl
bakarsınız	bak+Verb+Pos+Aor+A2pl
istemez	iste+Verb+Neg+Aor+A3sg
anlar	anla+Verb+Pos+Aor+A3sg
girer	gir+Verb+Pos+Aor+A3sg
olursunuz	ol+Verb+Pos+Aor+A2pl
yeltenmez	yelten+Verb+Neg+Aor+A3sg
gider	git+Verb+Pos+Aor+A3sg
hoşlanırım	hoşlan+Verb+Pos+Aor+A1sg
beklersiniz	bekle+Verb+Pos+Aor+A2pl
dururum	dur+Verb+Pos+Aor+A1sg
şaşar	şaş+Verb+Pos+Aor+A3sg
kalırsınız	kal+Verb+Pos+Aor+A2pl
benzer	benze+Verb+Pos+Aor+A3sg
yakar	yak+Verb+Pos+Aor+A3sg
duymam	duy+Verb+Neg+Aor+A1sg
bilmezsiniz	bil+Verb+Neg+Aor+A2pl
gelmem	gel+Verb+Neg+Aor+A1sg
darılmam	darıl+Verb+Neg+Aor+A1sg
geçmez	geç+Verb+Neg+Aor+A3sg
isterim	iste+Verb+Pos+Aor+A1sg
benimserim	benimse+Verb+Pos+Aor+A1sg
yakalarlar	yakala+Verb+Pos+Aor+A3pl
yaramaz	yara+Verb+Neg+Aor+A3sg
görür	gör+Verb+Pos+Aor+A3sg
sokarım	sok+Verb+Pos+Aor+A1sg
sürer	sür+Verb+Pos+Aor+A3sg
edersin	et+Verb+Pos+Aor+A2sg
anlamaz	anla+Verb+Neg+Aor+A3sg
tanımazsın	tanı+Verb+Neg+Aor+A2sg
çıkarız	çık+Verb+Pos+Aor+A1pl
yükleriz	yükle+Verb+Pos+Aor+A1pl
inmem	in+Verb+Neg+Aor+A1sg
bırakırım	bırak+Verb+Pos+Aor+A1sg
vurur	vur+Verb+Pos+Aor+A3sg
dururlar	dur+Verb+Pos+Aor+A3pl
bayılır	bayıl+Verb+Pos+Aor+A3sg
başlarız	başla+Verb+Pos+Aor+A1pl
başlarsın	başla+Verb+Pos+Aor+A2sg
kullanırsın	kullan+Verb+Pos+Aor+A2sg
alırım	al+Verb+Pos+Aor+A1sg
zannetmem	zannet+Verb+Neg+Aor+A1sg
yaşarız	yaşa+Verb+Pos+Aor+A1pl
saklarız	sakla+Verb+Pos+Aor+A1pl
yakışmaz	yakış+Verb+Neg+Aor+A3sg
bulur	bul+Verb+Pos+Aor+A3sg
toplarlar	topla+Verb+Pos+Aor+A3pl
durmazlar	dur+Verb+Neg+Aor+A3pl
kötümsersin	kötümse+Verb+Pos+Aor+A2sg
uyur	uyu+Verb+Pos+Aor+A3sg
iliklerim	ilikle+Verb+Pos+Aor+A1sg
gösteririm	göster+Verb+Pos+Aor+A1sg
yaparım	yap+Verb+Pos+Aor+A1sg
oturmam	otur+Verb+Neg+Aor+A1sg
hatırlar	hatırla+Verb+Pos+Aor+A3sg
bilirsiniz	bil+Verb+Pos+Aor+A2pl
görünmez	görün+Verb+Neg+Aor+A3sg
girerim	gir+Verb+Pos+Aor+A1sg
düşer	düş+Verb+Pos+Aor+A3sg
ölür	öl+Verb+Pos+Aor+A3sg
yatırırlar	yatır+Verb+Pos+Aor+A3pl
bağlamaz	bağla+Verb+Neg+Aor+A3sg
kaynaşmaz	kaynaş+Verb+Neg+Aor+A3sg
sarkar	sark+Verb+Pos+Aor+A3sg
görmem	gör+Verb+Neg+Aor+A1sg
tırmanmam	tırman+Verb+Neg+Aor+A1sg
gösterir	göster+Verb+Pos+Aor+A3sg
düşünür	düşün+Verb+Pos+Aor+A3sg
ellerim	elle+Verb+Pos+Aor+A1sg
kaldırır	kaldır+Verb+Pos+Aor+A3sg
giderler	git+Verb+Pos+Aor+A3pl
sığmaz	sığ+Verb+Neg+Aor+A3sg
derler	de+Verb+Pos+Aor+A3pl
kullanırlar	kullan+Verb+Pos+Aor+A3pl
karşılaşır	karşılaş+Verb+Pos+Aor+A3sg
rastlar	rastla+Verb+Pos+Aor+A3sg
izler	izle+Verb+Pos+Aor+A3sg
giyer	giy+Verb+Pos+Aor+A3sg
sızar	sız+Verb+Pos+Aor+A3sg
övünür	övün+Verb+Pos+Aor+A3sg
uyanır	uyan+Verb+Pos+Aor+A3sg
çarpmaz	çarp+Verb+Neg+Aor+A3sg
kaybolur	kaybol+Verb+Pos+Aor+A3sg
korkar	kork+Verb+Pos+Aor+A3sg
sezer	sez+Verb+Pos+Aor+A3sg
sezmez	sez+Verb+Neg+Aor+A3sg
tanımlar	tanımla+Verb+Pos+Aor+A3sg
dövmez	döv+Verb+Neg+Aor+A3sg
bulursun	bul+Verb+Pos+Aor+A2sg
ayırır	ayır+Verb+Pos+Aor+A3sg
bulunuyor	bulun+Verb+Pos+Prog1+A3sg
veriyor	ver+Verb+Pos+Prog1+A3sg
biliyorum	bile+Verb+Pos+Prog1+A1sg
bilmiyor	bil+Verb+Neg+Prog1+A3sg
benziyorsun	benze+Verb+Pos+Prog1+A2sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
geliyor	gel+Verb+Pos+Prog1+A3sg
sanıyorum	san+Verb+Pos+Prog1+A1sg
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
buluyorum	bula+Verb+Pos+Prog1+A1sg
hissediyorum	hisset+Verb+Pos+Prog1+A1sg
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
sarıyor	sar+Verb+Pos+Prog1+A3sg
öpüyorum	öp+Verb+Pos+Prog1+A1sg
görüyor	gör+Verb+Pos+Prog1+A3sg
kalıyor	kal+Verb+Pos+Prog1+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
istiyorum	iste+Verb+Pos+Prog1+A1sg
geçiyorsun	geç+Verb+Pos+Prog1+A2sg
yapıyor	yap+Verb+Pos+Prog1+A3sg
kastediyorsun	kastet+Verb+Pos+Prog1+A2sg
ediyorum	et+Verb+Pos+Prog1+A1sg
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
sallıyor	salla+Verb+Pos+Prog1+A3sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
onaylıyorum	onayla+Verb+Pos+Prog1+A1sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
bakıyor	bak+Verb+Pos+Prog1+A3sg
ediyorsun	et+Verb+Pos+Prog1+A2sg
saçıyor	saç+Verb+Pos+Prog1+A3sg
diliyorum	dile+Verb+Pos+Prog1+A1sg
görünmüyor	görün+Verb+Neg+Prog1+A3sg
gidiyor	git+Verb+Pos+Prog1+A3sg
oturuyor	otur+Verb+Pos+Prog1+A3sg
düşünüyorsunuz	düşün+Verb+Pos+Prog1+A2pl
hatırlamıyorum	hatırla+Verb+Neg+Prog1+A1sg
ediyor	et+Verb+Pos+Prog1+A3sg
gidiyorum	git+Verb+Pos+Prog1+A1sg
gösteriyorum	göster+Verb+Pos+Prog1+A1sg
yapıyorsunuz	yap+Verb+Pos+Prog1+A2pl
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
çarpıyor	çarp+Verb+Pos+Prog1+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
diyorsunuz	de+Verb+Pos+Prog1+A2pl
bahsediyorum	bahset+Verb+Pos+Prog1+A1sg
hatırlıyorum	hatırla+Verb+Pos+Prog1+A1sg
konuşuyor	konuş+Verb+Pos+Prog1+A3sg
mahvediyorsunuz	mahvet+Verb+Pos+Prog1+A2pl
yaşıyoruz	yaşa+Verb+Pos+Prog1+A1pl
görmüyor	gör+Verb+Neg+Prog1+A3sg
kastetmiyorum	kastet+Verb+Neg+Prog1+A1sg
söylüyorum	söyle+Verb+Pos+Prog1+A1sg
büyülüyorsunuz	büyüle+Verb+Pos+Prog1+A2pl
koşuyor	koş+Verb+Pos+Prog1+A3sg
ediyorsunuz	et+Verb+Pos+Prog1+A2pl
anlamıyor	anla+Verb+Neg+Prog1+A3sg
hatırlıyor	hatırla+Verb+Pos+Prog1+A3sg
istemiyorum	iste+Verb+Neg+Prog1+A1sg
istiyorsunuz	iste+Verb+Pos+Prog1+A2pl
hissediyor	hisset+Verb+Pos+Prog1+A3sg
bırakıyorsun	bırak+Verb+Pos+Prog1+A2sg
biliyor	bile+Verb+Pos+Prog1+A3sg
veriyorum	ver+Verb+Pos+Prog1+A1sg
başlıyorum	başla+Verb+Pos+Prog1+A1sg
kalkışıyorsunuz	kalkış+Verb+Pos+Prog1+A2pl
gerekiyor	gerek+Verb+Pos+Prog1+A3sg
bakıyorsunuz	bak+Verb+Pos+Prog1+A2pl
konuşuyorsunuz	konuş+Verb+Pos+Prog1+A2pl
soruyorsunuz	sor+Verb+Pos+Prog1+A2pl
duruyorsunuz	dur+Verb+Pos+Prog1+A2pl
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
sanıyorsunuz	san+Verb+Pos+Prog1+A2pl
çekiyorsunuz	çek+Verb+Pos+Prog1+A2pl
konuşuyorum	konuş+Verb+Pos+Prog1+A1sg
seviyor	sev+Verb+Pos+Prog1+A3sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
kazıyorsunuz	kaz+Verb+Pos+Prog1+A2pl
açıklıyorsunuz	açıkla+Verb+Pos+Prog1+A2pl
durmuyorum	dur+Verb+Neg+Prog1+A1sg
okuyor	oku+Verb+Pos+Prog1+A3sg
buluyorsunuz	bula+Verb+Pos+Prog1+A2pl
şaşıyorsunuz	şaş+Verb+Pos+Prog1+A2pl
girişiyorum	giriş+Verb+Pos+Prog1+A1sg
dinliyor	dinle+Verb+Pos+Prog1+A3sg
şakıyorsunuz	şakı+Verb+Pos+Prog1+A2pl
yaşıyorum	yaşa+Verb+Pos+Prog1+A1sg
görüyorsunuz	gör+Verb+Pos+Prog1+A2pl
ayırıyor	ayır+Verb+Pos+Prog1+A3sg
eğiyorum	eğ+Verb+Pos+Prog1+A1sg
bağışlıyorum	bağışla+Verb+Pos+Prog1+A1sg
karşılaşıyorsunuz	karşılaş+Verb+Pos+Prog1+A2pl
seyrediyorsunuz	seyret+Verb+Pos+Prog1+A2pl
gidiyorsunuz	git+Verb+Pos+Prog1+A2pl
başlıyor	başla+Verb+Pos+Prog1+A3sg
duyuyorsunuz	duy+Verb+Pos+Prog1+A2pl
anlıyorsunuz	anla+Verb+Pos+Prog1+A2pl
ölüyor	öl+Verb+Pos+Prog1+A3sg
alıyorsunuz	al+Verb+Pos+Prog1+A2pl
giriyorsunuz	gir+Verb+Pos+Prog1+A2pl
ulaşıyor	ulaş+Verb+Pos+Prog1+A3sg
alıyorum	al+Verb+Pos+Prog1+A1sg
düşünüyor	düşün+Verb+Pos+Prog1+A3sg
görünüyor	görün+Verb+Pos+Prog1+A3sg
korkuyorum	kork+Verb+Pos+Prog1+A1sg
bulanıyor	bulan+Verb+Pos+Prog1+A3sg
çalışıyor	çalış+Verb+Pos+Prog1+A3sg
içiyor	iç+Verb+Pos+Prog1+A3sg
vermiyorlar	ver+Verb+Neg+Prog1+A3pl
soruyorum	sor+Verb+Pos+Prog1+A1sg
kokuyor	kok+Verb+Pos+Prog1+A3sg
duyuyor	duy+Verb+Pos+Prog1+A3sg
katıyor	kat+Verb+Pos+Prog1+A3sg
alıyor	al+Verb+Pos+Prog1+A3sg
yığıyor	yığ+Verb+Pos+Prog1+A3sg
diyor	de+Verb+Pos+Prog1+A3sg
diyorum	de+Verb+Pos+Prog1+A1sg
benziyor	benze+Verb+Pos+Prog1+A3sg
sağlıyor	sağla+Verb+Pos+Prog1+A3sg
dürtüyor	dürt+Verb+Pos+Prog1+A3sg
kalkıyor	kalk+Verb+Pos+Prog1+A3sg
esirgiyor	esirge+Verb+Pos+Prog1+A3sg
sataşmıyor	sataş+Verb+Neg+Prog1+A3sg
korkuyor	kork+Verb+Pos+Prog1+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
öğreniyor	öğren+Verb+Pos+Prog1+A3sg
taşıyor	taş+Verb+Pos+Prog1+A3sg
duyuyorum	duy+Verb+Pos+Prog1+A1sg
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
alçalıyor	alçal+Verb+Pos+Prog1+A3sg
süzüyor	süz+Verb+Pos+Prog1+A3sg
tanıyor	tanı+Verb+Pos+Prog1+A3sg
tanıyorum	tanı+Verb+Pos+Prog1+A1sg
titriyorsunuz	titre+Verb+Pos+Prog1+A2pl
söylüyorsunuz	söyle+Verb+Pos+Prog1+A2pl
titriyor	titre+Verb+Pos+Prog1+A3sg
geçiyor	geç+Verb+Pos+Prog1+A3sg
tutuyorum	tut+Verb+Pos+Prog1+A1sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
gülüyorsunuz	gül+Verb+Pos+Prog1+A2pl
çalışıyorum	çalış+Verb+Pos+Prog1+A1sg
gülüyorum	gül+Verb+Pos+Prog1+A1sg
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
kabarıyor	kabar+Verb+Pos+Prog1+A3sg
bağlıyorsunuz	bağla+Verb+Pos+Prog1+A2pl
ağlıyor	ağla+Verb+Pos+Prog1+A3sg
anlıyorum	anla+Verb+Pos+Prog1+A1sg
şaşıyorum	şaş+Verb+Pos+Prog1+A1sg
çağırıyorum	çağır+Verb+Pos+Prog1+A1sg
diyorlar	de+Verb+Pos+Prog1+A3pl
duruyorlar	dur+Verb+Pos+Prog1+A3pl
geliyorlar	gel+Verb+Pos+Prog1+A3pl
atıyor	ata+Verb+Pos+Prog1+A3sg
dinlemiyor	dinle+Verb+Neg+Prog1+A3sg
gülümsüyor	gülümse+Verb+Pos+Prog1+A3sg
duruyor	dur+Verb+Pos+Prog1+A3sg
istiyor	iste+Verb+Pos+Prog1+A3sg
yatıyor	yat+Verb+Pos+Prog1+A3sg
seyrediyor	seyret+Verb+Pos+Prog1+A3sg
oluyor	ol+Verb+Pos+Prog1+A3sg
oluyorum	ol+Verb+Pos+Prog1+A1sg
yiyor	ye+Verb+Pos+Prog1+A3sg
soruyor	sor+Verb+Pos+Prog1+A3sg
inceliyor	incele+Verb+Pos+Prog1+A3sg
dolaşıyor	dolaş+Verb+Pos+Prog1+A3sg
uğramıyor	uğra+Verb+Neg+Prog1+A3sg
seziyor	sez+Verb+Pos+Prog1+A3sg
bakıyoruz	bak+Verb+Pos+Prog1+A1pl
bilmiyorsun	bil+Verb+Neg+Prog1+A2sg
şişiyor	şiş+Verb+Pos+Prog1+A3sg
çıkıyorsunuz	çık+Verb+Pos+Prog1+A2pl
terkediyor	terket+Verb+Pos+Prog1+A3sg
ediyorlar	et+Verb+Pos+Prog1+A3pl
giriyor	gir+Verb+Pos+Prog1+A3sg
soluyorlar	sol+Verb+Pos+Prog1+A3pl
yakışmıyor	yakış+Verb+Neg+Prog1+A3sg
kullanıyor	kullan+Verb+Pos+Prog1+A3sg
almıyorsun	al+Verb+Neg+Prog1+A2sg
alıyorsun	al+Verb+Pos+Prog1+A2sg
anlamıyorsun	anla+Verb+Neg+Prog1+A2sg
saçmalıyorsun	saçmala+Verb+Pos+Prog1+A2sg
çeviriyor	çevir+Verb+Pos+Prog1+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
biliyorsunuz	bile+Verb+Pos+Prog1+A2pl
yarıyor	yara+Verb+Pos+Prog1+A3sg
oturuyorlar	otur+Verb+Pos+Prog1+A3pl
çeviriyorlar	çevir+Verb+Pos+Prog1+A3pl
istiyorlar	iste+Verb+Pos+Prog1+A3pl
yazıyor	yaz+Verb+Pos+Prog1+A3sg
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
uyuyor	uy+Verb+Pos+Prog1+A3sg
indi	in+Verb+Pos+Past+A3sg
geriledi	gerile+Verb+Pos+Past+A3sg
düştü	düş+Verb+Pos+Past+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
yaptı	yap+Verb+Pos+Past+A3sg
bulundu	bulun+Verb+Pos+Past+A3sg
etti	et+Verb+Pos+Past+A3sg
söyledi	söyle+Verb+Pos+Past+A3sg
seçti	seç+Verb+Pos+Past+A3sg
koydu	koy+Verb+Pos+Past+A3sg
geldi	gel+Verb+Pos+Past+A3sg
verdi	ver+Verb+Pos+Past+A3sg
gördüm	gör+Verb+Pos+Past+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
indiler	in+Verb+Pos+Past+A3pl
okşadı	okşa+Verb+Pos+Past+A3sg
oturdu	otur+Verb+Pos+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
gitti	git+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
gördü	gör+Verb+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
miydin	mi+Ques+Past+A2sg
salladı	salla+Verb+Pos+Past+A3sg
sevdik	sev+Verb+Pos+Past+A1pl
haykırdı	haykır+Verb+Pos+Past+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
öptü	öp+Verb+Pos+Past+A3sg
gösterdi	göster+Verb+Pos+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
duydu	duy+Verb+Pos+Past+A3sg
hatırladı	hatırla+Verb+Pos+Past+A3sg
etmedi	et+Verb+Neg+Past+A3sg
hissetti	hisset+Verb+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
söylemedim	söyle+Verb+Neg+Past+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
sordu	sor+Verb+Pos+Past+A3sg
gelmedik	gel+Verb+Neg+Past+A1pl
güldü	gül+Verb+Pos+Past+A3sg
oldu	ol+Verb+Pos+Past+A3sg
söyledin	söyle+Verb+Pos+Past+A2sg
karıştı	karış+Verb+Pos+Past+A3sg
yedim	ye+Verb+Pos+Past+A1sg
gittim	git+Verb+Pos+Past+A1sg
izledim	izle+Verb+Pos+Past+A1sg
unuttum	unut+Verb+Pos+Past+A1sg
konuştum	konuş+Verb+Pos+Past+A1sg
yaklaştı	yaklaş+Verb+Pos+Past+A3sg
öptük	öp+Verb+Pos+Past+A1pl
titredi	titre+Verb+Pos+Past+A3sg
ürperdi	ürper+Verb+Pos+Past+A3sg
söylemedi	söyle+Verb+Neg+Past+A3sg
fısıldadılar	fısılda+Verb+Pos+Past+A3pl
yaptın	yap+Verb+Pos+Past+A2sg
bıraktım	bırak+Verb+Pos+Past+A1sg
yudumladı	yudumla+Verb+Pos+Past+A3sg
unuttun	unut+Verb+Pos+Past+A2sg
konuşmadım	konuş+Verb+Neg+Past+A1sg
mırıldandı	mırıldan+Verb+Pos+Past+A3sg
sordum	sor+Verb+Pos+Past+A1sg
değiştim	değiş+Verb+Pos+Past+A1sg
silkti	silk+Verb+Pos+Past+A3sg
geçti	geç+Verb+Pos+Past+A3sg
yudumladılar	yudumla+Verb+Pos+Past+A3pl
kapladı	kapla+Verb+Pos+Past+A3sg
götürdü	götür+Verb+Pos+Past+A3sg
paylaştılar	paylaş+Verb+Pos+Past+A3pl
anladım	anla+Verb+Pos+Past+A1sg
düşündü	düşün+Verb+Pos+Past+A3sg
başladı	başla+Verb+Pos+Past+A3sg
girdi	gir+Verb+Pos+Past+A3sg
durdu	dur+Verb+Pos+Past+A3sg
konuştu	konuş+Verb+Pos+Past+A3sg
yarattı	yarat+Verb+Pos+Past+A3sg
beklediler	bekle+Verb+Pos+Past+A3pl
değildi	değil+Verb+Neg+Past+A3sg
okudu	oku+Verb+Pos+Past+A3sg
dağıldı	dağıl+Verb+Pos+Past+A3sg
başladılar	başla+Verb+Pos+Past+A3pl
giydi	giy+Verb+Pos+Past+A3sg
göründü	görün+Verb+Pos+Past+A3sg
geçtim	geç+Verb+Pos+Past+A1sg
sardı	sar+Verb+Pos+Past+A3sg
mıydı	mı+Ques+Past+A3sg
dönmediler	dön+Verb+Neg+Past+A3pl
uyardı	uyar+Verb+Pos+Past+A3sg
koymadı	koy+Verb+Neg+Past+A3sg
yuvarladı	yuvarla+Verb+Pos+Past+A3sg
karşılaştım	karşılaş+Verb+Pos+Past+A1sg
kızdı	kız+Verb+Pos+Past+A3sg
basmadım	bas+Verb+Neg+Past+A1sg
miydiniz	mi+Ques+Past+A2pl
giderdi	gider+Verb+Pos+Past+A3sg
duydum	duy+Verb+Pos+Past+A1sg
yürüdü	yürü+Verb+Pos+Past+A3sg
uğraştı	uğraş+Verb+Pos+Past+A3sg
dinledim	dinle+Verb+Pos+Past+A1sg
koydular	koy+Verb+Pos+Past+A3pl
eğlendiniz	eğlen+Verb+Pos+Past+A2pl
sezdi	sez+Verb+Pos+Past+A3sg
hatırladın	hatırla+Verb+Pos+Past+A2sg
ettik	et+Verb+Pos+Past+A1pl
çıktım	çık+Verb+Pos+Past+A1sg
baktım	bak+Verb+Pos+Past+A1sg
buldunuz	bul+Verb+Pos+Past+A2pl
evlendi	evlen+Verb+Pos+Past+A3sg
kayboldu	kaybol+Verb+Pos+Past+A3sg
büyüledi	büyüle+Verb+Pos+Past+A3sg
hatırladım	hatırla+Verb+Pos+Past+A1sg
unutmadım	unut+Verb+Neg+Past+A1sg
geveledi	gevele+Verb+Pos+Past+A3sg
reddetti	reddet+Verb+Pos+Past+A3sg
miydi	mi+Ques+Past+A3sg
getirdi	getir+Verb+Pos+Past+A3sg
çöktü	çök+Verb+Pos+Past+A3sg
körükledi	körükle+Verb+Pos+Past+A3sg
kucakladı	kucakla+Verb+Pos+Past+A3sg
çevirdi	çevir+Verb+Pos+Past+A3sg
