bulunuyor	bulun+Verb+Pos+Prog1+A3sg
buluyorsunuz	bula+Verb+Pos+Prog1+A2pl
şaşıyorsunuz	şaş+Verb+Pos+Prog1+A2pl
girişiyorum	giriş+Verb+Pos+Prog1+A1sg
dinliyor	dinle+Verb+Pos+Prog1+A3sg
şakıyorsunuz	şakı+Verb+Pos+Prog1+A2pl
yaşıyorum	yaşa+Verb+Pos+Prog1+A1sg
görüyorsunuz	gör+Verb+Pos+Prog1+A2pl
ayırıyor	ayır+Verb+Pos+Prog1+A3sg
eğiyorum	eğ+Verb+Pos+Prog1+A1sg
bağışlıyorum	bağışla+Verb+Pos+Prog1+A1sg
karşılaşıyorsunuz	karşılaş+Verb+Pos+Prog1+A2pl
seyrediyorsunuz	seyret+Verb+Pos+Prog1+A2pl
gidiyorsunuz	git+Verb+Pos+Prog1+A2pl
başlıyor	başla+Verb+Pos+Prog1+A3sg
duyuyorsunuz	duy+Verb+Pos+Prog1+A2pl
anlıyorsunuz	anla+Verb+Pos+Prog1+A2pl
ölüyor	öl+Verb+Pos+Prog1+A3sg
alıyorsunuz	al+Verb+Pos+Prog1+A2pl
giriyorsunuz	gir+Verb+Pos+Prog1+A2pl
ulaşıyor	ulaş+Verb+Pos+Prog1+A3sg
alıyorum	al+Verb+Pos+Prog1+A1sg
düşünüyor	düşün+Verb+Pos+Prog1+A3sg
görünüyor	görün+Verb+Pos+Prog1+A3sg
korkuyorum	kork+Verb+Pos+Prog1+A1sg
bulanıyor	bulan+Verb+Pos+Prog1+A3sg
çalışıyor	çalış+Verb+Pos+Prog1+A3sg
içiyor	iç+Verb+Pos+Prog1+A3sg
vermiyorlar	ver+Verb+Neg+Prog1+A3pl
soruyorum	sor+Verb+Pos+Prog1+A1sg
kokuyor	kok+Verb+Pos+Prog1+A3sg
duyuyor	duy+Verb+Pos+Prog1+A3sg
katıyor	kat+Verb+Pos+Prog1+A3sg
alıyor	al+Verb+Pos+Prog1+A3sg
yığıyor	yığ+Verb+Pos+Prog1+A3sg
diyor	de+Verb+Pos+Prog1+A3sg
diyorum	de+Verb+Pos+Prog1+A1sg
benziyor	benze+Verb+Pos+Prog1+A3sg
sağlıyor	sağla+Verb+Pos+Prog1+A3sg
dürtüyor	dürt+Verb+Pos+Prog1+A3sg
kalkıyor	kalk+Verb+Pos+Prog1+A3sg
esirgiyor	esirge+Verb+Pos+Prog1+A3sg
sataşmıyor	sataş+Verb+Neg+Prog1+A3sg
korkuyor	kork+Verb+Pos+Prog1+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
öğreniyor	öğren+Verb+Pos+Prog1+A3sg
taşıyor	taş+Verb+Pos+Prog1+A3sg
duyuyorum	duy+Verb+Pos+Prog1+A1sg
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
alçalıyor	alçal+Verb+Pos+Prog1+A3sg
süzüyor	süz+Verb+Pos+Prog1+A3sg
tanıyor	tanı+Verb+Pos+Prog1+A3sg
tanıyorum	tanı+Verb+Pos+Prog1+A1sg
titriyorsunuz	titre+Verb+Pos+Prog1+A2pl
söylüyorsunuz	söyle+Verb+Pos+Prog1+A2pl
titriyor	titre+Verb+Pos+Prog1+A3sg
geçiyor	geç+Verb+Pos+Prog1+A3sg
tutuyorum	tut+Verb+Pos+Prog1+A1sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
gülüyorsunuz	gül+Verb+Pos+Prog1+A2pl
çalışıyorum	çalış+Verb+Pos+Prog1+A1sg
gülüyorum	gül+Verb+Pos+Prog1+A1sg
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
kabarıyor	kabar+Verb+Pos+Prog1+A3sg
bağlıyorsunuz	bağla+Verb+Pos+Prog1+A2pl
ağlıyor	ağla+Verb+Pos+Prog1+A3sg
anlıyorum	anla+Verb+Pos+Prog1+A1sg
şaşıyorum	şaş+Verb+Pos+Prog1+A1sg
çağırıyorum	çağır+Verb+Pos+Prog1+A1sg
diyorlar	de+Verb+Pos+Prog1+A3pl
duruyorlar	dur+Verb+Pos+Prog1+A3pl
geliyorlar	gel+Verb+Pos+Prog1+A3pl
atıyor	ata+Verb+Pos+Prog1+A3sg
dinlemiyor	dinle+Verb+Neg+Prog1+A3sg
gülümsüyor	gülümse+Verb+Pos+Prog1+A3sg
duruyor	dur+Verb+Pos+Prog1+A3sg
istiyor	iste+Verb+Pos+Prog1+A3sg
yatıyor	yat+Verb+Pos+Prog1+A3sg
seyrediyor	seyret+Verb+Pos+Prog1+A3sg
oluyor	ol+Verb+Pos+Prog1+A3sg
oluyorum	ol+Verb+Pos+Prog1+A1sg
yiyor	ye+Verb+Pos+Prog1+A3sg
soruyor	sor+Verb+Pos+Prog1+A3sg
inceliyor	incele+Verb+Pos+Prog1+A3sg
dolaşıyor	dolaş+Verb+Pos+Prog1+A3sg
uğramıyor	uğra+Verb+Neg+Prog1+A3sg
seziyor	sez+Verb+Pos+Prog1+A3sg
bakıyoruz	bak+Verb+Pos+Prog1+A1pl
bilmiyorsun	bil+Verb+Neg+Prog1+A2sg
şişiyor	şiş+Verb+Pos+Prog1+A3sg
çıkıyorsunuz	çık+Verb+Pos+Prog1+A2pl
terkediyor	terket+Verb+Pos+Prog1+A3sg
ediyorlar	et+Verb+Pos+Prog1+A3pl
giriyor	gir+Verb+Pos+Prog1+A3sg
soluyorlar	sol+Verb+Pos+Prog1+A3pl
yakışmıyor	yakış+Verb+Neg+Prog1+A3sg
kullanıyor	kullan+Verb+Pos+Prog1+A3sg
almıyorsun	al+Verb+Neg+Prog1+A2sg
alıyorsun	al+Verb+Pos+Prog1+A2sg
anlamıyorsun	anla+Verb+Neg+Prog1+A2sg
saçmalıyorsun	saçmala+Verb+Pos+Prog1+A2sg
çeviriyor	çevir+Verb+Pos+Prog1+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
biliyorsunuz	bile+Verb+Pos+Prog1+A2pl
yarıyor	yara+Verb+Pos+Prog1+A3sg
oturuyorlar	otur+Verb+Pos+Prog1+A3pl
çeviriyorlar	çevir+Verb+Pos+Prog1+A3pl
istiyorlar	iste+Verb+Pos+Prog1+A3pl
yazıyor	yaz+Verb+Pos+Prog1+A3sg
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
uyuyor	uy+Verb+Pos+Prog1+A3sg
çıkıyor	çık+Verb+Pos+Prog1+A3sg
huylanıyor	huylan+Verb+Pos+Prog1+A3sg
çıkıyoruz	çık+Verb+Pos+Prog1+A1pl
yaşıyor	yaşa+Verb+Pos+Prog1+A3sg
çevreliyor	çevrele+Verb+Pos+Prog1+A3sg
izliyor	izle+Verb+Pos+Prog1+A3sg
kırıyor	kır+Verb+Pos+Prog1+A3sg
düşünüyorsun	düşün+Verb+Pos+Prog1+A2sg
ağlamıyorsun	ağla+Verb+Neg+Prog1+A2sg
sanmıyorum	san+Verb+Neg+Prog1+A1sg
istemiyorsun	iste+Verb+Neg+Prog1+A2sg
dokunuyor	dokun+Verb+Pos+Prog1+A3sg
görünüyorsunuz	görün+Verb+Pos+Prog1+A2pl
görünmüyorum	görün+Verb+Neg+Prog1+A1sg
daralıyor	daral+Verb+Pos+Prog1+A3sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
gelmiyor	gel+Verb+Neg+Prog1+A3sg
gösteriyor	göster+Verb+Pos+Prog1+A3sg
aşağılıyor	aşağıla+Verb+Pos+Prog1+A3sg
davranıyor	davran+Verb+Pos+Prog1+A3sg
tutuyoruz	tut+Verb+Pos+Prog1+A1pl
çağırıyor	çağır+Verb+Pos+Prog1+A3sg
dağıtıyor	dağıt+Verb+Pos+Prog1+A3sg
korkuyorsunuz	kork+Verb+Pos+Prog1+A2pl
aşıyor	aş+Verb+Pos+Prog1+A3sg
etkiliyor	etkile+Verb+Pos+Prog1+A3sg
bırakıyor	bırak+Verb+Pos+Prog1+A3sg
emiyor	em+Verb+Pos+Prog1+A3sg
büyüyor	büyü+Verb+Pos+Prog1+A3sg
sıkıyor	sık+Verb+Pos+Prog1+A3sg
dönüyor	dön+Verb+Pos+Prog1+A3sg
olmuyor	ol+Verb+Neg+Prog1+A3sg
inanıyor	inan+Verb+Pos+Prog1+A3sg
bulmuyorum	bul+Verb+Neg+Prog1+A1sg
süpürüyor	süpür+Verb+Pos+Prog1+A3sg
inanıyorsun	inan+Verb+Pos+Prog1+A2sg
gitmiyorsun	git+Verb+Neg+Prog1+A2sg
zorluyor	zorla+Verb+Pos+Prog1+A3sg
sevişiyor	seviş+Verb+Pos+Prog1+A3sg
okuyorum	oku+Verb+Pos+Prog1+A1sg
okuyorlar	oku+Verb+Pos+Prog1+A3pl
bahsediyor	bahset+Verb+Pos+Prog1+A3sg
hapsediyorlar	hapset+Verb+Pos+Prog1+A3pl
okuyorsun	oku+Verb+Pos+Prog1+A2sg
uyanıyor	uyan+Verb+Pos+Prog1+A3sg
büyülüyor	büyüle+Verb+Pos+Prog1+A3sg
istiyorsun	iste+Verb+Pos+Prog1+A2sg
zayıflıyorsun	zayıfla+Verb+Pos+Prog1+A2sg
yaşıyorsun	yaşa+Verb+Pos+Prog1+A2sg
getiriyorsun	getir+Verb+Pos+Prog1+A2sg
diyorsun	de+Verb+Pos+Prog1+A2sg
yutuyor	yut+Verb+Pos+Prog1+A3sg
içiyorsun	iç+Verb+Pos+Prog1+A2sg
atıyorlar	ata+Verb+Pos+Prog1+A3pl
konuyor	kon+Verb+Pos+Prog1+A3sg
konuyorlar	kon+Verb+Pos+Prog1+A3pl
işliyorlar	işle+Verb+Pos+Prog1+A3pl
yapıyorlar	yap+Verb+Pos+Prog1+A3pl
yatıyorsunuz	yat+Verb+Pos+Prog1+A2pl
söylemiyorsun	söyle+Verb+Neg+Prog1+A2sg
bahsediyorsunuz	bahset+Verb+Pos+Prog1+A2pl
bahsediyoruz	bahset+Verb+Pos+Prog1+A1pl
çalıyor	çal+Verb+Pos+Prog1+A3sg
öğretiyor	öğret+Verb+Pos+Prog1+A3sg
korkmuyorum	kork+Verb+Neg+Prog1+A1sg
bekliyor	bekle+Verb+Pos+Prog1+A3sg
etmiyorlar	et+Verb+Neg+Prog1+A3pl
girmiyorum	gir+Verb+Neg+Prog1+A1sg
buluyor	bula+Verb+Pos+Prog1+A3sg
söylüyorlar	söyle+Verb+Pos+Prog1+A3pl
arıyorum	ara+Verb+Pos+Prog1+A1sg
hazırlıyorum	hazırla+Verb+Pos+Prog1+A1sg
yakıyor	yak+Verb+Pos+Prog1+A3sg
güveniyorum	güven+Verb+Pos+Prog1+A1sg
sanıyor	san+Verb+Pos+Prog1+A3sg
seviyorsunuz	sev+Verb+Pos+Prog1+A2pl
bekliyorum	bekle+Verb+Pos+Prog1+A1sg
duymuyor	duy+Verb+Neg+Prog1+A3sg
seviniyorum	sevin+Verb+Pos+Prog1+A1sg
yakışıyor	yakış+Verb+Pos+Prog1+A3sg
yetiyor	yet+Verb+Pos+Prog1+A3sg
bakıyorum	bak+Verb+Pos+Prog1+A1sg
bayılıyor	bayıl+Verb+Pos+Prog1+A3sg
görünüyorlar	görün+Verb+Pos+Prog1+A3pl
duruyorum	dur+Verb+Pos+Prog1+A1sg
irkiliyor	irkil+Verb+Pos+Prog1+A3sg
satıyorlar	sat+Verb+Pos+Prog1+A3pl
çıkmıyorsun	çık+Verb+Neg+Prog1+A2sg
yıkıyor	yıka+Verb+Pos+Prog1+A3sg
ödüyoruz	öde+Verb+Pos+Prog1+A1pl
söylüyorsun	söyle+Verb+Pos+Prog1+A2sg
uçuşuyor	uçuş+Verb+Pos+Prog1+A3sg
çalıyorsun	çal+Verb+Pos+Prog1+A2sg
uyuyorsun	uy+Verb+Pos+Prog1+A2sg
sıkıyorsun	sık+Verb+Pos+Prog1+A2sg
geliyoruz	gel+Verb+Pos+Prog1+A1pl
oturuyoruz	otur+Verb+Pos+Prog1+A1pl
geliyorsunuz	gel+Verb+Pos+Prog1+A2pl
geliyorum	gel+Verb+Pos+Prog1+A1sg
kayboluyor	kaybol+Verb+Pos+Prog1+A3sg
satıyorsunuz	sat+Verb+Pos+Prog1+A2pl
getiriyorum	getir+Verb+Pos+Prog1+A1sg
değişmiyor	değiş+Verb+Neg+Prog1+A3sg
uğraşmıyorsunuz	uğraş+Verb+Neg+Prog1+A2pl
olmuyorsunuz	ol+Verb+Neg+Prog1+A2pl
yemiyorsunuz	ye+Verb+Neg+Prog1+A2pl
üzüyor	üz+Verb+Pos+Prog1+A3sg
gidiyorlar	git+Verb+Pos+Prog1+A3pl
yapıyorum	yap+Verb+Pos+Prog1+A1sg
tutuyor	tut+Verb+Pos+Prog1+A3sg
kazanıyorlar	kazan+Verb+Pos+Prog1+A3pl
parlıyor	parla+Verb+Pos+Prog1+A3sg
kaçınıyor	kaçın+Verb+Pos+Prog1+A3sg
şakalaşıyor	şakalaş+Verb+Pos+Prog1+A3sg
istemiyor	iste+Verb+Neg+Prog1+A3sg
susuyor	susa+Verb+Pos+Prog1+A3sg
seviniyor	sevin+Verb+Pos+Prog1+A3sg
tanımıyorum	tanı+Verb+Neg+Prog1+A1sg
oluyorlar	ol+Verb+Pos+Prog1+A3pl
karışıyor	karış+Verb+Pos+Prog1+A3sg
koruyor	koru+Verb+Pos+Prog1+A3sg
kalkıyorum	kalk+Verb+Pos+Prog1+A1sg
bilmiyoruz	bil+Verb+Neg+Prog1+A1pl
çıkmıyor	çık+Verb+Neg+Prog1+A3sg
hapsediyorsunuz	hapset+Verb+Pos+Prog1+A2pl
veriyorsunuz	ver+Verb+Pos+Prog1+A2pl
sokuyorsunuz	sok+Verb+Pos+Prog1+A2pl
savsaklıyorsunuz	savsakla+Verb+Pos+Prog1+A2pl
duymuyorum	duy+Verb+Neg+Prog1+A1sg
açıyorum	aç+Verb+Pos+Prog1+A1sg
yatıyorum	yat+Verb+Pos+Prog1+A1sg
havalanıyor	havalan+Verb+Pos+Prog1+A3sg
hışırdıyor	hışırda+Verb+Pos+Prog1+A3sg
dönüşüyor	dönüş+Verb+Pos+Prog1+A3sg
alıyorlar	al+Verb+Pos+Prog1+A3pl
itiyor	it+Verb+Pos+Prog1+A3sg
açıyor	aç+Verb+Pos+Prog1+A3sg
bekliyorlar	bekle+Verb+Pos+Prog1+A3pl
getiriyor	getir+Verb+Pos+Prog1+A3sg
gülüyor	gül+Verb+Pos+Prog1+A3sg
basıyor	bas+Verb+Pos+Prog1+A3sg
seviyoruz	sev+Verb+Pos+Prog1+A1pl
yanıyor	yan+Verb+Pos+Prog1+A3sg
uymuyor	uy+Verb+Neg+Prog1+A3sg
vuruyor	vur+Verb+Pos+Prog1+A3sg
karşılaştırıyorum	karşılaştır+Verb+Pos+Prog1+A1sg
varıyorum	var+Verb+Pos+Prog1+A1sg
olmuyorlar	ol+Verb+Neg+Prog1+A3pl
saklıyor	sakla+Verb+Pos+Prog1+A3sg
yapıyoruz	yap+Verb+Pos+Prog1+A1pl
aktarmıyoruz	aktar+Verb+Neg+Prog1+A1pl
çabalıyoruz	çabala+Verb+Pos+Prog1+A1pl
çalışıyorlar	çalış+Verb+Pos+Prog1+A3pl
kahroluyorum	kahrol+Verb+Pos+Prog1+A1sg
sevmiyorum	sev+Verb+Neg+Prog1+A1sg
kahrediyorsunuz	kahret+Verb+Pos+Prog1+A2pl
eriyorum	er+Verb+Pos+Prog1+A1sg
yetmiyor	yet+Verb+Neg+Prog1+A3sg
saçmalıyorum	saçmala+Verb+Pos+Prog1+A1sg
akıyor	ak+Verb+Pos+Prog1+A3sg
kovmuyorsunuz	kov+Verb+Neg+Prog1+A2pl
ilgileniyor	ilgilen+Verb+Pos+Prog1+A3sg
topluyor	topla+Verb+Pos+Prog1+A3sg
dikiyor	dik+Verb+Pos+Prog1+A3sg
harcıyor	harca+Verb+Pos+Prog1+A3sg
tiksiniyor	tiksin+Verb+Pos+Prog1+A3sg
geçiniyor	geçin+Verb+Pos+Prog1+A3sg
zannediyor	zannet+Verb+Pos+Prog1+A3sg
uyuyorlar	uy+Verb+Pos+Prog1+A3pl
kalkıyorlar	kalk+Verb+Pos+Prog1+A3pl
sürüyorlar	sür+Verb+Pos+Prog1+A3pl
inceliyorlar	incele+Verb+Pos+Prog1+A3pl
giyiyorlar	giy+Verb+Pos+Prog1+A3pl
biliyorlar	bile+Verb+Pos+Prog1+A3pl
umuyorum	um+Verb+Pos+Prog1+A1sg
bırakıyorum	bırak+Verb+Pos+Prog1+A1sg
reddediyorum	reddet+Verb+Pos+Prog1+A1sg
üflüyor	üfle+Verb+Pos+Prog1+A3sg
yolluyorum	yolla+Verb+Pos+Prog1+A1sg
küçümsüyorum	küçümse+Verb+Pos+Prog1+A1sg
engelliyor	engelle+Verb+Pos+Prog1+A3sg
kaybediyorum	kaybet+Verb+Pos+Prog1+A1sg
çalışıyorsunuz	çalış+Verb+Pos+Prog1+A2pl
görüntülüyor	görüntüle+Verb+Pos+Prog1+A3sg
bulunmuyor	bulun+Verb+Neg+Prog1+A3sg
çalışmıyor	çalış+Verb+Neg+Prog1+A3sg
göstermiyor	göster+Verb+Neg+Prog1+A3sg
azalıyor	azal+Verb+Pos+Prog1+A3sg
desteklemiyor	destekle+Verb+Neg+Prog1+A3sg
paylaşıyorum	paylaş+Verb+Pos+Prog1+A1sg
sürüklüyorsunuz	sürükle+Verb+Pos+Prog1+A2pl
eklemiyor	ekle+Verb+Neg+Prog1+A3sg
görmüyorum	gör+Verb+Neg+Prog1+A1sg
görüyorum	gör+Verb+Pos+Prog1+A1sg
almıyor	al+Verb+Neg+Prog1+A3sg
karşılamıyor	karşıla+Verb+Neg+Prog1+A3sg
içeriyor	içer+Verb+Pos+Prog1+A3sg
araştırıyor	araştır+Verb+Pos+Prog1+A3sg
kuruyorlar	kur+Verb+Pos+Prog1+A3pl
uğraşıyorlar	uğraş+Verb+Pos+Prog1+A3pl
düşünüyorlar	düşün+Verb+Pos+Prog1+A3pl
uğraşmıyor	uğraş+Verb+Neg+Prog1+A3sg
kurtarıyorlar	kurtar+Verb+Pos+Prog1+A3pl
vazgeçiyor	vazgeç+Verb+Pos+Prog1+A3sg
topluyorlar	topla+Verb+Pos+Prog1+A3pl
tüketiyor	tüket+Verb+Pos+Prog1+A3sg
düşünmüyor	düşün+Verb+Neg+Prog1+A3sg
püskürüyor	püskür+Verb+Pos+Prog1+A3sg
takılıyor	takıl+Verb+Pos+Prog1+A3sg
bozuyor	boz+Verb+Pos+Prog1+A3sg
başarıyor	başar+Verb+Pos+Prog1+A3sg
kazanıyor	kazan+Verb+Pos+Prog1+A3sg
adıyor	ada+Verb+Pos+Prog1+A3sg
taslamıyor	tasla+Verb+Neg+Prog1+A3sg
bırakmıyor	bırak+Verb+Neg+Prog1+A3sg
kazanıyorum	kazan+Verb+Pos+Prog1+A1sg
inanmıyorum	inan+Verb+Neg+Prog1+A1sg
almıyorlar	al+Verb+Neg+Prog1+A3pl
taşıyorum	taş+Verb+Pos+Prog1+A1sg
kesiyor	kes+Verb+Pos+Prog1+A3sg
bağırıyorlar	bağır+Verb+Pos+Prog1+A3pl
şaşırıyorum	şaşır+Verb+Pos+Prog1+A1sg
bağlıyorsun	bağla+Verb+Pos+Prog1+A2sg
batıyor	bat+Verb+Pos+Prog1+A3sg
öğreniyorum	öğren+Verb+Pos+Prog1+A1sg
oynuyor	oyna+Verb+Pos+Prog1+A3sg
beğeniyorum	beğen+Verb+Pos+Prog1+A1sg
kalmıyor	kal+Verb+Neg+Prog1+A3sg
dayanıyor	dayan+Verb+Pos+Prog1+A3sg
tekliyoruz	tekle+Verb+Pos+Prog1+A1pl
yöneliyorlar	yönel+Verb+Pos+Prog1+A3pl
sunuyoruz	sun+Verb+Pos+Prog1+A1pl
uyguluyor	uygula+Verb+Pos+Prog1+A3sg
hazırlıyor	hazırla+Verb+Pos+Prog1+A3sg
bulmuyor	bul+Verb+Neg+Prog1+A3sg
çekiyor	çek+Verb+Pos+Prog1+A3sg
yükseliyor	yüksel+Verb+Pos+Prog1+A3sg
aktarıyorum	aktar+Verb+Pos+Prog1+A1sg
tutmuyor	tut+Verb+Neg+Prog1+A3sg
buluşuyor	buluş+Verb+Pos+Prog1+A3sg
sunuyor	sun+Verb+Pos+Prog1+A3sg
yürüyoruz	yürü+Verb+Pos+Prog1+A1pl
hatırlıyoruz	hatırla+Verb+Pos+Prog1+A1pl
sığıyor	sığa+Verb+Pos+Prog1+A3sg
kınıyorum	kına+Verb+Pos+Prog1+A1sg
gidiyoruz	git+Verb+Pos+Prog1+A1pl
karşılıyorum	karşıla+Verb+Pos+Prog1+A1sg
özetliyor	özetle+Verb+Pos+Prog1+A3sg
hissediyorsunuz	hisset+Verb+Pos+Prog1+A2pl
dolmuyor	dol+Verb+Neg+Prog1+A3sg
buluyorlar	bula+Verb+Pos+Prog1+A3pl
getiriyorlar	getir+Verb+Pos+Prog1+A3pl
kaybediyorsunuz	kaybet+Verb+Pos+Prog1+A2pl
ediyoruz	et+Verb+Pos+Prog1+A1pl
savunuyorlar	savun+Verb+Pos+Prog1+A3pl
anlatıyor	anlat+Verb+Pos+Prog1+A3sg
görüyoruz	gör+Verb+Pos+Prog1+A1pl
beklemiyorum	bekle+Verb+Neg+Prog1+A1sg
öneriyorum	öner+Verb+Pos+Prog1+A1sg
veriyorlar	ver+Verb+Pos+Prog1+A3pl
yapmıyorlar	yap+Verb+Neg+Prog1+A3pl
demiyor	de+Verb+Neg+Prog1+A3sg
gösteriyoruz	göster+Verb+Pos+Prog1+A1pl
amaçlıyoruz	amaçla+Verb+Pos+Prog1+A1pl
kullanıyorum	kullan+Verb+Pos+Prog1+A1sg
soruyoruz	sor+Verb+Pos+Prog1+A1pl
yapmıyoruz	yap+Verb+Neg+Prog1+A1pl
arıyor	ara+Verb+Pos+Prog1+A3sg
görüşüyor	görüş+Verb+Pos+Prog1+A3sg
özetliyorlar	özetle+Verb+Pos+Prog1+A3pl
yaklaşıyor	yaklaş+Verb+Pos+Prog1+A3sg
reddetmiyor	reddet+Verb+Neg+Prog1+A3sg
gönderiyor	gönder+Verb+Pos+Prog1+A3sg
savuruyor	savur+Verb+Pos+Prog1+A3sg
coşuyor	coş+Verb+Pos+Prog1+A3sg
andırıyor	andır+Verb+Pos+Prog1+A3sg
tanımıyor	tanı+Verb+Neg+Prog1+A3sg
sürmüyor	sür+Verb+Neg+Prog1+A3sg
bekliyoruz	bekle+Verb+Pos+Prog1+A1pl
vermiyor	ver+Verb+Neg+Prog1+A3sg
alkışlıyor	alkışla+Verb+Pos+Prog1+A3sg
çatıyor	çat+Verb+Pos+Prog1+A3sg
