verirsiniz	ver+Verb+Pos+Aor+A2pl
eklersiniz	ekle+Verb+Pos+Aor+A2pl
görüntülemez	görüntüle+Verb+Neg+Aor+A3sg
değişir	değiş+Verb+Pos+Aor+A3sg
oluşur	oluş+Verb+Pos+Aor+A3sg
seçersiniz	seç+Verb+Pos+Aor+A2pl
silmez	sil+Verb+Neg+Aor+A3sg
devralmaz	devral+Verb+Neg+Aor+A3sg
siler	sil+Verb+Pos+Aor+A3sg
içerir	içer+Verb+Pos+Aor+A3sg
içermez	içer+Verb+Neg+Aor+A3sg
dönüşür	dönüş+Verb+Pos+Aor+A3sg
destekler	destekle+Verb+Pos+Aor+A3sg
duyarsınız	duy+Verb+Pos+Aor+A2pl
arar	ara+Verb+Pos+Aor+A3sg
belirler	belirle+Verb+Pos+Aor+A3sg
denetler	denetle+Verb+Pos+Aor+A3sg
engellemez	engelle+Verb+Neg+Aor+A3sg
diyorsun	de+Verb+Pos+Prog1+A2sg
yutuyor	yut+Verb+Pos+Prog1+A3sg
içiyorsun	iç+Verb+Pos+Prog1+A2sg
atıyorlar	ata+Verb+Pos+Prog1+A3pl
konuyor	kon+Verb+Pos+Prog1+A3sg
konuyorlar	kon+Verb+Pos+Prog1+A3pl
işliyorlar	işle+Verb+Pos+Prog1+A3pl
yapıyorlar	yap+Verb+Pos+Prog1+A3pl
yatıyorsunuz	yat+Verb+Pos+Prog1+A2pl
söylemiyorsun	söyle+Verb+Neg+Prog1+A2sg
bahsediyorsunuz	bahset+Verb+Pos+Prog1+A2pl
bahsediyoruz	bahset+Verb+Pos+Prog1+A1pl
çalıyor	çal+Verb+Pos+Prog1+A3sg
öğretiyor	öğret+Verb+Pos+Prog1+A3sg
korkmuyorum	kork+Verb+Neg+Prog1+A1sg
bekliyor	bekle+Verb+Pos+Prog1+A3sg
etmiyorlar	et+Verb+Neg+Prog1+A3pl
girmiyorum	gir+Verb+Neg+Prog1+A1sg
buluyor	bula+Verb+Pos+Prog1+A3sg
söylüyorlar	söyle+Verb+Pos+Prog1+A3pl
arıyorum	ara+Verb+Pos+Prog1+A1sg
hazırlıyorum	hazırla+Verb+Pos+Prog1+A1sg
yakıyor	yak+Verb+Pos+Prog1+A3sg
güveniyorum	güven+Verb+Pos+Prog1+A1sg
sanıyor	san+Verb+Pos+Prog1+A3sg
seviyorsunuz	sev+Verb+Pos+Prog1+A2pl
bekliyorum	bekle+Verb+Pos+Prog1+A1sg
duymuyor	duy+Verb+Neg+Prog1+A3sg
seviniyorum	sevin+Verb+Pos+Prog1+A1sg
yakışıyor	yakış+Verb+Pos+Prog1+A3sg
yetiyor	yet+Verb+Pos+Prog1+A3sg
bakıyorum	bak+Verb+Pos+Prog1+A1sg
bayılıyor	bayıl+Verb+Pos+Prog1+A3sg
görünüyorlar	görün+Verb+Pos+Prog1+A3pl
duruyorum	dur+Verb+Pos+Prog1+A1sg
irkiliyor	irkil+Verb+Pos+Prog1+A3sg
satıyorlar	sat+Verb+Pos+Prog1+A3pl
çıkmıyorsun	çık+Verb+Neg+Prog1+A2sg
yıkıyor	yıka+Verb+Pos+Prog1+A3sg
ödüyoruz	öde+Verb+Pos+Prog1+A1pl
söylüyorsun	söyle+Verb+Pos+Prog1+A2sg
uçuşuyor	uçuş+Verb+Pos+Prog1+A3sg
çalıyorsun	çal+Verb+Pos+Prog1+A2sg
uyuyorsun	uy+Verb+Pos+Prog1+A2sg
sıkıyorsun	sık+Verb+Pos+Prog1+A2sg
geliyoruz	gel+Verb+Pos+Prog1+A1pl
oturuyoruz	otur+Verb+Pos+Prog1+A1pl
geliyorsunuz	gel+Verb+Pos+Prog1+A2pl
geliyorum	gel+Verb+Pos+Prog1+A1sg
kayboluyor	kaybol+Verb+Pos+Prog1+A3sg
satıyorsunuz	sat+Verb+Pos+Prog1+A2pl
getiriyorum	getir+Verb+Pos+Prog1+A1sg
değişmiyor	değiş+Verb+Neg+Prog1+A3sg
uğraşmıyorsunuz	uğraş+Verb+Neg+Prog1+A2pl
olmuyorsunuz	ol+Verb+Neg+Prog1+A2pl
yemiyorsunuz	ye+Verb+Neg+Prog1+A2pl
üzüyor	üz+Verb+Pos+Prog1+A3sg
gidiyorlar	git+Verb+Pos+Prog1+A3pl
yapıyorum	yap+Verb+Pos+Prog1+A1sg
tutuyor	tut+Verb+Pos+Prog1+A3sg
kazanıyorlar	kazan+Verb+Pos+Prog1+A3pl
parlıyor	parla+Verb+Pos+Prog1+A3sg
kaçınıyor	kaçın+Verb+Pos+Prog1+A3sg
şakalaşıyor	şakalaş+Verb+Pos+Prog1+A3sg
istemiyor	iste+Verb+Neg+Prog1+A3sg
susuyor	susa+Verb+Pos+Prog1+A3sg
seviniyor	sevin+Verb+Pos+Prog1+A3sg
tanımıyorum	tanı+Verb+Neg+Prog1+A1sg
oluyorlar	ol+Verb+Pos+Prog1+A3pl
karışıyor	karış+Verb+Pos+Prog1+A3sg
koruyor	koru+Verb+Pos+Prog1+A3sg
kalkıyorum	kalk+Verb+Pos+Prog1+A1sg
bilmiyoruz	bil+Verb+Neg+Prog1+A1pl
çıkmıyor	çık+Verb+Neg+Prog1+A3sg
hapsediyorsunuz	hapset+Verb+Pos+Prog1+A2pl
veriyorsunuz	ver+Verb+Pos+Prog1+A2pl
sokuyorsunuz	sok+Verb+Pos+Prog1+A2pl
savsaklıyorsunuz	savsakla+Verb+Pos+Prog1+A2pl
duymuyorum	duy+Verb+Neg+Prog1+A1sg
açıyorum	aç+Verb+Pos+Prog1+A1sg
yatıyorum	yat+Verb+Pos+Prog1+A1sg
havalanıyor	havalan+Verb+Pos+Prog1+A3sg
hışırdıyor	hışırda+Verb+Pos+Prog1+A3sg
dönüşüyor	dönüş+Verb+Pos+Prog1+A3sg
alıyorlar	al+Verb+Pos+Prog1+A3pl
itiyor	it+Verb+Pos+Prog1+A3sg
açıyor	aç+Verb+Pos+Prog1+A3sg
bekliyorlar	bekle+Verb+Pos+Prog1+A3pl
getiriyor	getir+Verb+Pos+Prog1+A3sg
gülüyor	gül+Verb+Pos+Prog1+A3sg
basıyor	bas+Verb+Pos+Prog1+A3sg
seviyoruz	sev+Verb+Pos+Prog1+A1pl
yanıyor	yan+Verb+Pos+Prog1+A3sg
uymuyor	uy+Verb+Neg+Prog1+A3sg
vuruyor	vur+Verb+Pos+Prog1+A3sg
karşılaştırıyorum	karşılaştır+Verb+Pos+Prog1+A1sg
varıyorum	var+Verb+Pos+Prog1+A1sg
olmuyorlar	ol+Verb+Neg+Prog1+A3pl
saklıyor	sakla+Verb+Pos+Prog1+A3sg
yapıyoruz	yap+Verb+Pos+Prog1+A1pl
başladım	başla+Verb+Pos+Past+A1sg
boyadı	boya+Verb+Pos+Past+A3sg
bozmadı	boz+Verb+Neg+Past+A3sg
durdum	dur+Verb+Pos+Past+A1sg
çekişti	çekiş+Verb+Pos+Past+A3sg
döndüm	dön+Verb+Pos+Past+A1sg
yaklaştım	yaklaş+Verb+Pos+Past+A1sg
doğruldu	doğrul+Verb+Pos+Past+A3sg
yöneldi	yönel+Verb+Pos+Past+A3sg
şükrettim	şükret+Verb+Pos+Past+A1sg
bıraktı	bırak+Verb+Pos+Past+A3sg
başladık	başla+Verb+Pos+Past+A1pl
ekledim	ekle+Verb+Pos+Past+A1sg
gelmedi	gel+Verb+Neg+Past+A3sg
yeğledim	yeğle+Verb+Pos+Past+A1sg
söylemediniz	söyle+Verb+Neg+Past+A2pl
söylediniz	söyle+Verb+Pos+Past+A2pl
hoşlanmadım	hoşlan+Verb+Neg+Past+A1sg
kaçtı	kaç+Verb+Pos+Past+A3sg
tanışmadım	tanış+Verb+Neg+Past+A1sg
istedim	iste+Verb+Pos+Past+A1sg
bağırdım	bağır+Verb+Pos+Past+A1sg
sezdiniz	sez+Verb+Pos+Past+A2pl
sandım	san+Verb+Pos+Past+A1sg
etmedim	et+Verb+Neg+Past+A1sg
sevindim	sevin+Verb+Pos+Past+A1sg
geldik	gel+Verb+Pos+Past+A1pl
bitti	bit+Verb+Pos+Past+A3sg
haykırdım	haykır+Verb+Pos+Past+A1sg
tanıdınız	tanı+Verb+Pos+Past+A2pl
çekti	çek+Verb+Pos+Past+A3sg
gülümsedi	gülümse+Verb+Pos+Past+A3sg
değildin	değil+Verb+Neg+Past+A2sg
serpti	serp+Verb+Pos+Past+A3sg
seyretti	seyret+Verb+Pos+Past+A3sg
vazgeçti	vazgeç+Verb+Pos+Past+A3sg
şaşırdı	şaşır+Verb+Pos+Past+A3sg
attılar	at+Verb+Pos+Past+A3pl
tıktılar	tık+Verb+Pos+Past+A3pl
korktu	kork+Verb+Pos+Past+A3sg
döktü	dök+Verb+Pos+Past+A3sg
kovdu	kov+Verb+Pos+Past+A3sg
geldin	gel+Verb+Pos+Past+A2sg
girdiler	gir+Verb+Pos+Past+A3pl
dikti	dik+Verb+Pos+Past+A3sg
tanıdı	tanı+Verb+Pos+Past+A3sg
eğdiler	eğ+Verb+Pos+Past+A3pl
yıprandı	yıpran+Verb+Pos+Past+A3sg
kaçtım	kaç+Verb+Pos+Past+A1sg
düşündüm	düşün+Verb+Pos+Past+A1sg
soğudu	soğu+Verb+Pos+Past+A3sg
kalktı	kalk+Verb+Pos+Past+A3sg
girişti	giriş+Verb+Pos+Past+A3sg
konuşmadı	konuş+Verb+Neg+Past+A3sg
bıraktılar	bırak+Verb+Pos+Past+A3pl
içtiler	iç+Verb+Pos+Past+A3pl
çıktılar	çık+Verb+Pos+Past+A3pl
yaklaştılar	yaklaş+Verb+Pos+Past+A3pl
durdular	dur+Verb+Pos+Past+A3pl
sürdüler	sür+Verb+Pos+Past+A3pl
ittim	it+Verb+Pos+Past+A1sg
karıştım	karış+Verb+Pos+Past+A1sg
bahsetmediniz	bahset+Verb+Neg+Past+A2pl
olmadı	ol+Verb+Neg+Past+A3sg
sattık	sat+Verb+Pos+Past+A1pl
gittik	git+Verb+Pos+Past+A1pl
çapaladım	çapala+Verb+Pos+Past+A1sg
zannettin	zannet+Verb+Pos+Past+A2sg
topladık	topla+Verb+Pos+Past+A1pl
verdik	ver+Verb+Pos+Past+A1pl
böldük	böl+Verb+Pos+Past+A1pl
yaptık	yap+Verb+Pos+Past+A1pl
çömeldi	çömel+Verb+Pos+Past+A3sg
verdin	ver+Verb+Pos+Past+A2sg
verdiler	ver+Verb+Pos+Past+A3pl
sürdüm	sür+Verb+Pos+Past+A1sg
baktılar	bak+Verb+Pos+Past+A3pl
değişti	değiş+Verb+Pos+Past+A3sg
belirdi	belir+Verb+Pos+Past+A3sg
benzedi	benze+Verb+Pos+Past+A3sg
sarkıttı	sarkıt+Verb+Pos+Past+A3sg
sırıttı	sırıt+Verb+Pos+Past+A3sg
toparladılar	toparla+Verb+Pos+Past+A3pl
anlaştık	anlaş+Verb+Pos+Past+A1pl
baltaladın	baltala+Verb+Pos+Past+A2sg
döndüler	dön+Verb+Pos+Past+A3pl
aldılar	al+Verb+Pos+Past+A3pl
gülmediler	gül+Verb+Neg+Past+A3pl
yürüdüler	yürü+Verb+Pos+Past+A3pl
gömdüler	göm+Verb+Pos+Past+A3pl
seyrettiler	seyret+Verb+Pos+Past+A3pl
yüklediler	yükle+Verb+Pos+Past+A3pl
gittiler	git+Verb+Pos+Past+A3pl
kayboldular	kaybol+Verb+Pos+Past+A3pl
tekmeledi	tekmele+Verb+Pos+Past+A3sg
gezdi	gez+Verb+Pos+Past+A3sg
böğürdü	böğür+Verb+Pos+Past+A3sg
işitti	işit+Verb+Pos+Past+A3sg
unuttu	unut+Verb+Pos+Past+A3sg
kaşıdı	kaşı+Verb+Pos+Past+A3sg
çizecek	çiz+Verb+Pos+Fut+A3sg
kurtulacaklar	kurtul+Verb+Pos+Fut+A3pl
getireceğim	getir+Verb+Pos+Fut+A1sg
uyaracağım	uyar+Verb+Pos+Fut+A1sg
hissedeceğiz	hisset+Verb+Pos+Fut+A1pl
yapacaksın	yap+Verb+Pos+Fut+A2sg
kazanacağım	kazan+Verb+Pos+Fut+A1sg
bitecek	bit+Verb+Pos+Fut+A3sg
belirleyeceğiz	belirle+Verb+Pos+Fut+A1pl
sevinecek	sevin+Verb+Pos+Fut+A3sg
pazarlayacak	pazarla+Verb+Pos+Fut+A3sg
anlatacaklar	anlat+Verb+Pos+Fut+A3pl
yapacaksınız	yap+Verb+Pos+Fut+A2pl
gideceksin	git+Verb+Pos+Fut+A2sg
alacağız	al+Verb+Pos+Fut+A1pl
seyredecek	seyret+Verb+Pos+Fut+A3sg
atmayacak	at+Verb+Neg+Fut+A3sg
bahsetmeyeceğim	bahset+Verb+Neg+Fut+A1sg
dönecekler	dön+Verb+Pos+Fut+A3pl
başaracağız	başar+Verb+Pos+Fut+A1pl
kopmayacak	kop+Verb+Neg+Fut+A3sg
karşılaşacak	karşılaş+Verb+Pos+Fut+A3sg
düzelecek	düzel+Verb+Pos+Fut+A3sg
esirgemeyeceğim	esirge+Verb+Neg+Fut+A1sg
çalışacağız	çalış+Verb+Pos+Fut+A1pl
diyecekler	de+Verb+Pos+Fut+A3pl
gezineceksiniz	gezin+Verb+Pos+Fut+A2pl
düşüneceksiniz	düşün+Verb+Pos+Fut+A2pl
alkışlayacak	alkışla+Verb+Pos+Fut+A3sg
ağrıyacak	ağrı+Verb+Pos+Fut+A3sg
hissedecek	hisset+Verb+Pos+Fut+A3sg
başlayacaksınız	başla+Verb+Pos+Fut+A2pl
deneyecek	dene+Verb+Pos+Fut+A3sg
çevirecekler	çevir+Verb+Pos+Fut+A3pl
bırakacaksınız	bırak+Verb+Pos+Fut+A2pl
uğraşacaklar	uğraş+Verb+Pos+Fut+A3pl
inceleyeceğiz	incele+Verb+Pos+Fut+A1pl
arayacağız	ara+Verb+Pos+Fut+A1pl
çelişecek	çeliş+Verb+Pos+Fut+A3sg
yeralacak	yeral+Verb+Pos+Fut+A3sg
oluşacak	oluş+Verb+Pos+Fut+A3sg
kesmeyecek	kes+Verb+Neg+Fut+A3sg
beğenecek	beğen+Verb+Pos+Fut+A3sg
çağırmayacağım	çağır+Verb+Neg+Fut+A1sg
tartışacak	tartış+Verb+Pos+Fut+A3sg
kuracaksınız	kur+Verb+Pos+Fut+A2pl
yaşayacaklar	yaşa+Verb+Pos+Fut+A3pl
suçlayacaksın	suçla+Verb+Pos+Fut+A2sg
vermeyeceksin	ver+Verb+Neg+Fut+A2sg
kapışacak	kapış+Verb+Pos+Fut+A3sg
diyeceksin	de+Verb+Pos+Fut+A2sg
yapmayacak	yap+Verb+Neg+Fut+A3sg
ekmeyeceğiz	ek+Verb+Neg+Fut+A1pl
kiralayacağım	kirala+Verb+Pos+Fut+A1sg
koruyacak	koru+Verb+Pos+Fut+A3sg
görüşecek	görüş+Verb+Pos+Fut+A3sg
sağlayacağız	sağla+Verb+Pos+Fut+A1pl
artacak	art+Verb+Pos+Fut+A3sg
ekleyeceğim	ekle+Verb+Pos+Fut+A1sg
tükenecek	tüken+Verb+Pos+Fut+A3sg
tamamlayacak	tamamla+Verb+Pos+Fut+A3sg
kullanmayacaksın	kullan+Verb+Neg+Fut+A2sg
yapmayacaksın	yap+Verb+Neg+Fut+A2sg
üstlenecek	üstlen+Verb+Pos+Fut+A3sg
edeceksin	et+Verb+Pos+Fut+A2sg
basacaksın	bas+Verb+Pos+Fut+A2sg
içeceksin	iç+Verb+Pos+Fut+A2sg
göreceksin	gör+Verb+Pos+Fut+A2sg
almayacağım	al+Verb+Neg+Fut+A1sg
gitmeyeceğim	git+Verb+Neg+Fut+A1sg
güvenecek	güven+Verb+Pos+Fut+A3sg
bırakacaksın	bırak+Verb+Pos+Fut+A2sg
koyacaksın	koy+Verb+Pos+Fut+A2sg
kısalacak	kısal+Verb+Pos+Fut+A3sg
tanımlayacak	tanımla+Verb+Pos+Fut+A3sg
kalacaklar	kal+Verb+Pos+Fut+A3pl
öğreteceksin	öğret+Verb+Pos+Fut+A2sg
yavaşlayacak	yavaşla+Verb+Pos+Fut+A3sg
kaçacaklar	kaç+Verb+Pos+Fut+A3pl
kutlayacağım	kutla+Verb+Pos+Fut+A1sg
anlayacağız	anla+Verb+Pos+Fut+A1pl
yaratacaklar	yarat+Verb+Pos+Fut+A3pl
inecek	in+Verb+Pos+Fut+A3sg
dayanacak	dayan+Verb+Pos+Fut+A3sg
ayıklayacağız	ayıkla+Verb+Pos+Fut+A1pl
yazmayacak	yaz+Verb+Neg+Fut+A3sg
hissedeceksiniz	hisset+Verb+Pos+Fut+A2pl
gidecekler	git+Verb+Pos+Fut+A3pl
başlamayacak	başla+Verb+Neg+Fut+A3sg
yaratacak	yarat+Verb+Pos+Fut+A3sg
sunacak	sun+Verb+Pos+Fut+A3sg
kalmayacak	kal+Verb+Neg+Fut+A3sg
aktaracak	aktar+Verb+Pos+Fut+A3sg
başlayacaklar	başla+Verb+Pos+Fut+A3pl
gecikmeyecek	gecik+Verb+Neg+Fut+A3sg
yarışacak	yarış+Verb+Pos+Fut+A3sg
doyacak	doy+Verb+Pos+Fut+A3sg
hatırlayacağız	hatırla+Verb+Pos+Fut+A1pl
paylaşacak	paylaş+Verb+Pos+Fut+A3sg
gösterecekler	göster+Verb+Pos+Fut+A3pl
affetmiş	affet+Verb+Pos+Narr+A3sg
görmüşler	gör+Verb+Pos+Narr+A3pl
dalmışlar	dal+Verb+Pos+Narr+A3pl
başlamışlar	başla+Verb+Pos+Narr+A3pl
sıvamış	sıva+Verb+Pos+Narr+A3sg
pişmiş	piş+Verb+Pos+Narr+A3sg
tartışmış	tartış+Verb+Pos+Narr+A3sg
satmış	sat+Verb+Pos+Narr+A3sg
düşünmemiş	düşün+Verb+Neg+Narr+A3sg
yapmamışlar	yap+Verb+Neg+Narr+A3pl
yönelmişler	yönel+Verb+Pos+Narr+A3pl
muymuş	mu+Ques+Narr+A3sg
korkmuş	kork+Verb+Pos+Narr+A3sg
çuvallamış	çuvalla+Verb+Pos+Narr+A3sg
kaynaşmış	kaynaş+Verb+Pos+Narr+A3sg
büyümüş	büyü+Verb+Pos+Narr+A3sg
açıklamamış	açıkla+Verb+Neg+Narr+A3sg
bakmış	bak+Verb+Pos+Narr+A3sg
çalmış	çal+Verb+Pos+Narr+A3sg
araştırmış	araştır+Verb+Pos+Narr+A3sg
çıkmışız	çık+Verb+Pos+Narr+A1pl
yansımış	yansı+Verb+Pos+Narr+A3sg
istemişler	iste+Verb+Pos+Narr+A3pl
başarmış	başar+Verb+Pos+Narr+A3sg
yapmamış	yap+Verb+Neg+Narr+A3sg
alışmışlar	alış+Verb+Pos+Narr+A3pl
düşünmüş	düşün+Verb+Pos+Narr+A3sg
demişler	de+Verb+Pos+Narr+A3pl
gelmişmiş	gel+Verb+Pos+Narr+Narr+A3sg
vermişmiş	ver+Verb+Pos+Narr+Narr+A3sg
unutmuşlar	unut+Verb+Pos+Narr+A3pl
tetiklemiş	tetikle+Verb+Pos+Narr+A3sg
yazmışsınız	yaz+Verb+Pos+Narr+A2pl
sürmüş	sür+Verb+Pos+Narr+A3sg
doğmuşsunuz	doğ+Verb+Pos+Narr+A2pl
yapmışlar	yap+Verb+Pos+Narr+A3pl
yargılamış	yargıla+Verb+Pos+Narr+A3sg
yaşamışız	yaşa+Verb+Pos+Narr+A1pl
seçmişim	seç+Verb+Pos+Narr+A1sg
etmişim	et+Verb+Pos+Narr+A1sg
gözlemlemiş	gözlemle+Verb+Pos+Narr+A3sg
alıkoymuş	alıkoy+Verb+Pos+Narr+A3sg
sergilemiş	sergile+Verb+Pos+Narr+A3sg
gizlemiş	gizle+Verb+Pos+Narr+A3sg
davranmış	davran+Verb+Pos+Narr+A3sg
toparlamış	toparla+Verb+Pos+Narr+A3sg
güvenmiş	güven+Verb+Pos+Narr+A3sg
vermemiş	ver+Verb+Neg+Narr+A3sg
ağlamış	ağla+Verb+Pos+Narr+A3sg
olmuşum	ol+Verb+Pos+Narr+A1sg
okumuşum	oku+Verb+Pos+Narr+A1sg
çekmişler	çek+Verb+Pos+Narr+A3pl
yutmuş	yut+Verb+Pos+Narr+A3sg
şaşırmışlar	şaşır+Verb+Pos+Narr+A3pl
gelmişler	gel+Verb+Pos+Narr+A3pl
yememiş	ye+Verb+Neg+Narr+A3sg
addetmiş	addet+Verb+Pos+Narr+A3sg
patlamış	patla+Verb+Pos+Narr+A3sg
kaymış	kay+Verb+Pos+Narr+A3sg
dağılmışlar	dağıl+Verb+Pos+Narr+A3pl
korumuş	koru+Verb+Pos+Narr+A3sg
aramışlar	ara+Verb+Pos+Narr+A3pl
izlemiş	izle+Verb+Pos+Narr+A3sg
tatmamış	tat+Verb+Neg+Narr+A3sg
bezmiş	bez+Verb+Pos+Narr+A3sg
getirmişler	getir+Verb+Pos+Narr+A3pl
öğretmiş	öğret+Verb+Pos+Narr+A3sg
gerilemiş	gerile+Verb+Pos+Narr+A3sg
açmışlar	aç+Verb+Pos+Narr+A3pl
çalışmamış	çalış+Verb+Neg+Narr+A3sg
keşfetmişler	keşfet+Verb+Pos+Narr+A3pl
atmışlar	at+Verb+Pos+Narr+A3pl
görüşmüş	görüş+Verb+Pos+Narr+A3sg
belgelemiş	belgele+Verb+Pos+Narr+A3sg
ispatlamış	ispatla+Verb+Pos+Narr+A3sg
tutmamış	tut+Verb+Neg+Narr+A3sg
almışsınız	al+Verb+Pos+Narr+A2pl
hedeflemiş	hedefle+Verb+Pos+Narr+A3sg
kovalamış	kovala+Verb+Pos+Narr+A3sg
ödememişler	öde+Verb+Neg+Narr+A3pl
ödememiş	öde+Verb+Neg+Narr+A3sg
kavuşmuş	kavuş+Verb+Pos+Narr+A3sg
kesişmiş	kesiş+Verb+Pos+Narr+A3sg
yükselmiş	yüksel+Verb+Pos+Narr+A3sg
ayırmış	ayır+Verb+Pos+Narr+A3sg
gelişmemiş	geliş+Verb+Neg+Narr+A3sg
harcamışım	harca+Verb+Pos+Narr+A1sg
tanışmış	tanış+Verb+Pos+Narr+A3sg
etmişiz	et+Verb+Pos+Narr+A1pl
basmış	bas+Verb+Pos+Narr+A3sg
uçmuş	uç+Verb+Pos+Narr+A3sg
iletmişsiniz	ilet+Verb+Pos+Narr+A2pl
geçmişler	geç+Verb+Pos+Narr+A3pl
girmişler	gir+Verb+Pos+Narr+A3pl
boğmuş	boğ+Verb+Pos+Narr+A3sg
kaybetmişim	kaybet+Verb+Pos+Narr+A1sg
keşfetmiş	keşfet+Verb+Pos+Narr+A3sg
azalmış	azal+Verb+Pos+Narr+A3sg
kopmuş	kop+Verb+Pos+Narr+A3sg
yanaşmış	yanaş+Verb+Pos+Narr+A3sg
