gitmeyecek	git+Verb+Neg+Fut+A3sg
yaklaşacak	yaklaş+Verb+Pos+Fut+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
kalacağım	kal+Verb+Pos+Fut+A1sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
onaracağım	onar+Verb+Pos+Fut+A1sg
döneceğiz	dön+Verb+Pos+Fut+A1pl
gidecek	git+Verb+Pos+Fut+A3sg
bulunacak	bulun+Verb+Pos+Fut+A3sg
bilmeyecek	bil+Verb+Neg+Fut+A3sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
güleceksiniz	gül+Verb+Pos+Fut+A2pl
tanıyacak	tanı+Verb+Pos+Fut+A3sg
düşleyeceğim	düşle+Verb+Pos+Fut+A1sg
bulunmayacağım	bulun+Verb+Neg+Fut+A1sg
uyacaksınız	uy+Verb+Pos+Fut+A2pl
soracak	sor+Verb+Pos+Fut+A3sg
oturacak	otur+Verb+Pos+Fut+A3sg
yakacak	yak+Verb+Pos+Fut+A3sg
satacak	sat+Verb+Pos+Fut+A3sg
bulacağız	bul+Verb+Pos+Fut+A1pl
gerekecek	gerek+Verb+Pos+Fut+A3sg
değecek	değ+Verb+Pos+Fut+A3sg
süreceksin	sür+Verb+Pos+Fut+A2sg
vereceksin	ver+Verb+Pos+Fut+A2sg
büyüyecek	büyü+Verb+Pos+Fut+A3sg
açacak	aç+Verb+Pos+Fut+A3sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
yapacağız	yap+Verb+Pos+Fut+A1pl
toplayacak	topla+Verb+Pos+Fut+A3sg
öğreneceksiniz	öğren+Verb+Pos+Fut+A2pl
öğretecekler	öğret+Verb+Pos+Fut+A3pl
alacağım	al+Verb+Pos+Fut+A1sg
oturacağım	otur+Verb+Pos+Fut+A1sg
ezeceğim	ez+Verb+Pos+Fut+A1sg
akacak	ak+Verb+Pos+Fut+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
kaplayacak	kapla+Verb+Pos+Fut+A3sg
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
ağlamayacağım	ağla+Verb+Neg+Fut+A1sg
görünmeyecek	görün+Verb+Neg+Fut+A3sg
bakacaklar	bak+Verb+Pos+Fut+A3pl
zannedecekler	zannet+Verb+Pos+Fut+A3pl
duracak	dur+Verb+Pos+Fut+A3sg
duracaksın	dur+Verb+Pos+Fut+A2sg
hissedeceğim	hisset+Verb+Pos+Fut+A1sg
yapacaklar	yap+Verb+Pos+Fut+A3pl
başlayacağız	başla+Verb+Pos+Fut+A1pl
vuracaksın	vur+Verb+Pos+Fut+A2sg
dövecekler	döv+Verb+Pos+Fut+A3pl
özetleyeceğim	özetle+Verb+Pos+Fut+A1sg
istemeyeceksin	iste+Verb+Neg+Fut+A2sg
tutacağım	tut+Verb+Pos+Fut+A1sg
içeceğim	iç+Verb+Pos+Fut+A1sg
besleyeceksin	besle+Verb+Pos+Fut+A2sg
açıklayacak	açıkla+Verb+Pos+Fut+A3sg
yatacağım	yat+Verb+Pos+Fut+A1sg
mahvolacaksın	mahvol+Verb+Pos+Fut+A2sg
belirleyecek	belirle+Verb+Pos+Fut+A3sg
getireceksin	getir+Verb+Pos+Fut+A2sg
yiyecekler	ye+Verb+Pos+Fut+A3pl
boylayacağım	boyla+Verb+Pos+Fut+A1sg
kalacaksınız	kal+Verb+Pos+Fut+A2pl
çıldıracak	çıldır+Verb+Pos+Fut+A3sg
anlayacak	anla+Verb+Pos+Fut+A3sg
çekecek	çek+Verb+Pos+Fut+A3sg
tembihleyeceğim	tembihle+Verb+Pos+Fut+A1sg
söylemeyeceğim	söyle+Verb+Neg+Fut+A1sg
dinleyeceksiniz	dinle+Verb+Pos+Fut+A2pl
ödeyeceğim	öde+Verb+Pos+Fut+A1sg
vuracak	vur+Verb+Pos+Fut+A3sg
bırakacak	bırak+Verb+Pos+Fut+A3sg
tutuşacaksınız	tutuş+Verb+Pos+Fut+A2pl
yükselecek	yüksel+Verb+Pos+Fut+A3sg
dönecek	dön+Verb+Pos+Fut+A3sg
güleceğiz	gül+Verb+Pos+Fut+A1pl
tüketecek	tüket+Verb+Pos+Fut+A3sg
edeceğiz	et+Verb+Pos+Fut+A1pl
kirletmeyecek	kirlet+Verb+Neg+Fut+A3sg
kovmayacağım	kov+Verb+Neg+Fut+A1sg
unutacağım	unut+Verb+Pos+Fut+A1sg
gelmeyecek	gel+Verb+Neg+Fut+A3sg
kullanacak	kullan+Verb+Pos+Fut+A3sg
binecekler	bin+Verb+Pos+Fut+A3pl
binmeyecek	bin+Verb+Neg+Fut+A3sg
öğrenecekler	öğren+Verb+Pos+Fut+A3pl
tutacağız	tut+Verb+Pos+Fut+A1pl
konuşmayacağım	konuş+Verb+Neg+Fut+A1sg
bilecekler	bil+Verb+Pos+Fut+A3pl
dönmeyeceğim	dön+Verb+Neg+Fut+A1sg
yaşayacaksınız	yaşa+Verb+Pos+Fut+A2pl
girmeyeceğim	gir+Verb+Neg+Fut+A1sg
bakacaksın	bak+Verb+Pos+Fut+A2sg
kakmayacaksın	kak+Verb+Neg+Fut+A2sg
kakacağım	kak+Verb+Pos+Fut+A1sg
vermeyecek	ver+Verb+Neg+Fut+A3sg
takacak	tak+Verb+Pos+Fut+A3sg
alacaksın	al+Verb+Pos+Fut+A2sg
yürüyeceğim	yürü+Verb+Pos+Fut+A1sg
ağlayacak	ağla+Verb+Pos+Fut+A3sg
öleceğim	öl+Verb+Pos+Fut+A1sg
yarayacak	yara+Verb+Pos+Fut+A3sg
istemeyeceğim	iste+Verb+Neg+Fut+A1sg
içmeyecek	iç+Verb+Neg+Fut+A3sg
anlatmayacağım	anlat+Verb+Neg+Fut+A1sg
ölecek	öl+Verb+Pos+Fut+A3sg
hastalanacak	hastalan+Verb+Pos+Fut+A3sg
edeceksiniz	et+Verb+Pos+Fut+A2pl
konuşacağım	konuş+Verb+Pos+Fut+A1sg
evleneceksiniz	evlen+Verb+Pos+Fut+A2pl
evleneceğim	evlen+Verb+Pos+Fut+A1sg
yazacak	yaz+Verb+Pos+Fut+A3sg
yetecek	yet+Verb+Pos+Fut+A3sg
çözümleyeceğim	çözümle+Verb+Pos+Fut+A1sg
yetişmeyecek	yetiş+Verb+Neg+Fut+A3sg
çıkacağım	çık+Verb+Pos+Fut+A1sg
koyacağım	koy+Verb+Pos+Fut+A1sg
basacak	bas+Verb+Pos+Fut+A3sg
ayıracak	ayır+Verb+Pos+Fut+A3sg
koşacak	koş+Verb+Pos+Fut+A3sg
getirecek	getir+Verb+Pos+Fut+A3sg
saklayacağım	sakla+Verb+Pos+Fut+A1sg
kanacak	kan+Verb+Pos+Fut+A3sg
olacağız	ol+Verb+Pos+Fut+A1pl
gelmeyeceksin	gel+Verb+Neg+Fut+A2sg
aktaracağım	aktar+Verb+Pos+Fut+A1sg
oturmayacağım	otur+Verb+Neg+Fut+A1sg
içecekler	iç+Verb+Pos+Fut+A3pl
göndereceğim	gönder+Verb+Pos+Fut+A1sg
vazgeçecek	vazgeç+Verb+Pos+Fut+A3sg
göreceğim	gör+Verb+Pos+Fut+A1sg
sürükleyecek	sürükle+Verb+Pos+Fut+A3sg
olmayacağım	ol+Verb+Neg+Fut+A1sg
çarpacak	çarp+Verb+Pos+Fut+A3sg
görünecek	görün+Verb+Pos+Fut+A3sg
görüntüleyecek	görüntüle+Verb+Pos+Fut+A3sg
sağlayacak	sağla+Verb+Pos+Fut+A3sg
silecek	sil+Verb+Pos+Fut+A3sg
uyacak	uy+Verb+Pos+Fut+A3sg
sığacak	sığ+Verb+Pos+Fut+A3sg
kuracak	kur+Verb+Pos+Fut+A3sg
seçeceğim	seç+Verb+Pos+Fut+A1sg
kullanmayacak	kullan+Verb+Neg+Fut+A3sg
kesecek	kes+Verb+Pos+Fut+A3sg
kullanacaksınız	kullan+Verb+Pos+Fut+A2pl
aşacak	aş+Verb+Pos+Fut+A3sg
yükleyecek	yükle+Verb+Pos+Fut+A3sg
soğuyacak	soğu+Verb+Pos+Fut+A3sg
okuyacaksınız	oku+Verb+Pos+Fut+A2pl
kopmayacağım	kop+Verb+Neg+Fut+A1sg
kalacaksın	kal+Verb+Pos+Fut+A2sg
çalışacaksın	çalış+Verb+Pos+Fut+A2sg
patlayacak	patla+Verb+Pos+Fut+A3sg
esecek	es+Verb+Pos+Fut+A3sg
karışacak	karış+Verb+Pos+Fut+A3sg
yakalayacak	yakala+Verb+Pos+Fut+A3sg
aşacağız	aş+Verb+Pos+Fut+A1pl
açıklayacağım	açıkla+Verb+Pos+Fut+A1sg
paylayacağız	payla+Verb+Pos+Fut+A1pl
kurtaracaklar	kurtar+Verb+Pos+Fut+A3pl
isteyeceksiniz	iste+Verb+Pos+Fut+A2pl
açacağız	aç+Verb+Pos+Fut+A1pl
yiyeceğim	ye+Verb+Pos+Fut+A1sg
döneceğim	dön+Verb+Pos+Fut+A1sg
önereceğim	öner+Verb+Pos+Fut+A1sg
gideceğiz	git+Verb+Pos+Fut+A1pl
farkedeceksiniz	farket+Verb+Pos+Fut+A2pl
kaybetmeyecek	kaybet+Verb+Neg+Fut+A3sg
getireceğiz	getir+Verb+Pos+Fut+A1pl
geçeceğiz	geç+Verb+Pos+Fut+A1pl
olacaklar	ol+Verb+Pos+Fut+A3pl
kullanacaklar	kullan+Verb+Pos+Fut+A3pl
kazanacak	kazan+Verb+Pos+Fut+A3sg
kavuşacak	kavuş+Verb+Pos+Fut+A3sg
geleceğiz	gel+Verb+Pos+Fut+A1pl
ulaşacak	ulaş+Verb+Pos+Fut+A3sg
geçecekler	geç+Verb+Pos+Fut+A3pl
ulaşacaklar	ulaş+Verb+Pos+Fut+A3pl
duracağım	dur+Verb+Pos+Fut+A1sg
okumayacağım	oku+Verb+Neg+Fut+A1sg
edinecek	edin+Verb+Pos+Fut+A3sg
götürecek	götür+Verb+Pos+Fut+A3sg
tanışacaksınız	tanış+Verb+Pos+Fut+A2pl
çizecek	çiz+Verb+Pos+Fut+A3sg
kurtulacaklar	kurtul+Verb+Pos+Fut+A3pl
getireceğim	getir+Verb+Pos+Fut+A1sg
uyaracağım	uyar+Verb+Pos+Fut+A1sg
hissedeceğiz	hisset+Verb+Pos+Fut+A1pl
yapacaksın	yap+Verb+Pos+Fut+A2sg
kazanacağım	kazan+Verb+Pos+Fut+A1sg
bitecek	bit+Verb+Pos+Fut+A3sg
belirleyeceğiz	belirle+Verb+Pos+Fut+A1pl
sevinecek	sevin+Verb+Pos+Fut+A3sg
pazarlayacak	pazarla+Verb+Pos+Fut+A3sg
anlatacaklar	anlat+Verb+Pos+Fut+A3pl
yapacaksınız	yap+Verb+Pos+Fut+A2pl
gideceksin	git+Verb+Pos+Fut+A2sg
alacağız	al+Verb+Pos+Fut+A1pl
seyredecek	seyret+Verb+Pos+Fut+A3sg
atmayacak	at+Verb+Neg+Fut+A3sg
bahsetmeyeceğim	bahset+Verb+Neg+Fut+A1sg
dönecekler	dön+Verb+Pos+Fut+A3pl
başaracağız	başar+Verb+Pos+Fut+A1pl
kopmayacak	kop+Verb+Neg+Fut+A3sg
karşılaşacak	karşılaş+Verb+Pos+Fut+A3sg
düzelecek	düzel+Verb+Pos+Fut+A3sg
esirgemeyeceğim	esirge+Verb+Neg+Fut+A1sg
çalışacağız	çalış+Verb+Pos+Fut+A1pl
diyecekler	de+Verb+Pos+Fut+A3pl
gezineceksiniz	gezin+Verb+Pos+Fut+A2pl
düşüneceksiniz	düşün+Verb+Pos+Fut+A2pl
alkışlayacak	alkışla+Verb+Pos+Fut+A3sg
ağrıyacak	ağrı+Verb+Pos+Fut+A3sg
hissedecek	hisset+Verb+Pos+Fut+A3sg
başlayacaksınız	başla+Verb+Pos+Fut+A2pl
deneyecek	dene+Verb+Pos+Fut+A3sg
çevirecekler	çevir+Verb+Pos+Fut+A3pl
bırakacaksınız	bırak+Verb+Pos+Fut+A2pl
uğraşacaklar	uğraş+Verb+Pos+Fut+A3pl
inceleyeceğiz	incele+Verb+Pos+Fut+A1pl
arayacağız	ara+Verb+Pos+Fut+A1pl
çelişecek	çeliş+Verb+Pos+Fut+A3sg
yeralacak	yeral+Verb+Pos+Fut+A3sg
oluşacak	oluş+Verb+Pos+Fut+A3sg
kesmeyecek	kes+Verb+Neg+Fut+A3sg
beğenecek	beğen+Verb+Pos+Fut+A3sg
çağırmayacağım	çağır+Verb+Neg+Fut+A1sg
tartışacak	tartış+Verb+Pos+Fut+A3sg
kuracaksınız	kur+Verb+Pos+Fut+A2pl
yaşayacaklar	yaşa+Verb+Pos+Fut+A3pl
suçlayacaksın	suçla+Verb+Pos+Fut+A2sg
vermeyeceksin	ver+Verb+Neg+Fut+A2sg
kapışacak	kapış+Verb+Pos+Fut+A3sg
diyeceksin	de+Verb+Pos+Fut+A2sg
yapmayacak	yap+Verb+Neg+Fut+A3sg
ekmeyeceğiz	ek+Verb+Neg+Fut+A1pl
kiralayacağım	kirala+Verb+Pos+Fut+A1sg
koruyacak	koru+Verb+Pos+Fut+A3sg
görüşecek	görüş+Verb+Pos+Fut+A3sg
sağlayacağız	sağla+Verb+Pos+Fut+A1pl
artacak	art+Verb+Pos+Fut+A3sg
ekleyeceğim	ekle+Verb+Pos+Fut+A1sg
tükenecek	tüken+Verb+Pos+Fut+A3sg
tamamlayacak	tamamla+Verb+Pos+Fut+A3sg
kullanmayacaksın	kullan+Verb+Neg+Fut+A2sg
yapmayacaksın	yap+Verb+Neg+Fut+A2sg
üstlenecek	üstlen+Verb+Pos+Fut+A3sg
edeceksin	et+Verb+Pos+Fut+A2sg
basacaksın	bas+Verb+Pos+Fut+A2sg
içeceksin	iç+Verb+Pos+Fut+A2sg
göreceksin	gör+Verb+Pos+Fut+A2sg
almayacağım	al+Verb+Neg+Fut+A1sg
gitmeyeceğim	git+Verb+Neg+Fut+A1sg
güvenecek	güven+Verb+Pos+Fut+A3sg
bırakacaksın	bırak+Verb+Pos+Fut+A2sg
koyacaksın	koy+Verb+Pos+Fut+A2sg
kısalacak	kısal+Verb+Pos+Fut+A3sg
tanımlayacak	tanımla+Verb+Pos+Fut+A3sg
kalacaklar	kal+Verb+Pos+Fut+A3pl
öğreteceksin	öğret+Verb+Pos+Fut+A2sg
yavaşlayacak	yavaşla+Verb+Pos+Fut+A3sg
kaçacaklar	kaç+Verb+Pos+Fut+A3pl
kutlayacağım	kutla+Verb+Pos+Fut+A1sg
anlayacağız	anla+Verb+Pos+Fut+A1pl
yaratacaklar	yarat+Verb+Pos+Fut+A3pl
inecek	in+Verb+Pos+Fut+A3sg
dayanacak	dayan+Verb+Pos+Fut+A3sg
ayıklayacağız	ayıkla+Verb+Pos+Fut+A1pl
yazmayacak	yaz+Verb+Neg+Fut+A3sg
hissedeceksiniz	hisset+Verb+Pos+Fut+A2pl
gidecekler	git+Verb+Pos+Fut+A3pl
başlamayacak	başla+Verb+Neg+Fut+A3sg
yaratacak	yarat+Verb+Pos+Fut+A3sg
sunacak	sun+Verb+Pos+Fut+A3sg
kalmayacak	kal+Verb+Neg+Fut+A3sg
aktaracak	aktar+Verb+Pos+Fut+A3sg
başlayacaklar	başla+Verb+Pos+Fut+A3pl
gecikmeyecek	gecik+Verb+Neg+Fut+A3sg
yarışacak	yarış+Verb+Pos+Fut+A3sg
doyacak	doy+Verb+Pos+Fut+A3sg
hatırlayacağız	hatırla+Verb+Pos+Fut+A1pl
paylaşacak	paylaş+Verb+Pos+Fut+A3sg
gösterecekler	göster+Verb+Pos+Fut+A3pl
yetineceğim	yetin+Verb+Pos+Fut+A1sg
işleyecek	işle+Verb+Pos+Fut+A3sg
sokacağız	sok+Verb+Pos+Fut+A1pl
yarışacağız	yarış+Verb+Pos+Fut+A1pl
içeceksiniz	iç+Verb+Pos+Fut+A2pl
uygulayacağız	uygula+Verb+Pos+Fut+A1pl
ağırlayacağız	ağırla+Verb+Pos+Fut+A1pl
getireceksiniz	getir+Verb+Pos+Fut+A2pl
öğreneceğiz	öğren+Verb+Pos+Fut+A1pl
suçlayacak	suçla+Verb+Pos+Fut+A3sg
soruşturacağım	soruştur+Verb+Pos+Fut+A1sg
ulaşacağız	ulaş+Verb+Pos+Fut+A1pl
izleyeceğiz	izle+Verb+Pos+Fut+A1pl
diyeceğiz	de+Verb+Pos+Fut+A1pl
kızacak	kız+Verb+Pos+Fut+A3sg
diyeceksiniz	de+Verb+Pos+Fut+A2pl
hallolacak	hallol+Verb+Pos+Fut+A3sg
çekeceğiz	çek+Verb+Pos+Fut+A1pl
gireceğiz	gir+Verb+Pos+Fut+A1pl
duyacaklar	duy+Verb+Pos+Fut+A3pl
alacaklar	al+Verb+Pos+Fut+A3pl
kükreyecek	kükre+Verb+Pos+Fut+A3sg
gönderecek	gönder+Verb+Pos+Fut+A3sg
toparlayacağım	toparla+Verb+Pos+Fut+A1sg
şaşıracağım	şaşır+Verb+Pos+Fut+A1sg
savunacağım	savun+Verb+Pos+Fut+A1sg
affetmeyecek	affet+Verb+Neg+Fut+A3sg
yazacağım	yaz+Verb+Pos+Fut+A1sg
vermeyeceğiz	ver+Verb+Neg+Fut+A1pl
değişecek	değiş+Verb+Pos+Fut+A3sg
beklemeyecek	bekle+Verb+Neg+Fut+A3sg
azalacak	azal+Verb+Pos+Fut+A3sg
deneyeceğiz	dene+Verb+Pos+Fut+A1pl
gönderecekler	gönder+Verb+Pos+Fut+A3pl
keseceğiz	kes+Verb+Pos+Fut+A1pl
atacaksınız	at+Verb+Pos+Fut+A2pl
arayacak	ara+Verb+Pos+Fut+A3sg
sabredeceksiniz	sabret+Verb+Pos+Fut+A2pl
kazanacaksınız	kazan+Verb+Pos+Fut+A2pl
ayarlayacaksınız	ayarla+Verb+Pos+Fut+A2pl
anlayacaksın	anla+Verb+Pos+Fut+A2sg
yaşayacağız	yaşa+Verb+Pos+Fut+A1pl
kurtaracağım	kurtar+Verb+Pos+Fut+A1sg
kıyaslayacak	kıyasla+Verb+Pos+Fut+A3sg
vereceğiz	ver+Verb+Pos+Fut+A1pl
yayınlayacak	yayınla+Verb+Pos+Fut+A3sg
giyecekler	giy+Verb+Pos+Fut+A3pl
yönetecek	yönet+Verb+Pos+Fut+A3sg
almayacaklar	al+Verb+Neg+Fut+A3pl
koyacaklar	koy+Verb+Pos+Fut+A3pl
ısıtacak	ısıt+Verb+Pos+Fut+A3sg
bilecek	bil+Verb+Pos+Fut+A3sg
esirgemeyecek	esirge+Verb+Neg+Fut+A3sg
dönüşecek	dönüş+Verb+Pos+Fut+A3sg
bırakacağım	bırak+Verb+Pos+Fut+A1sg
alınmayacak	alın+Verb+Neg+Fut+A3sg
bekleyeceğim	bekle+Verb+Pos+Fut+A1sg
susacaksın	sus+Verb+Pos+Fut+A2sg
ispatlayacağım	ispatla+Verb+Pos+Fut+A1sg
yaşamayacaksınız	yaşa+Verb+Neg+Fut+A2pl
alışacak	alış+Verb+Pos+Fut+A3sg
gireceksiniz	gir+Verb+Pos+Fut+A2pl
bakacağız	bak+Verb+Pos+Fut+A1pl
duyacak	duy+Verb+Pos+Fut+A3sg
yorumlayacağım	yorumla+Verb+Pos+Fut+A1sg
delecek	del+Verb+Pos+Fut+A3sg
işitecek	işit+Verb+Pos+Fut+A3sg
binecek	bin+Verb+Pos+Fut+A3sg
götürecekler	götür+Verb+Pos+Fut+A3pl
yatacak	yat+Verb+Pos+Fut+A3sg
hatırlayacak	hatırla+Verb+Pos+Fut+A3sg
arzulayacak	arzula+Verb+Pos+Fut+A3sg
sunacağız	sun+Verb+Pos+Fut+A1pl
değineceğiz	değin+Verb+Pos+Fut+A1pl
etkilemeyecek	etkile+Verb+Neg+Fut+A3sg
boşalacak	boşal+Verb+Pos+Fut+A3sg
yağacak	yağ+Verb+Pos+Fut+A3sg
gözleyeceğiz	gözle+Verb+Pos+Fut+A1pl
çıkacağız	çık+Verb+Pos+Fut+A1pl
yanacak	yan+Verb+Pos+Fut+A3sg
süsleyecek	süsle+Verb+Pos+Fut+A3sg
yetmeyecek	yet+Verb+Neg+Fut+A3sg
