geri	geri+Adverb
hem	hem+Adverb
düşürülüp	düş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bağırıp	bağır+Verb+Pos^DB+Adverb+AfterDoingSo
şimdiden	şimdiden+Adverb
yakalayıp	yakala+Verb+Pos^DB+Adverb+AfterDoingSo
hemen	hemen+Adverb
uçarcasına	uç+Verb+Pos+Aor+A3sg^DB+Adverb+AsIf
keserek	kes+Verb+Pos^DB+Adverb+ByDoingSo
uğratıp	uğra+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
oldukça	oldukça+Adverb
açıkça	açık+Adj^DB+Adverb+Ly
çabuk	çabuk+Adverb
gerekirken	gerek+Verb+Pos+Aor^DB+Adverb+While
haliyle	haliyle+Adverb
kalkarken	kalk+Verb+Pos+Aor^DB+Adverb+While
gelerek	gel+Verb+Pos^DB+Adverb+ByDoingSo
şüphesiz	şüphesiz+Adverb
üzülerek	üz+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
bozularak	boz+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
getirerek	getir+Verb+Pos^DB+Adverb+ByDoingSo
lütfen	lütfen+Adverb
çoktandır	çoktandır+Adverb
neredeyse	neredeyse+Adverb
çıkıp	çık+Verb+Pos^DB+Adverb+AfterDoingSo
giyerken	giy+Verb+Pos+Aor^DB+Adverb+While
yakalayarak	yakala+Verb+Pos^DB+Adverb+ByDoingSo
basarak	bas+Verb+Pos^DB+Adverb+ByDoingSo
gözetleyerek	gözetle+Verb+Pos^DB+Adverb+ByDoingSo
sokulup	sok+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bastırıp	bas+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
süslenip	süsle+Verb^DB+Verb+Reflex+Pos^DB+Adverb+AfterDoingSo
zorlayarak	zorla+Verb+Pos^DB+Adverb+ByDoingSo
süzerek	süz+Verb+Pos^DB+Adverb+ByDoingSo
iyice	iyi+Adj^DB+Adverb+Ly
ağırlaşıp	ağır+Adj^DB+Verb+Become+Pos^DB+Adverb+AfterDoingSo
sırf	sırf+Adverb
bari	bari+Adverb
gene	gene+Adverb
mırıldanıp	mırılda+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
giderken	gider+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
yutkunarak	yutkun+Verb+Pos^DB+Adverb+ByDoingSo
soyup	soy+Verb+Pos^DB+Adverb+AfterDoingSo
galiba	galiba+Adverb
başlarken	başla+Verb+Pos+Aor^DB+Adverb+While
çevirirken	çevir+Verb+Pos+Aor^DB+Adverb+While
inip	in+Verb+Pos^DB+Adverb+AfterDoingSo
epey	epey+Adverb
bitince	bit+Verb+Pos^DB+Adverb+When
öperken	öp+Verb+Pos+Aor^DB+Adverb+While
varken	var+Adj^DB+Verb+Zero^DB+Adverb+While
bırakarak	bırak+Verb+Pos^DB+Adverb+ByDoingSo
hayli	hayli+Adverb
gitgide	gitgide+Adverb
demin	demin+Adverb
tıkanarak	tıka+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
boğularak	boğ+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
durarak	dur+Verb+Pos^DB+Adverb+ByDoingSo
baktıkça	bak+Verb+Pos^DB+Adverb+AsLongAs
ta	ta+Adverb
kaçarak	kaç+Verb+Pos^DB+Adverb+ByDoingSo
hatırladıkça	hatırla+Verb+Pos^DB+Adverb+AsLongAs
eğilerek	eğ+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yürüyerek	yürü+Verb+Pos^DB+Adverb+ByDoingSo
gittikçe	gittikçe+Adverb
küstahça	küstah+Adj^DB+Adverb+Ly
çiğneyip	çiğne+Verb+Pos^DB+Adverb+AfterDoingSo
geçerek	geç+Verb+Pos^DB+Adverb+ByDoingSo
anlayınca	anla+Verb+Pos^DB+Adverb+When
açalı	aç+Verb+Pos^DB+Adverb+SinceDoingSo
tekrarlayıp	tekrarla+Verb+Pos^DB+Adverb+AfterDoingSo
görünce	gör+Verb+Pos^DB+Adverb+When
herhalde	herhalde+Adverb
darılıp	darıl+Verb+Pos^DB+Adverb+AfterDoingSo
içirip	iç+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
küçümseyerek	küçümse+Verb+Pos^DB+Adverb+ByDoingSo
vurup	vur+Verb+Pos^DB+Adverb+AfterDoingSo
sokularak	sok+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
göstererek	göster+Verb+Pos^DB+Adverb+ByDoingSo
şaşırarak	şaşır+Verb+Pos^DB+Adverb+ByDoingSo
körükleyerek	körükle+Verb+Pos^DB+Adverb+ByDoingSo
vazgeçirip	vazgeç+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
gösterirken	göster+Verb+Pos+Aor^DB+Adverb+While
söküp	sök+Verb+Pos^DB+Adverb+AfterDoingSo
ağlarken	ağla+Verb+Pos+Aor^DB+Adverb+While
ilkin	ilkin+Adverb
ölünce	öl+Verb+Pos^DB+Adverb+When
duyarak	duy+Verb+Pos^DB+Adverb+ByDoingSo
düşünerek	düşün+Verb+Pos^DB+Adverb+ByDoingSo
sürerek	sür+Verb+Pos^DB+Adverb+ByDoingSo
koyarak	koy+Verb+Pos^DB+Adverb+ByDoingSo
aldatarak	aldat+Verb+Pos^DB+Adverb+ByDoingSo
kaldırarak	kaldır+Verb+Pos^DB+Adverb+ByDoingSo
dalıp	dal+Verb+Pos^DB+Adverb+AfterDoingSo
yaşarken	yaşa+Verb+Pos+Aor^DB+Adverb+While
tutarak	tut+Verb+Pos^DB+Adverb+ByDoingSo
darıltıp	darıl+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
söylerken	söyle+Verb+Pos+Aor^DB+Adverb+While
hayır	hayır+Adverb
çatırdatırcasına	çatırda+Verb^DB+Verb+Caus+Pos+Aor+A3sg^DB+Adverb+AsIf
özellikle	özellikle+Adverb
böyleyken	böyle+Adj^DB+Verb+Zero^DB+Adverb+While
bakıp	bak+Verb+Pos^DB+Adverb+AfterDoingSo
tamamıyla	tamamıyla+Adverb
heyecanlanarak	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Adverb+ByDoingSo
adice	adi+Adj^DB+Adverb+Ly
doğrularak	doğrul+Verb+Pos^DB+Adverb+ByDoingSo
keşke	keşke+Adverb
duygulanarak	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Adverb+ByDoingSo
mesela	mesela+Adverb
dökerek	dök+Verb+Pos^DB+Adverb+ByDoingSo
dikerek	dik+Verb+Pos^DB+Adverb+ByDoingSo
hırpalayıp	hırpala+Verb+Pos^DB+Adverb+AfterDoingSo
bırakıp	bırak+Verb+Pos^DB+Adverb+AfterDoingSo
çarparak	çarp+Verb+Pos^DB+Adverb+ByDoingSo
silkinerek	silkin+Verb+Pos^DB+Adverb+ByDoingSo
bırakmayıp	bırak+Verb+Neg^DB+Adverb+AfterDoingSo
yapıp	yap+Verb+Pos^DB+Adverb+AfterDoingSo
kaldırıp	kaldır+Verb+Pos^DB+Adverb+AfterDoingSo
götürürken	götür+Verb+Pos+Aor^DB+Adverb+While
gömülerek	göm+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
kovalarken	kovala+Verb+Pos+Aor^DB+Adverb+While
vererek	ver+Verb+Pos^DB+Adverb+ByDoingSo
hele	hele+Adverb
edince	et+Verb+Pos^DB+Adverb+When
uçarak	uç+Verb+Pos^DB+Adverb+ByDoingSo
dalarak	dal+Verb+Pos^DB+Adverb+ByDoingSo
girerken	gir+Verb+Pos+Aor^DB+Adverb+While
üzerindeyken	üzer+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
köpürerek	köpür+Verb+Pos^DB+Adverb+ByDoingSo
küçükken	küçük+Adj^DB+Verb+Zero^DB+Adverb+While
sürekli	sürekli+Adverb
bindirip	bin+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
dikilip	dik+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
görününce	görün+Verb+Pos^DB+Adverb+When
uzayıp	uza+Verb+Pos^DB+Adverb+AfterDoingSo
uzatarak	uza+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
ayrılıp	ayır+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
sıkıca	sıkı+Adj^DB+Adverb+Ly
tutup	tut+Verb+Pos^DB+Adverb+AfterDoingSo
çalışırken	çalış+Verb+Pos+Aor^DB+Adverb+While
öğrenip	öğren+Verb+Pos^DB+Adverb+AfterDoingSo
hırlayıp	hırla+Verb+Pos^DB+Adverb+AfterDoingSo
kabararak	kabar+Verb+Pos^DB+Adverb+ByDoingSo
sarılırken	sar+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
yatışıp	yatış+Verb+Pos^DB+Adverb+AfterDoingSo
çarçabuk	çarçabuk+Adverb
koşarak	koş+Verb+Pos^DB+Adverb+ByDoingSo
girip	gir+Verb+Pos^DB+Adverb+AfterDoingSo
kabartıp	kabar+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
çakılıp	çak+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
alamayarak	al+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
kaybedip	kaybet+Verb+Pos^DB+Adverb+AfterDoingSo
vazgeçip	vazgeç+Verb+Pos^DB+Adverb+AfterDoingSo
gererek	ger+Verb+Pos^DB+Adverb+ByDoingSo
olmaksızın	ol+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
erken	erken+Adverb
saparak	sap+Verb+Pos^DB+Adverb+ByDoingSo
bulup	bul+Verb+Pos^DB+Adverb+AfterDoingSo
koşup	koş+Verb+Pos^DB+Adverb+AfterDoingSo
boşuna	boşuna+Adverb
çarpışarak	çarp+Verb^DB+Verb+Recip+Pos^DB+Adverb+ByDoingSo
eşelerken	eşele+Verb+Pos+Aor^DB+Adverb+While
düşünüp	düşün+Verb+Pos^DB+Adverb+AfterDoingSo
vermeksizin	ver+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
dolanıp	dola+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
atarak	at+Verb+Pos^DB+Adverb+ByDoingSo
ıskalayınca	ıskala+Verb+Pos^DB+Adverb+When
öylece	öyle+Adj^DB+Adverb+Ly
böylelikle	böylelikle+Adverb
yuvarlanıp	yuvarla+Verb^DB+Verb+Reflex+Pos^DB+Adverb+AfterDoingSo
zıplamışken	zıpla+Verb+Pos+Narr^DB+Adverb+While
saldırınca	sal+Verb^DB+Verb+Caus+Pos^DB+Adverb+When
tutarken	tutar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
kovalayıp	kovala+Verb+Pos^DB+Adverb+AfterDoingSo
kesilip	kes+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
dolayarak	dola+Verb+Pos^DB+Adverb+ByDoingSo
hırlayarak	hırla+Verb+Pos^DB+Adverb+ByDoingSo
okşayarak	okşa+Verb+Pos^DB+Adverb+ByDoingSo
tırmanıp	tırman+Verb+Pos^DB+Adverb+AfterDoingSo
homurdanınca	homurda+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
ülkesindeyken	ülke+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
sayıp	say+Verb+Pos^DB+Adverb+AfterDoingSo
geçince	geç+Verb+Pos^DB+Adverb+When
çevirip	çevir+Verb+Pos^DB+Adverb+AfterDoingSo
alçaltmadan	alçal+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
koruyarak	koru+Verb+Pos^DB+Adverb+ByDoingSo
yine	yine+Adverb
geçerken	geçer+Adj^DB+Verb+Zero^DB+Adverb+While
denli	denli+Adverb
homurdanarak	homurda+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
okşarlarken	okşa+Verb+Pos+Aor+A3pl^DB+Adverb+While
kalkıp	kalk+Verb+Pos^DB+Adverb+AfterDoingSo
okurken	okur+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
uzanıp	uza+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
okşayıp	okşa+Verb+Pos^DB+Adverb+AfterDoingSo
okşarken	okşa+Verb+Pos+Aor^DB+Adverb+While
geçtikçe	geç+Verb+Pos^DB+Adverb+AsLongAs
avlayıp	avla+Verb+Pos^DB+Adverb+AfterDoingSo
erkenden	erkenden+Adverb
yalanıp	yala+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
çıkarmadan	çık+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
çabalarken	çabala+Verb+Pos+Aor^DB+Adverb+While
yetişip	yetiş+Verb+Pos^DB+Adverb+AfterDoingSo
geçmeden	geç+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
sürterken	sürt+Verb+Pos+Aor^DB+Adverb+While
görüp	gör+Verb+Pos^DB+Adverb+AfterDoingSo
düşünürken	düşünür+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
taşıyarak	taşı+Verb+Pos^DB+Adverb+ByDoingSo
eleyerek	ele+Verb+Pos^DB+Adverb+ByDoingSo
böylesine	böylesine+Adverb
sorup	sor+Verb+Pos^DB+Adverb+AfterDoingSo
gezinirken	gezin+Verb+Pos+Aor^DB+Adverb+While
çağırıp	çağır+Verb+Pos^DB+Adverb+AfterDoingSo
çekip	çek+Verb+Pos^DB+Adverb+AfterDoingSo
öylesine	öylesine+Adverb
takılıp	takıl+Verb+Pos^DB+Adverb+AfterDoingSo
silkinip	silkin+Verb+Pos^DB+Adverb+AfterDoingSo
uçup	uç+Verb+Pos^DB+Adverb+AfterDoingSo
bitip	bit+Verb+Pos^DB+Adverb+AfterDoingSo
solup	sol+Verb+Pos^DB+Adverb+AfterDoingSo
yükselip	yüksel+Verb+Pos^DB+Adverb+AfterDoingSo
apansız	apansız+Adverb
açıp	aç+Verb+Pos^DB+Adverb+AfterDoingSo
dağılıp	dağıl+Verb+Pos^DB+Adverb+AfterDoingSo
genellikle	genellikle+Adverb
mırıldanarak	mırılda+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
genişçe	geniş+Adj^DB+Adverb+Ly
yürürken	yürü+Verb+Pos+Aor^DB+Adverb+While
acaba	acaba+Adverb
ansızın	ansızın+Adverb
düpedüz	düpedüz+Adverb
genelde	genelde+Adverb
tutunarak	tutun+Verb+Pos^DB+Adverb+ByDoingSo
sürünerek	sürün+Verb+Pos^DB+Adverb+ByDoingSo
anlayamadan	anla+Verb+Pos^DB+Adverb+WithoutBeingAbleToHaveDoneSo
kabullenerek	kabullen+Verb+Pos^DB+Adverb+ByDoingSo
epeyce	epeyce+Adverb
kaybolup	kaybol+Verb+Pos^DB+Adverb+AfterDoingSo
uzatıp	uza+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
olunca	ol+Verb+Pos^DB+Adverb+When
böylece	böylece+Adverb
söyleyip	söyle+Verb+Pos^DB+Adverb+AfterDoingSo
isterken	iste+Verb+Pos+Aor^DB+Adverb+While
tümüyle	tümüyle+Adverb
yaklaşıp	yaklaş+Verb+Pos^DB+Adverb+AfterDoingSo
yetip	yet+Verb+Pos^DB+Adverb+AfterDoingSo
kenarındayken	kenar+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
eğerek	eğ+Verb+Pos^DB+Adverb+ByDoingSo
aşınca	aş+Verb+Pos^DB+Adverb+When
peşinen	peşinen+Adverb
gülümseyerek	gülümse+Verb+Pos^DB+Adverb+ByDoingSo
tamamiyle	tamamiyle+Adverb
sevinerek	sevin+Verb+Pos^DB+Adverb+ByDoingSo
sürüp	sür+Verb+Pos^DB+Adverb+AfterDoingSo
verirken	ver+Verb+Pos+Aor^DB+Adverb+While
birleşip	birleş+Verb+Pos^DB+Adverb+AfterDoingSo
dolaşıp	dolaş+Verb+Pos^DB+Adverb+AfterDoingSo
nihayet	nihayet+Adverb
boşverip	boşver+Verb+Pos^DB+Adverb+AfterDoingSo
ederken	eder+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
şaşıp	şaş+Verb+Pos^DB+Adverb+AfterDoingSo
kullanarak	kullan+Verb+Pos^DB+Adverb+ByDoingSo
yaparak	yap+Verb+Pos^DB+Adverb+ByDoingSo
gördükçe	gör+Verb+Pos^DB+Adverb+AsLongAs
ezilip	ez+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kırıp	kır+Verb+Pos^DB+Adverb+AfterDoingSo
itip	it+Verb+Pos^DB+Adverb+AfterDoingSo
hınzırcasına	hınzır+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+AsIf
isteyip	iste+Verb+Pos^DB+Adverb+AfterDoingSo
bırakalı	bırak+Verb+Pos^DB+Adverb+SinceDoingSo
sabahleyin	sabahleyin+Adverb
akşamleyin	akşamleyin+Adverb
alıp	al+Verb+Pos^DB+Adverb+AfterDoingSo
yerken	yer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
iken	iken+Adverb
kabaca	kabaca+Adverb
ezip	ez+Verb+Pos^DB+Adverb+AfterDoingSo
götürüp	götür+Verb+Pos^DB+Adverb+AfterDoingSo
kaçıp	kaç+Verb+Pos^DB+Adverb+AfterDoingSo
yayılıp	yay+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
hissedince	hisset+Verb+Pos^DB+Adverb+When
tanıyınca	tanı+Verb+Pos^DB+Adverb+When
bilerek	bil+Verb+Pos^DB+Adverb+ByDoingSo
oynatıp	oynat+Verb+Pos^DB+Adverb+AfterDoingSo
havalandırarak	hava+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
evirip	evir+Verb+Pos^DB+Adverb+AfterDoingSo
yığarak	yığ+Verb+Pos^DB+Adverb+ByDoingSo
yanarken	yan+Verb+Pos+Aor^DB+Adverb+While
durup	dur+Verb+Pos^DB+Adverb+AfterDoingSo
asılıp	as+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kurup	kur+Verb+Pos^DB+Adverb+AfterDoingSo
daldırıp	dal+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
gülünce	gül+Verb+Pos^DB+Adverb+When
üzüp	üz+Verb+Pos^DB+Adverb+AfterDoingSo
muhakkak	muhakkak+Adverb
basıp	bas+Verb+Pos^DB+Adverb+AfterDoingSo
gündüzleri	gündüzleri+Adverb
ilikleyince	ilikle+Verb+Pos^DB+Adverb+When
deyip	de+Verb+Pos^DB+Adverb+AfterDoingSo
dönüp	dön+Verb+Pos^DB+Adverb+AfterDoingSo
bakarken	bak+Verb+Pos+Aor^DB+Adverb+While
çocukken	çocuk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
içerken	iç+Verb+Pos+Aor^DB+Adverb+While
bahsederken	bahset+Verb+Pos+Aor^DB+Adverb+While
karıştırıp	karış+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
direkt	direkt+Adverb
karıştırırken	karış+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
katlayıp	katla+Verb+Pos^DB+Adverb+AfterDoingSo
cesaretlenip	cesaret+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Adverb+AfterDoingSo
atıp	at+Verb+Pos^DB+Adverb+AfterDoingSo
geçip	geç+Verb+Pos^DB+Adverb+AfterDoingSo
beklerken	bekle+Verb+Pos+Aor^DB+Adverb+While
yükselterek	yüksel+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
aldırmadan	aldır+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
uyanıp	uyan+Verb+Pos^DB+Adverb+AfterDoingSo
yaklaştırarak	yaklaş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
çatıp	çat+Verb+Pos^DB+Adverb+AfterDoingSo
sallayarak	salla+Verb+Pos^DB+Adverb+ByDoingSo
