bu	bu+Pron+Demons+A3sg+Pnon+Nom
kendimize	kendi+Pron+Reflex+A1pl+P1pl+Dat
hepsinin	hepsi+Pron+Quant+A3pl+P3pl+Gen
bizimle	biz+Pron+Pers+A1pl+Pnon+Ins
birileri	biri+Pron+Quant+A3pl+P3pl+Nom
kendilerinin	kendi+Pron+Reflex+A3pl+P3pl+Gen
kendisinin	kendi+Pron+Reflex+A3sg+P3sg+Gen
birbirlerinden	birbiri+Pron+Quant+A3pl+P3pl+Abl
hepsinde	hepsi+Pron+Quant+A3pl+P3pl+Loc
öbürlerinden	öbür+Pron+Quant+A3pl+P3pl+Abl
onlarda	o+Pron+Demons+A3pl+Pnon+Loc
birbirimize	birbiri+Pron+Quant+A1pl+P1pl+Dat
hiçbirinin	hiçbiri+Pron+Quant+A3sg+P3sg+Gen
birçoğu	birçoğu+Pron+Quant+A3pl+P3pl+Nom
birçoğunda	birçoğu+Pron+Quant+A3pl+P3pl+Loc
birbirinin	birbiri+Pron+Quant+A3sg+P3sg+Gen
kimisinde	kimi+Pron+Quant+A3sg+P3sg+Loc
kendin	kendi+Pron+Reflex+A2sg+P2sg+Nom
birbiri	birbiri+Pron+Quant+A3sg+P3sg+Nom
kendince	kendi+Pron+Reflex+A3sg+P3sg+Equ
çoğunu	çoğu+Pron+Quant+A3pl+P3pl+Acc
hepsinden	hepsi+Pron+Quant+A3pl+P3pl+Abl
öbüründe	öbür+Pron+Quant+A3sg+P3sg+Loc
kendinde	kendi+Pron+Reflex+A3sg+P3sg+Loc
benimkiler	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Nom
kendimden	kendi+Pron+Reflex+A1sg+P1sg+Abl
birbiriyle	birbiri+Pron+Quant+A3sg+P3sg+Ins
kadınlarınki	kadın+Noun+A3pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
vücudumuzunkiler	vücut+Noun+A3sg+P1pl+Gen^DB+Pron+Rel+A3pl+Pnon+Nom
demircininki	demir+Adj^DB+Noun+Agt+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
benimkisi	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom
sizlerden	siz+Pron+Pers+A2pl+Pnon+Abl
birilerinin	biri+Pron+Quant+A3pl+P3pl+Gen
bunlarla	bu+Pron+Demons+A3pl+Pnon+Ins
hepinizin	hep+Pron+Quant+A2pl+P2pl+Gen
seninle	sen+Pron+Pers+A2sg+Pnon+Ins
benimki	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
aptalınkinden	aptal+Adj^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Abl
bizleri	biz+Pron+Pers+A1pl+Pnon+Acc
birisinden	biri+Pron+Quant+A3sg+P3sg+Abl
birisinin	biri+Pron+Quant+A3sg+P3sg+Gen
sizde	siz+Pron+Pers+A2pl+Pnon+Loc
tümü	tümü+Pron+Quant+A3pl+P3pl+Nom
hiçbirinden	hiçbiri+Pron+Quant+A3sg+P3sg+Abl
hiçbirine	hiçbiri+Pron+Quant+A3sg+P3sg+Dat
kendinizden	kendi+Pron+Reflex+A2pl+P2pl+Abl
tümünü	tümü+Pron+Quant+A3pl+P3pl+Acc
öbürünü	öbür+Pron+Quant+A3sg+P3sg+Acc
şunlar	şu+Pron+Demons+A3pl+Pnon+Nom
bazılarını	bazı+Pron+Quant+A3pl+P3pl+Acc
kendilerinde	kendi+Pron+Reflex+A3pl+P3pl+Loc
bunlara	bu+Pron+Demons+A3pl+Pnon+Dat
hiçbirini	hiçbiri+Pron+Quant+A3sg+P3sg+Acc
kullanıcısınınkilerle	kullan+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Gen^DB+Pron+Rel+A3pl+Pnon+Ins
kullanıcısınınkilerin	kullan+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Gen^DB+Pron+Rel+A3pl+Pnon+Gen
hiçbirinde	hiçbiri+Pron+Quant+A3sg+P3sg+Loc
tümüne	tümü+Pron+Quant+A3pl+P3pl+Dat
birisine	biri+Pron+Quant+A3sg+P3sg+Dat
birkaçı	birkaçı+Pron+Quant+A3pl+P3pl+Nom
birbirlerinin	birbiri+Pron+Quant+A3pl+P3pl+Gen
birkaçında	birkaçı+Pron+Quant+A3pl+P3pl+Loc
veritabanınınkiyle	veritabanı+Noun+A3sg+P3sg+Gen^DB+Pron+Rel+A3sg+Pnon+Ins
kimileri	kimi+Pron+Quant+A3pl+P3pl+Nom
tümünün	tümü+Pron+Quant+A3pl+P3pl+Gen
kaydınkiyle	kayıt+Noun+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Ins
çoğuna	çoğu+Pron+Quant+A3pl+P3pl+Dat
kimisi	kimi+Pron+Quant+A3sg+P3sg+Nom
birbirini	birbiri+Pron+Quant+A3sg+P3sg+Acc
bazılarında	bazı+Pron+Quant+A3pl+P3pl+Loc
kendileriyle	kendi+Pron+Reflex+A3pl+P3pl+Ins
hepimizin	hep+Pron+Quant+A1pl+P1pl+Gen
sizlere	siz+Pron+Pers+A2pl+Pnon+Dat
çoğunun	çoğu+Pron+Quant+A3pl+P3pl+Gen
bazılarının	bazı+Pron+Quant+A3pl+P3pl+Gen
hiçbirisinden	hiçbiri+Pron+Quant+A3sg+P3sg+Abl
birisiyle	biri+Pron+Quant+A3sg+P3sg+Ins
bizimkini	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Acc
kendinizle	kendi+Pron+Reflex+A2pl+P2pl+Ins
benimkinin	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Gen
sizleri	siz+Pron+Pers+A2pl+Pnon+Acc
birbirinizi	birbiri+Pron+Quant+A2pl+P2pl+Acc
şunun	şu+Pron+Demons+A3sg+Pnon+Gen
bazısı	bazı+Pron+Quant+A3sg+P3sg+Nom
öbürleri	öbür+Pron+Quant+A3pl+P3pl+Nom
bizimkinin	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Gen
kimilerine	kimi+Pron+Quant+A3pl+P3pl+Dat
bizce	biz+Pron+Pers+A1pl+Pnon+Equ
bizde	biz+Pron+Pers+A1pl+Pnon+Loc
şuna	şu+Pron+Demons+A3sg+Pnon+Dat
herbirinin	herbiri+Pron+Quant+A3sg+P3sg+Gen
antilopunki	antilop+Noun+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
bunlarda	bu+Pron+Demons+A3pl+Pnon+Loc
kendilerinden	kendi+Pron+Reflex+A3pl+P3pl+Abl
bizimkilerden	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Abl
sizler	siz+Pron+Pers+A2pl+Pnon+Nom
benimkinden	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Abl
birbiriniz	birbiri+Pron+Quant+A2pl+P2pl+Nom
birilerini	biri+Pron+Quant+A3pl+P3pl+Acc
birilerinden	biri+Pron+Quant+A3pl+P3pl+Abl
kendimde	kendi+Pron+Reflex+A1sg+P1sg+Loc
bizimki	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
sizce	siz+Pron+Pers+A2pl+Pnon+Equ
çoğunda	çoğu+Pron+Quant+A3pl+P3pl+Loc
kendimiz	kendi+Pron+Reflex+A1pl+P1pl+Nom
sizlerle	siz+Pron+Pers+A2pl+Pnon+Ins
birisinde	biri+Pron+Quant+A3sg+P3sg+Loc
çoğumuz	çoğu+Pron+Quant+A1pl+P1pl+Nom
kendimle	kendi+Pron+Reflex+A1sg+P1sg+Ins
kendiyle	kendi+Pron+Reflex+A3sg+P3sg+Ins
kimine	kimi+Pron+Quant+A3sg+P3sg+Dat
bazılarınca	bazı+Pron+Quant+A3pl+P3pl+Equ
hepimizde	hep+Pron+Quant+A1pl+P1pl+Loc
kendinin	kendi+Pron+Reflex+A3sg+P3sg+Gen
tümünden	tümü+Pron+Quant+A3pl+P3pl+Abl
kendimizde	kendi+Pron+Reflex+A1pl+P1pl+Loc
bizlere	biz+Pron+Pers+A1pl+Pnon+Dat
bizlerin	biz+Pron+Pers+A1pl+Pnon+Gen
hepsine	hepsi+Pron+Quant+A3pl+P3pl+Dat
kendimizle	kendi+Pron+Reflex+A1pl+P1pl+Ins
onla	o+Pron+Demons+A3sg+Pnon+Ins
bunla	bu+Pron+Demons+A3sg+Pnon+Ins
benimkilerle	ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Ins
kimini	kimi+Pron+Quant+A3sg+P3sg+Acc
sizle	siz+Pron+Pers+A2pl+Pnon+Ins
bizimkinden	biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Abl
