rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
olmalarına	ol+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Dat
çekildi	çek+Verb^DB+Verb+Pass+Pos+Past+A3sg
sağlanan	sağla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
alınmaları	al+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
istendi	iste+Verb^DB+Verb+Pass+Pos+Past+A3sg
bırakma	bırak+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
geldi	gel+Verb+Pos+Past+A3sg
yapılan	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
açıklamada	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc
yıkmaya	yık+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ulaştığı	ulaş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
edildi	et+Verb^DB+Verb+Pass+Pos+Past+A3sg
sığınılarak	sığın+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yürütülen	yürü+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
çalışmaların	çalış+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Gen
düzenlemeler	düzenle+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
olduğuna	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Dat
yumuşatır	yumuşa+Verb^DB+Verb+Caus+Pos+Aor+A3sg
söylediğin	söyle+Verb+Pos^DB+Adj+PastPart+P2sg
verdi	ver+Verb+Pos+Past+A3sg
konuştuğumu	konuş+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
biliyorum	bile+Verb+Pos+Prog1+A1sg
edemez	et+Verb^DB+Verb+Able+Neg+Aor+A3sg
ilgileneceğini	ilgilen+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
bilmiyor	bil+Verb+Neg+Prog1+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
olsaydım	ol+Verb+Pos+Desr+Past+A1sg
imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
olsaydı	ol+Verb+Pos+Desr+Past+A3sg
yapardım	yap+Verb+Pos+Aor+Past+A1sg
endişelenme	endişe+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oynamaya	oyna+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
olduğu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
benziyorsun	benze+Verb+Pos+Prog1+A2sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
gördüm	gör+Verb+Pos+Past+A1sg
görmek	gör+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
vermeyeceğini	ver+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
vermezsin	ver+Verb+Neg+Aor+A2sg
sevdiğin	sev+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
sanırım	san+Verb+Pos+Aor+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bağırdı	bağır+Verb+Pos+Past+A3sg
sevecek	sev+Verb+Pos^DB+Adj+FutPart+Pnon
yapmış	yap+Verb+Pos+Narr+A3sg
olur	ol+Verb+Pos+Aor+A3sg
çekindi	çekin+Verb+Pos+Past+A3sg
gülerek	gül+Verb+Pos^DB+Adverb+ByDoingSo
idi	i+Verb+Pos+Past+A3sg
bindiler	bin+Verb+Pos+Past+A3pl
eskimiş	eski+Verb+Pos+Narr+A3sg
indiler	in+Verb+Pos+Past+A3pl
geçmişti	geç+Verb+Pos+Narr+Past+A3sg
etmesi	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gerekiyordu	gerek+Verb+Pos+Prog1+Past+A3sg
dinlemesi	dinle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
gitmek	git+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
istiyordu	iste+Verb+Pos+Prog1+Past+A3sg
geldiğinde	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
yaratacaktı	yara+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
tiksiniyordu	tiksin+Verb+Pos+Prog1+Past+A3sg
ayrıldılar	ayır+Verb^DB+Verb+Pass+Pos+Past+A3pl
girdiğini	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
hissettiği	hisset+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
dolanmış	dola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dururken	dur+Verb+Pos+Aor^DB+Adverb+While
oynarken	oyna+Verb+Pos+Aor^DB+Adverb+While
öpüp	öp+Verb+Pos^DB+Adverb+AfterDoingSo
okşadı	okşa+Verb+Pos+Past+A3sg
inerken	in+Verb+Pos+Aor^DB+Adverb+While
bekliyordu	bekle+Verb+Pos+Prog1+Past+A3sg
girdiğinde	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
olmadığından	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
vermeden	ver+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
olmayan	ol+Verb+Neg^DB+Adj+PresPart
oturdu	otur+Verb+Pos+Past+A3sg
uçuşup	uçuş+Verb+Pos^DB+Adverb+AfterDoingSo
dolaşıyorlardı	dolaş+Verb+Pos+Prog1+A3pl+Past
kalan	kal+Verb+Pos^DB+Adj+PresPart
durmaksızın	dur+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
yiyip	ye+Verb+Pos^DB+Adverb+AfterDoingSo
bitiren	bit+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
işitiyordu	işit+Verb+Pos+Prog1+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
bilmek	bil+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
düşünüyordu	düşün+Verb+Pos+Prog1+Past+A3sg
verilmiş	ver+Verb^DB+Verb+Pass+Pos+Narr+A3sg
olmalıydı	ol+Verb+Pos+Neces+Past+A3sg
izliyordu	izle+Verb+Pos+Prog1+Past+A3sg
çıkarmış	çık+Verb+Pos+Aor+Narr+A3sg
dökülüyordu	dök+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
çekiştirip	çekiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
durmaktaydı	dur+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
vurduğunda	vur+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
kalkarak	kalk+Verb+Pos^DB+Adverb+ByDoingSo
gitti	git+Verb+Pos+Past+A3sg
dönerek	dön+Verb+Pos^DB+Adverb+ByDoingSo
baktı	bak+Verb+Pos+Past+A3sg
ıslanmıştı	ısla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
dileyen	dile+Verb+Pos^DB+Adj+PresPart
yalvarış	yalvar+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
gördü	gör+Verb+Pos+Past+A3sg
döndürdü	dön+Verb^DB+Verb+Caus+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
bakışlarını	bak+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
dolandırıyordu	dolan+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
söyle	söyle+Verb+Pos+Imp+A2sg
geçirdi	geç+Verb^DB+Verb+Caus+Pos+Past+A3sg
ferahlama	ferahla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
solumasıydı	solu+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çektiği	çek+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
gelip	gel+Verb+Pos^DB+Adverb+AfterDoingSo
çatmıştı	çat+Verb+Pos+Narr+Past+A3sg
duymuyordu	duy+Verb+Neg+Prog1+Past+A3sg
yaratıyordu	yara+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
çıkmamıştı	çık+Verb+Neg+Narr+Past+A3sg
olmuş	ol+Verb+Pos^DB+Adj+NarrPart
hatırlatmıştı	hatırla+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
acı	acı+Verb+Pos+Imp+A2sg
ederek	et+Verb+Pos^DB+Adverb+ByDoingSo
sıkarak	sık+Verb+Pos^DB+Adverb+ByDoingSo
salladı	salla+Verb+Pos+Past+A3sg
biliyordum	bile+Verb+Pos+Prog1+Past+A1sg
sevdik	sev+Verb+Pos+Past+A1pl
yaşasaydı	yaşa+Verb+Pos+Desr+Past+A3sg
geçinmemizi	geçin+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Acc
ederdi	et+Verb+Pos+Aor+Past+A3sg
konuşma	konuş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
haykırdı	haykır+Verb+Pos+Past+A3sg
verme	ver+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
seven	sev+Verb+Pos^DB+Adj+PresPart
söylüyor	söyle+Verb+Pos+Prog1+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
duygulanmıştı	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+Past+A3sg
eğilip	eğ+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
öptü	öp+Verb+Pos+Past+A3sg
verdimse	ver+Verb+Pos+Past+A1sg+Cond
kal	kal+Verb+Pos+Imp+A2sg
ilgilenmen	ilgilen+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
gereken	gerek+Verb+Pos^DB+Adj+PresPart
unutma	unut+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
verirse	ver+Verb+Pos+Aor+Cond+A3sg
bulacak	bul+Verb+Pos+Fut+A3sg
sürecek	sür+Verb+Pos^DB+Adj+FutPart+Pnon
öldüreceğim	öl+Verb^DB+Verb+Caus+Pos+Fut+A1sg
ederim	et+Verb+Pos+Aor+A1sg
eden	et+Verb+Pos^DB+Adj+PresPart
gösterdi	göster+Verb+Pos+Past+A3sg
etmesinden	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
olurdu	ol+Verb+Pos+Aor+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
taşınması	taşı+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
edilmesi	et+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
koşturuyorlardı	koş+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
yerleştirilmesi	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
kayboluyordu	kaybol+Verb+Pos+Prog1+Past+A3sg
uğurlama	uğurla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
sallarken	salla+Verb+Pos+Aor^DB+Adverb+While
duydu	duy+Verb+Pos+Past+A3sg
olduğunun	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
kalmış	kal+Verb+Pos+Narr+A3sg
kederlendiğini	keder+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ilgilenmek	ilgilen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
söyleyerek	söyle+Verb+Pos^DB+Adverb+ByDoingSo
hatırladı	hatırla+Verb+Pos+Past+A3sg
bulunmuştu	bulun+Verb+Pos+Narr+Past+A3sg
etmedi	et+Verb+Neg+Past+A3sg
açıklanmış	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
güleceklerini	gül+Verb+Pos^DB+Noun+FutPart+A3pl+P3pl+Acc
hissetti	hisset+Verb+Pos+Past+A3sg
hazırlanmış	hazırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
katılmak	kat+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
göründüğünde	görün+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
eğilmiş	eğ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bekleyen	bekle+Verb+Pos^DB+Adj+PresPart
değildir	değil+Verb+Neg+Pres+A3sg+Cop
ilgilendirmiyor	ilgilen+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
yapılmaya	yap+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
bulunur	bulun+Verb+Pos+Aor+A3sg
geçirilseler	geç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Desr+A3pl
görünürler	görün+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
konuşurken	konuş+Verb+Pos+Aor^DB+Adverb+While
bakarak	bak+Verb+Pos^DB+Adverb+ByDoingSo
evlenmek	evlen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
nişanlandı	nişanla+Verb^DB+Verb+Pass+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
inanamıyorum	inan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yapmak	yap+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
yapabileceği	yap+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+P3sg
kıyılan	kıy+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
diyerek	de+Verb+Pos^DB+Adverb+ByDoingSo
evlendiğini	evlen+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
söylemedim	söyle+Verb+Neg+Past+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
nişanlanmadığımı	nişanla+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
düşün	düşün+Verb+Pos+Imp+A2sg
bulunan	bulun+Verb+Pos^DB+Adj+PresPart
davranış	davran+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
olacak	ol+Verb+Pos^DB+Adj+FutPart+Pnon
evlenmesini	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
sağlamak	sağla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
istiyorsan	iste+Verb+Pos+Prog1+Cond+A2sg
söylemen	söyle+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
yapıyorsa	yap+Verb+Pos+Prog1+Cond+A3sg
gelir	gel+Verb+Pos+Aor+A3sg
bozacak	boz+Verb+Pos^DB+Adj+FutPart+Pnon
edecek	et+Verb+Pos^DB+Adj+FutPart+Pnon
bağlanmış	bağla+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
istemem	iste+Verb+Neg+Aor+A1sg
yudumlayarak	yudumla+Verb+Pos^DB+Adverb+ByDoingSo
değerlendirmelerde	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
yanılmaz	yan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
çizdiğin	çiz+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
görünüşlerini	görün+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
değerlendirmekteki	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Adj+Rel
geliştirmişti	geliş+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
görünüş	görün+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
unutmazsa	unut+Verb+Neg+Aor+Cond+A3sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
üzülürdüm	üz+Verb^DB+Verb+Pass+Pos+Aor+Past+A1sg
yürüyüp	yürü+Verb+Pos^DB+Adverb+AfterDoingSo
ısırarak	ısır+Verb+Pos^DB+Adverb+ByDoingSo
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
sordu	sor+Verb+Pos+Past+A3sg
onaylayabilmen	onayla+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P2sg+Nom
onaylamam	onayla+Verb+Neg+Aor+A1sg
onaylamamam	onayla+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
sermek	ser+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
gelmedik	gel+Verb+Neg+Past+A1pl
dediklerine	de+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Dat
aldırış	al+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
etmiyorum	et+Verb+Neg+Prog1+A1sg
yaptıklarına	yap+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Dat
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
büyülemişse	büyüle+Verb+Pos+Narr+Cond+A3sg
olursa	ol+Verb+Pos+Aor+Cond+A3sg
olsun	ol+Verb+Pos+Imp+A3sg
geliyor	gel+Verb+Pos+Prog1+A3sg
oynayan	oyna+Verb+Pos^DB+Adj+PresPart
vuruldu	vur+Verb^DB+Verb+Pass+Pos+Past+A3sg
evlenme	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
olmasın	ol+Verb+Neg+Imp+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
olmazdı	ol+Verb+Neg+Aor+Past+A3sg
olmadığımı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
bilirsin	bil+Verb+Pos+Aor+A2sg
kılmasıdır	kıl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yitirirler	yit+Verb^DB+Verb+Caus+Pos+Aor+A3pl
getirir	getir+Verb+Pos+Aor+A3sg
değiştirmedikleri	değiş+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom
eklerler	ekle+Verb+Pos+Aor+A3pl
yaşamak	yaşa+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kalırlar	kal+Verb+Pos+Aor+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
sanıyorum	san+Verb+Pos+Prog1+A1sg
sürebilecekleri	sür+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3pl+Nom
yapacak	yap+Verb+Pos^DB+Adj+FutPart+Pnon
geçecek	geç+Verb+Pos+Fut+A3sg
etkileyici	etkile+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
bulmaya	bul+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
başlayacak	başla+Verb+Pos^DB+Adj+FutPart+Pnon
söylediklerinin	söyle+Verb+Pos^DB+Noun+PastPart+A3pl+P3sg+Gen
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
olacaksa	ol+Verb+Pos+Fut+Cond+A3sg
