göre	gör+Verb+Pos+Opt+A3sg
acı	acı+Verb+Pos+Imp+A2sg
salladı	salla+Verb+Pos+Past+A3sg
sevdik	sev+Verb+Pos+Past+A1pl
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
haykırdı	haykır+Verb+Pos+Past+A3sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
öptü	öp+Verb+Pos+Past+A3sg
kal	kal+Verb+Pos+Imp+A2sg
bulacak	bul+Verb+Pos+Fut+A3sg
ederim	et+Verb+Pos+Aor+A1sg
gösterdi	göster+Verb+Pos+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
duydu	duy+Verb+Pos+Past+A3sg
kalmış	kal+Verb+Pos+Narr+A3sg
hatırladı	hatırla+Verb+Pos+Past+A3sg
etmedi	et+Verb+Neg+Past+A3sg
hissetti	hisset+Verb+Pos+Past+A3sg
bulunur	bulun+Verb+Pos+Aor+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
söylemedim	söyle+Verb+Neg+Past+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
düşün	düşün+Verb+Pos+Imp+A2sg
gelir	gel+Verb+Pos+Aor+A3sg
istemem	iste+Verb+Neg+Aor+A1sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
sordu	sor+Verb+Pos+Past+A3sg
onaylamam	onayla+Verb+Neg+Aor+A1sg
gelmedik	gel+Verb+Neg+Past+A1pl
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
olsun	ol+Verb+Pos+Imp+A3sg
geliyor	gel+Verb+Pos+Prog1+A3sg
olmasın	ol+Verb+Neg+Imp+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
bilirsin	bil+Verb+Pos+Aor+A2sg
getirir	getir+Verb+Pos+Aor+A3sg
eklerler	ekle+Verb+Pos+Aor+A3pl
kalırlar	kal+Verb+Pos+Aor+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
sanıyorum	san+Verb+Pos+Prog1+A1sg
geçecek	geç+Verb+Pos+Fut+A3sg
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
güldü	gül+Verb+Pos+Past+A3sg
zannederiz	zannet+Verb+Pos+Aor+A1pl
överiz	öv+Verb+Pos+Aor+A1pl
buluruz	bul+Verb+Pos+Aor+A1pl
buluyorum	bula+Verb+Pos+Prog1+A1sg
çürür	çürü+Verb+Pos+Aor+A3sg
edeceğim	et+Verb+Pos+Fut+A1sg
taşır	taşı+Verb+Pos+Aor+A3sg
kutlamalısınız	kutla+Verb+Pos+Neces+A2pl
oldu	ol+Verb+Pos+Past+A3sg
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
söyledin	söyle+Verb+Pos+Past+A2sg
karıştı	karış+Verb+Pos+Past+A3sg
gelin	gel+Verb+Pos+Imp+A2pl
görelim	gör+Verb+Pos+Opt+A1pl
yedim	ye+Verb+Pos+Past+A1sg
gittim	git+Verb+Pos+Past+A1sg
göreceksiniz	gör+Verb+Pos+Fut+A2pl
doğmuş	doğ+Verb+Pos+Narr+A3sg
izledim	izle+Verb+Pos+Past+A1sg
unuttum	unut+Verb+Pos+Past+A1sg
konuştum	konuş+Verb+Pos+Past+A1sg
yaklaştı	yaklaş+Verb+Pos+Past+A3sg
öptük	öp+Verb+Pos+Past+A1pl
titredi	titre+Verb+Pos+Past+A3sg
ürperdi	ürper+Verb+Pos+Past+A3sg
hissediyorum	hisset+Verb+Pos+Prog1+A1sg
söylemedi	söyle+Verb+Neg+Past+A3sg
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
olacağım	ol+Verb+Pos+Fut+A1sg
fısıldadılar	fısılda+Verb+Pos+Past+A3pl
sarıyor	sar+Verb+Pos+Prog1+A3sg
öpüyorum	öp+Verb+Pos+Prog1+A1sg
yaptın	yap+Verb+Pos+Past+A2sg
görüyor	gör+Verb+Pos+Prog1+A3sg
bıraktım	bırak+Verb+Pos+Past+A1sg
bulacağım	bul+Verb+Pos+Fut+A1sg
yudumladı	yudumla+Verb+Pos+Past+A3sg
unuttun	unut+Verb+Pos+Past+A2sg
konuşmadım	konuş+Verb+Neg+Past+A1sg
kalıyor	kal+Verb+Pos+Prog1+A3sg
mırıldandı	mırıldan+Verb+Pos+Past+A3sg
unuturuz	unut+Verb+Pos+Aor+A1pl
benzemez	benze+Verb+Neg+Aor+A3sg
etmez	et+Verb+Neg+Aor+A3sg
sordum	sor+Verb+Pos+Past+A1sg
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
eder	et+Verb+Pos+Aor+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
istiyorum	iste+Verb+Pos+Prog1+A1sg
geçiyorsun	geç+Verb+Pos+Prog1+A2sg
etme	et+Verb+Neg+Imp+A2sg
yapıyor	yap+Verb+Pos+Prog1+A3sg
değiştim	değiş+Verb+Pos+Past+A1sg
korkarım	kork+Verb+Pos+Aor+A1sg
kastediyorsun	kastet+Verb+Pos+Prog1+A2sg
zorlar	zorla+Verb+Pos+Aor+A3sg
ediyorum	et+Verb+Pos+Prog1+A1sg
ödemez	öde+Verb+Neg+Aor+A3sg
olmasa	ol+Verb+Neg+Desr+A3sg
silkti	silk+Verb+Pos+Past+A3sg
geçti	geç+Verb+Pos+Past+A3sg
duymaz	duy+Verb+Neg+Aor+A3sg
bilmez	bil+Verb+Neg+Aor+A3sg
davranırlar	davran+Verb+Pos+Aor+A3pl
ederler	ederle+Verb+Pos+Aor+A3sg
etmelisin	et+Verb+Pos+Neces+A2sg
verirler	ver+Verb+Pos+Aor+A3pl
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
bilmem	bil+Verb+Neg+Aor+A1sg
seveceksin	sev+Verb+Pos+Fut+A2sg
alır	al+Verb+Pos+Aor+A3sg
getir	getir+Verb+Pos+Imp+A2sg
boşver	boşver+Verb+Pos+Imp+A2sg
almalısın	al+Verb+Pos+Neces+A2sg
bırakır	bırak+Verb+Pos+Aor+A3sg
olacaksın	ol+Verb+Pos+Fut+A2sg
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
gidelim	git+Verb+Pos+Opt+A1pl
olmayacak	ol+Verb+Neg+Fut+A3sg
bayılırım	bayıl+Verb+Pos+Aor+A1sg
geleceksin	gel+Verb+Pos+Fut+A2sg
et	et+Verb+Pos+Imp+A2sg
yudumladılar	yudumla+Verb+Pos+Past+A3pl
kapladı	kapla+Verb+Pos+Past+A3sg
götürdü	götür+Verb+Pos+Past+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
girmiş	gir+Verb+Pos+Narr+A3sg
sallıyor	salla+Verb+Pos+Prog1+A3sg
paylaştılar	paylaş+Verb+Pos+Past+A3pl
unutacaksınız	unut+Verb+Pos+Fut+A2pl
değişirler	değiş+Verb+Pos+Aor+A3pl
izlerler	izle+Verb+Pos+Aor+A3pl
yapar	yap+Verb+Pos+Aor+A3sg
hisseder	hisset+Verb+Pos+Aor+A3sg
dilemem	dile+Verb+Neg+Aor+A1sg
anladım	anla+Verb+Pos+Past+A1sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
onaylıyorum	onayla+Verb+Pos+Prog1+A1sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
kalkacak	kalk+Verb+Pos+Fut+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
adayacağım	ada+Verb+Pos+Fut+A1sg
düşündü	düşün+Verb+Pos+Past+A3sg
başladı	başla+Verb+Pos+Past+A3sg
bakıyor	bak+Verb+Pos+Prog1+A3sg
girdi	gir+Verb+Pos+Past+A3sg
gelmiş	gel+Verb+Pos+Narr+A3sg
durdu	dur+Verb+Pos+Past+A3sg
ediyorsun	et+Verb+Pos+Prog1+A2sg
konuştu	konuş+Verb+Pos+Past+A3sg
yarattı	yarat+Verb+Pos+Past+A3sg
beklediler	bekle+Verb+Pos+Past+A3pl
değildi	değil+Verb+Neg+Past+A3sg
yaraşır	yaraş+Verb+Pos+Aor+A3sg
okudu	oku+Verb+Pos+Past+A3sg
saçıyor	saç+Verb+Pos+Prog1+A3sg
yazın	yaz+Verb+Pos+Imp+A2pl
dağıldı	dağıl+Verb+Pos+Past+A3sg
başladılar	başla+Verb+Pos+Past+A3pl
giydi	giy+Verb+Pos+Past+A3sg
izleyeceğim	izle+Verb+Pos+Fut+A1sg
diliyorum	dile+Verb+Pos+Prog1+A1sg
geliriz	gel+Verb+Pos+Aor+A1pl
göründü	görün+Verb+Pos+Past+A3sg
değişmiş	değiş+Verb+Pos+Narr+A3sg
kalmamalısın	kal+Verb+Neg+Neces+A2sg
geçtim	geç+Verb+Pos+Past+A1sg
kesin	kes+Verb+Pos+Imp+A2pl
sardı	sar+Verb+Pos+Past+A3sg
tanırlar	tanı+Verb+Pos+Aor+A3pl
dönmediler	dön+Verb+Neg+Past+A3pl
dayanır	dayan+Verb+Pos+Aor+A3sg
bilir	bil+Verb+Pos+Aor+A3sg
söyleyelim	söyle+Verb+Pos+Opt+A1pl
görünmüyor	görün+Verb+Neg+Prog1+A3sg
beğenmiş	beğen+Verb+Pos+Narr+A3sg
girecek	gir+Verb+Pos+Fut+A3sg
kalır	kal+Verb+Pos+Aor+A3sg
duymamış	duy+Verb+Neg+Narr+A3sg
götürse	götür+Verb+Pos+Desr+A3sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
gidiyor	git+Verb+Pos+Prog1+A3sg
batsa	bat+Verb+Pos+Desr+A3sg
uyardı	uyar+Verb+Pos+Past+A3sg
koymadı	koy+Verb+Neg+Past+A3sg
yuvarladı	yuvarla+Verb+Pos+Past+A3sg
oturuyor	otur+Verb+Pos+Prog1+A3sg
umursamaz	umursa+Verb+Neg+Aor+A3sg
biter	bit+Verb+Pos+Aor+A3sg
bitmez	bit+Verb+Neg+Aor+A3sg
anlatayım	anlat+Verb+Pos+Opt+A1sg
verin	ver+Verb+Pos+Imp+A2pl
karşılaştım	karşılaş+Verb+Pos+Past+A1sg
kızdı	kız+Verb+Pos+Past+A3sg
basmadım	bas+Verb+Neg+Past+A1sg
gel	gel+Verb+Pos+Imp+A2sg
kalkar	kalk+Verb+Pos+Aor+A3sg
içer	içer+Verb+Pos+Imp+A2sg
yapayım	yap+Verb+Pos+Opt+A1sg
düşünün	düşün+Verb+Pos+Imp+A2pl
düşünüyorsunuz	düşün+Verb+Pos+Prog1+A2pl
gidin	git+Verb+Pos+Imp+A2pl
gelmez	gel+Verb+Neg+Aor+A3sg
göstermelisiniz	göster+Verb+Pos+Neces+A2pl
hatırlamıyorum	hatırla+Verb+Neg+Prog1+A1sg
düşünmem	düşün+Verb+Neg+Aor+A1sg
sanmam	san+Verb+Neg+Aor+A1sg
bakın	bakın+Verb+Pos+Imp+A2sg
bahsedin	bahset+Verb+Pos+Imp+A2pl
söyleyin	söyle+Verb+Pos+Imp+A2pl
çıkmayacağım	çık+Verb+Neg+Fut+A1sg
çıkayım	çık+Verb+Pos+Opt+A1sg
unutmayın	unut+Verb+Neg+Imp+A2pl
giderdi	gider+Verb+Pos+Past+A3sg
ediyor	et+Verb+Pos+Prog1+A3sg
gidiyorum	git+Verb+Pos+Prog1+A1sg
gülelim	gül+Verb+Pos+Opt+A1pl
bıraksın	bırak+Verb+Pos+Imp+A3sg
edin	et+Verb+Pos+Imp+A2pl
verecekler	ver+Verb+Pos+Fut+A3pl
duydum	duy+Verb+Pos+Past+A1sg
görün	gör+Verb+Pos+Imp+A2pl
dinleyin	dinle+Verb+Pos+Imp+A2pl
yürüdü	yürü+Verb+Pos+Past+A3sg
anlarsınız	anla+Verb+Pos+Aor+A2pl
başlar	başla+Verb+Pos+Aor+A3sg
konuşmayın	konuş+Verb+Neg+Imp+A2pl
uğraştı	uğraş+Verb+Pos+Past+A3sg
dinledim	dinle+Verb+Pos+Past+A1sg
koydular	koy+Verb+Pos+Past+A3pl
duyacaksınız	duy+Verb+Pos+Fut+A2pl
dinleyeyim	dinle+Verb+Pos+Opt+A1sg
dayayın	daya+Verb+Pos+Imp+A2pl
olun	ol+Verb+Pos+Imp+A2pl
gösteriyorum	göster+Verb+Pos+Prog1+A1sg
yapıyorsunuz	yap+Verb+Pos+Prog1+A2pl
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
gideceğim	git+Verb+Pos+Fut+A1sg
çarpıyor	çarp+Verb+Pos+Prog1+A3sg
değilmiş	değil+Verb+Neg+Narr+A3sg
eğlendiniz	eğlen+Verb+Pos+Past+A2pl
kopacak	kop+Verb+Pos+Fut+A3sg
susmaz	sus+Verb+Neg+Aor+A3sg
sezdi	sez+Verb+Pos+Past+A3sg
eğ	eğ+Verb+Pos+Imp+A2sg
demeli	de+Verb+Pos+Neces+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
kaldırın	kaldır+Verb+Pos+Imp+A2pl
bulacaksınız	bul+Verb+Pos+Fut+A2pl
bırakmazlar	bırak+Verb+Neg+Aor+A3pl
diyorsunuz	de+Verb+Pos+Prog1+A2pl
bak	bak+Verb+Pos+Imp+A2sg
hatırladın	hatırla+Verb+Pos+Past+A2sg
bulunmaz	bulun+Verb+Neg+Aor+A3sg
bahsediyorum	bahset+Verb+Pos+Prog1+A1sg
değilim	değil+Verb+Neg+Pres+A1sg
bakar	bak+Verb+Pos+Aor+A3sg
ettik	et+Verb+Pos+Past+A1pl
çıktım	çık+Verb+Pos+Past+A1sg
hatırlıyorum	hatırla+Verb+Pos+Prog1+A1sg
baktım	bak+Verb+Pos+Past+A1sg
dersiniz	de+Verb+Pos+Aor+A2pl
verir	ver+Verb+Pos+Aor+A3sg
di	de+Verb+Pos+Imp+A2sg
yor	yor+Verb+Pos+Imp+A2sg
yemiş	ye+Verb+Pos+Narr+A3sg
buldunuz	bul+Verb+Pos+Past+A2pl
versem	ver+Verb+Pos+Desr+A1sg
ölürüm	öl+Verb+Pos+Aor+A1sg
başlayacağım	başla+Verb+Pos+Fut+A1sg
süz	süz+Verb+Pos+Imp+A2sg
konuşuyor	konuş+Verb+Pos+Prog1+A3sg
eriyecek	eri+Verb+Pos+Fut+A3sg
çalsana	çal+Verb+Pos+Imp+A2sg
bilseniz	bil+Verb+Pos+Desr+A2pl
öl	öl+Verb+Pos+Imp+A2sg
evlendi	evlen+Verb+Pos+Past+A3sg
kayboldu	kaybol+Verb+Pos+Past+A3sg
etmişler	et+Verb+Pos+Narr+A3pl
sever	sev+Verb+Pos+Aor+A3sg
severim	sev+Verb+Pos+Aor+A1sg
söyleyeyim	söyle+Verb+Pos+Opt+A1sg
geçin	geç+Verb+Pos+Imp+A2pl
dikmiş	dik+Verb+Pos+Narr+A3sg
büyüledi	büyüle+Verb+Pos+Past+A3sg
coşmuş	coş+Verb+Pos+Narr+A3sg
hatırladım	hatırla+Verb+Pos+Past+A1sg
mahvediyorsunuz	mahvet+Verb+Pos+Prog1+A2pl
dönün	dön+Verb+Pos+Imp+A2pl
karışın	karış+Verb+Pos+Imp+A2pl
seslenin	seslen+Verb+Pos+Imp+A2pl
koşa	koş+Verb+Pos+Opt+A3sg
koşarım	koş+Verb+Pos+Aor+A1sg
unutmadım	unut+Verb+Neg+Past+A1sg
gelirim	gel+Verb+Pos+Aor+A1sg
geveledi	gevele+Verb+Pos+Past+A3sg
yaşıyoruz	yaşa+Verb+Pos+Prog1+A1pl
reddetti	reddet+Verb+Pos+Past+A3sg
olsa	ol+Verb+Pos+Desr+A3sg
görmüyor	gör+Verb+Neg+Prog1+A3sg
sevmemiş	sev+Verb+Neg+Narr+A3sg
ihtiyarlar	ihtiyarla+Verb+Pos+Aor+A3sg
kastetmiyorum	kastet+Verb+Neg+Prog1+A1sg
söylüyorum	söyle+Verb+Pos+Prog1+A1sg
büyülüyorsunuz	büyüle+Verb+Pos+Prog1+A2pl
koşuyor	koş+Verb+Pos+Prog1+A3sg
bahsedecek	bahset+Verb+Pos+Fut+A3sg
ediyorsunuz	et+Verb+Pos+Prog1+A2pl
anlamıyor	anla+Verb+Neg+Prog1+A3sg
tekrarlayın	tekrarla+Verb+Pos+Imp+A2pl
hatırlıyor	hatırla+Verb+Pos+Prog1+A3sg
istemiyorum	iste+Verb+Neg+Prog1+A1sg
getirdi	getir+Verb+Pos+Past+A3sg
çöktü	çök+Verb+Pos+Past+A3sg
körükledi	körükle+Verb+Pos+Past+A3sg
istiyorsunuz	iste+Verb+Pos+Prog1+A2pl
bırakmam	bırak+Verb+Neg+Aor+A1sg
alırlar	al+Verb+Pos+Aor+A3pl
kucakladı	kucakla+Verb+Pos+Past+A3sg
hissediyor	hisset+Verb+Pos+Prog1+A3sg
çevirdi	çevir+Verb+Pos+Past+A3sg
ettiniz	et+Verb+Pos+Past+A2pl
ayıracaksınız	ayır+Verb+Pos+Fut+A2pl
bırakıyorsun	bırak+Verb+Pos+Prog1+A2sg
zorladı	zorla+Verb+Pos+Past+A3sg
biliyor	bile+Verb+Pos+Prog1+A3sg
geldiniz	gel+Verb+Pos+Past+A2pl
veriyorum	ver+Verb+Pos+Prog1+A1sg
koruyacaksınız	koru+Verb+Pos+Fut+A2pl
parlayacak	parla+Verb+Pos+Fut+A3sg
yeter	yet+Verb+Pos+Aor+A3sg
başlıyorum	başla+Verb+Pos+Prog1+A1sg
sereceğim	ser+Verb+Pos+Fut+A1sg
kalkışıyorsunuz	kalkış+Verb+Pos+Prog1+A2pl
yaptınız	yap+Verb+Pos+Past+A2pl
tekrarlayacağım	tekrarla+Verb+Pos+Fut+A1sg
ye	ye+Verb+Pos+Imp+A2sg
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
bulunacağım	bulun+Verb+Pos+Fut+A1sg
bakalım	bak+Verb+Pos+Opt+A1pl
anlayacaklar	anla+Verb+Pos+Fut+A3pl
bakacağım	bak+Verb+Pos+Fut+A1sg
kapadı	kapa+Verb+Pos+Past+A3sg
gerekiyor	gerek+Verb+Pos+Prog1+A3sg
götüreyim	götür+Verb+Pos+Opt+A1sg
yatırırım	yatır+Verb+Pos+Aor+A1sg
bakıyorsunuz	bak+Verb+Pos+Prog1+A2pl
inanır	inan+Verb+Pos+Aor+A3sg
yet	yet+Verb+Pos+Imp+A2sg
istedi	iste+Verb+Pos+Past+A3sg
kalsın	kal+Verb+Pos+Imp+A3sg
girin	gir+Verb+Pos+Imp+A2pl
kaldı	kal+Verb+Pos+Past+A3sg
sıkmış	sık+Verb+Pos+Narr+A3sg
süzdü	süz+Verb+Pos+Past+A3sg
tekrarladı	tekrarla+Verb+Pos+Past+A3sg
parladı	parla+Verb+Pos+Past+A3sg
dinlediniz	dinle+Verb+Pos+Past+A2pl
yaptım	yap+Verb+Pos+Past+A1sg
konuşuyorsunuz	konuş+Verb+Pos+Prog1+A2pl
soruyorsunuz	sor+Verb+Pos+Prog1+A2pl
verdiniz	ver+Verb+Pos+Past+A2pl
çevirmediniz	çevir+Verb+Neg+Past+A2pl
reddetmediniz	reddet+Verb+Neg+Past+A2pl
duymuş	duy+Verb+Pos+Narr+A3sg
buruştu	buruş+Verb+Pos+Past+A3sg
tuttu	tut+Verb+Pos+Past+A3sg
yalvardınız	yalvar+Verb+Pos+Past+A2pl
reddetmezsiniz	reddet+Verb+Neg+Aor+A2pl
dediniz	de+Verb+Pos+Past+A2pl
duruyorsunuz	dur+Verb+Pos+Prog1+A2pl
görmedim	gör+Verb+Neg+Past+A1sg
vurdum	vur+Verb+Pos+Past+A1sg
vardınız	var+Verb+Pos+Past+A2pl
sordunuz	sor+Verb+Pos+Past+A2pl
istemedik	iste+Verb+Neg+Past+A1pl
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
bilin	bil+Verb+Pos+Imp+A2pl
değilse	değil+Verb+Neg+Cond+A3sg
versin	ver+Verb+Pos+Imp+A3sg
diyeceğim	de+Verb+Pos+Fut+A1sg
köpürdü	köpür+Verb+Pos+Past+A3sg
olduk	ol+Verb+Pos+Past+A1pl
yayacağım	yay+Verb+Pos+Fut+A1sg
kavradı	kavra+Verb+Pos+Past+A3sg
doğdu	doğ+Verb+Pos+Past+A3sg
sanıyorsunuz	san+Verb+Pos+Prog1+A2pl
değilsiniz	değil+Verb+Neg+Pres+A2pl
baksanıza	bak+Verb+Pos+Imp+A2pl
çekiyorsunuz	çek+Verb+Pos+Prog1+A2pl
vuruldunuz	vurul+Verb+Pos+Past+A2pl
şaşmamalıyım	şaş+Verb+Neg+Neces+A1sg
verdim	ver+Verb+Pos+Past+A1sg
konuşalım	konuş+Verb+Pos+Opt+A1pl
ilişti	iliş+Verb+Pos+Past+A3sg
öğrendim	öğren+Verb+Pos+Past+A1sg
fırladı	fırla+Verb+Pos+Past+A3sg
hatırlayın	hatırla+Verb+Pos+Imp+A2pl
kınayın	kına+Verb+Pos+Imp+A2pl
anlattı	anlat+Verb+Pos+Past+A3sg
edersiniz	et+Verb+Pos+Aor+A2pl
öğrenirim	öğren+Verb+Pos+Aor+A1sg
inceleyecek	incele+Verb+Pos+Fut+A3sg
döndü	dön+Verb+Pos+Past+A3sg
vereceksiniz	ver+Verb+Pos+Fut+A2pl
öğrenmiş	öğren+Verb+Pos+Narr+A3sg
konuşuyorum	konuş+Verb+Pos+Prog1+A1sg
bulmayın	bul+Verb+Neg+Imp+A2pl
seviyor	sev+Verb+Pos+Prog1+A3sg
bilirim	bil+Verb+Pos+Aor+A1sg
oldum	ol+Verb+Pos+Past+A1sg
konuştunuz	konuş+Verb+Pos+Past+A2pl
konuşur	konuş+Verb+Pos+Aor+A3sg
görmüş	gör+Verb+Pos+Narr+A3sg
güler	gül+Verb+Pos+Aor+A3sg
bırakmamışsınız	bırak+Verb+Neg+Narr+A2pl
anladınız	anla+Verb+Pos+Past+A2pl
öğrendiniz	öğren+Verb+Pos+Past+A2pl
küçümser	küçümse+Verb+Pos+Aor+A3sg
büktü	bük+Verb+Pos+Past+A3sg
uğraştım	uğraş+Verb+Pos+Past+A1sg
sevmese	sev+Verb+Neg+Desr+A3sg
kötüleyeyim	kötüle+Verb+Pos+Opt+A1sg
göstereyim	göster+Verb+Pos+Opt+A1sg
başvurayım	başvur+Verb+Pos+Opt+A1sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
kaldım	kal+Verb+Pos+Past+A1sg
dinlemişsiniz	dinle+Verb+Pos+Narr+A2pl
çıkmadı	çık+Verb+Neg+Past+A3sg
götürdüm	götür+Verb+Pos+Past+A1sg
kazıyorsunuz	kaz+Verb+Pos+Prog1+A2pl
kötülediniz	kötüle+Verb+Pos+Past+A2pl
açıklıyorsunuz	açıkla+Verb+Pos+Prog1+A2pl
sormuş	sor+Verb+Pos+Narr+A3sg
konacak	kon+Verb+Pos+Fut+A3sg
istese	iste+Verb+Pos+Desr+A3sg
bahsedeceğim	bahset+Verb+Pos+Fut+A1sg
durmuyorum	dur+Verb+Neg+Prog1+A1sg
söyleyeceğim	söyle+Verb+Pos+Fut+A1sg
okuyor	oku+Verb+Pos+Prog1+A3sg
buluyorsunuz	bula+Verb+Pos+Prog1+A2pl
kalmamış	kal+Verb+Neg+Narr+A3sg
geçmeli	geç+Verb+Pos+Neces+A3sg
diyeyim	de+Verb+Pos+Opt+A1sg
hesaplar	hesapla+Verb+Pos+Aor+A3sg
şaşıyorsunuz	şaş+Verb+Pos+Prog1+A2pl
düşünmez	düşün+Verb+Neg+Aor+A3sg
ederiz	et+Verb+Pos+Aor+A1pl
yaparız	yap+Verb+Pos+Aor+A1pl
kapadım	kapa+Verb+Pos+Past+A1sg
girişiyorum	giriş+Verb+Pos+Prog1+A1sg
dinliyor	dinle+Verb+Pos+Prog1+A3sg
şakıyorsunuz	şakı+Verb+Pos+Prog1+A2pl
yapacağım	yap+Verb+Pos+Fut+A1sg
çıkarım	çık+Verb+Pos+Aor+A1sg
yaşıyorum	yaşa+Verb+Pos+Prog1+A1sg
görüyorsunuz	gör+Verb+Pos+Prog1+A2pl
vardım	var+Verb+Pos+Past+A1sg
ettim	et+Verb+Pos+Past+A1sg
yanılmamışım	yanıl+Verb+Neg+Narr+A1sg
etmediniz	et+Verb+Neg+Past+A2pl
karşıladınız	karşıla+Verb+Pos+Past+A2pl
kesmeyin	kes+Verb+Neg+Imp+A2pl
ayırıyor	ayır+Verb+Pos+Prog1+A3sg
eğiyorum	eğ+Verb+Pos+Prog1+A1sg
bağışlıyorum	bağışla+Verb+Pos+Prog1+A1sg
olursun	ol+Verb+Pos+Aor+A2sg
söylesem	söyle+Verb+Pos+Desr+A1sg
karşılaşıyorsunuz	karşılaş+Verb+Pos+Prog1+A2pl
seyrediyorsunuz	seyret+Verb+Pos+Prog1+A2pl
gidiyorsunuz	git+Verb+Pos+Prog1+A2pl
başlıyor	başla+Verb+Pos+Prog1+A3sg
duyuyorsunuz	duy+Verb+Pos+Prog1+A2pl
anlıyorsunuz	anla+Verb+Pos+Prog1+A2pl
çıkar	çık+Verb+Pos+Aor+A3sg
