rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
dolaşıyorlardı	dolaş+Verb+Pos+Prog1+A3pl+Past
işitiyordu	işit+Verb+Pos+Prog1+Past+A3sg
itti	it+Verb+Pos+Past+A3sg
aldı	al+Verb+Pos+Past+A3sg
düşünüyordu	düşün+Verb+Pos+Prog1+Past+A3sg
gibiyse	gibi+Postp+PCNom^DB+Verb+Zero+Cond+A3sg
verilmiş	ver+Verb^DB+Verb+Pass+Pos+Narr+A3sg
olmalıydı	ol+Verb+Pos+Neces+Past+A3sg
izliyordu	izle+Verb+Pos+Prog1+Past+A3sg
çıkarmış	çık+Verb+Pos+Aor+Narr+A3sg
dökülüyordu	dök+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
durmaktaydı	dur+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
gitti	git+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
ıslanmıştı	ısla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
gördü	gör+Verb+Pos+Past+A3sg
döndürdü	dön+Verb^DB+Verb+Caus+Pos+Past+A3sg
dedi	de+Verb+Pos+Past+A3sg
dolandırıyordu	dolan+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
vermedi	ver+Verb+Neg+Past+A3sg
söyle	söyle+Verb+Pos+Imp+A2sg
geçirdi	geç+Verb^DB+Verb+Caus+Pos+Past+A3sg
solumasıydı	solu+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çatmıştı	çat+Verb+Pos+Narr+Past+A3sg
duymuyordu	duy+Verb+Neg+Prog1+Past+A3sg
yaratıyordu	yara+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
çıkmamıştı	çık+Verb+Neg+Narr+Past+A3sg
hatırlatmıştı	hatırla+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
acı	acı+Verb+Pos+Imp+A2sg
adamdı	ada+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Past+A3sg
salladı	salla+Verb+Pos+Past+A3sg
biliyordum	bile+Verb+Pos+Prog1+Past+A1sg
sevdik	sev+Verb+Pos+Past+A1pl
yaşasaydı	yaşa+Verb+Pos+Desr+Past+A3sg
ederdi	et+Verb+Pos+Aor+Past+A3sg
babandı	baba+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
centilmendi	centilmen+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
bağlıydı	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
düşünmüyorum	düşün+Verb+Neg+Prog1+A1sg
haykırdı	haykır+Verb+Pos+Past+A3sg
yoksa	yok+Adj^DB+Verb+Zero+Cond+A3sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
yoktu	yok+Adj^DB+Verb+Zero+Past+A3sg
duygulanmıştı	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+Past+A3sg
öptü	öp+Verb+Pos+Past+A3sg
verdimse	ver+Verb+Pos+Past+A1sg+Cond
üzgünüm	üzgün+Adj^DB+Verb+Zero+Pres+A1sg
kal	kal+Verb+Pos+Imp+A2sg
verirse	ver+Verb+Pos+Aor+Cond+A3sg
bulacak	bul+Verb+Pos+Fut+A3sg
öldüreceğim	öl+Verb^DB+Verb+Caus+Pos+Fut+A1sg
ederim	et+Verb+Pos+Aor+A1sg
gösterdi	göster+Verb+Pos+Past+A3sg
alışkındı	alışkı+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
olurdu	ol+Verb+Pos+Aor+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
koşturuyorlardı	koş+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
lazımdı	lazım+Adj^DB+Verb+Zero+Past+A3sg
kayboluyordu	kaybol+Verb+Pos+Prog1+Past+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
duydu	duy+Verb+Pos+Past+A3sg
farkındaydı	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A3sg
kalmış	kal+Verb+Pos+Narr+A3sg
hatırladı	hatırla+Verb+Pos+Past+A3sg
bulunmuştu	bulun+Verb+Pos+Narr+Past+A3sg
etmedi	et+Verb+Neg+Past+A3sg
açıklanmış	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
hissetti	hisset+Verb+Pos+Past+A3sg
hazırlanmış	hazırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
duydun	duy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A2sg
eğilmiş	eğ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
değildir	değil+Verb+Neg+Pres+A3sg+Cop
ilgilendirmiyor	ilgilen+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
bulunur	bulun+Verb+Pos+Aor+A3sg
geçirilseler	geç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Desr+A3pl
nişanlandı	nişanla+Verb^DB+Verb+Pass+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
çattı	çat+Verb+Pos+Past+A3sg
inanamıyorum	inan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
duygusaldır	duygusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
söylemedim	söyle+Verb+Neg+Past+A1sg
söyledim	söyle+Verb+Pos+Past+A1sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
düşün	düşün+Verb+Pos+Imp+A2sg
istiyorsan	iste+Verb+Pos+Prog1+Cond+A2sg
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
yapıyorsa	yap+Verb+Pos+Prog1+Cond+A3sg
gelir	gel+Verb+Pos+Aor+A3sg
iyidir	iyi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
istemem	iste+Verb+Neg+Aor+A1sg
yanılmaz	yan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
geliştirmişti	geliş+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
sahiptir	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
unutmazsa	unut+Verb+Neg+Aor+Cond+A3sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
ciddiyim	ciddi+Adj^DB+Verb+Zero+Pres+A1sg
üzülürdüm	üz+Verb^DB+Verb+Pass+Pos+Aor+Past+A1sg
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
sordu	sor+Verb+Pos+Past+A3sg
onaylamam	onayla+Verb+Neg+Aor+A1sg
gelmedik	gel+Verb+Neg+Past+A1pl
etmiyorum	et+Verb+Neg+Prog1+A1sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
büyülemişse	büyüle+Verb+Pos+Narr+Cond+A3sg
olursa	ol+Verb+Pos+Aor+Cond+A3sg
olsun	ol+Verb+Pos+Imp+A3sg
geliyor	gel+Verb+Pos+Prog1+A3sg
vuruldu	vur+Verb^DB+Verb+Pass+Pos+Past+A3sg
olmasın	ol+Verb+Neg+Imp+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
olmazdı	ol+Verb+Neg+Aor+Past+A3sg
bilirsin	bil+Verb+Pos+Aor+A2sg
kılmasıdır	kıl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
renksizdirler	renk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3pl+Cop
yitirirler	yit+Verb^DB+Verb+Caus+Pos+Aor+A3pl
vardır	var+Adj^DB+Verb+Zero+Pres+A3sg+Cop
getirir	getir+Verb+Pos+Aor+A3sg
eklerler	ekle+Verb+Pos+Aor+A3pl
kalırlar	kal+Verb+Pos+Aor+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
sanıyorum	san+Verb+Pos+Prog1+A1sg
gayesidir	gaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ibarettir	ibaret+Adj^DB+Verb+Zero+Pres+A3sg+Cop
budur	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçecek	geç+Verb+Pos+Fut+A3sg
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
biliyorsun	bile+Verb+Pos+Prog1+A2sg
olacaksa	ol+Verb+Pos+Fut+Cond+A3sg
insansın	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
güldü	gül+Verb+Pos+Past+A3sg
korkmamızdır	kork+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkudur	korku+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zannederiz	zannet+Verb+Pos+Aor+A1pl
sağlayacaktır	sağla+Verb+Pos+Fut+A3sg+Cop
överiz	öv+Verb+Pos+Aor+A1pl
buluruz	bul+Verb+Pos+Aor+A1pl
geçenlerdir	geç+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
buluyorum	bula+Verb+Pos+Prog1+A1sg
çürür	çürü+Verb+Pos+Aor+A3sg
aptallıktır	aptal+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
edeceğim	et+Verb+Pos+Fut+A1sg
taşır	taşı+Verb+Pos+Aor+A3sg
söyleyecektir	söyle+Verb+Pos+Fut+A3sg+Cop
kutlamalısınız	kutla+Verb+Pos+Neces+A2pl
olmamıştım	ol+Verb+Neg+Narr+Past+A1sg
oldu	ol+Verb+Pos+Past+A3sg
buymuş	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
pembeleşmiş	pembe+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
görünüyordu	görün+Verb+Pos+Prog1+Past+A3sg
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
söyledin	söyle+Verb+Pos+Past+A2sg
karıştı	karış+Verb+Pos+Past+A3sg
koymuştu	koy+Verb+Pos+Narr+Past+A3sg
gelin	gel+Verb+Pos+Imp+A2pl
görelim	gör+Verb+Pos+Opt+A1pl
anlatırsın	anla+Verb^DB+Verb+Caus+Pos+Aor+A2sg
giyindim	giy+Verb^DB+Verb+Reflex+Pos+Past+A1sg
yedim	ye+Verb+Pos+Past+A1sg
gittim	git+Verb+Pos+Past+A1sg
oynuyordu	oyna+Verb+Pos+Prog1+Past+A3sg
muhteşemdi	muhteşem+Adj^DB+Verb+Zero+Past+A3sg
görmeliydiniz	gör+Verb+Pos+Neces+Past+A2pl
harikaydı	harika+Adj^DB+Verb+Zero+Past+A3sg
giymişti	giy+Verb+Pos+Narr+Past+A3sg
süslenmiş	süsle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
görünmemişti	görün+Verb+Neg+Narr+Past+A3sg
taşıyordu	taş+Verb+Pos+Prog1+Past+A3sg
toplanmıştı	topla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
göreceksiniz	gör+Verb+Pos+Fut+A2pl
doğmuş	doğ+Verb+Pos+Narr+A3sg
izledim	izle+Verb+Pos+Past+A1sg
unuttum	unut+Verb+Pos+Past+A1sg
ilerliyordum	ilerle+Verb+Pos+Prog1+Past+A1sg
konuştum	konuş+Verb+Pos+Past+A1sg
peydahlandı	peydahla+Verb^DB+Verb+Pass+Pos+Past+A3sg
yaklaştı	yaklaş+Verb+Pos+Past+A3sg
öptük	öp+Verb+Pos+Past+A1pl
edemem	et+Verb^DB+Verb+Able+Neg+Aor+A1sg
ibaretmiş	ibaret+Adj^DB+Verb+Zero+Narr+A3sg
geliyordu	gel+Verb+Pos+Prog1+Past+A3sg
titredi	titre+Verb+Pos+Past+A3sg
ürperdi	ürper+Verb+Pos+Past+A3sg
hissediyorum	hisset+Verb+Pos+Prog1+A1sg
söylemedi	söyle+Verb+Neg+Past+A3sg
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
eminim	emin+Adj^DB+Verb+Zero+Pres+A1sg
sinirlenecek	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
olacağım	ol+Verb+Pos+Fut+A1sg
yapabilirim	yap+Verb+Pos^DB+Verb+Able+Aor+A1sg
kurtarabilir	kurtar+Verb+Pos^DB+Verb+Able+Aor+A3sg
bulabilirim	bul+Verb+Pos^DB+Verb+Able+Aor+A1sg
fısıldadılar	fısılda+Verb+Pos+Past+A3pl
sarıyor	sar+Verb+Pos+Prog1+A3sg
öpüyorum	öp+Verb+Pos+Prog1+A1sg
yaptın	yap+Verb+Pos+Past+A2sg
görüyor	gör+Verb+Pos+Prog1+A3sg
bıraktım	bırak+Verb+Pos+Past+A1sg
bulacağım	bul+Verb+Pos+Fut+A1sg
yudumladı	yudumla+Verb+Pos+Past+A3sg
unuttun	unut+Verb+Pos+Past+A2sg
konuşmadım	konuş+Verb+Neg+Past+A1sg
kalıyor	kal+Verb+Pos+Prog1+A3sg
pratiktirler	pratik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
mırıldandı	mırıldan+Verb+Pos+Past+A3sg
unuturuz	unut+Verb+Pos+Aor+A1pl
hatırlatırlar	hatırla+Verb^DB+Verb+Caus+Pos+Aor+A3pl
sinirlendiriyorsun	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Prog1+A2sg
benzemez	benze+Verb+Neg+Aor+A3sg
etmez	et+Verb+Neg+Aor+A3sg
sinirlenmez	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Aor+A3sg
sordum	sor+Verb+Pos+Past+A1sg
kadınlardır	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
birisin	bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg
hayvandır	hayvan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
eder	et+Verb+Pos+Aor+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
istiyorum	iste+Verb+Pos+Prog1+A1sg
nedir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dönülmez	dön+Verb^DB+Verb+Pass+Neg+Aor+A3sg
geçiyorsun	geç+Verb+Pos+Prog1+A2sg
etme	et+Verb+Neg+Imp+A2sg
feshedilemez	feshet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
yemindir	yemin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapıyor	yap+Verb+Pos+Prog1+A3sg
hayıflanıyorum	hayıf+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+A1sg
uzaklaştım	uzak+Adj^DB+Verb+Become+Pos+Past+A1sg
değiştim	değiş+Verb+Pos+Past+A1sg
unutturdu	unut+Verb^DB+Verb+Caus+Pos+Past+A3sg
şeydir	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkarım	kork+Verb+Pos+Aor+A1sg
edemeyeceğim	et+Verb^DB+Verb+Able+Neg+Fut+A1sg
aitler	ait+Postp+PCDat^DB+Verb+Zero+Pres+A3pl
sınavıdır	sınav+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işaretidir	işaret+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iyiyizdir	iyi+Adj^DB+Verb+Zero+Pres+A1pl+Cop
olmayız	ol+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
kastediyorsun	kastet+Verb+Pos+Prog1+A2sg
olmasıdır	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zorlar	zorla+Verb+Pos+Aor+A3sg
istiyorsa	iste+Verb+Pos+Prog1+Cond+A3sg
koyabilir	koy+Verb+Pos^DB+Verb+Able+Aor+A3sg
gerektiriyor	gerek+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
temsilcisidir	temsilci+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ediyorum	et+Verb+Pos+Prog1+A1sg
yaşarsa	yaşa+Verb+Pos+Aor+Cond+A3sg
ödemez	öde+Verb+Neg+Aor+A3sg
yüklenmiş	yükle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
durumdayız	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1pl
yetmemesidir	yet+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
imtiyazıdır	imtiyaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
mecburdur	mecbur+Adj^DB+Verb+Zero+Pres+A3sg+Cop
olmasa	ol+Verb+Neg+Desr+A3sg
silkti	silk+Verb+Pos+Past+A3sg
fevkaladedir	fevkalade+Adj^DB+Verb+Zero+Pres+A3sg+Cop
geçti	geç+Verb+Pos+Past+A3sg
kullanabilir	kullan+Verb+Pos^DB+Verb+Able+Aor+A3sg
kullanmadıklarıdır	kullan+Verb+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
duymaz	duy+Verb+Neg+Aor+A3sg
bilmez	bil+Verb+Neg+Aor+A3sg
belasıdır	bela+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
davranırlar	davran+Verb+Pos+Aor+A3pl
ederler	ederle+Verb+Pos+Aor+A3sg
varsa	var+Adj^DB+Verb+Zero+Cond+A3sg
vermiştir	ver+Verb+Pos+Narr+A3sg+Cop
yaratıyorlar	yara+Verb^DB+Verb+Caus+Pos+Prog1+A3pl
olamaz	ol+Verb^DB+Verb+Able+Neg+Aor+A3sg
etmelisin	et+Verb+Pos+Neces+A2sg
verirler	ver+Verb+Pos+Aor+A3pl
kötüsün	kötü+Adj^DB+Verb+Zero+Pres+A2sg
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
bilmem	bil+Verb+Neg+Aor+A1sg
seveceksin	sev+Verb+Pos+Fut+A2sg
alır	al+Verb+Pos+Aor+A3sg
getir	getir+Verb+Pos+Imp+A2sg
boşver	boşver+Verb+Pos+Imp+A2sg
almalısın	al+Verb+Pos+Neces+A2sg
çeşididir	çeşit+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bırakır	bırak+Verb+Pos+Aor+A3sg
isteyebilir	iste+Verb+Pos^DB+Verb+Able+Aor+A3sg
olacaksın	ol+Verb+Pos+Fut+A2sg
konuşuyorsun	konuş+Verb+Pos+Prog1+A2sg
gidelim	git+Verb+Pos+Opt+A1pl
hazırım	hazır+Adj^DB+Verb+Zero+Pres+A1sg
olmayacak	ol+Verb+Neg+Fut+A3sg
heyecanlandırabilir	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+A3sg
bayılırım	bayıl+Verb+Pos+Aor+A1sg
gerçektirler	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
geleceksin	gel+Verb+Pos+Fut+A2sg
et	et+Verb+Pos+Imp+A2sg
yudumladılar	yudumla+Verb+Pos+Past+A3pl
düşünceliydi	düşünce+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
dayanamazdı	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A3sg
ayrıldı	ayır+Verb^DB+Verb+Pass+Pos+Past+A3sg
kapladı	kapla+Verb+Pos+Past+A3sg
hissediyordu	hisset+Verb+Pos+Prog1+Past+A3sg
girmişti	gir+Verb+Pos+Narr+Past+A3sg
koyulaştı	koyu+Adj^DB+Verb+Become+Pos+Past+A3sg
bulanıklaştı	bulanık+Adj^DB+Verb+Become+Pos+Past+A3sg
yaşlanmış	yaş+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
gibiydi	gibi+Postp+PCNom^DB+Verb+Zero+Past+A3sg
kalabalıktı	kalabalık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
varmıştı	var+Verb+Pos+Narr+Past+A3sg
götürdü	götür+Verb+Pos+Past+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
girmiş	gir+Verb+Pos+Narr+A3sg
hoşlanmıştı	hoşlan+Verb+Pos+Narr+Past+A3sg
sallıyor	salla+Verb+Pos+Prog1+A3sg
ediyordu	et+Verb+Pos+Prog1+Past+A3sg
oyalamaktaydı	oyala+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
fazlaydı	fazla+Adj^DB+Verb+Zero+Past+A3sg
benziyordu	benze+Verb+Pos+Prog1+Past+A3sg
asmışlardı	as+Verb+Pos+Narr+A3pl+Past
paylaştılar	paylaş+Verb+Pos+Past+A3pl
ahenksizdi	ahenk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Past+A3sg
başlasın	baş+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
unutacaksınız	unut+Verb+Pos+Fut+A2pl
değişirler	değiş+Verb+Pos+Aor+A3pl
izlerler	izle+Verb+Pos+Aor+A3pl
hissettiriyorsa	hisset+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
yapar	yap+Verb+Pos+Aor+A3sg
tinselleştirir	tinsel+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Aor+A3sg
hisseder	hisset+Verb+Pos+Aor+A3sg
dilemem	dile+Verb+Neg+Aor+A1sg
anladım	anla+Verb+Pos+Past+A1sg
inanıyorum	inan+Verb+Pos+Prog1+A1sg
biridir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
katabilirse	kat+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
yaratabilirse	yara+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+Cond+A3sg
öğretebilirse	öğret+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
demektir	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
düşünmüyordum	düşün+Verb+Neg+Prog1+Past+A1sg
onaylıyorum	onayla+Verb+Pos+Prog1+A1sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
olacaktın	ol+Verb+Pos+Fut+Past+A2sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
kalkacak	kalk+Verb+Pos+Fut+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
adayacağım	ada+Verb+Pos+Fut+A1sg
güzeldi	güzel+Adj^DB+Verb+Zero+Past+A3sg
düşündü	düşün+Verb+Pos+Past+A3sg
