hafta	hafta+Noun+A3sg+Pnon+Nom
kazık	kazık+Noun+A3sg+Pnon+Nom
tüccar	tüccar+Noun+A3sg+Pnon+Nom
sitem	sitem+Noun+A3sg+Pnon+Nom
gelişim	gelişim+Noun+A3sg+Pnon+Nom
vaftiz	vaftiz+Noun+A3sg+Pnon+Nom
ziyaret	ziyaret+Noun+A3sg+Pnon+Nom
hücum	hücum+Noun+A3sg+Pnon+Nom
saygı	saygı+Noun+A3sg+Pnon+Nom
revoir	revoir+Noun+A3sg+Pnon+Nom
au	au+Noun+A3sg+Pnon+Nom
veda	veda+Noun+A3sg+Pnon+Nom
keklik	keklik+Noun+A3sg+Pnon+Nom
budala	budala+Noun+A3sg+Pnon+Nom
bakan	bakan+Noun+A3sg+Pnon+Nom
ihanet	ihanet+Noun+A3sg+Pnon+Nom
koyun	koyun+Noun+A3sg+Pnon+Nom
naz	naz+Noun+A3sg+Pnon+Nom
iftihar	iftihar+Noun+A3sg+Pnon+Nom
vet	vet+Noun+A3sg+Pnon+Nom
fev	fev+Noun+A3sg+Pnon+Nom
ka	ka+Noun+A3sg+Pnon+Nom
la	la+Noun+A3sg+Pnon+Nom
komedya	komedya+Noun+A3sg+Pnon+Nom
yaldız	yaldız+Noun+A3sg+Pnon+Nom
cehennem	cehennem+Noun+A3sg+Pnon+Nom
ikram	ikram+Noun+A3sg+Pnon+Nom
aralık	aralık+Noun+A3sg+Pnon+Nom
dışarı	dışarı+Noun+A3sg+Pnon+Nom
komik	komik+Noun+A3sg+Pnon+Nom
nuz	nuz+Noun+A3sg+Pnon+Nom
nor	nor+Noun+A3sg+Pnon+Nom
mal	mal+Noun+A3sg+Pnon+Nom
vücut	vücut+Noun+A3sg+Pnon+Nom
oy	oy+Noun+A3sg+Pnon+Nom
ge	ge+Noun+A3sg+Pnon+Nom
li	li+Noun+A3sg+Pnon+Nom
şi	şi+Noun+A3sg+Pnon+Nom
ci	ci+Noun+A3sg+Pnon+Nom
charmante	charmante+Noun+A3sg+Pnon+Nom
şarkı	şarkı+Noun+A3sg+Pnon+Nom
artist	artist+Noun+A3sg+Pnon+Nom
kontes	kontes+Noun+A3sg+Pnon+Nom
müş	müş+Noun+A3sg+Pnon+Nom
em	em+Noun+A3sg+Pnon+Nom
sal	sal+Noun+A3sg+Pnon+Nom
ru	ru+Noun+A3sg+Pnon+Nom
kont	kont+Noun+A3sg+Pnon+Nom
kavga	kavga+Noun+A3sg+Pnon+Nom
charmant	charmant+Noun+A3sg+Pnon+Nom
zi	zi+Noun+A3sg+Pnon+Nom
ği	ği+Noun+A3sg+Pnon+Nom
taşkın	taşkın+Noun+A3sg+Pnon+Nom
rış	rış+Noun+A3sg+Pnon+Nom
tı	tı+Noun+A3sg+Pnon+Nom
rı	rı+Noun+A3sg+Pnon+Nom
rum	rum+Noun+A3sg+Pnon+Nom
defa	defa+Noun+A3sg+Pnon+Nom
şato	şato+Noun+A3sg+Pnon+Nom
tır	tır+Noun+A3sg+Pnon+Nom
me	me+Noun+A3sg+Pnon+Nom
ravissez	ravissez+Noun+A3sg+Pnon+Nom
ma	ma+Noun+A3sg+Pnon+Nom
enfant	enfant+Noun+A3sg+Pnon+Nom
tabir	tabir+Noun+A3sg+Pnon+Nom
personne	personne+Noun+A3sg+Pnon+Nom
ü	ü+Noun+A3sg+Pnon+Nom
imkan	imkan+Noun+A3sg+Pnon+Nom
gazete	gazete+Noun+A3sg+Pnon+Nom
kı	kı+Noun+A3sg+Pnon+Nom
yı	yı+Noun+A3sg+Pnon+Nom
is	is+Noun+A3sg+Pnon+Nom
te	te+Noun+A3sg+Pnon+Nom
lat	lat+Noun+A3sg+Pnon+Nom
nız	nız+Noun+A3sg+Pnon+Nom
lar	lar+Noun+A3sg+Pnon+Nom
ler	ler+Noun+A3sg+Pnon+Nom
pı	pı+Noun+A3sg+Pnon+Nom
huşu	huşu+Noun+A3sg+Pnon+Nom
lı	lı+Noun+A3sg+Pnon+Nom
tahkir	tahkir+Noun+A3sg+Pnon+Nom
no	no+Noun+A3sg+Pnon+Nom
pa	pa+Noun+A3sg+Pnon+Nom
kor	kor+Noun+A3sg+Pnon+Nom
ku	ku+Noun+A3sg+Pnon+Nom
ba	ba+Noun+A3sg+Pnon+Nom
hi	hi+Noun+A3sg+Pnon+Nom
miş	miş+Noun+A3sg+Pnon+Nom
ğıt	ğıt+Noun+A3sg+Pnon+Nom
paz	paz+Noun+A3sg+Pnon+Nom
papaz	papaz+Noun+A3sg+Pnon+Nom
u	u+Noun+A3sg+Pnon+Nom
zan	zan+Noun+A3sg+Pnon+Nom
ter	ter+Noun+A3sg+Pnon+Nom
ziz	ziz+Noun+A3sg+Pnon+Nom
joli	joli+Noun+A3sg+Pnon+Nom
re	re+Noun+A3sg+Pnon+Nom
şiş	şiş+Noun+A3sg+Pnon+Nom
ni	ni+Noun+A3sg+Pnon+Nom
selam	selam+Noun+A3sg+Pnon+Nom
ağırlık	ağırlık+Noun+A3sg+Pnon+Nom
isim	isim+Noun+A3sg+Pnon+Nom
ala	ala+Noun+A3sg+Pnon+Nom
lüzum	lüzum+Noun+A3sg+Pnon+Nom
şahım	şahım+Noun+A3sg+Pnon+Nom
hanım	hanım+Noun+A3sg+Pnon+Nom
çeyrek	çeyrek+Noun+A3sg+Pnon+Nom
hitap	hitap+Noun+A3sg+Pnon+Nom
can	can+Noun+A3sg+Pnon+Nom
toy	toy+Noun+A3sg+Pnon+Nom
kabahat	kabahat+Noun+A3sg+Pnon+Nom
terbiye	terbiye+Noun+A3sg+Pnon+Nom
devlet	devlet+Noun+A3sg+Pnon+Nom
nokta	nokta+Noun+A3sg+Pnon+Nom
mert	mert+Noun+A3sg+Pnon+Nom
sevgi	sevgi+Noun+A3sg+Pnon+Nom
cennet	cennet+Noun+A3sg+Pnon+Nom
güvercin	güvercin+Noun+A3sg+Pnon+Nom
menfaat	menfaat+Noun+A3sg+Pnon+Nom
kere	kere+Noun+A3sg+Pnon+Nom
kıt	kıt+Noun+A3sg+Pnon+Nom
deyim	deyim+Noun+A3sg+Pnon+Nom
bıçak	bıçak+Noun+A3sg+Pnon+Nom
sosyete	sosyete+Noun+A3sg+Pnon+Nom
hain	hain+Noun+A3sg+Pnon+Nom
şeref	şeref+Noun+A3sg+Pnon+Nom
dua	dua+Noun+A3sg+Pnon+Nom
gündüz	gündüz+Noun+A3sg+Pnon+Nom
pamuk	pamuk+Noun+A3sg+Pnon+Nom
tuz	tuz+Noun+A3sg+Pnon+Nom
biber	biber+Noun+A3sg+Pnon+Nom
emanet	emanet+Noun+A3sg+Pnon+Nom
metanet	metanet+Noun+A3sg+Pnon+Nom
zafer	zafer+Noun+A3sg+Pnon+Nom
felaket	felaket+Noun+A3sg+Pnon+Nom
tehlike	tehlike+Noun+A3sg+Pnon+Nom
tutam	tutam+Noun+A3sg+Pnon+Nom
vaad	vaad+Noun+A3sg+Pnon+Nom
vız	vız+Noun+A3sg+Pnon+Nom
macera	macera+Noun+A3sg+Pnon+Nom
sarhoş	sarhoş+Noun+A3sg+Pnon+Nom
kıyamet	kıyamet+Noun+A3sg+Pnon+Nom
mat	mat+Noun+A3sg+Pnon+Nom
davet	davet+Noun+A3sg+Pnon+Nom
arabacı	arabacı+Noun+A3sg+Pnon+Nom
ıhlamur	ıhlamur+Noun+A3sg+Pnon+Nom
kasırga	kasırga+Noun+A3sg+Pnon+Nom
tembel	tembel+Noun+A3sg+Pnon+Nom
beyin	beyin+Noun+A3sg+Pnon+Nom
icat	icat+Noun+A3sg+Pnon+Nom
kıvırcık	kıvırcık+Noun+A3sg+Pnon+Nom
yük	yük+Noun+A3sg+Pnon+Nom
yaban	yaban+Noun+A3sg+Pnon+Nom
karınca	karınca+Noun+A3sg+Pnon+Nom
gereksinim	gereksinim+Noun+A3sg+Pnon+Nom
karabasan	karabasan+Noun+A3sg+Pnon+Nom
kabus	kabus+Noun+A3sg+Pnon+Nom
çanta	çanta+Noun+A3sg+Pnon+Nom
bavul	bavul+Noun+A3sg+Pnon+Nom
curcuna	curcuna+Noun+A3sg+Pnon+Nom
terk	terk+Noun+A3sg+Pnon+Nom
güneş	güneş+Noun+A3sg+Pnon+Nom
düşmancıl	düşmancıl+Noun+A3sg+Pnon+Nom
diken	diken+Noun+A3sg+Pnon+Nom
bindi	bindi+Noun+A3sg+Pnon+Nom
bahçe	bahçe+Noun+A3sg+Pnon+Nom
kestane	kestane+Noun+A3sg+Pnon+Nom
meşe	meşe+Noun+A3sg+Pnon+Nom
tezat	tezat+Noun+A3sg+Pnon+Nom
çoban	çoban+Noun+A3sg+Pnon+Nom
zar	zar+Noun+A3sg+Pnon+Nom
çaba	çaba+Noun+A3sg+Pnon+Nom
kıç	kıç+Noun+A3sg+Pnon+Nom
dişi	dişi+Noun+A3sg+Pnon+Nom
içgüdü	içgüdü+Noun+A3sg+Pnon+Nom
babacığım	babacığım+Noun+A3sg+Pnon+Nom
gölge	gölge+Noun+A3sg+Pnon+Nom
tazı	tazı+Noun+A3sg+Pnon+Nom
çapulcu	çapulcu+Noun+A3sg+Pnon+Nom
geçmiş	geçmiş+Noun+A3sg+Pnon+Nom
korkak	korkak+Noun+A3sg+Pnon+Nom
hata	hata+Noun+A3sg+Pnon+Nom
yaradılış	yaradılış+Noun+A3sg+Pnon+Nom
yolculuk	yolculuk+Noun+A3sg+Pnon+Nom
çiftlik	çiftlik+Noun+A3sg+Pnon+Nom
öç	öç+Noun+A3sg+Pnon+Nom
olanak	olanak+Noun+A3sg+Pnon+Nom
zindan	zindan+Noun+A3sg+Pnon+Nom
sinir	sinir+Noun+A3sg+Pnon+Nom
siper	siper+Noun+A3sg+Pnon+Nom
adet	adet+Noun+A3sg+Pnon+Nom
alaka	alaka+Noun+A3sg+Pnon+Nom
şamar	şamar+Noun+A3sg+Pnon+Nom
falan	falan+Noun+A3sg+Pnon+Nom
yargıç	yargıç+Noun+A3sg+Pnon+Nom
mırıltı	mırıltı+Noun+A3sg+Pnon+Nom
ikna	ikna+Noun+A3sg+Pnon+Nom
hizmetçi	hizmetçi+Noun+A3sg+Pnon+Nom
antlaşma	antlaşma+Noun+A3sg+Pnon+Nom
barış	barış+Noun+A3sg+Pnon+Nom
bulaşık	bulaşık+Noun+A3sg+Pnon+Nom
gözlem	gözlem+Noun+A3sg+Pnon+Nom
faktör	faktör+Noun+A3sg+Pnon+Nom
sözlü	sözlü+Noun+A3sg+Pnon+Nom
pusula	pusula+Noun+A3sg+Pnon+Nom
av	av+Noun+A3sg+Pnon+Nom
iştah	iştah+Noun+A3sg+Pnon+Nom
silah	silah+Noun+A3sg+Pnon+Nom
kırbaç	kırbaç+Noun+A3sg+Pnon+Nom
sopa	sopa+Noun+A3sg+Pnon+Nom
feryat	feryat+Noun+A3sg+Pnon+Nom
seyis	seyis+Noun+A3sg+Pnon+Nom
müdahale	müdahale+Noun+A3sg+Pnon+Nom
odun	odun+Noun+A3sg+Pnon+Nom
eser	eser+Noun+A3sg+Pnon+Nom
anlık	anlık+Noun+A3sg+Pnon+Nom
bucak	bucak+Noun+A3sg+Pnon+Nom
hergün	hergün+Noun+A3sg+Pnon+Nom
sağ	sağ+Noun+A3sg+Pnon+Nom
baston	baston+Noun+A3sg+Pnon+Nom
üzüntü	üzüntü+Noun+A3sg+Pnon+Nom
tamir	tamir+Noun+A3sg+Pnon+Nom
kül	kül+Noun+A3sg+Pnon+Nom
mimar	mimar+Noun+A3sg+Pnon+Nom
boya	boya+Noun+A3sg+Pnon+Nom
örümcek	örümcek+Noun+A3sg+Pnon+Nom
kadıncağız	kadıncağız+Noun+A3sg+Pnon+Nom
giysi	giysi+Noun+A3sg+Pnon+Nom
belil	belil+Noun+A3sg+Pnon+Nom
tutku	tutku+Noun+A3sg+Pnon+Nom
büyü	büyü+Noun+A3sg+Pnon+Nom
serüven	serüven+Noun+A3sg+Pnon+Nom
atkı	atkı+Noun+A3sg+Pnon+Nom
hıçkırık	hıçkırık+Noun+A3sg+Pnon+Nom
telaffuz	telaffuz+Noun+A3sg+Pnon+Nom
tereddüt	tereddüt+Noun+A3sg+Pnon+Nom
yaya	yaya+Noun+A3sg+Pnon+Nom
frak	frak+Noun+A3sg+Pnon+Nom
minnet	minnet+Noun+A3sg+Pnon+Nom
kaygı	kaygı+Noun+A3sg+Pnon+Nom
kaçamak	kaçamak+Noun+A3sg+Pnon+Nom
lütuf	lütuf+Noun+A3sg+Pnon+Nom
günü	günü+Noun+A3sg+Pnon+Nom
tasavvur	tasavvur+Noun+A3sg+Pnon+Nom
kızkardeş	kızkardeş+Noun+A3sg+Pnon+Nom
nimet	nimet+Noun+A3sg+Pnon+Nom
kesinkes	kesinkes+Noun+A3sg+Pnon+Nom
net	net+Noun+A3sg+Pnon+Nom
barut	barut+Noun+A3sg+Pnon+Nom
mücadele	mücadele+Noun+A3sg+Pnon+Nom
pırıltı	pırıltı+Noun+A3sg+Pnon+Nom
büyükanne	büyükanne+Noun+A3sg+Pnon+Nom
peksimet	peksimet+Noun+A3sg+Pnon+Nom
müddet	müddet+Noun+A3sg+Pnon+Nom
büyükbaba	büyükbaba+Noun+A3sg+Pnon+Nom
gri	gri+Noun+A3sg+Pnon+Nom
muhalefet	muhalefet+Noun+A3sg+Pnon+Nom
alaycı	alaycı+Noun+A3sg+Pnon+Nom
santim	santim+Noun+A3sg+Pnon+Nom
harp	harp+Noun+A3sg+Pnon+Nom
tatmin	tatmin+Noun+A3sg+Pnon+Nom
birşey	birşey+Noun+A3sg+Pnon+Nom
ebe	ebe+Noun+A3sg+Pnon+Nom
ayrık	ayrık+Noun+A3sg+Pnon+Nom
okur	okur+Noun+A3sg+Pnon+Nom
muhtaç	muhtaç+Noun+A3sg+Pnon+Nom
hırsız	hırsız+Noun+A3sg+Pnon+Nom
herif	herif+Noun+A3sg+Pnon+Nom
boğa	boğa+Noun+A3sg+Pnon+Nom
salça	salça+Noun+A3sg+Pnon+Nom
daikka	daikka+Noun+A3sg+Pnon+Nom
vaz	vaz+Noun+A3sg+Pnon+Nom
gidi	gidi+Noun+A3sg+Pnon+Nom
keçi	keçi+Noun+A3sg+Pnon+Nom
yiyecek	yiyecek+Noun+A3sg+Pnon+Nom
giyecek	giyecek+Noun+A3sg+Pnon+Nom
mevcut	mevcut+Noun+A3sg+Pnon+Nom
pervane	pervane+Noun+A3sg+Pnon+Nom
teke	teke+Noun+A3sg+Pnon+Nom
açıkhava	açıkhava+Noun+A3sg+Pnon+Nom
serseri	serseri+Noun+A3sg+Pnon+Nom
üzüm	üzüm+Noun+A3sg+Pnon+Nom
sepet	sepet+Noun+A3sg+Pnon+Nom
bebek	bebek+Noun+A3sg+Pnon+Nom
mil	mil+Noun+A3sg+Pnon+Nom
tel	tel+Noun+A3sg+Pnon+Nom
tetkik	tetkik+Noun+A3sg+Pnon+Nom
kasket	kasket+Noun+A3sg+Pnon+Nom
tasdik	tasdik+Noun+A3sg+Pnon+Nom
horoz	horoz+Noun+A3sg+Pnon+Nom
kabara	kabara+Noun+A3sg+Pnon+Nom
külhanbeyi	külhanbeyi+Noun+A3sg+P3sg+Nom
sırık	sırık+Noun+A3sg+Pnon+Nom
tın	tın+Noun+A3sg+Pnon+Nom
tohum	tohum+Noun+A3sg+Pnon+Nom
sent	sent+Noun+A3sg+Pnon+Nom
doru	doru+Noun+A3sg+Pnon+Nom
kişniyerek	kişniyerek+Noun+A3sg+Pnon+Nom
tay	tay+Noun+A3sg+Pnon+Nom
bayram	bayram+Noun+A3sg+Pnon+Nom
prim	prim+Noun+A3sg+Pnon+Nom
içki	içki+Noun+A3sg+Pnon+Nom
meyva	meyva+Noun+A3sg+Pnon+Nom
sel	sel+Noun+A3sg+Pnon+Nom
ızdırap	ızdırap+Noun+A3sg+Pnon+Nom
terör	terör+Noun+A3sg+Pnon+Nom
vazo	vazo+Noun+A3sg+Pnon+Nom
tencere	tencere+Noun+A3sg+Pnon+Nom
lamba	lamba+Noun+A3sg+Pnon+Nom
kanaviçe	kanaviçe+Noun+A3sg+Pnon+Nom
gaz	gaz+Noun+A3sg+Pnon+Nom
testere	testere+Noun+A3sg+Pnon+Nom
mengene	mengene+Noun+A3sg+Pnon+Nom
kıskaç	kıskaç+Noun+A3sg+Pnon+Nom
balta	balta+Noun+A3sg+Pnon+Nom
kitap	kitap+Noun+A3sg+Pnon+Nom
zifir	zifir+Noun+A3sg+Pnon+Nom
resim	resim+Noun+A3sg+Pnon+Nom
evvel	evvel+Noun+A3sg+Pnon+Nom
