rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
solumasıydı	solu+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çatmıştı	çat+Verb+Pos+Narr+Past+A3sg
duymuyordu	duy+Verb+Neg+Prog1+Past+A3sg
hatırlatmıştı	hatırla+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
acı	acı+Verb+Pos+Imp+A2sg
adamdı	ada+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Past+A3sg
salladı	salla+Verb+Pos+Past+A3sg
yaşasaydı	yaşa+Verb+Pos+Desr+Past+A3sg
babandı	baba+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
centilmendi	centilmen+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
bağlıydı	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
haykırdı	haykır+Verb+Pos+Past+A3sg
yoksa	yok+Adj^DB+Verb+Zero+Cond+A3sg
doldu	dol+Verb+Pos+Past+A3sg
sildi	sil+Verb+Pos+Past+A3sg
fısıldadı	fısılda+Verb+Pos+Past+A3sg
duygulanmıştı	duygu+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+Past+A3sg
öptü	öp+Verb+Pos+Past+A3sg
üzgünüm	üzgün+Adj^DB+Verb+Zero+Pres+A1sg
kal	kal+Verb+Pos+Imp+A2sg
bulacak	bul+Verb+Pos+Fut+A3sg
öldüreceğim	öl+Verb^DB+Verb+Caus+Pos+Fut+A1sg
gösterdi	göster+Verb+Pos+Past+A3sg
alışkındı	alışkı+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
kesti	kes+Verb+Pos+Past+A3sg
koşturuyorlardı	koş+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
lazımdı	lazım+Adj^DB+Verb+Zero+Past+A3sg
kayboluyordu	kaybol+Verb+Pos+Prog1+Past+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
farkındaydı	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A3sg
açıklanmış	açıkla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
hissetti	hisset+Verb+Pos+Past+A3sg
hazırlanmış	hazırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
eğilmiş	eğ+Verb^DB+Verb+Pass+Pos+Narr+A3sg
değildir	değil+Verb+Neg+Pres+A3sg+Cop
ilgilendirmiyor	ilgilen+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
nişanlandı	nişanla+Verb^DB+Verb+Pass+Pos+Past+A3sg
silkindi	silkin+Verb+Pos+Past+A3sg
inanamıyorum	inan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
duygusaldır	duygusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kaybediyor	kaybet+Verb+Pos+Prog1+A3sg
saklıyorum	sakla+Verb+Pos+Prog1+A1sg
evlenecektir	evlen+Verb+Pos+Fut+A3sg+Cop
iyidir	iyi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
yanılmaz	yan+Verb^DB+Verb+Pass+Neg+Aor+A3sg
geliştirmişti	geliş+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
sahiptir	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
unutmazsa	unut+Verb+Neg+Aor+Cond+A3sg
ciddiyim	ciddi+Adj^DB+Verb+Zero+Pres+A1sg
üzülürdüm	üz+Verb^DB+Verb+Pass+Pos+Aor+Past+A1sg
onaylıyor	onayla+Verb+Pos+Prog1+A3sg
sordu	sor+Verb+Pos+Past+A3sg
karışmıyorum	karış+Verb+Neg+Prog1+A1sg
büyülemişse	büyüle+Verb+Pos+Narr+Cond+A3sg
vuruldu	vur+Verb^DB+Verb+Pass+Pos+Past+A3sg
kılmasıdır	kıl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
renksizdirler	renk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3pl+Cop
yitirirler	yit+Verb^DB+Verb+Caus+Pos+Aor+A3pl
getirir	getir+Verb+Pos+Aor+A3sg
eklerler	ekle+Verb+Pos+Aor+A3pl
gayesidir	gaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ibarettir	ibaret+Adj^DB+Verb+Zero+Pres+A3sg+Cop
budur	bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
insansın	insan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
güldü	gül+Verb+Pos+Past+A3sg
korkmamızdır	kork+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
korkudur	korku+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zannederiz	zannet+Verb+Pos+Aor+A1pl
sağlayacaktır	sağla+Verb+Pos+Fut+A3sg+Cop
överiz	öv+Verb+Pos+Aor+A1pl
buluyorum	bula+Verb+Pos+Prog1+A1sg
çürür	çürü+Verb+Pos+Aor+A3sg
aptallıktır	aptal+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
taşır	taşı+Verb+Pos+Aor+A3sg
kutlamalısınız	kutla+Verb+Pos+Neces+A2pl
pembeleşmiş	pembe+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
görünüyordu	görün+Verb+Pos+Prog1+Past+A3sg
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
anlatırsın	anla+Verb^DB+Verb+Caus+Pos+Aor+A2sg
giyindim	giy+Verb^DB+Verb+Reflex+Pos+Past+A1sg
yedim	ye+Verb+Pos+Past+A1sg
oynuyordu	oyna+Verb+Pos+Prog1+Past+A3sg
muhteşemdi	muhteşem+Adj^DB+Verb+Zero+Past+A3sg
harikaydı	harika+Adj^DB+Verb+Zero+Past+A3sg
süslenmiş	süsle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
taşıyordu	taş+Verb+Pos+Prog1+Past+A3sg
toplanmıştı	topla+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
doğmuş	doğ+Verb+Pos+Narr+A3sg
ilerliyordum	ilerle+Verb+Pos+Prog1+Past+A1sg
konuştum	konuş+Verb+Pos+Past+A1sg
peydahlandı	peydahla+Verb^DB+Verb+Pass+Pos+Past+A3sg
yaklaştı	yaklaş+Verb+Pos+Past+A3sg
titredi	titre+Verb+Pos+Past+A3sg
ürperdi	ürper+Verb+Pos+Past+A3sg
eminim	emin+Adj^DB+Verb+Zero+Pres+A1sg
sinirlenecek	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
kurtarabilir	kurtar+Verb+Pos^DB+Verb+Able+Aor+A3sg
sarıyor	sar+Verb+Pos+Prog1+A3sg
bıraktım	bırak+Verb+Pos+Past+A1sg
yudumladı	yudumla+Verb+Pos+Past+A3sg
pratiktirler	pratik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
mırıldandı	mırıldan+Verb+Pos+Past+A3sg
kadınlardır	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
birisin	bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg
hayvandır	hayvan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
feshedilemez	feshet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
yemindir	yemin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hayıflanıyorum	hayıf+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Prog1+A1sg
uzaklaştım	uzak+Adj^DB+Verb+Become+Pos+Past+A1sg
değiştim	değiş+Verb+Pos+Past+A1sg
şeydir	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aitler	ait+Postp+PCDat^DB+Verb+Zero+Pres+A3pl
sınavıdır	sınav+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işaretidir	işaret+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zorlar	zorla+Verb+Pos+Aor+A3sg
temsilcisidir	temsilci+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yüklenmiş	yükle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
durumdayız	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1pl
yetmemesidir	yet+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
imtiyazıdır	imtiyaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
mecburdur	mecbur+Adj^DB+Verb+Zero+Pres+A3sg+Cop
silkti	silk+Verb+Pos+Past+A3sg
fevkaladedir	fevkalade+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kullanabilir	kullan+Verb+Pos^DB+Verb+Able+Aor+A3sg
belasıdır	bela+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
davranırlar	davran+Verb+Pos+Aor+A3pl
ederler	ederle+Verb+Pos+Aor+A3sg
kötüsün	kötü+Adj^DB+Verb+Zero+Pres+A2sg
hoşlanıyorum	hoşlan+Verb+Pos+Prog1+A1sg
boşver	boşver+Verb+Pos+Imp+A2sg
çeşididir	çeşit+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hazırım	hazır+Adj^DB+Verb+Zero+Pres+A1sg
heyecanlandırabilir	heyecan+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+A3sg
bayılırım	bayıl+Verb+Pos+Aor+A1sg
düşünceliydi	düşünce+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
dayanamazdı	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A3sg
kapladı	kapla+Verb+Pos+Past+A3sg
girmişti	gir+Verb+Pos+Narr+Past+A3sg
koyulaştı	koyu+Adj^DB+Verb+Become+Pos+Past+A3sg
bulanıklaştı	bulanık+Adj^DB+Verb+Become+Pos+Past+A3sg
kalabalıktı	kalabalık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
götürdü	götür+Verb+Pos+Past+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
oyalamaktaydı	oyala+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
fazlaydı	fazla+Adj^DB+Verb+Zero+Past+A3sg
asmışlardı	as+Verb+Pos+Narr+A3pl+Past
paylaştılar	paylaş+Verb+Pos+Past+A3pl
ahenksizdi	ahenk+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Past+A3sg
başlasın	baş+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
tinselleştirir	tinsel+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Aor+A3sg
dilemem	dile+Verb+Neg+Aor+A1sg
biridir	biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
katabilirse	kat+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
öğretebilirse	öğret+Verb+Pos^DB+Verb+Able+Aor+Cond+A3sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
mahvediyor	mahvet+Verb+Pos+Prog1+A3sg
sürüyor	sür+Verb+Pos+Prog1+A3sg
kalkacak	kalk+Verb+Pos+Fut+A3sg
güzeldi	güzel+Adj^DB+Verb+Zero+Past+A3sg
andırıyordu	an+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
başladı	başla+Verb+Pos+Past+A3sg
rüyadaymış	rüya+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
salındı	sal+Verb^DB+Verb+Pass+Pos+Past+A3sg
suskundu	susku+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
şereflenir	şeref+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Aor+A3sg
başarısızdı	başarı+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Past+A3sg
solgunlaştı	solgun+Adj^DB+Verb+Become+Pos+Past+A3sg
gergindi	gergi+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
uğramışlardı	uğra+Verb+Pos+Narr+A3pl+Past
suniydi	suni+Adj^DB+Verb+Zero+Past+A3sg
vurguluyordu	vurgula+Verb+Pos+Prog1+Past+A3sg
boyardı	boyar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
yaraşır	yaraş+Verb+Pos+Aor+A3sg
okudu	oku+Verb+Pos+Past+A3sg
saçıyor	saç+Verb+Pos+Prog1+A3sg
yazın	yaz+Verb+Pos+Imp+A2pl
hakimdi	haki+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Past+A3sg
oyundu	oyun+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
dağıldı	dağıl+Verb+Pos+Past+A3sg
kendisiydi	kendi+Pron+Reflex+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
sanatçıydı	sanatçı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
üstündür	üst+Noun+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A3sg+Cop
kaptırmıştı	kap+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
sayılacaktı	say+Verb^DB+Verb+Pass+Pos+Fut+Past+A3sg
sonuçlanırsa	sonuç+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Aor+Cond+A3sg
canlandırıyordu	can+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Prog1+Past+A3sg
halindeydi	hal+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A3sg
çizilmişti	çiz+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
emindi	em+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
sabırsızlanıyordu	sabır+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Acquire+Pos+Prog1+Past+A3sg
kemiriyordu	kemir+Verb+Pos+Prog1+Past+A3sg
denemişti	dene+Verb+Pos+Narr+Past+A3sg
yanıltmazdı	yanıl+Verb^DB+Verb+Caus+Neg+Aor+Past+A3sg
kararlaştırılmıştı	karar+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+Past+A3sg
tanırlar	tanı+Verb+Pos+Aor+A3pl
öğrenilemedi	öğren+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
yayıldı	yay+Verb^DB+Verb+Pass+Pos+Past+A3sg
kökleşti	kök+Adj^DB+Verb+Become+Pos+Past+A3sg
çakışmasıydı	çakış+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
dayanır	dayan+Verb+Pos+Aor+A3sg
içindedir	iç+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
sebepti	sebep+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
basacaktı	bas+Verb+Pos+Fut+Past+A3sg
beğenmiş	beğen+Verb+Pos+Narr+A3sg
biçilmiş	biç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kaftandı	kaftan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
düşkündü	düşkü+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
uyandıramazdı	uyan+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+Past+A3sg
ahlaksızlıktı	ahlak+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
zorundaydı	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A3sg
tutamazdı	tut+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
güvenebilirdi	güven+Verb+Pos^DB+Verb+Able+Aor+Past+A3sg
dalarlardı	dal+Verb+Pos+Aor+A3pl+Past
mümkündü	mümkün+Adj^DB+Verb+Zero+Past+A3sg
batsa	bat+Verb+Pos+Desr+A3sg
özelliğiydi	özellik+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
doğrudur	doğru+Adj^DB+Verb+Zero+Pres+A3sg+Cop
uyardı	uyar+Verb+Pos+Past+A3sg
memnundu	memnu+Adj^DB+Noun+Zero+A3sg+P2sg+Nom^DB+Verb+Zero+Past+A3sg
neşeliydi	neşe+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
yuvarladı	yuvarla+Verb+Pos+Past+A3sg
cıvıttı	cıvı+Verb^DB+Verb+Caus+Pos+Past+A3sg
çalışıyordu	çalış+Verb+Pos+Prog1+Past+A3sg
somurtuyorlardı	somur+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
bürünmüştü	bürü+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
büyüktü	büyük+Adj^DB+Verb+Zero+Past+A3sg
kızarmış	kız+Verb+Pos+Aor+Narr+A3sg
umursamaz	umursa+Verb+Neg+Aor+A3sg
üzüntülüydü	üzüntü+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
biter	bit+Verb+Pos+Aor+A3sg
anlatayım	anlat+Verb+Pos+Opt+A1sg
içer	içer+Verb+Pos+Imp+A2sg
köyüm	köy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
gizleyebiliyordu	gizle+Verb+Pos^DB+Verb+Able+Prog1+Past+A3sg
bakın	bakın+Verb+Pos+Imp+A2sg
bahsedin	bahset+Verb+Pos+Imp+A2pl
giderdi	gider+Verb+Pos+Past+A3sg
tıkanacaktı	tıka+Verb^DB+Verb+Pass+Pos+Fut+Past+A3sg
dikildi	dik+Verb^DB+Verb+Pass+Pos+Past+A3sg
dinleyin	dinle+Verb+Pos+Imp+A2pl
yürüdü	yürü+Verb+Pos+Past+A3sg
uğraştı	uğraş+Verb+Pos+Past+A3sg
püslenecektim	püsle+Verb^DB+Verb+Reflex+Pos+Fut+Past+A1sg
yapıştırdı	yapış+Verb^DB+Verb+Caus+Pos+Past+A3sg
çarpıyor	çarp+Verb+Pos+Prog1+A3sg
atıyordu	ata+Verb+Pos+Prog1+Past+A3sg
eğlendiniz	eğlen+Verb+Pos+Past+A2pl
kopacak	kop+Verb+Pos+Fut+A3sg
gevşemişti	gevşe+Verb+Pos+Narr+Past+A3sg
susmaz	sus+Verb+Neg+Aor+A3sg
sezdi	sez+Verb+Pos+Past+A3sg
alevlendi	alev+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Past+A3sg
kaldırın	kaldır+Verb+Pos+Imp+A2pl
doluydu	dolu+Adj^DB+Verb+Zero+Past+A3sg
yor	yor+Verb+Pos+Imp+A2sg
süz	süz+Verb+Pos+Imp+A2sg
yıkasaydı	yıka+Verb+Pos+Desr+Past+A3sg
eriyecek	eri+Verb+Pos+Fut+A3sg
çalsana	çal+Verb+Pos+Imp+A2sg
geçinirlerdi	geçin+Verb+Pos+Aor+A3pl+Past
tanışmıştım	tanış+Verb+Pos+Narr+Past+A1sg
arkadaştık	arkadaş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A1pl
komikti	komik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
şarkısıydı	şarkı+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
işliyordu	işle+Verb+Pos+Prog1+Past+A3sg
coşmuş	coş+Verb+Pos+Narr+A3sg
zamandır	zaman+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yerindeyse	yerinde+Adj^DB+Verb+Zero+Cond+A3sg
diriltin	diril+Verb^DB+Verb+Caus+Pos+Imp+A2pl
seslenin	seslen+Verb+Pos+Imp+A2pl
geveledi	gevele+Verb+Pos+Past+A3sg
reddetti	reddet+Verb+Pos+Past+A3sg
üzereydi	üzere+Postp+PCNom^DB+Verb+Zero+Past+A3sg
tuhafsınız	tuhaf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
örneklerindensiniz	örnek+Noun+A3pl+P3sg+Abl^DB+Verb+Zero+Pres+A2pl
kazanmıştı	kazan+Verb+Pos+Narr+Past+A3sg
ihtiyarlar	ihtiyarla+Verb+Pos+Aor+A3sg
gezdiriyorsunuz	gez+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
tekrarlayın	tekrarla+Verb+Pos+Imp+A2pl
yalvarıyordu	yalvar+Verb+Pos+Prog1+Past+A3sg
çöktü	çök+Verb+Pos+Past+A3sg
peltekleşmişti	peltek+Adj^DB+Verb+Become+Pos+Narr+Past+A3sg
anlaşılmıyordu	anlaş+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
belliydi	belli+Adj^DB+Verb+Zero+Past+A3sg
körükledi	körükle+Verb+Pos+Past+A3sg
parlaktı	parlak+Adj^DB+Verb+Zero+Past+A3sg
kucakladı	kucakla+Verb+Pos+Past+A3sg
seyrediyordu	seyret+Verb+Pos+Prog1+Past+A3sg
çevirdi	çevir+Verb+Pos+Past+A3sg
uzattı	uza+Verb^DB+Verb+Caus+Pos+Past+A3sg
kekeliyordu	kekele+Verb+Pos+Prog1+Past+A3sg
annedir	anne+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
koruyacaksınız	koru+Verb+Pos+Fut+A2pl
parlayacak	parla+Verb+Pos+Fut+A3sg
sereceğim	ser+Verb+Pos+Fut+A1sg
kalkışıyorsunuz	kalkış+Verb+Pos+Prog1+A2pl
sokacaklardı	sok+Verb+Pos+Fut+A3pl+Past
kapadı	kapa+Verb+Pos+Past+A3sg
tüketmeyeyim	tüket+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A1sg
yatırırım	yatır+Verb+Pos+Aor+A1sg
melekti	melek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
azizdi	aziz+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
kapaklanıyordu	kapaklan+Verb+Pos+Prog1+Past+A3sg
sıkmış	sık+Verb+Pos+Narr+A3sg
kenetlenmiş	kenetle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yaşarmıştı	yaşar+Verb+Pos+Narr+Past+A3sg
açıldı	aç+Verb^DB+Verb+Pass+Pos+Past+A3sg
sapsarıydı	sapsarı+Adj^DB+Verb+Zero+Past+A3sg
eziliyordu	ez+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
suçlayabilirsiniz	suçla+Verb+Pos^DB+Verb+Able+Aor+A2pl
buruştu	buruş+Verb+Pos+Past+A3sg
köpürdü	köpür+Verb+Pos+Past+A3sg
sarsıldı	sars+Verb^DB+Verb+Pass+Pos+Past+A3sg
