değil	değil+Verb+Neg+Pres+A3sg
olmadığımı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
değiştirmedikleri	değiş+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom
kastetmiyorsun	kastet+Verb+Neg+Prog1+A2sg
olmaz	ol+Verb+Neg^DB+Adj+AorPart
dokunmayacakları	doku+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3pl+Nom
olmamıştım	ol+Verb+Neg+Narr+Past+A1sg
etmemeni	et+Verb+Neg^DB+Noun+Inf2+A3sg+P2sg+Acc
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
görünmemişti	görün+Verb+Neg+Narr+Past+A3sg
görmediği	gör+Verb+Neg^DB+Adj+PastPart+P3sg
rastlamadığım	rastla+Verb+Neg^DB+Adj+PastPart+P1sg
edemem	et+Verb^DB+Verb+Able+Neg+Aor+A1sg
anlatmamam	anla+Verb^DB+Verb+Caus+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
söylemedi	söyle+Verb+Neg+Past+A3sg
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
konuşmadım	konuş+Verb+Neg+Past+A1sg
olmamak	ol+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
benzemez	benze+Verb+Neg+Aor+A3sg
etmez	et+Verb+Neg+Aor+A3sg
sinirlenmez	sinir+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Aor+A3sg
anlamıyorum	anla+Verb+Neg+Prog1+A1sg
dönülmez	dön+Verb^DB+Verb+Pass+Neg+Aor+A3sg
etme	et+Verb+Neg+Imp+A2sg
feshedilemez	feshet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
edemeyeceğim	et+Verb^DB+Verb+Able+Neg+Fut+A1sg
ödemez	öde+Verb+Neg+Aor+A3sg
yetmemesidir	yet+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olmasa	ol+Verb+Neg+Desr+A3sg
kullanmadıklarıdır	kullan+Verb+Neg^DB+Noun+PastPart+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
duymaz	duy+Verb+Neg+Aor+A3sg
bilmez	bil+Verb+Neg+Aor+A3sg
olamaz	ol+Verb^DB+Verb+Able+Neg+Aor+A3sg
bilmem	bil+Verb+Neg+Aor+A1sg
edemeyeceğin	et+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P2sg+Nom
bilmediğiniz	bil+Verb+Neg^DB+Adj+PastPart+P2pl
olmayacak	ol+Verb+Neg+Fut+A3sg
dayanamazdı	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A3sg
olmayacağını	ol+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
dilemem	dile+Verb+Neg+Aor+A1sg
düşünmüyordum	düşün+Verb+Neg+Prog1+Past+A1sg
tamamlanmamış	tamamla+Verb^DB+Verb+Pass+Neg^DB+Adj+NarrPart
alamıyordu	al+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
kullanamıyordu	kullan+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
edemediler	et+Verb^DB+Verb+Able+Neg+Past+A3pl
edilemezdi	et+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A3sg
değildi	değil+Verb+Neg+Past+A3sg
etmiyormuş	et+Verb+Neg+Prog1+Narr+A3sg
yapamıyor	yap+Verb^DB+Verb+Able+Neg+Prog1+A3sg
kalmamalısın	kal+Verb+Neg+Neces+A2sg
görülmemiş	gör+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kaybetmiyordu	kaybet+Verb+Neg+Prog1+Past+A3sg
söylemiyordu	söyle+Verb+Neg+Prog1+Past+A3sg
kalmazdı	kal+Verb+Neg+Aor+Past+A3sg
durmuyordu	dur+Verb+Neg+Prog1+Past+A3sg
bahsetmediği	bahset+Verb+Neg^DB+Adj+PastPart+P3sg
yanıltmazdı	yanıl+Verb^DB+Verb+Caus+Neg+Aor+Past+A3sg
bilmediği	bil+Verb+Neg^DB+Adj+PastPart+P3sg
bilinmemekle	bil+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf1+A3sg+Pnon+Ins
yapılamaz	yap+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
öğrenilemedi	öğren+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
dönmediler	dön+Verb+Neg+Past+A3pl
bilmediğiniz	bil+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Nom
alamazdım	al+Verb^DB+Verb+Able+Neg+Aor+Past+A1sg
hoşlanmıyorlardı	hoşlan+Verb+Neg+Prog1+A3pl+Past
sayılmazdı	say+Verb^DB+Verb+Pass+Neg+Aor+Past+A3sg
görünmüyor	görün+Verb+Neg+Prog1+A3sg
evlenmeyeceğini	evlen+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
edemiyordu	et+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
uyandıramazdı	uyan+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+Past+A3sg
duymamış	duy+Verb+Neg+Narr+A3sg
gelmeyeni	gel+Verb+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Nom
koymayacaklarını	koy+Verb+Neg^DB+Noun+FutPart+A3pl+P3pl+Acc
tutamazdı	tut+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
damlamayacaklarına	damla+Verb+Neg^DB+Noun+FutPart+A3sg+P3pl+Dat
başlamamıştı	başla+Verb+Neg+Narr+Past+A3sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
bilmiyordu	bil+Verb+Neg+Prog1+Past+A3sg
dönmeyeceğine	dön+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Dat
koymadı	koy+Verb+Neg+Past+A3sg
alışmayan	alış+Verb+Neg^DB+Adj+PresPart
çekemiyordu	çek+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
umursamaz	umursa+Verb+Neg+Aor+A3sg
başlayamazdı	başla+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
bitmez	bit+Verb+Neg+Aor+A3sg
beklenmedik	bekle+Verb^DB+Verb+Pass+Neg^DB+Adj+PastPart+Pnon
varılmıyormuş	var+Verb^DB+Verb+Pass+Neg+Prog1+Narr+A3sg
basmadım	bas+Verb+Neg+Past+A1sg
gelmez	gel+Verb+Neg+Aor+A3sg
çıkıvermez	çık+Verb+Pos^DB+Verb+Hastily+Neg+Aor+A3sg
hatırlamıyorum	hatırla+Verb+Neg+Prog1+A1sg
istememiştiniz	iste+Verb+Neg+Narr+Past+A2pl
düşünmem	düşün+Verb+Neg+Aor+A1sg
sanmam	san+Verb+Neg+Aor+A1sg
hatırlatmam	hatırla+Verb^DB+Verb+Caus+Neg+Aor+A1sg
çıkmayacağım	çık+Verb+Neg+Fut+A1sg
unutmayın	unut+Verb+Neg+Imp+A2pl
konuşmayın	konuş+Verb+Neg+Imp+A2pl
dinleyemem	dinle+Verb^DB+Verb+Able+Neg+Aor+A1sg
yapamazsanız	yap+Verb^DB+Verb+Able+Neg+Aor+Cond+A2pl
yapmıyorum	yap+Verb+Neg+Prog1+A1sg
değilmiş	değil+Verb+Neg+Narr+A3sg
duramıyordu	dur+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
susmaz	sus+Verb+Neg+Aor+A3sg
kaçırmamak	kaç+Verb^DB+Verb+Caus+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
dayanamadı	dayan+Verb^DB+Verb+Able+Neg+Past+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
bırakmazlar	bırak+Verb+Neg+Aor+A3pl
bulunmaz	bulun+Verb+Neg+Aor+A3sg
değilim	değil+Verb+Neg+Pres+A1sg
çıkmazdı	çık+Verb+Neg+Aor+Past+A3sg
ayıramıyor	ayır+Verb^DB+Verb+Able+Neg+Prog1+A3sg
bitiremedi	bit+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Past+A3sg
unutmadım	unut+Verb+Neg+Past+A1sg
ayrılmamak	ayır+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
görmüyor	gör+Verb+Neg+Prog1+A3sg
sevmemiş	sev+Verb+Neg+Narr+A3sg
kastetmiyorum	kastet+Verb+Neg+Prog1+A1sg
anlamıyor	anla+Verb+Neg+Prog1+A3sg
yorulmadınızsa	yor+Verb^DB+Verb+Pass+Neg+Past+A2pl+Cond
istemiyorum	iste+Verb+Neg+Prog1+A1sg
tutamadı	tut+Verb^DB+Verb+Able+Neg+Past+A3sg
anlaşılmıyordu	anlaş+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
bırakmam	bırak+Verb+Neg+Aor+A1sg
çıkarmıyordu	çık+Verb^DB+Verb+Caus+Neg+Prog1+Past+A3sg
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
bahsedemem	bahset+Verb^DB+Verb+Able+Neg+Aor+A1sg
edilmez	et+Verb^DB+Verb+Pass+Neg+Aor+A3sg
bulamıyorum	bul+Verb^DB+Verb+Able+Neg+Prog1+A1sg
söyleyemeyeceğimi	söyle+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P1sg+Acc
bildirmemiş	bil+Verb^DB+Verb+Caus+Neg+Narr+A3sg
çevirmediniz	çevir+Verb+Neg+Past+A2pl
reddetmediniz	reddet+Verb+Neg+Past+A2pl
çevirmedimse	çevir+Verb+Neg+Past+A1sg+Cond
dememem	de+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
reddetmezsiniz	reddet+Verb+Neg+Aor+A2pl
edemezsiniz	et+Verb^DB+Verb+Able+Neg+Aor+A2pl
görmedim	gör+Verb+Neg+Past+A1sg
darılmadığımı	darıl+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
saklayamadık	sakla+Verb^DB+Verb+Able+Neg+Past+A1pl
istemedik	iste+Verb+Neg+Past+A1pl
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
değilse	değil+Verb+Neg+Cond+A3sg
gitmemişti	git+Verb+Neg+Narr+Past+A3sg
değilsiniz	değil+Verb+Neg+Pres+A2pl
olmadığı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
etmeme	et+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
şaşmamalıyım	şaş+Verb+Neg+Neces+A1sg
olmazsa	ol+Verb+Neg+Aor+Cond+A3sg
söyleyemem	söyle+Verb^DB+Verb+Able+Neg+Aor+A1sg
kandıramazsınız	kan+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
konuşmamam	konuş+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
olmayabilirdi	ol+Verb+Neg^DB+Verb+Able+Aor+Past+A3sg
bulmayın	bul+Verb+Neg+Imp+A2pl
söylemediğinizi	söyle+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Acc
bırakmamışsınız	bırak+Verb+Neg+Narr+A2pl
sayılmaz	say+Verb^DB+Verb+Pass+Neg+Aor+A3sg
sevmese	sev+Verb+Neg+Desr+A3sg
bilmiyorsunuz	bil+Verb+Neg+Prog1+A2pl
çıkmadı	çık+Verb+Neg+Past+A3sg
karıştırmayın	karış+Verb^DB+Verb+Caus+Neg+Imp+A2pl
bilemeyecektir	bil+Verb^DB+Verb+Able+Neg+Fut+A3sg+Cop
durmuyorum	dur+Verb+Neg+Prog1+A1sg
anlayamazsınız	anla+Verb^DB+Verb+Able+Neg+Aor+A2pl
kalmamış	kal+Verb+Neg+Narr+A3sg
alamadığım	al+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P1sg
konuşmama	konuş+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
düşünmez	düşün+Verb+Neg+Aor+A3sg
ayrılmadığımızı	ayır+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P1pl+Acc
düşünmediğimi	düşün+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
yanılmamışım	yanıl+Verb+Neg+Narr+A1sg
olmadığına	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
gücendirmediniz	gücen+Verb^DB+Verb+Caus+Neg+Past+A2pl
etmediniz	et+Verb+Neg+Past+A2pl
kuvvetlendirmediniz	kuvvet+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Neg+Past+A2pl
kesmeyin	kes+Verb+Neg+Imp+A2pl
koyamam	koy+Verb^DB+Verb+Able+Neg+Aor+A1sg
inanmamıştım	inan+Verb+Neg+Narr+Past+A1sg
dayanılmaz	daya+Verb^DB+Verb+Pass+Neg+Aor+A3sg
geçilmez	geç+Verb^DB+Verb+Pass+Neg+Aor+A3sg
gitmediğinizi	git+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Acc
öğütlememe	öğütle+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
kollayamaz	kolla+Verb^DB+Verb+Able+Neg+Aor+A3sg
varmamak	var+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
hesaplayamamak	hesapla+Verb^DB+Verb+Able+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
görmemek	gör+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
bilmiyordunuz	bil+Verb+Neg+Prog1+Past+A2pl
gelmeseniz	gel+Verb+Neg+Desr+A2pl
ölmezse	öl+Verb+Neg+Aor+Cond+A3sg
ekmesin	ek+Verb+Neg+Imp+A3sg
dayanamayacağım	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A1sg
üzmeyin	üz+Verb+Neg+Imp+A2pl
basmayın	bas+Verb+Neg+Imp+A2pl
tartamamışım	tart+Verb^DB+Verb+Able+Neg+Narr+A1sg
bırakmayıp	bırak+Verb+Neg^DB+Adverb+AfterDoingSo
dayanamaz	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kaldırmadı	kal+Verb^DB+Verb+Caus+Neg+Past+A3sg
oturamıyordu	otur+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
saklamayalım	sakla+Verb+Neg+Opt+A1pl
açıklayamadığı	açıkla+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
uzatmamalı	uza+Verb^DB+Verb+Caus+Neg+Neces+A3sg
inanmadığımız	inan+Verb+Neg^DB+Adj+PastPart+P1pl
olmayacağına	ol+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Dat
atmaz	at+Verb+Neg+Aor+A3sg
dayanamayacak	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
istemeyecek	iste+Verb+Neg^DB+Adj+FutPart+Pnon
demeyecekti	de+Verb+Neg+Fut+Past+A3sg
kesilmemiş	kes+Verb^DB+Verb+Pass+Neg+Narr+A3sg
emretmemiş	emret+Verb+Neg+Narr+A3sg
yapmadın	yap+Verb+Neg+Past+A2sg
yaramayan	yara+Verb+Neg^DB+Adj+PresPart
vermiyorlar	ver+Verb+Neg+Prog1+A3pl
ayrılmıyordu	ayır+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
çıkaramıyordu	çık+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+Past+A3sg
bırakmadı	bırak+Verb+Neg+Past+A3sg
dokundurtmuyor	dokun+Verb^DB+Verb+Caus^DB+Verb+Caus+Neg+Prog1+A3sg
şaşırmadı	şaşır+Verb+Neg+Past+A3sg
erdiremeyeceğini	er+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
etmeyin	et+Verb+Neg+Imp+A2pl
gelmediğini	gel+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
toslamamak	tosla+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
alamayarak	al+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
saldıramazdı	sal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+Past+A3sg
gerekmiyordu	gerek+Verb+Neg+Prog1+Past+A3sg
yetemezmiş	yet+Verb^DB+Verb+Able+Neg+Aor+Narr+A3sg
bulunmadı	bulun+Verb+Neg+Past+A3sg
istemiyordu	iste+Verb+Neg+Prog1+Past+A3sg
aldırmayın	al+Verb^DB+Verb+Caus+Neg+Imp+A2pl
bırakmıyordu	bırak+Verb+Neg+Prog1+Past+A3sg
kalmadı	kal+Verb+Neg+Past+A3sg
kaybetmedi	kaybet+Verb+Neg+Past+A3sg
uzaklaşmamıştı	uzak+Adj^DB+Verb+Become+Neg+Narr+Past+A3sg
yetişmemiş	yetiş+Verb+Neg+Narr+A3sg
benzemiyordu	benze+Verb+Neg+Prog1+Past+A3sg
görünmüyordu	görün+Verb+Neg+Prog1+Past+A3sg
yeltenmemesi	yelten+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
bilmediklerinden	bil+Verb+Neg^DB+Noun+PastPart+A3sg+P3pl+Abl
inanamayan	inan+Verb^DB+Verb+Able+Neg^DB+Adj+PresPart
bulamadı	bul+Verb^DB+Verb+Able+Neg+Past+A3sg
kaynaklanmıyordu	kaynakla+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
girmemişti	gir+Verb+Neg+Narr+Past+A3sg
sataşmamayı	sataş+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Acc
unutmamıştı	unut+Verb+Neg+Narr+Past+A3sg
umursamıyordu	umursa+Verb+Neg+Prog1+Past+A3sg
gelmeyeceğini	gel+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
göstermiyordu	göster+Verb+Neg+Prog1+Past+A3sg
gelmezdi	gel+Verb+Neg+Aor+Past+A3sg
geçiremiyordu	geç+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+Past+A3sg
saplamamak	sapla+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
etmemeyi	et+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Acc
çıkmamayı	çık+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Acc
unutmamak	unut+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
yetmiyormuş	yet+Verb+Neg+Prog1+Narr+A3sg
yanılmayan	yan+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
sevememişti	sev+Verb^DB+Verb+Able+Neg+Narr+Past+A3sg
çektirmemişlerdi	çek+Verb^DB+Verb+Caus+Neg+Narr+A3pl+Past
bilemezdi	bil+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
engelleyemiyordu	engelle+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
olmuyordu	ol+Verb+Neg+Prog1+Past+A3sg
kalmıyordu	kal+Verb+Neg+Prog1+Past+A3sg
beslemiyordu	besle+Verb+Neg+Prog1+Past+A3sg
sırnaşmıyordu	sırnaş+Verb+Neg+Prog1+Past+A3sg
katlanamaz	katla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
etmiyordu	et+Verb+Neg+Prog1+Past+A3sg
koşmazdı	koş+Verb+Neg+Aor+Past+A3sg
çıkmaz	çık+Verb+Neg+Aor+A3sg
görmez	gör+Verb+Neg+Aor+A3sg
çıkmıyordu	çık+Verb+Neg+Prog1+Past+A3sg
edemiyorlardı	et+Verb^DB+Verb+Able+Neg+Prog1+A3pl+Past
sataşmıyor	sataş+Verb+Neg+Prog1+A3sg
yaklaşmıyorlardı	yaklaş+Verb+Neg+Prog1+A3pl+Past
bitmiyordu	bit+Verb+Neg+Prog1+Past+A3sg
eğmez	eğ+Verb+Neg+Aor+A3sg
acıtmasa	acı+Verb^DB+Verb+Caus+Neg+Desr+A3sg
görmediğini	gör+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
düşünmemişti	düşün+Verb+Neg+Narr+Past+A3sg
almadı	al+Verb+Neg+Past+A3sg
durmamış	dur+Verb+Neg+Narr+A3sg
geçemediği	geç+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
bilmediğinden	bil+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
yemez	ye+Verb+Neg+Aor+A3sg
demedi	de+Verb+Neg+Past+A3sg
etmemiş	et+Verb+Neg+Narr+A3sg
yanılmamıştı	yan+Verb^DB+Verb+Pass+Neg+Narr+Past+A3sg
almamıştı	al+Verb+Neg+Narr+Past+A3sg
gizleyememiş	gizle+Verb^DB+Verb+Able+Neg+Narr+A3sg
dokunmamayı	dokun+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Acc
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
hoşlanmasa	hoşlan+Verb+Neg+Desr+A3sg
kalkışmadı	kalkış+Verb+Neg+Past+A3sg
alamıyordum	al+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
anlayamıyordum	anla+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
rastlamıyordum	rastla+Verb+Neg+Prog1+Past+A1sg
tanımaz	tanı+Verb+Neg+Aor+A3sg
görmezsek	gör+Verb+Neg+Aor+Cond+A1pl
görememiştik	gör+Verb^DB+Verb+Able+Neg+Narr+Past+A1pl
tanıştırılmamıştık	tanış+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+Past+A1pl
etmesinler	et+Verb+Neg+Imp+A3pl
unutamam	unut+Verb^DB+Verb+Able+Neg+Aor+A1sg
acımamışlar	acı+Verb+Neg+Narr+A3pl
edemedim	et+Verb^DB+Verb+Able+Neg+Past+A1sg
hissedemiyordum	hisset+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
tanıyamayacak	tanı+Verb^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
olmamış	ol+Verb+Neg^DB+Adj+NarrPart
düşünememiştim	düşün+Verb^DB+Verb+Able+Neg+Narr+Past+A1sg
değişmeyen	değiş+Verb+Neg^DB+Adj+PresPart
almadım	al+Verb+Neg+Past+A1sg
bilmeyen	bil+Verb+Neg^DB+Adj+PresPart
anlaşılamayan	anlaş+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
dönmeyeceğinden	dön+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Abl
bilememelerinden	bil+Verb^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3pl+Abl
kurmadığım	kur+Verb+Neg^DB+Adj+PastPart+P1sg
istemez	iste+Verb+Neg+Aor+A3sg
bozmadı	boz+Verb+Neg+Past+A3sg
yanılmıyordum	yanıl+Verb+Neg+Prog1+Past+A1sg
kalamazdım	kal+Verb^DB+Verb+Able+Neg+Aor+Past+A1sg
edilmemiş	et+Verb^DB+Verb+Pass+Neg+Narr+A3sg
duramayacak	dur+Verb^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
gözükmüyordu	gözük+Verb+Neg+Prog1+Past+A3sg
beklenmeyen	bekle+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
tanımadığım	tanı+Verb+Neg^DB+Adj+PastPart+P1sg
yeltenmez	yelten+Verb+Neg+Aor+A3sg
bilinmeyen	bil+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
bilmeyecek	bil+Verb+Neg+Fut+A3sg
yapmasaydınız	yap+Verb+Neg+Desr+Past+A2pl
gelmeyecekti	gel+Verb+Neg+Fut+Past+A3sg
tanımıyordum	tanı+Verb+Neg+Prog1+Past+A1sg
bilmediğimi	bil+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
gelmedi	gel+Verb+Neg+Past+A3sg
dokunmamış	doku+Verb^DB+Verb+Pass+Neg+Narr+A3sg
sayılmam	say+Verb^DB+Verb+Pass+Neg+Aor+A1sg
beceremem	becer+Verb^DB+Verb+Able+Neg+Aor+A1sg
söylemediniz	söyle+Verb+Neg+Past+A2pl
bilemez	bil+Verb^DB+Verb+Able+Neg+Aor+A3sg
hoşlanmadım	hoşlan+Verb+Neg+Past+A1sg
sevmemiştir	sev+Verb+Neg+Narr+A3sg+Cop
tanışmadım	tanış+Verb+Neg+Past+A1sg
tanımadığınız	tanı+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Nom
kovmamalıydı	kov+Verb+Neg+Neces+Past+A3sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
etmemek	et+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
yakışmazdı	yakış+Verb+Neg+Aor+Past+A3sg
görmemeye	gör+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Dat
darılmayın	darıl+Verb+Neg+Imp+A2pl
esirgemezdi	esirge+Verb+Neg+Aor+Past+A3sg
bilemezsiniz	bil+Verb^DB+Verb+Able+Neg+Aor+A2pl
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
bilemiyorum	bil+Verb^DB+Verb+Able+Neg+Prog1+A1sg
hissetmemiştim	hisset+Verb+Neg+Narr+Past+A1sg
dayanamadım	dayan+Verb^DB+Verb+Able+Neg+Past+A1sg
duymam	duy+Verb+Neg+Aor+A1sg
etmedim	et+Verb+Neg+Past+A1sg
