değil	değil+Verb+Neg+Pres+A3sg
sarılmaktır	sar+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapıtlardır	yapıt+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
üslubudur	üslup+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çoğunluktadır	çoğunluk+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
tanımlamasıdır	tanımla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tutumudur	tutum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
realizmdir	realizm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ustabaşılar	ustabaşı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl
zayıfsın	zayıf+Adj^DB+Verb+Zero+Pres+A2sg
yaşındasın	yaş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A2sg
yıllardır	yıl+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
iyileridir	iyi+Adj^DB+Noun+Zero+A3sg+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tüccardır	tüccar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
keserim	keser+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
karısıdır	karı+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dakikadır	dakika+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ekmeğim	ekmek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
kişiyim	kişi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
dirençliyimdir	direnç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg+Cop
değilimdir	değil+Verb+Neg+Pres+A1sg+Cop
içindir	için+Postp+PCNom^DB+Verb+Zero+Pres+A3sg+Cop
değiller	değil+Verb+Neg+Pres+A3pl
kadınsınız	kadın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
akıllıdır	akıl+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
görecelidir	göreceli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gibidir	gibi+Postp+PCNom^DB+Verb+Zero+Pres+A3sg+Cop
kollarındadır	kol+Noun+A3pl+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
idmanlıdır	idman+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
alışıktır	alışık+Adj^DB+Verb+Zero+Pres+A3sg+Cop
formülüdür	formül+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sizsiniz	siz+Pron+Pers+A2pl+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
adildir	adil+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kızdır	kız+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şişkosunuz	şişko+Adj^DB+Verb+Zero+Pres+A2pl
bönsünüz	bön+Adj^DB+Verb+Zero+Pres+A2pl
metresiniz	metre+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
usuldendir	usul+Noun+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3sg+Cop
evinizdesiniz	ev+Noun+A3sg+P2pl+Loc^DB+Verb+Zero+Pres+A2pl
kafestedir	kafes+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
elinizdedir	el+Noun+A3sg+P2pl+Loc^DB+Verb+Zero+Pres+A3sg+Cop
iştir	iş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
erbapsın	erbap+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
emrinizdeyim	emir+Noun+A3sg+P2pl+Loc^DB+Verb+Zero+Pres+A1sg
eserim	eser+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
dişisiniz	diş+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
böyleyiz	böyle+Adj^DB+Verb+Zero+Pres+A1pl
böyledir	böyle+Adj^DB+Verb+Zero+Pres+A3sg+Cop
garipsiniz	garip+Adj^DB+Verb+Zero+Pres+A2pl
istesin	is+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A2sg
deliliktir	deli+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
arasıdır	ara+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tahminim	tahmin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
değiliz	değil+Verb+Neg+Pres+A1pl
sensin	sen+Pron+Pers+A2sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
babanım	baba+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+A1sg
oğlumsun	oğul+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+A2sg
ötesin	öte+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
senedir	sene+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tedbirim	tedbir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
ayağım	ayak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
misafirim	misafir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
yabancıyım	yabancı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
tekiyimdir	tek+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1sg+Cop
varsın	var+Adj^DB+Verb+Zero+Pres+A2sg
buradayım	bura+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1sg
göbeğim	göbek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
hiçsiniz	hiç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
göredir	göre+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
tuhafsın	tuhaf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
aptalsın	aptal+Adj^DB+Verb+Zero+Pres+A2sg
arkadaşsınız	arkadaş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
adadır	ada+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
şaheserdir	şaheser+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ülkedir	ülke+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ihtimalim	ihtimal+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
topraksınız	toprak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
dayanıklısınız	dayanıklı+Adj^DB+Verb+Zero+Pres+A2pl
yüzyıldır	yüzyıl+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dengidir	denk+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hainimdir	hain+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
toplasın	top+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
koruyucusudurlar	koru+Verb+Pos^DB+Adj+Agt^DB+Adj+JustLike^DB+Verb+Zero+Pres+A3pl+Cop
uyanayım	uy+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A1sg
farkındayım	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
tuhaftır	tuhaf+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayılıdır	sayı+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
ölümdür	ölüm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dikkatsizsiniz	dikkat+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A2pl
yaratılışlıdır	yara+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
durumdur	durum+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aptalım	aptal+Adj^DB+Verb+Zero+Pres+A1sg
çoktur	çok+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sonradır	sonra+Postp+PCAbl^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işindedir	iş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
inatçıdır	inatçı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
üzereyim	üzere+Postp+PCNom^DB+Verb+Zero+Pres+A1sg
andır	an+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
borçluyum	borç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg
sorumluyum	sorumlu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
durumdayım	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1sg
kolaydır	kolay+Adj^DB+Verb+Zero+Pres+A3sg+Cop
imkansızdır	imkan+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Pres+A3sg+Cop
anlasın	an+Noun+A3sg+Pnon+Ins^DB+Verb+Zero+Pres+A2sg
dostusunuz	dost+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2pl
haklısın	hak+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A2sg
körsün	kör+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
durumdadırlar	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl+Cop
varsınız	var+Adj^DB+Verb+Zero+Pres+A2pl
iyisiniz	iyi+Adj^DB+Verb+Zero+Pres+A2pl
birdir	bir+Adj^DB+Verb+Zero+Pres+A3sg+Cop
şeyim	şey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
öyledir	öyle+Adj^DB+Verb+Zero+Pres+A3sg+Cop
suçlusunuz	suç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A2pl
düşüncedeyim	düşünce+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1sg
farkındadır	fark+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
romandır	roman+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yakındır	yakın+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
enerjidir	enerji+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hikayesidir	hikaye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yazardır	yazar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bekliyeceğiz	bekliyeceğ+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
suçluyum	suç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg
kanaatindeyim	kanaat+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1sg
yatsın	yat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
portakaldır	portakal+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
müşfiksiniz	müşfik+Adj^DB+Verb+Zero+Pres+A2pl
mümkündür	mümkün+Adj^DB+Verb+Zero+Pres+A3sg+Cop
uygundur	uygun+Adj^DB+Verb+Zero+Pres+A3sg+Cop
soyundasınız	soy+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A2pl
tehlikelidirler	tehlike+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3pl+Cop
oyundur	oyun+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çalıştığıdır	çalış+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
altındadır	alt+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
